2017-01-23 16:17:59
Tag: web
The number of books: 633 

ID, rating, votes, title
3590768, 9.1, 1403, JavaScript语言精粹
2297549, 8.2, 3456, 用户体验的要素
3567853, 9.0, 900, Getting Real
1921890, 8.7, 1067, JavaScript DOM编程艺术
3924175, 8.6, 1185, 构建高性能Web站点
3132277, 8.6, 908, 高性能网站建设指南
1232061, 8.7, 726, JAVASCRIPT权威指南(第四版)
1898098, 8.4, 932, 精通CSS
1894206, 8.8, 479, Designing Interactions
5362856, 8.9, 422, 高性能JavaScript
3549421, 8.4, 692, PHP和MySQL Web开发(原书第4版)
5348144, 8.4, 665, SEO实战密码
2157554, 8.0, 1033, 赢在用户
4719162, 8.9, 373, 高性能网站建设进阶指南
4076216, 8.0, 976, 锦绣蓝图
2365393, 8.3, 658, Designing Interfaces中文版
4886100, 8.5, 519, Web表单设计
25863515, 8.1, 777, 图解HTTP
2308234, 8.5, 481, CSS权威指南（第三版）
26351021, 9.4, 211, 你不知道的JavaScript（上卷）
1436131, 9.0, 289, expert one-on-one J2EE Development without EJB 中文版
4241826, 8.8, 341, 高性能MySQL（第二版）
3007076, 8.6, 403, 精通JavaScript
2345964, 8.5, 434, 超越CSS
3794471, 8.1, 658, 锋利的jQuery
1230451, 7.9, 836, 网站重构
25723064, 7.9, 823, 大型网站技术架构
3022779, 8.6, 375, ppk谈JavaScript
3176860, 9.3, 184, Secrets of the JavaScript Ninja
1942934, 8.9, 245, Head First Servlets &amp; JSP（中文版）
2032343, 8.3, 412, Programming Ruby中文版
3729677, 8.1, 505, MySQL性能调优与架构设计
3016575, 9.1, 196, Flash ActionScript 3.0动画教程
1873926, 8.2, 447, CSS网站布局实录
7007666, 7.2, 1551, 认知盈余
1839273, 8.6, 271, 应用Rails进行敏捷Web开发
26274202, 8.7, 246, Flask Web开发：基于Python的Web应用开发实战
2298856, 7.7, 674, 一目了然
21338365, 8.9, 195, HTML &amp; CSS设计与构建网站
10733304, 8.3, 336, 基于MVC的JavaScript Web富应用开发
1966719, 8.6, 247, Founders at Work
3329540, 8.4, 295, JavaScript设计模式
1937913, 8.1, 395, 无懈可击的Web设计
1879670, 7.3, 1069, 撬动地球的Google
23123255, 8.8, 202, CSS设计指南
3012828, 8.5, 261, JAVASCRIPT语言精髓与编程实践
3082278, 8.8, 195, JavaScript DOM高级程序设计
1764900, 8.0, 391, Ajax实战
1444838, 8.4, 260, 最佳设计100细则
3220004, 8.4, 257, Hadoop: The Definitive Guide
