2017-01-23 16:17:59
Tag: 三毛
The number of books: 332 

ID, rating, votes, title
1084336, 9.0, 211561, 小王子
1770782, 8.8, 248832, 追风筝的人
1082154, 9.1, 120152, 活着
3066477, 9.2, 74617, 三体Ⅱ
1200840, 9.0, 93894, 平凡的世界（全三部）
1083428, 8.8, 80320, 傲慢与偏见
1361264, 9.0, 53512, 撒哈拉的故事
1858513, 8.9, 61663, 月亮和六便士
3995526, 8.7, 73711, 目送
10594787, 8.9, 50242, 霍乱时期的爱情
1085860, 8.9, 48442, 基督山伯爵
3674537, 9.1, 30857, 明朝那些事儿（1-9）
1090043, 8.5, 83101, 倾城之恋
1023045, 8.6, 68604, 我们仨
1389960, 9.2, 22050, 七龍珠 34
6388661, 8.8, 41028, 这些人，那些事
1029111, 8.9, 29013, 哭泣的骆驼
1066462, 8.4, 69211, 向左走·向右走
2154960, 8.7, 38672, 一个陌生女人的来信
2070844, 8.8, 25075, 梦里花落知多少
1767945, 8.8, 24793, 一只特立独行的猪
3426869, 8.3, 54799, 三生三世 十里桃花
1086249, 8.6, 30337, 荆棘鸟
1985223, 8.7, 24752, 倾城之恋
1014278, 8.4, 36399, 红玫瑰与白玫瑰
1056733, 8.3, 38733, 地下铁
2209098, 7.9, 78820, 致我们终将逝去的青春
1853785, 8.7, 17063, 天是红河岸
2256039, 7.8, 88457, 杜拉拉升职记
1449352, 8.6, 19648, 朝花夕拾
1056315, 8.8, 14155, 总统是靠不住的
1036490, 8.8, 14014, 万水千山走遍
1794844, 8.5, 18940, 有一天啊，宝宝……
2136140, 8.7, 13754, 雨季不再来
2158189, 8.5, 18847, 海边的卡夫卡
3693974, 9.4, 5076, 小王子
1420862, 8.9, 9371, 孩子你慢慢来
1050339, 7.8, 60657, 文化苦旅
1812439, 8.1, 33555, 步步惊心
1082518, 7.9, 48050, 麦田里的守望者
1418686, 8.6, 13585, 红拂夜奔
1083762, 8.7, 11545, 人类的群星闪耀时
2068249, 9.0, 7475, 温柔的夜
1760548, 9.2, 5537, 三毛作品集
1026035, 9.1, 6272, 你看起来好像很好吃
1125186, 8.5, 14842, 半生緣
2046236, 9.3, 4709, 庄子
3607117, 8.9, 7540, 稻草人手记
2250587, 7.6, 67361, 一个人的好天气
3311253, 9.0, 5975, 额尔古纳河右岸
1082162, 8.3, 16734, 第一炉香
1039752, 7.8, 39407, 且听风吟
2244146, 8.2, 18352, 穆斯林的葬礼
1082399, 8.6, 9470, 闹学记
1016300, 7.2, 142925, 梦里花落知多少
3608235, 8.5, 10838, 失物之书
3642673, 8.0, 23115, 我执
3713237, 8.8, 6122, 亲爱的三毛
2048364, 8.1, 17482, 独步天下（上下卷）
1049189, 7.4, 66767, 1995-2005夏至未至
1914636, 8.4, 10011, 蛤蟆的油
3616310, 7.6, 38840, 小团圆
1045352, 8.7, 5773, 二十首情诗与绝望的歌
6902639, 7.9, 20131, 青春
1851955, 9.3, 2577, 孙子兵法
21346636, 9.4, 2290, 三毛典藏全集
1065239, 8.5, 7304, 我的宝贝
1318126, 8.4, 8470, 雪国
4012128, 9.0, 3666, 星空
3561591, 8.0, 16056, 凤囚凰（上中）
2988943, 8.3, 9023, 青灯
2078219, 8.0, 14020, 且试天下1
3698390, 8.6, 5299, 送你一匹马
1004322, 8.6, 5227, 第二性
3723589, 8.6, 5203, 滚滚红尘
1050870, 9.3, 2128, 三毛经典作品（上下）
1013801, 8.8, 3659, 倾城
3054373, 9.2, 2237, 荷西 我爱你
3987362, 8.8, 3577, 春雪
3905366, 7.8, 15861, 迟到的间隔年
3927199, 8.2, 7865, 后宫·甄嬛传VII
1856285, 7.3, 41288, 人生若只如初见
3698217, 8.6, 4263, 花田半亩
1382836, 8.7, 3680, 傾城
1049348, 8.8, 3153, 万历十五年
2310418, 8.8, 3032, 親愛的安德烈
1382829, 8.6, 3885, 萬水千山走遍
1382840, 8.7, 3158, 背影
2137767, 9.2, 1720, 霸王别姬
1034922, 8.9, 2401, 莎士比亚喜剧悲剧集
3432304, 9.1, 1876, 大江东去（共三部）
1089518, 7.9, 9546, 萧十一郎
2076886, 9.1, 1759, 甲骨文
1034108, 7.2, 35142, 零下一度
1441707, 8.2, 5536, 小蝴蝶小披风
1382844, 8.7, 2691, 鬧學記
3740431, 8.4, 3964, 灵魂只能独行
3053868, 7.9, 8396, 永不永不说再见
2073521, 9.2, 1454, 三毛全集
1358416, 7.8, 9841, 1.2.3.木頭人
1033843, 8.7, 2562, 张看（上下）
1037716, 8.7, 2554, 我的灵魂骑在纸背上
3143537, 9.3, 1277, 津巴多普通心理学
1489494, 8.5, 3120, 人与永恒
1040632, 8.5, 3046, 木偶奇遇记
1082369, 8.4, 3289, 滚滚红尘
1008732, 8.4, 3214, 失败之书
5264779, 7.4, 16200, 背包十年
1382833, 8.4, 3095, 送你一匹馬
