2017-01-23 16:17:59
Tag: 世界历史
The number of books: 589 

ID, rating, votes, title
1225977, 8.9, 11211, 全球通史（第7版 上册）
1813841, 8.8, 11254, 枪炮、病菌与钢铁
5366248, 8.3, 21610, 你一定爱读的极简欧洲史
4071859, 9.3, 4067, 我在伊朗长大
1005492, 8.9, 5193, 光荣与梦想
1054889, 7.7, 21931, 行者无疆
7055441, 8.9, 3112, 罗马人的故事1
4113090, 7.4, 33339, 我们台湾这些年
7064370, 9.2, 1756, 罗马人的故事2
25891318, 9.0, 2031, 1453
1867642, 7.7, 13048, 世界是平的
1054760, 9.0, 1698, 枪炮、病菌与钢铁
2326273, 8.9, 1895, 欧洲中世纪史
1315844, 9.1, 1275, 古拉格群岛（上中下）
1315199, 9.1, 1266, 历史研究
1053623, 8.4, 2877, 文明的冲突与世界秩序的重建
1125731, 8.8, 1649, 第三帝国的兴亡（上中下）
1439441, 8.9, 1455, 伯罗奔尼撒战争史
25746578, 9.2, 1013, 大英博物馆世界简史（全3册）
10607615, 8.8, 1551, 第三种黑猩猩
1036478, 8.9, 1372, 大外交
1465543, 8.8, 1523, 异端的权利
25891321, 9.0, 1207, 海洋帝国
25883305, 9.1, 1037, 阿拉伯的劳伦斯
3228779, 8.7, 1541, 出埃及记
3206270, 8.9, 1205, 拥抱战败
1876746, 8.3, 2435, 帷幕
1063736, 8.4, 2018, 人类的故事
1057653, 8.7, 1340, 草原帝国
1142862, 8.1, 2866, 拿破仑传
26296352, 8.9, 936, 财富之城
1648606, 8.7, 1091, 宽容
1310233, 8.6, 1174, 世界五千年
1211052, 8.5, 1245, 罗马帝国衰亡史（上册）
1047001, 8.1, 2032, 资本主义与二十一世纪
19976381, 8.9, 770, 政治秩序的起源
4822144, 7.7, 3547, 历史是个什么玩意儿3
4894982, 7.8, 2962, 历史是个什么玩意儿4
1427023, 9.0, 663, 希罗多德历史（上下）
3610090, 9.0, 658, 第二次世界大战战史
