2017-01-23 16:17:59
Tag: 世界史
The number of books: 834 

ID, rating, votes, title
1225977, 8.9, 11211, 全球通史（第7版 上册）
7055441, 8.9, 3112, 罗马人的故事1
7064370, 9.2, 1756, 罗马人的故事2
25891318, 9.0, 2031, 1453
2326273, 8.9, 1895, 欧洲中世纪史
1315199, 9.1, 1266, 历史研究
1439441, 8.9, 1455, 伯罗奔尼撒战争史
25746578, 9.2, 1013, 大英博物馆世界简史（全3册）
25891321, 9.0, 1207, 海洋帝国
10541074, 9.2, 961, 罗马人的故事5
25883305, 9.1, 1037, 阿拉伯的劳伦斯
26853835, 8.8, 1421, 丝绸之路
1063736, 8.4, 2018, 人类的故事
1057653, 8.7, 1340, 草原帝国
10485699, 8.7, 1284, 罗马人的故事3
10541073, 8.8, 1116, 罗马人的故事4：凯撒时代（上）
1065142, 8.5, 1511, 欧洲文明十五讲
26296352, 8.9, 936, 财富之城
25777432, 9.1, 723, 罗马人的故事（礼品装，全15册）
1211052, 8.5, 1245, 罗马帝国衰亡史（上册）
4822144, 7.7, 3547, 历史是个什么玩意儿3
4894982, 7.8, 2962, 历史是个什么玩意儿4
1427023, 9.0, 663, 希罗多德历史（上下）
10762726, 8.7, 779, 罗马人的故事6
5376976, 8.7, 749, 德意志的另一行泪
25752592, 9.0, 537, 从黎明到衰落（上下）
25899496, 8.7, 723, 1453——君士坦丁堡的陷落
1044499, 9.3, 399, 菲利普二世时代的地中海和地中海世界（上下卷）
1421923, 8.2, 1253, 大国的兴衰
26292964, 8.8, 624, 世界小史
1958740, 7.8, 2034, 大国崛起
26298832, 8.7, 670, 零年：1945
26276743, 8.6, 745, 金雀花王朝
26354440, 8.9, 518, 野蛮大陆
1058889, 9.1, 408, 西洋世界军事史（全三卷）
1197950, 9.1, 407, 希腊罗马名人传
26279878, 8.3, 920, 历史的教训
11589948, 8.6, 636, 罗马人的故事7
1789833, 9.0, 383, 希腊城邦制度
1020329, 8.5, 597, 世界史纲
2981480, 9.1, 328, 美国人民：创建一个国家和一种社会（上卷）
26451505, 9.1, 324, 伯罗奔尼撒战争
20389611, 8.3, 699, 世界史
2244551, 8.7, 455, 新全球史
20272121, 8.7, 443, 罗马人的故事9
1421333, 8.6, 474, 世界历史地图集
3555039, 8.9, 353, 现代世界史
19912128, 8.5, 497, 罗马人的故事8
1001356, 9.2, 255, 世界文明史(全24册)
1053109, 9.0, 295, 封建社会（上、下卷）
1853552, 8.5, 452, 中世纪的城市
1413045, 8.9, 304, 西方文明史
1211051, 8.5, 435, 罗马帝国衰亡史（下册）
1197914, 8.7, 356, 长征记
2116717, 8.8, 311, 西洋史
20507209, 8.6, 375, 罗马人的故事11
26816981, 8.7, 327, 十二幅地图中的世界史
24744709, 8.7, 321, 罗马人的故事 15
1316628, 8.5, 381, 法国革命史
1322401, 8.6, 343, 八月炮火
22495539, 8.5, 378, 罗马人的故事12
1254597, 9.2, 200, 15至18世纪的物质文明、经济和资本主义（第一卷）
2998637, 8.6, 334, 俄罗斯史
20441113, 8.4, 406, 罗马人的故事10
3071729, 8.6, 331, 希腊精神
25869117, 8.6, 328, 失败的帝国
6800122, 9.1, 207, 泰晤士世界历史
1410343, 9.1, 206, 西方社会史（共3册）
3320907, 8.1, 520, 追踪1789法国大革命
1116343, 8.3, 416, 蒙古帝国史
24307334, 8.5, 340, 罗马人的故事13
24671185, 8.5, 337, 罗马人的故事 14
4852805, 8.8, 248, 希利尔讲世界史
1316549, 8.6, 296, 极端的年代
1031956, 8.7, 250, 美国自由的故事
25795770, 8.4, 326, 革命的年代：1789～1848
1041375, 8.2, 395, 英国通史
1871632, 8.5, 288, 卢比孔河
10791843, 7.7, 686, 这个历史挺靠谱3
