2017-01-23 16:17:59
Tag: 世界名著
The number of books: 523 

ID, rating, votes, title
1007305, 9.5, 112768, 红楼梦
1084336, 9.0, 211561, 小王子
6082808, 9.2, 94320, 百年孤独
1068920, 9.3, 73307, 飘（上下）
1019568, 9.2, 52615, 三国演义（全二册）
1040211, 9.2, 46896, 福尔摩斯探案全集（上中下）
1083428, 8.8, 80321, 傲慢与偏见
1017143, 8.5, 130023, 不能承受的生命之轻
1858513, 8.9, 61663, 月亮和六便士
1141406, 8.5, 101713, 简爱
1085860, 8.9, 48443, 基督山伯爵
1046209, 9.1, 34448, 安徒生童话故事集
2035179, 9.2, 28169, 动物农场
1827374, 9.0, 32497, 东方快车谋杀案
1046265, 8.0, 178766, 挪威的森林
1045818, 8.5, 59172, 苏菲的世界
1043008, 8.9, 27879, 格林童话全集
2154960, 8.7, 38674, 一个陌生女人的来信
3608208, 8.6, 45448, 牧羊少年奇幻之旅
2035162, 9.0, 22442, 刀锋
1205054, 8.9, 25762, 悲惨世界（上中下）
1119522, 8.4, 54414, 呼啸山庄
1400705, 8.1, 79068, 情人
1086249, 8.6, 30337, 荆棘鸟
1064275, 8.3, 50313, 老人与海
1051193, 8.6, 28481, 麦琪的礼物
2159042, 8.4, 38941, 挪威的森林
1034282, 8.8, 19395, 时间简史
1092335, 8.9, 16043, 教父
1803022, 9.0, 12737, 圣经
1024197, 8.3, 39254, 巴黎圣母院
2035171, 9.0, 10710, 人生的枷锁
4920007, 8.7, 16570, 不能承受的生命之轻
1008988, 8.3, 31967, 了不起的盖茨比
1013380, 8.1, 45147, 茶花女
1159939, 8.5, 21884, 一个陌生女子的来信
1915170, 9.2, 7384, 小王子
1856494, 9.3, 6356, 卡拉马佐夫兄弟
1205370, 8.1, 40974, 羊脂球
1035848, 8.6, 15716, 一千零一夜
1004821, 8.7, 12807, 理想国
1016003, 8.0, 40946, 鲁滨逊漂流记
1043815, 8.2, 28014, 骆驼祥子
1013225, 8.3, 23364, 生活在别处
1082518, 7.9, 48050, 麦田里的守望者
1865089, 8.4, 19129, 瓦尔登湖
1085470, 8.4, 18534, 海底两万里
1022238, 8.2, 25085, 菊与刀
3136271, 8.6, 12510, 罗生门
1213546, 8.3, 20085, 变形记
1258498, 8.3, 18229, 项链
1856025, 8.9, 7263, 道连·葛雷的画像
1006197, 8.4, 15287, 哈姆莱特
1005521, 8.1, 24858, 伊豆的舞女
1794620, 7.8, 43136, 芒果街上的小屋
1465324, 7.7, 51315, 洛丽塔
1007433, 8.1, 23562, 红与黑
1186392, 8.7, 8785, 约翰·克利斯朵夫
1048007, 8.2, 19066, 高效能人士的七个习惯（精华版）
1254731, 8.8, 6871, 欧·亨利短篇小说选
1022632, 8.7, 7491, 罪与罚
3136255, 8.8, 6419, 一个陌生女人的来信
1082584, 8.6, 8474, 追忆似水年华 Ⅰ
1883353, 8.8, 6330, 野性的呼唤
1427288, 8.4, 10825, 小妇人
1321789, 8.5, 8931, 美丽新世界
1053759, 8.3, 12190, 雪国 古都
6313461, 9.1, 3822, 月亮和六便士
1203251, 8.1, 15489, 雾都孤儿
1013502, 7.6, 39473, 钢铁是怎样炼成的
1007772, 8.2, 12735, 双城记
1275608, 8.7, 5875, 神秘岛
1012637, 8.2, 12231, 牛虻
1212488, 8.3, 9970, 罗密欧与朱丽叶
1031741, 7.8, 23719, 欧也妮·葛朗台
2253379, 8.7, 5429, 简爱
1996678, 9.4, 2160, 乱世佳人
1420508, 8.9, 3902, 最后一片叶子
1851385, 7.8, 21342, 我的名字叫红
1010472, 8.4, 7327, 安娜·卡列尼娜（上下）
1255288, 8.0, 13987, 复活
1878265, 9.1, 2660, 安徒生童话
2008724, 9.1, 2617, 百年孤独
1045466, 9.2, 2298, 一九八四
1203244, 8.2, 8576, 三个火枪手
1005918, 7.9, 13993, 堂吉诃德
1040397, 8.1, 9709, 假如给我三天光明
1044772, 8.6, 4494, 雷雨
1047138, 7.7, 18993, 少年维特的烦恼
1013469, 8.6, 4432, 战争与和平（全四册）
2036561, 8.4, 5802, 城堡
1859108, 8.8, 3263, 白痴
1092168, 9.1, 2256, 追忆似水年华（上下册）
1049957, 8.6, 4237, 浮士德
1077492, 9.0, 2437, 大师和玛格丽特
1006113, 7.8, 13620, 源氏物语
1085021, 8.2, 6691, 蝴蝶梦
1083435, 8.7, 3195, 契诃夫短篇小说选
1083432, 8.7, 3183, 巴黎圣母院
1083477, 7.8, 12235, 包法利夫人
1077778, 8.1, 7376, 爱的教育
2050767, 8.6, 3534, 绿野仙踪
1083434, 8.6, 3467, 莫泊桑短篇小说选
1275907, 8.3, 5208, 八十天环游地球
1000121, 8.5, 3899, 昆虫记
1091224, 9.3, 1466, 基度山恩仇记
1873900, 8.6, 3364, 变形记
1880823, 8.8, 2584, 格林童话
1034106, 8.1, 6788, 威尼斯商人
1016880, 8.8, 2545, 道连·格雷的画像
1000856, 7.9, 8941, 我是猫
1048403, 8.2, 5517, 家
1119528, 7.9, 8870, 高老头
1055234, 8.5, 3518, 神曲（全三册）
2161691, 8.3, 4659, 伊索寓言
1019628, 8.7, 2688, 卡夫卡中短篇小说选
2042629, 8.7, 2687, 九三年
1035477, 7.8, 9980, 德伯家的苔丝
1430530, 8.2, 5096, 汤姆叔叔的小屋
1030469, 8.2, 5074, 青鸟
1880824, 8.6, 2838, 一千零一夜
1021056, 7.2, 27742, 谁动了我的奶酪？
24736899, 8.0, 6187, 雪国
1643566, 9.2, 1295, 基督山伯爵
1014144, 8.3, 3890, 大卫·科波菲尔（上下）
1051714, 8.2, 4419, 等待戈多
1007045, 8.4, 3304, 茶花女
1018482, 8.0, 5870, 汤姆?索亚历险记
1839492, 9.2, 1221, 傲慢与偏见
1469878, 8.6, 2445, 日瓦戈医生
1038196, 8.4, 3176, 尤利西斯
1012489, 7.7, 8993, 童年 在人间 我的大学
1088812, 8.3, 3476, 第二十二条军规
1011702, 8.1, 4400, 廊桥遗梦
