2017-01-23 16:17:59
Tag: 世界观
The number of books: 260 

ID, rating, votes, title
1770782, 8.8, 248838, 追风筝的人
1082154, 9.1, 120156, 活着
3066477, 9.2, 74623, 三体Ⅱ
5363767, 9.2, 74045, 三体Ⅲ
1200840, 9.0, 93897, 平凡的世界（全三部）
2567698, 8.8, 125421, 三体
20427187, 8.8, 108648, 看见
1019568, 9.2, 52615, 三国演义（全二册）
1017143, 8.5, 130023, 不能承受的生命之轻
1858513, 8.9, 61664, 月亮和六便士
1041482, 8.9, 54786, 万历十五年
1141406, 8.5, 101713, 简爱
4238362, 8.6, 82801, 送你一颗子弹
1786670, 8.9, 46548, 百年孤独
1054685, 9.0, 36659, 沉默的大多数
1858576, 9.3, 22515, 一九八四
1336330, 9.3, 21599, 冰与火之歌（卷一）
3369793, 8.7, 50230, 亲爱的安德烈
1040771, 8.2, 123343, 达·芬奇密码
25985021, 9.3, 17894, 人类简史
1046265, 8.0, 178767, 挪威的森林
1027191, 9.0, 26860, 历史深处的忧虑
3813669, 8.6, 51518, 民主的细节
1045818, 8.5, 59172, 苏菲的世界
4242172, 8.3, 84631, 天才在左 疯子在右
1401841, 9.0, 22502, 傲慢与偏见
4742918, 8.3, 73847, 1Q84 BOOK 1
1205054, 8.9, 25762, 悲惨世界（上中下）
20440644, 9.2, 15312, 文学回忆录（全2册）
1003000, 8.4, 54078, 悟空传
1767945, 8.8, 24793, 一只特立独行的猪
1018136, 9.1, 14839, 动物庄园
1467022, 9.2, 12476, 上帝掷骰子吗
5275059, 7.9, 116916, 1988：我想和这个世界谈谈
1775691, 8.3, 51924, 少有人走的路
1192090, 8.7, 24163, 球状闪电
1034282, 8.8, 19395, 时间简史
1426971, 8.8, 18294, 野火集
1008988, 8.3, 31967, 了不起的盖茨比
1391191, 8.5, 21456, 京华烟云
1084165, 9.0, 9918, 平凡的世界
1225977, 8.9, 11211, 全球通史（第7版 上册）
6021440, 8.8, 12965, 黑客与画家
1963912, 8.8, 12259, 正见
1364773, 8.9, 9934, 鋼之鍊金術師 1
1813841, 8.8, 11254, 枪炮、病菌与钢铁
5375620, 8.8, 11245, 失控
1001885, 8.5, 17485, 带一本书去巴黎
1082518, 7.9, 48050, 麦田里的守望者
5366248, 8.3, 21610, 你一定爱读的极简欧洲史
1022238, 8.2, 25085, 菊与刀
1762869, 8.9, 8209, 如彗星划过夜空
1140727, 8.8, 9371, 安德的游戏
1077528, 8.9, 8065, 通往奴役之路
1394253, 8.7, 10703, デスノート 5
1007433, 8.1, 23562, 红与黑
4953695, 8.0, 24713, 拆掉思维里的墙
1431870, 9.1, 4471, 源泉
1225983, 8.8, 6152, 万物简史
1907199, 8.6, 5972, 扫起落叶好过冬
6425061, 8.6, 5855, 哲学家们都干了些什么？
1045716, 8.7, 4878, 人生中不可不想的事
1082404, 8.4, 7312, X.1
19920715, 8.6, 5349, 论中国
1082577, 8.7, 4338, 黑铁时代
1146267, 8.8, 3605, 深渊上的火
1292405, 8.6, 4684, 自私的基因
1020241, 7.6, 19114, 千年一叹
1470159, 8.4, 4549, 流金岁月
1400195, 8.7, 2990, 论自由
1902628, 8.3, 5163, 空谷幽兰
1812011, 9.0, 2026, 佛教的见地与修道
1867642, 7.7, 13048, 世界是平的
6811366, 8.3, 4852, 禅与摩托车维修艺术
1055234, 8.5, 3518, 神曲（全三册）
2066374, 9.1, 1629, 返璞归真
3688489, 7.8, 9634, 异类
20278799, 7.6, 13150, 三十六大
1919072, 7.7, 10601, 长尾理论
1116367, 8.7, 2023, 道德情操论
1349295, 9.4, 931, 空之境界（上下集合售）
1053623, 8.4, 2877, 文明的冲突与世界秩序的重建
