2017-01-23 16:17:59
Tag: 中国古典
The number of books: 660 

ID, rating, votes, title
1007305, 9.5, 112771, 红楼梦
1019568, 9.2, 52615, 三国演义（全二册）
1041482, 8.9, 54788, 万历十五年
1077847, 9.5, 12176, 史记（全十册）
1883245, 9.4, 10243, 诗经
1059258, 9.4, 9744, 道德经
1203426, 9.0, 14286, 人间词话
1013267, 9.3, 8686, 唐诗三百首
1029553, 8.7, 20397, 西游记（全二册）
1088581, 8.9, 13418, 浮生六记
1008357, 8.5, 21631, 水浒传（全二册）
1014561, 9.0, 9766, 古文观止
2046236, 9.3, 4709, 庄子
1949420, 9.3, 4707, 孙子兵法
1964774, 9.0, 6917, 论语
1073708, 9.0, 5612, 牡丹亭
1072295, 9.3, 3385, 資治通鑑（全二十冊）
1792668, 8.5, 9455, 苏东坡传
1021990, 9.2, 3457, 唐诗鉴赏辞典
1040382, 8.9, 4947, 人间词话手稿本全编
1014763, 9.2, 3338, 三国志（全五册）
1098643, 8.7, 5487, 聊斋志异
1108762, 9.3, 2279, 诗经
1774227, 9.6, 1621, 脂砚斋重评石头记庚辰校本
1006967, 9.3, 2243, 宋词三百首
1287865, 9.4, 1919, 老子
1053088, 9.2, 2259, 陶庵梦忆 西湖梦寻
1286547, 8.6, 4660, 菜根谭
1016631, 8.5, 5042, 西厢记
1147193, 9.0, 2594, 世说新语
1139980, 9.3, 1797, 四書章句集注
1420734, 9.2, 1930, 飲水詞箋校
1132550, 9.4, 1532, 宋词鉴赏辞典
1393724, 9.0, 2345, 楚辞
1000888, 9.0, 2216, 論語譯註
3410709, 9.2, 1738, 中国哲学简史
2083981, 8.7, 3157, 了凡四训
1062455, 8.4, 4581, 康熙大帝（共四册）
1021709, 8.6, 3318, 桃花扇
1081144, 9.3, 1436, 古詩源
1185908, 8.5, 3754, 东周列国志（上下）
2149717, 8.9, 2177, 庄子諵譁（上）
1033163, 9.2, 1541, 老子注译及评介
1456692, 8.5, 3566, 金瓶梅
1003079, 9.5, 1084, 红楼梦
1051919, 9.3, 1329, 庄子今注今译（全三册）
2005705, 9.1, 1646, 唐宋词十七讲
1066108, 8.6, 3014, 易经杂说
1016595, 8.3, 4491, 雍正皇帝（全三册）
1849409, 9.1, 1566, 易经
1489670, 8.7, 2504, 老子他说
2747765, 8.9, 1951, 中国古代文化常识
1491239, 8.5, 3077, 吾国与吾民
3007268, 9.3, 1179, 传习录
1015104, 9.3, 1161, 陶渊明集
1009789, 9.5, 932, 道德经
1491153, 8.7, 2204, 曾国藩家书
1020547, 8.9, 1726, 论语新解
1032967, 9.1, 1367, 说文解字
1076598, 8.7, 2104, 宋诗选注
1146536, 9.5, 842, 唐诗三百首
1203523, 9.4, 913, 唐宋词鉴赏辞典(唐五代北宋)
1007196, 8.5, 2521, 闲情偶寄
3787127, 9.2, 1096, 人间词话
1823533, 8.7, 1877, 山海经
1254942, 9.2, 1069, 黄帝内经
1002513, 9.2, 1039, 詩經注析（全二冊）
1107841, 9.0, 1257, 战国策
1181370, 9.3, 877, 文心雕龙注(上下)
1608873, 9.2, 969, 山海經
1029723, 9.2, 968, 汉书（全十二册）
3191229, 8.9, 1312, 金瓶梅词话（全两册）
1204398, 8.8, 1458, 幽梦影
1921597, 8.9, 1287, 大学·中庸
2377241, 9.6, 628, 世說新語箋疏（全三冊）
1921441, 8.9, 1264, 诗经
1008094, 9.3, 829, 春秋左傳注（全四冊）
1119590, 8.0, 3899, 老残游记
1009938, 7.8, 5222, 封神演义
