2017-01-23 16:17:59
Tag: 中国科幻
The number of books: 249 

ID, rating, votes, title
3066477, 9.2, 74629, 三体Ⅱ
5363767, 9.2, 74050, 三体Ⅲ
2567698, 8.8, 125433, 三体
1255624, 8.8, 43476, 神雕侠侣
5299764, 9.4, 14218, 1984
4242172, 8.3, 84632, 天才在左 疯子在右
1258490, 9.2, 10255, 基地
1394364, 8.8, 13712, 银河系漫游指南
2160556, 9.0, 8926, 十万个为什么
3266609, 8.8, 9475, 流浪地球
6518605, 9.3, 3589, 三体全集
2340609, 9.0, 3538, 2001太空漫游
1059406, 7.1, 87440, 幻城
1195590, 8.6, 4424, 带上她的眼睛
3571732, 8.4, 4708, 全频带阻塞干扰
1318622, 8.8, 2553, 青铜葵花
4219728, 9.4, 1084, 塔希里亚故事集Ⅲ
1015104, 9.3, 1161, 陶渊明集
1318431, 8.0, 5432, 幽灵旗
3124547, 7.7, 7993, 藏地密码2
1140726, 8.2, 3626, 计算中的上帝
26210607, 8.4, 2427, 时间移民
1292322, 8.2, 3103, 群星，我的归宿
1370069, 8.5, 2048, 惡意
4326055, 8.4, 1982, 微纪元
3636385, 7.6, 5860, 超新星纪元
3266663, 8.2, 2254, 魔鬼积木·白垩纪往事
4245620, 8.4, 1656, 时光尽头
4937547, 7.9, 3152, 我的征途是星辰大海
1489158, 7.8, 3620, 过年
2032523, 8.5, 1231, 失乐园
6120501, 7.4, 5055, 中国式青春
2127790, 7.6, 2897, 蝴蝶风暴
3284411, 8.2, 1071, 头发
1906155, 8.5, 665, 爱因斯坦赤道
24935042, 7.4, 2543, 时间之墟
5996565, 7.8, 1351, 麦田里的守望者
6265750, 7.2, 3376, 三体X
6151679, 8.5, 572, 人生不相见
4832901, 7.8, 1217, 白垩纪往事
1362560, 8.1, 772, 魔力棒球
6060491, 8.1, 694, 现代中国的历程
1198312, 8.0, 775, 红色海洋
1465602, 8.1, 660, 七重外壳
3338894, 8.0, 664, 木炭
1980793, 8.5, 339, 王晋康科幻小说精选（全4册）
5063541, 7.9, 644, 卡勒米安墓场
3284415, 7.9, 624, 大厦
4814387, 8.1, 483, 2050年的母系氏族 Ⅰ
1945014, 7.0, 2083, 变形人
2146031, 9.2, 167, 科幻世界文库（全六册）
5336223, 7.0, 1833, 地铁
