2017-01-23 16:17:59
Tag: 中国近代史
The number of books: 814 

ID, rating, votes, title
1675478, 9.0, 5893, 天朝的崩溃
2376486, 8.8, 4744, 中国近代史
1000280, 8.5, 5913, 袁氏当国
1060025, 8.8, 3752, 中国近代史
5299857, 9.0, 973, 国家记忆
4229282, 8.5, 1711, 革命年代
25938605, 8.7, 1341, 天国之秋
1491537, 8.9, 976, 近代中国社会的新陈代谢
1039126, 8.8, 1080, 剑桥中国晚清史（上下卷）
1253538, 8.6, 1147, 剑桥中华民国史（上卷）
25750468, 8.6, 1099, 中国现代国家的起源
1439260, 8.8, 844, 历史三调
2713409, 8.8, 821, 国民党的“联共”与“反共”
4827310, 8.7, 884, “中间地带”的革命
1139065, 9.0, 630, 党员、党权与党争
6797768, 8.4, 1125, 一寸河山一寸血.1
3432401, 8.1, 1416, 苦难辉煌
3662567, 9.2, 430, 近代中国史纲
6798784, 8.6, 689, 一寸河山一寸血.2
20366533, 8.7, 620, 中国与中国人影像
1477774, 8.8, 554, 剑桥中华民国史（下卷）
1280568, 8.7, 584, 毛泽东与莫斯科的恩恩怨怨
6798785, 8.6, 617, 一寸河山一寸血.3
3923369, 8.8, 495, 中华人民共和国建国史研究1
1801407, 8.2, 949, 苦命天子
4248275, 8.6, 596, 革命与反革命
1289247, 8.7, 512, 戊戌变法史事考
10440415, 8.9, 414, 傅斯年：中国近代历史与政治中的个体生命
7058037, 8.5, 560, 一寸河山一寸血.5
10443525, 8.6, 487, 清日战争
6999547, 8.5, 536, 一寸河山一寸血.4
1069301, 8.4, 587, 在中国发现历史
1063540, 8.3, 634, 中华帝国晚期的叛乱及其敌人
6968193, 8.7, 397, 我的抗战2
5242198, 8.4, 533, 正面抗日战场
6895949, 9.0, 298, 联合政府与一党训政
1001057, 8.3, 587, 龙旗飘扬的舰队
2082163, 8.2, 655, 开卷有疑
4249213, 8.2, 655, 国运1909
5385877, 9.0, 293, 中国近代思想与学术的系谱
4745305, 7.5, 1607, 北洋裂变
1057226, 8.2, 642, 伟大的中国革命
4242368, 8.6, 401, 茶馆
3923370, 8.6, 395, 中华人民共和国建国史研究-2
1447912, 8.8, 314, 五四运动
6860955, 7.7, 1046, 太平天国
3518433, 8.1, 611, 毁灭的种子
2160404, 8.5, 387, 晚清七十年 【壹】
3628934, 8.8, 291, 晚清七十年 【伍】
20481426, 8.5, 384, 处在十字路口的选择
25498796, 8.4, 423, 梦醒子
3650176, 8.5, 380, 重返五四现场
3781499, 8.9, 257, 晚清七十年 【肆】
10580315, 7.8, 796, 1912—1928：文武北洋?枭雄篇
4137080, 8.3, 443, 被誤解的中國歷史
11601304, 7.9, 692, 梁启超传
1437607, 8.8, 268, 中国近百年政治史
1023084, 8.2, 474, 大门口的陌生人
3781492, 8.7, 284, 晚清七十年 【叁】
1048771, 8.4, 365, 长征
1072260, 8.3, 404, 义和团运动的起源
2979768, 8.4, 355, 晚清七十年 【贰】
3665980, 9.0, 205, 从甲午到戊戌
11519297, 7.7, 775, 台湾往事
10453793, 8.6, 289, 谈往阅今
6984992, 8.7, 253, 张力与限界
1608302, 8.4, 329, 西潮·新潮
1465795, 7.6, 807, 天公不语对枯棋
6895934, 8.3, 357, 读史求实
24829939, 7.8, 611, 民国纪事本末（1911-1949）
11445610, 8.2, 380, 民国衣冠
4139460, 8.4, 310, 国民党高层的派系政治
1315804, 8.4, 309, 上海罢工
25928984, 8.1, 419, 叶
10877038, 9.0, 181, 光焰不熄
4922253, 7.9, 495, 历史：何以至此
2594830, 8.5, 259, 从战争中走来：两代军人的对话
6827961, 8.6, 236, 1911
10560813, 7.7, 597, 触电的帝国
25790421, 8.2, 339, 红雨
1071153, 8.4, 272, 寻求富强
1772151, 8.6, 226, 翻身
23116732, 8.3, 299, 国会现场
5437424, 8.0, 408, 杜月笙传（上.中.下）
1772103, 8.2, 328, 再造“病人”
1227931, 8.8, 187, 霓虹灯外
4738654, 9.2, 128, 红太阳
2976504, 7.6, 581, 李鸿章与晚清四十年
25853222, 7.9, 406, 共和中的帝制
1937123, 8.5, 222, 西安事变新探
1951495, 8.0, 357, 帝国的回忆
1776851, 8.8, 168, 中国共产党成立史
6954443, 8.4, 232, 告别皇帝的中国
4843865, 8.2, 278, 失去的机会？
11620326, 7.7, 475, 抗日战争的细节
26171466, 9.2, 119, 筚路维艰:中国社会主义路径的五次选择
3104574, 8.2, 272, 义理与事功之间的徊徨
4898541, 8.5, 205, 近代中国的史家与史学
5988148, 8.1, 299, 山雨欲来
2382427, 8.4, 213, 一个时代的谢幕
10439652, 8.6, 175, 旧邦新造
11232882, 8.8, 148, 革命
2171187, 8.2, 243, 华北的叛乱者与革命者（1845—1945）
25891574, 9.2, 107, 甲午海战
