2017-01-23 16:17:59
Tag: 亦舒
The number of books: 548 

ID, rating, votes, title
1255625, 9.1, 53426, 天龙八部
1255624, 8.8, 43478, 神雕侠侣
5414391, 9.0, 28879, 寻路中国
1046265, 8.0, 178777, 挪威的森林
2154960, 8.7, 38678, 一个陌生女人的来信
4908885, 9.0, 20096, 局外人
1963684, 8.6, 32842, 半生缘
1056733, 8.3, 38734, 地下铁
2022979, 8.1, 41229, 喜宝
1358413, 8.5, 17332, 我只能為你畫一張小卡片
4124727, 8.1, 32642, 孤独六讲
1065970, 7.8, 47961, 彼岸花
4074636, 7.6, 65545, 放学后
1031740, 8.1, 18269, 寻羊冒险记
1049688, 8.5, 9429, 妞妞
1361263, 9.0, 4067, 哭泣的駱駝
1045352, 8.7, 5773, 二十首情诗与绝望的歌
2230208, 8.1, 14017, 我的前半生
4127527, 8.2, 10503, 厨房
1458164, 8.3, 7886, 她是女子，我也是女子
3506871, 7.6, 26508, 曾有一个人，爱我如生命
1045247, 7.7, 21445, 面包树上的女人
1046172, 8.4, 6450, 流金岁月
4241870, 7.7, 19741, 我在回忆里等你
2115040, 8.0, 10338, 玫瑰的故事
1470158, 8.0, 10225, 圆舞
2028070, 7.8, 13342, 绾青丝Ⅱ
1748232, 8.0, 9224, 忽而今夏
1792984, 8.2, 5975, 一个女人的史诗
2076886, 9.1, 1759, 甲骨文
4718973, 7.8, 8430, 毒笑小说
4143274, 8.1, 5077, 忽而今夏
1892491, 7.8, 8227, 如果墙会说话
1057206, 7.3, 19107, 数字城堡
2080764, 8.3, 3359, 为何家会伤人
1030153, 7.5, 11965, 她比烟花寂寞
1502083, 8.8, 1690, 杯雪·停云·宗室双歧
1082173, 7.8, 6585, 面包树出走了
2148947, 8.7, 1806, 阴阳师·太极卷
2023843, 8.1, 4009, 閒雲公子
1004956, 8.0, 4659, 阿修羅
2284090, 7.5, 10436, 开到荼蘼
4894485, 7.9, 5004, 麦田里的守望者
1055187, 8.4, 2382, 我的前半生
1397467, 7.9, 4558, 理智与情感
1361268, 8.2, 2883, 朝花夕拾
1050349, 8.1, 3313, 上海的金枝玉叶
1322066, 7.6, 7330, 吃南瓜的人
4124855, 7.4, 10343, 人生若只初相见
1264534, 7.9, 4259, 雪地里的蜗牛奄列
2062604, 8.3, 2383, 人间
3073494, 7.4, 9588, 人淡如菊
1052378, 7.8, 4796, 荷包里的单人床
1093078, 9.1, 896, 古龙作品全集（全53卷）
1322158, 7.7, 5514, 同门
3439437, 7.7, 5181, 阿修罗
1016058, 7.9, 3749, 我们不是天使
1897413, 7.6, 5994, 一点旧一点新
4243770, 8.5, 1448, 创新者的窘境
1317893, 8.6, 1284, 西厢记
1057211, 7.9, 3246, 永不永不说再见
1322328, 7.4, 7391, 不羁的风
1456597, 7.5, 6170, 她的二三事
2244170, 7.7, 4352, 电光幻影
1322342, 7.6, 4951, 花常好月常圆人长久
1078566, 7.6, 4308, 桃之夭夭
1499758, 7.7, 3603, 忽爾今夏
4230591, 7.3, 6776, 我终究是爱你的
1957045, 7.5, 4659, 印度墨
1424736, 8.0, 2118, 沉香
1980585, 7.6, 3672, 寒武纪
1281622, 7.5, 4095, 连环
1997752, 7.6, 3296, 剪刀替针做媒人
5263615, 8.1, 1566, 五天学会绘画
1055185, 7.8, 2339, 心扉的信
1975591, 7.6, 3133, 乐未央
1996037, 7.5, 3519, 嘘
1322320, 7.3, 4814, 这样的爱拖一天是错一天
4240403, 7.1, 6837, 最好的女子
1484300, 7.6, 2843, 承欢记
1784456, 7.5, 3222, 悄悄的一线光
1016053, 7.5, 3010, 胭脂
2129831, 8.2, 986, 美与暴烈
2060432, 7.1, 5076, 红颜露水
10442281, 8.2, 966, 她比烟花寂寞
1055184, 7.4, 2910, 迷迭香
2111291, 7.6, 2098, 直至海枯石烂
21346610, 7.6, 2086, 莫失莫忘
2074187, 7.3, 3171, 特首小姐你早
1322248, 7.1, 4263, 寂寞的心俱乐部
1499775, 7.6, 1867, 要多美麗，就多美麗
1484307, 7.8, 1329, 纵横四海
1089509, 7.0, 4764, 圆月弯刀
1484291, 7.6, 1728, 故园
3073493, 7.3, 2731, 迷藏
1429252, 7.9, 1130, 流浪的面包树
1281708, 7.3, 2688, 天若有情
