2017-01-23 16:17:59
Tag: 人性
The number of books: 981 

ID, rating, votes, title
3259440, 9.1, 173253, 白夜行
1770782, 8.8, 248869, 追风筝的人
1008145, 8.9, 179717, 围城
1082154, 9.1, 120164, 活着
6082808, 9.2, 94334, 百年孤独
3066477, 9.2, 74632, 三体Ⅱ
5363767, 9.2, 74055, 三体Ⅲ
3211779, 8.9, 119383, 嫌疑人X的献身
1200840, 9.0, 93902, 平凡的世界（全三部）
2567698, 8.8, 125439, 三体
25862578, 8.6, 169621, 解忧杂货店
20427187, 8.8, 108659, 看见
1017143, 8.5, 130025, 不能承受的生命之轻
1858513, 8.9, 61672, 月亮和六便士
4820710, 9.3, 28264, 1984
3995526, 8.7, 73721, 目送
10594787, 8.9, 50252, 霍乱时期的爱情
1829226, 9.1, 35339, 肖申克的救赎
2035179, 9.2, 28176, 动物农场
1089243, 8.8, 52469, 黄金时代
1054685, 9.0, 36663, 沉默的大多数
1029791, 8.7, 56375, 许三观卖血记
1082387, 9.2, 24006, 一九八四·动物农场
2143732, 8.7, 48475, 灿烂千阳
1449351, 8.8, 34589, 呐喊
4242172, 8.3, 84635, 天才在左 疯子在右
2035162, 9.0, 22446, 刀锋
1205054, 8.9, 25764, 悲惨世界（上中下）
1022060, 8.3, 72987, 狼图腾
3646172, 8.4, 58834, 恶意
4908885, 9.0, 20096, 局外人
1119522, 8.4, 54416, 呼啸山庄
1003000, 8.4, 54079, 悟空传
1082334, 8.3, 64795, 穆斯林的葬礼
1085799, 8.6, 35278, 白鹿原
2064977, 8.9, 21467, 死亡筆記 1
1401425, 8.3, 56197, 兄弟（上）
1775691, 8.3, 51926, 少有人走的路
1064275, 8.3, 50315, 老人与海
1088065, 8.6, 28196, 阿Q正传
1092335, 8.9, 16043, 教父
3239549, 9.1, 11377, 夹边沟记事
1024197, 8.3, 39254, 巴黎圣母院
2297697, 8.6, 23188, ZOO
3017857, 8.5, 26897, 金锁记
1292416, 8.5, 26408, 香水
1180102, 8.9, 13762, 恐怖宠物店（10）
6880158, 8.7, 17270, 陆犯焉识
1080309, 8.4, 28150, 尘埃落定
4011670, 8.3, 33403, 人间失格
2035171, 9.0, 10714, 人生的枷锁
1008988, 8.3, 31973, 了不起的盖茨比
1424741, 8.5, 22337, 心是孤独的猎手
1060852, 8.8, 13394, 呼兰河传
6397275, 9.0, 9825, 此生未完成
1012611, 8.3, 29637, 乌合之众
1856494, 9.3, 6359, 卡拉马佐夫兄弟
1205370, 8.1, 40978, 羊脂球
6781808, 9.2, 7035, 杀死一只知更鸟
5038409, 9.0, 8977, 金色梦乡
26382433, 8.2, 32023, 无声告白
3261600, 9.3, 5588, 人生的智慧
1449348, 8.8, 11011, 彷徨
4124727, 8.1, 32642, 孤独六讲
3633461, 8.6, 13852, 一句顶一万句
3920130, 8.6, 13670, 告白
3012517, 8.5, 15061, 小姨多鹤
1140727, 8.8, 9372, 安德的游戏
3136271, 8.6, 12514, 罗生门
1180108, 9.0, 6984, 恐怖宠物店1
1213546, 8.3, 20085, 变形记
3315879, 8.6, 11675, 恶童日记
1056295, 8.3, 18837, 人性的弱点全集
1856025, 8.9, 7263, 道连·葛雷的画像
2194123, 8.4, 15426, 相约星期二
26425831, 8.8, 8083, 斯通纳
4074636, 7.6, 65545, 放学后
3803820, 8.4, 14370, 人生
1465324, 7.7, 51318, 洛丽塔
24934182, 8.1, 22929, 一个人的朝圣
2334065, 9.4, 3447, 塔希里亚故事集
1322455, 8.8, 7253, 遥远的救世主
3391248, 8.6, 9650, 金阁寺
3057556, 9.0, 5469, 狂热分子
1025753, 8.2, 18114, 妻妾成群
3537590, 8.3, 15163, 朗读者
4011440, 8.0, 25436, 最初的爱情 最后的仪式
3608235, 8.5, 10839, 失物之书
10560798, 8.7, 8012, 面纱
6518605, 9.3, 3590, 三体全集
1431870, 9.1, 4471, 源泉
24382569, 8.6, 8851, 一桩事先张扬的凶杀案
2180619, 8.0, 23363, 偷书贼
1022632, 8.7, 7491, 罪与罚
6746289, 8.4, 11535, 新参者
1883353, 8.8, 6330, 野性的呼唤
1060117, 8.5, 9768, 不朽
1442720, 9.4, 2944, 鲁迅全集（2005最新修订版）
1082138, 8.3, 13184, 在细雨中呼喊
1005358, 9.2, 3661, 寻找家园
1054917, 8.5, 9377, 沧浪之水
1752755, 8.6, 7984, 第九个寡妇
1261153, 8.4, 10774, 青蛇
2328458, 9.1, 3943, 社会性动物
1321789, 8.5, 8933, 美丽新世界
10774752, 9.1, 3894, 毛姆短篇小说精选集
