2017-01-23 16:17:59
Tag: 人物传记
The number of books: 977 

ID, rating, votes, title
20424526, 8.9, 10312, 邓小平时代
1083762, 8.7, 11545, 人类的群星闪耀时
4010196, 8.1, 23308, 世界因你不同
1092149, 8.7, 8399, 梵高传
1037602, 8.9, 5832, 别闹了，费曼先生
1792668, 8.5, 9456, 苏东坡传
6152040, 9.1, 3115, 维特根斯坦传
5346110, 9.0, 3238, 穷查理宝典
1040397, 8.1, 9709, 假如给我三天光明
1076685, 8.8, 3281, 李鸿章传
1037060, 8.6, 4101, 曾国藩（上中下）
1002690, 8.8, 3110, 陈寅恪的最后20年
2045811, 9.0, 2071, 张国荣的时光
2275502, 8.1, 6828, 十年一觉电影梦
1844629, 8.5, 3790, 灿烂涅槃
1752349, 8.7, 2700, 胡雪岩（全三册）
1279648, 8.4, 4013, 天使在人间
10797092, 8.6, 2513, 蒋介石与现代中国
1491153, 8.7, 2204, 曾国藩家书
1482625, 8.8, 1719, 德兰修女传
1313181, 8.5, 2351, 富兰克林自传
1418648, 8.4, 2612, 胡适口述自传
1859649, 8.1, 3980, 生命的不可思议
1485628, 7.9, 5146, 毛泽东传
2364215, 8.5, 2185, 此地无人生还
11507862, 8.2, 3162, 独自上场
1893879, 8.5, 2067, 张居正（全四册）
1091203, 8.9, 1258, 少年凯歌
1448761, 8.3, 2491, 像一块滚石
25897707, 9.0, 999, 沈从文的后半生
5922204, 8.3, 2247, 曾国藩的正面与侧面
1142862, 8.1, 2867, 拿破仑传
3323311, 8.9, 1041, 从文自传
5288371, 8.4, 1849, 蒋经国传
1956419, 8.4, 1841, 一公升の眼泪
1418650, 8.5, 1534, 胡适杂忆
2146277, 9.1, 784, 一个政治性人物的肖像
1053174, 8.6, 1351, 你干吗在乎别人怎么想？
1097835, 8.0, 2888, 名人传
24541955, 8.0, 2744, 史玉柱自述
1313174, 8.5, 1403, 荣格自传
5408860, 8.2, 2019, 风雨哈佛路
1868786, 8.0, 2590, 列侬回忆
1159949, 7.8, 3431, 杰克·韦尔奇自传
2341866, 8.1, 2202, 合肥四姊妹
26664352, 8.9, 840, 褚时健传
1499783, 8.3, 1667, 将心注入
6847760, 7.2, 9423, 随遇而安
2823823, 9.2, 591, Marva Collins&#39; Way
2249020, 7.8, 3084, 林徽因传
