2017-01-23 16:17:59
Tag: 人类
The number of books: 288 

ID, rating, votes, title
1084336, 9.0, 211576, 小王子
1082154, 9.1, 120169, 活着
1255625, 9.1, 53426, 天龙八部
1041482, 8.9, 54789, 万历十五年
1786670, 8.9, 46549, 百年孤独
1054685, 9.0, 36664, 沉默的大多数
1858576, 9.3, 22517, 一九八四
1336330, 9.3, 21602, 冰与火之歌（卷一）
25985021, 9.3, 17915, 人类简史
1046265, 8.0, 178780, 挪威的森林
1077847, 9.5, 12176, 史记（全十册）
1464203, 9.4, 11870, 冰与火之歌（卷二）
1767945, 8.8, 24795, 一只特立独行的猪
1883245, 9.4, 10243, 诗经
1064275, 8.3, 50317, 老人与海
1358873, 8.5, 34795, 月亮忘記了
1321017, 8.8, 18646, 九州·缥缈录
1258490, 9.2, 10256, 基地
1776683, 9.0, 9954, 沉默的大多数
25829693, 9.0, 9481, 永恒的终结
1431779, 8.9, 10847, 九州·缥缈录Ⅱ·苍云古齿
1813841, 8.8, 11254, 枪炮、病菌与钢铁
1882933, 8.1, 36061, 鬼吹灯之精绝古城
1062193, 8.6, 15222, 娱乐至死
1922246, 9.2, 6015, 全球通史(下)
1061977, 8.7, 11659, 血色浪漫
1083762, 8.7, 11545, 人类的群星闪耀时
1077528, 8.9, 8065, 通往奴役之路
1033778, 8.2, 21413, 富爸爸，穷爸爸
1255500, 9.2, 4775, 动物农场
1041385, 9.2, 4502, 论美国的民主
1060774, 8.7, 8585, 君主论
1767741, 9.2, 4053, C++ Primer 中文版（第 4 版）
1060117, 8.5, 9768, 不朽
1069685, 8.6, 8369, 爱你就像爱生命
1485224, 8.6, 7649, 悟空传
1310228, 9.2, 3311, 乡土中国 生育制度
1436657, 8.9, 4184, 寄生獸 (完全版) (Vol. 1)
1883992, 9.0, 3641, 黄金时代
1453210, 7.4, 50332, 一座城池
1025643, 8.8, 4296, 全球通史
1321018, 8.2, 9783, 九州·羽传说
1827702, 8.5, 5682, 点石成金
1437858, 8.7, 4254, 天行健（全4册）
1325507, 8.9, 3063, 江村经济
1856285, 7.3, 41290, 人生若只如初见
1465007, 8.2, 7452, 生死疲劳
1056023, 8.5, 4215, 鼠疫
1083432, 8.7, 3183, 巴黎圣母院
1079887, 8.7, 3151, 此间的少年
4202422, 8.3, 5304, 云图
1400195, 8.7, 2990, 论自由
1010204, 8.5, 3716, 宽容
1867642, 7.7, 13048, 世界是平的
1872158, 8.2, 5570, 蝇王
1056616, 8.6, 3021, 槭树下的家（席慕蓉作品典藏版）
1315190, 8.8, 2180, 想象的共同体
1082446, 9.2, 1328, 南怀瑾选集（第一卷）
4312810, 8.6, 2676, 裸猿
1437973, 8.7, 2340, 亲密关系
1021056, 7.2, 27742, 谁动了我的奶酪？
1083403, 8.0, 5425, 世界上最伟大的推销员
20473089, 8.6, 2274, 有顶天家族
1315199, 9.1, 1266, 历史研究
1924903, 9.1, 1213, 老子
26658379, 8.4, 2786, 必然
1077129, 8.5, 2313, 一生的学习
1657455, 8.6, 1976, 论人类不平等的起源和基础
10607615, 8.8, 1551, 第三种黑猩猩
1292322, 8.2, 3103, 群星，我的归宿
1274469, 8.4, 2258, 自杀论
1927902, 7.6, 7199, 九型人格
1063736, 8.4, 2018, 人类的故事
4312825, 8.6, 1442, 人类动物园
1417552, 9.0, 915, 刀锋
1452766, 8.5, 1505, 宾克的魔法
10539126, 8.5, 1495, 社会动物
1455527, 9.4, 564, 風之谷1
1310233, 8.6, 1174, 世界五千年
1809150, 8.4, 1471, 公众舆论
1225978, 9.1, 670, 全球通史（第7版 下册）
7060184, 8.4, 1395, 落脚城市
1911687, 7.4, 5825, 厚黑学
26838557, 8.6, 1027, 智能时代
1834541, 8.8, 810, 柏杨白话版资治通鉴 第一辑
1986335, 8.7, 893, 与神对话
1074234, 8.5, 1117, 爱死你
3035593, 8.2, 1615, 崩溃
25886351, 7.8, 2786, 耶路撒冷三千年
4312829, 8.3, 1405, 亲密行为
1466389, 8.1, 1696, 我的我的天
1037148, 8.9, 643, 社会分工论
26425892, 8.5, 987, 我的凉山兄弟
1062309, 9.0, 573, 基因组
6913343, 8.3, 1216, 理性乐观派
1071384, 8.5, 934, 物种起源
1777630, 9.0, 546, The Selfish Gene
1323573, 8.7, 712, 美丽心灵
1042677, 7.7, 2474, 47楼207
1310188, 8.3, 1066, 魔鬼出没的世界
