2017-01-23 16:17:59
Tag: 企业史
The number of books: 279 

ID, rating, votes, title
3626924, 9.0, 22760, 明朝那些事儿（柒）：大结局
1970428, 8.8, 18988, 激荡三十年（上）
2380307, 8.9, 13419, 激荡三十年（下）
2256039, 7.8, 88458, 杜拉拉升职记
1077528, 8.9, 8065, 通往奴役之路
1322025, 8.8, 8107, 卓有成效的管理者
1072295, 9.3, 3385, 資治通鑑（全二十冊）
2317974, 8.4, 7761, 德川家康（第一部）
1072438, 8.3, 8716, 大败局
1958714, 8.7, 4388, 彼得·林奇的成功投资
24738302, 9.2, 1932, 浪潮之巅（第2版）（套装上下册）
2081876, 7.3, 38097, 货币战争
4010186, 8.6, 3909, 跌荡一百年（下）
2015357, 9.1, 2025, 王小波全集（第六卷）
2791877, 9.1, 1979, One Billion Customers
3313327, 8.6, 3562, 跌荡一百年（上）
3432304, 9.1, 1878, 大江东去（共三部）
1867642, 7.7, 13048, 世界是平的
3043491, 7.7, 12262, 浮沉
2257609, 8.0, 6384, 圈子圈套3
1853323, 7.9, 7202, 圈子圈套2
1894695, 9.0, 1558, 营销管理
1059769, 8.1, 4244, 从优秀到卓越
3889178, 8.7, 1801, Rework
1884249, 8.0, 3477, 当我们旅行
3211075, 8.1, 2840, 杜拉拉升職記
4012143, 8.7, 1272, 伟大的博弈
25942507, 7.5, 6270, 参与感
1159949, 7.8, 3431, 杰克·韦尔奇自传
1077497, 7.3, 7086, 水煮三国
4137182, 8.3, 1317, 荣辱二十年
4722180, 7.7, 2936, 谁动了我的奶酪?
6052860, 7.2, 6474, 海底捞你学不会
1059490, 7.7, 2708, 麦肯锡方法
1958741, 7.8, 2322, 追逐日光
2375990, 8.9, 498, 经济学思想史讲义
6556296, 8.3, 798, 亚洲教父
1082196, 8.8, 464, 林村的故事
4237182, 8.2, 787, 世界因你不同
3002863, 8.6, 483, 后望书
24335672, 7.4, 1775, 淘宝技术这十年
26929955, 8.1, 618, 腾讯传
1166000, 8.8, 266, 摩根财团
3699395, 7.9, 665, 观止-微软创建NT和未来的夺命狂奔
4187421, 7.6, 967, 给你一个亿
2364723, 8.4, 363, 洞人心弦
1031341, 7.6, 909, 联想风云
4178327, 8.2, 441, 谁说大象不能跳舞(珍藏版)
3793884, 7.6, 855, 轻公司
3348742, 7.2, 1335, 牛奶可乐经济学2
1879670, 7.3, 1069, 撬动地球的Google
1963022, 7.4, 892, 缔造苹果神话
3598279, 9.2, 143, 价格理论及其应用
2279756, 8.0, 421, 阅世心语
2265341, 7.2, 1080, 维基经济学
4214837, 8.1, 316, 苹果往事
2130054, 8.0, 324, 我是沃兹
2044286, 7.9, 346, 中国的新革命
2363744, 6.4, 2817, 在星巴克要买大杯咖啡！
3738701, 8.4, 177, 经营沉思录
4139280, 7.1, 740, 乔布斯的秘密日记
1409275, 7.0, 856, 蒙牛内幕
1921558, 7.4, 477, 华为的世界
2310651, 7.9, 249, 你拿什么吸引我
2980425, 7.3, 466, 马云如是说
20283567, 7.0, 673, 下一个倒下的会不会是华为
1963136, 7.6, 287, 做书店
1187667, 8.1, 170, 华尔街之子
1053848, 8.7, 103, 看得见的手
26927531, 9.7, 53, 从互联到新工业革命
1424267, 7.3, 368, 阿里巴巴
1960075, 8.0, 162, 为什么
