2017-01-23 16:17:59
Tag: 先知
The number of books: 77 

ID, rating, votes, title
1041482, 8.9, 54792, 万历十五年
5299764, 9.4, 14218, 1984
1012611, 8.3, 29642, 乌合之众
1077528, 8.9, 8065, 通往奴役之路
6009029, 9.3, 4170, 三體 Ⅱ
6265745, 8.7, 8132, 银河系搭车客指南
11584574, 8.5, 9842, 万物静默如谜
2212371, 9.0, 3032, 先知
3131626, 8.9, 3429, 荒原狼
3154624, 9.3, 1710, 一九八四 动物农场
2025235, 9.1, 2022, 顾准文集
1438602, 8.8, 2903, 白鹿原
24829798, 8.6, 3153, 解憂雜貨店
1451270, 9.2, 1525, 纪伯伦诗集
5288327, 8.3, 4630, 鸟，看见我了
1219090, 9.2, 1063, 沙与沫
1329973, 9.2, 577, 顾准文集
2999785, 8.6, 783, 塔木德
6874612, 8.1, 1407, 孤独的池塘
10732771, 8.3, 909, 我的心只悲伤七次
3816895, 8.1, 902, 雪崩
1326838, 9.3, 259, 纪伯伦散文诗经典
3734300, 8.9, 348, 不可思议的物理
3802289, 7.5, 1618, 灵心
5940473, 9.2, 228, 先知· 沙与沫
6712304, 7.3, 1563, 怪诞心理学2
1778062, 8.9, 229, 荣格文集
1883254, 9.3, 161, 纪伯伦散文诗精选
1401099, 9.2, 136, The Prophet
1119473, 9.2, 129, 纪伯伦全集
2261591, 8.3, 266, 怎样写作
6990221, 9.1, 132, 纪伯伦诗选（英汉对照）
1047120, 8.3, 253, 神学政治论
20537674, 9.2, 118, 先知三部曲（全新插图修订本）
2212291, 9.0, 119, 先知（中英对照）
1039339, 8.0, 172, 摩西与一神教--现代西方学术文库
1027495, 8.7, 87, 先知园
20382304, 8.9, 74, 离别时.我的爱不曾旧老
3663988, 9.2, 54, 先知沙与沫
25884868, 8.7, 63, 先知
2135493, 8.5, 59, 韦伯作品集XI：古犹太教
10607781, 8.5, 57, 耶稣也说禅
10785920, 7.5, 119, 虚构的犹太民族
4212270, 8.8, 41, 以色列与启示
1165000, 8.0, 70, 简明犹太民族史
5938923, 8.7, 43, 先知
3894821, 7.5, 101, 五千年犹太文明史
1495244, 8.7, 40, 犹太教神秘主义主流
1078685, 8.0, 55, 塔木德四讲
1255010, 8.8, 30, 觅人的上帝
1354149, 8.7, 31, 先知
3052961, 9.0, 25, 先知
26616500, 9.2, 21, 先知·沙与沫：纪伯伦诗文集
1547009, 7.6, 53, 论犹太教
1556553, 8.0, 34, 犹太教的本质
1791062, 7.5, 42, 犹太史
1048724, 7.7, 34, 论凝思的生活
6969145, 7.9, 29, 斯宾诺莎传
2247151, 7.7, 25, 论摩西的生平
1422280, 7.8, 23, 人性的尝试
1075451, 7.4, 28, 以色列2000年
3081828, 7.3, 26, 犹太战争
6861496, 7.5, 22, 论《创世记》
10564897, 7.4, 21, 上帝的代言人
6519542, 7.9, 15, 密释纳
1547010, 7.7, 16, 犹太教:一种文明
2185607, 7.3, 19, 希腊化世界中的犹太人
3082011, 7.3, 19, 耶路撒冷
1911071, 7.0, 22, 都市帝国与先知
1181180, 7.4, 15, 近现代犹太宗教运动
1858508, 8.1, 10, Meta Modern Era 超越现代
2247150, 7.4, 13, 论律法
1035028, 7.4, 12, 美国犹太人
1043432, 7.2, 13, 犹太教史
26268796, 7.2, 13, 阿拉伯帝国
1254366, 7.7, 10, 犹太复国主义史
10464950, 7.3, 11, 希腊化文明与犹太人
