2017-01-23 16:17:59
Tag: 公路小说
The number of books: 72 

ID, rating, votes, title
4913064, 9.3, 49370, 活着
1948901, 8.4, 57587, 盗墓笔记
1461903, 8.0, 114205, 何以笙箫默
5275059, 7.9, 116921, 1988：我想和这个世界谈谈
1529893, 8.0, 76602, 莲花
1029553, 8.7, 20401, 西游记（全二册）
1059419, 8.1, 58682, 海边的卡夫卡
4618225, 8.2, 20286, 不去会死！
24934182, 8.1, 22931, 一个人的朝圣
1063190, 8.0, 27055, 蔷薇岛屿
1022632, 8.7, 7492, 罪与罚
1029159, 7.5, 47370, 八月未央
6902639, 7.9, 20130, 青春
10549863, 8.6, 6185, 光明与磊落
1453210, 7.4, 50333, 一座城池
25747921, 7.2, 68342, 从你的全世界路过
4580972, 7.7, 20874, 流星之绊
3905366, 7.8, 15861, 迟到的间隔年
20425053, 7.7, 16897, 我所理解的生活
7064313, 7.8, 13465, 突然就走到了西藏
1009160, 7.3, 34610, 像少年啦飞驰
6516050, 8.2, 6630, 搭车去柏林
5423803, 8.2, 6530, 剑桥倚天屠龙史
1871471, 7.8, 11699, 一座城池
2158194, 7.7, 11246, 且听风吟
3831788, 8.0, 6363, 逃离
5264779, 7.4, 16202, 背包十年
6784976, 7.9, 5132, 圣女的救济
21247886, 9.1, 951, 嫌疑犯X的獻身
1420222, 8.9, 1089, The Catcher in the Rye
5254171, 8.7, 1228, GOTH斷掌事件
6710720, 7.0, 14359, 春宴
6847760, 7.2, 9423, 随遇而安
6048071, 8.6, 1134, 七声
6872434, 7.6, 4324, 最好的时光在路上
2156168, 8.4, 1284, 书读完了
1419214, 8.5, 597, The Price of Salt
6313482, 7.6, 1659, 一路向南
3716506, 8.1, 852, 路
2159470, 6.8, 3668, 垮掉的一代
4828875, 8.6, 287, Python Cookbook
7065560, 8.5, 309, 在路上
26378831, 7.9, 534, 幸福的另一种含义
25931540, 6.6, 3480, 告白与告别
10762249, 7.6, 671, 亲爱的，这不只是一场旅行
4906157, 7.5, 705, 三重门
4912650, 7.0, 896, 沿着瞭望塔
26756565, 8.6, 126, 一加一
20492902, 8.2, 175, 走出荒野
4054913, 7.2, 471, 光榮日
6560641, 7.1, 480, 欠踹的背影
25895918, 8.4, 122, 1661，决战热兰遮
1220046, 7.7, 222, 克里斯汀
25763508, 7.6, 198, 青春之后 认输之前
26938056, 8.8, 71, 带艾伯特回家
5293894, 8.2, 111, 我沒時間討厭你
1366226, 8.8, 67, On the Road
2277713, 8.4, 64, 單車環島練習曲
25957811, 8.2, 59, 远行，直到遇见自己
6428837, 7.1, 143, 当我们一起去跳海
25942487, 7.1, 115, 无法靠想象完成的旅行
2302718, 7.7, 65, 传染病屋
6759332, 8.0, 51, 独步边疆
6390897, 8.5, 34, Tschick
3327047, 5.6, 583, 选择之道
6771892, 7.0, 59, 遍地枭雄
4106420, 7.3, 36, 轉轉
26826938, 8.3, 17, 百分之五十七世界的记忆
5502396, 7.4, 27, 单车走西部
26912245, 7.9, 14, 与佛陀一起吃早餐
2156729, 7.8, 13, Nathan Road 彌敦道
3222548, 7.5, 10, 阿道尔夫
