2017-01-23 16:17:59
Tag: 创业
The number of books: 836 

ID, rating, votes, title
6021440, 8.8, 12967, 黑客与画家
5320866, 8.3, 5948, 重来
26306686, 8.4, 4427, 创业维艰
5921213, 8.5, 3279, MBA教不了的创富课
26582822, 8.3, 2975, 重新定义公司
5313010, 7.9, 4496, Facebook效应
5302113, 8.3, 2301, 三双鞋
3567853, 9.0, 900, Getting Real
25942507, 7.5, 6270, 参与感
6718487, 8.4, 1651, 商业模式新生代
4243770, 8.5, 1448, 创新者的窘境
24541955, 8.0, 2745, 史玉柱自述
1499783, 8.3, 1668, 将心注入
3816827, 8.2, 1874, 沸腾十五年
3319935, 8.2, 1758, 走出软件作坊
4225644, 8.5, 1178, 街头生意经
25928983, 7.6, 3658, 周鸿祎自述
26759508, 8.1, 1656, 硅谷钢铁侠
3869711, 8.2, 1301, 消费者行为学 （第8版·中国版）
26270679, 8.0, 1683, 零售的哲学：7-Eleven便利店创始人自述
3932520, 7.5, 3260, 免费
1951372, 9.0, 503, 创新与企业家精神
3267945, 7.9, 1731, 疯狂的程序员
4216944, 8.8, 594, 卖轮子
11516567, 8.7, 618, 四步创业法
26665230, 8.6, 658, 硅谷之谜
26541801, 7.9, 1417, 增长黑客
26220798, 7.7, 1872, 生命不息，折腾不止
26324497, 8.1, 1064, 支付战争
1490089, 8.3, 827, 富爸爸(辞职创业前的10堂课)/富爸爸系列丛书
7054652, 8.0, 1159, 创业36条军规
23780847, 8.8, 468, 民企江湖
20505765, 8.8, 441, 精益创业实战
4168140, 8.4, 662, 餐巾纸上的创业课
4729468, 7.6, 1802, 全中国最穷的小伙子发财日记
20471120, 7.5, 2089, 打造Facebook
26860776, 8.5, 541, 鞋狗
3922162, 8.2, 749, 认识商业
25800616, 7.5, 1891, 创业时
5269192, 7.9, 1068, 创业的国度
6078123, 7.7, 1308, 一路向前
25975454, 7.9, 932, 九败一胜
26314955, 8.7, 373, 创新公司
6723066, 7.1, 2828, 乔布斯传
4822145, 8.7, 358, 创新者的解答
4894684, 8.7, 345, 创业之初你不可不知的融资知识
26849305, 8.9, 287, 成为乔布斯
4789228, 8.7, 338, In The Plex
26929955, 8.1, 620, 腾讯传
6548683, 7.6, 1069, 商业的常识
5299847, 8.0, 643, 与全世界做生意
4851372, 8.3, 457, 怎样卖龙虾
26702493, 8.2, 505, 时间的朋友2015
24530336, 8.0, 625, 至关重要的关系
6920100, 7.6, 1024, 20个月赚130亿
3699395, 7.9, 665, 观止-微软创建NT和未来的夺命狂奔
25766700, 7.5, 1111, 一网打尽
19977078, 8.5, 345, 股权战争
4187421, 7.6, 967, 给你一个亿
1006203, 9.3, 171, 工商巨子
20365163, 7.7, 819, 创客
1031341, 7.6, 909, 联想风云
5906023, 7.6, 908, 最糟也最棒的书店
5325859, 7.4, 1194, 天下没有怀才不遇这回事
5439620, 7.9, 615, 艺术创业论
23780848, 8.7, 265, 民企江湖2
3793884, 7.6, 855, 轻公司
26682111, 7.6, 815, 从零开始做运营
20036150, 9.1, 175, Principles
10433837, 8.5, 287, 采购与供应链管理
