2017-01-23 16:17:59
Tag: 励志
The number of books: 977 

ID, rating, votes, title
11622283, 9.2, 13025, 滚蛋吧!肿瘤君
1775691, 8.3, 51932, 少有人走的路
1786387, 8.6, 22129, 影响力
3609132, 8.5, 23193, 把时间当作朋友
2008284, 8.7, 13140, 佐贺的超级阿嬷
1056295, 8.3, 18839, 人性的弱点全集
2194123, 8.4, 15428, 相约星期二
1033778, 8.2, 21414, 富爸爸，穷爸爸
2025999, 9.8, 2382, 灌篮高手（全31卷）
4010196, 8.1, 23308, 世界因你不同
24934182, 8.1, 22938, 一个人的朝圣
1048007, 8.2, 19069, 高效能人士的七个习惯（精华版）
4953695, 8.0, 24715, 拆掉思维里的墙
10786473, 8.2, 16655, 自控力
1013502, 7.6, 39484, 钢铁是怎样炼成的
3826899, 8.6, 5216, 布鲁克林有棵树
7059662, 8.1, 9961, 考拉小巫的英语学习日记
1005193, 8.6, 4670, 重新认识你自己
1286547, 8.6, 4661, 菜根谭
1040397, 8.1, 9714, 假如给我三天光明
1262986, 8.1, 9313, 我不是教你诈
3413836, 8.4, 5689, 当下的力量
24753751, 8.1, 8425, 向前一步
26210487, 9.1, 2024, 强风吹拂
1269900, 8.2, 6687, 活法
3558629, 8.4, 4944, 小强升职记
2083981, 8.7, 3157, 了凡四训
5408858, 8.9, 2454, 建筑家安藤忠雄
1115353, 8.3, 5407, 奇特的一生
26306686, 8.4, 4427, 创业维艰
10598170, 8.1, 6846, 我不要你死于一事无成
5252666, 8.8, 2521, 一个人漂泊的日子2
3266968, 7.3, 26353, 秘密
25735727, 8.2, 5238, 站在两个世界的边缘
3688489, 7.8, 9635, 异类
3664754, 8.1, 5711, 米娅，快跑
1021056, 7.2, 27743, 谁动了我的奶酪？
6041708, 8.4, 3440, 世上另一个我(修订版)
4741216, 7.3, 21631, 我的奋斗
1161817, 8.7, 2192, 洛克菲勒留给儿子的38封信
1211267, 8.5, 2745, 阿甘正传
1083403, 8.0, 5425, 世界上最伟大的推销员
5389557, 8.5, 2510, 姥姥语录
1482625, 8.8, 1719, 德兰修女传
1069805, 8.7, 1879, 给青年的十二封信
1313181, 8.5, 2351, 富兰克林自传
3123393, 7.6, 9171, 遇见心想事成的自己
1135734, 8.6, 1983, 追寻生命的意义
1071821, 8.1, 3834, 你不可不知的人性
2065564, 8.1, 3806, 一日重生
11507862, 8.2, 3162, 独自上场
1427679, 7.5, 9665, 做最好的自己
10739290, 7.9, 4872, 30岁前别结婚
6510070, 8.3, 2621, 人生不设限
20507212, 8.0, 4024, 习惯的力量
26761696, 7.8, 5306, 精进
3622904, 7.3, 11960, 不抱怨的世界
5302113, 8.3, 2301, 三双鞋
1731825, 7.5, 7925, 读大学，究竟读什么
2382326, 9.0, 983, the Kite Runner
10476698, 7.5, 7743, 因为痛，所以叫青春
1105890, 8.2, 2553, 生命的重建
1961913, 8.3, 2160, 太傻十日谈
25870384, 8.4, 1855, 你的生命有什么可能
1956419, 8.4, 1841, 一公升の眼泪
1162784, 8.1, 2699, 超越自己·创造自己·肯定自己
1135754, 8.1, 2684, 你的灯亮着吗?
1097835, 8.0, 2889, 名人传
1001895, 7.8, 3809, 靠自己去成功
25957554, 8.0, 2781, 在不安的世界安静的活
20389195, 7.4, 7248, 慢慢来，一切都来得及
5408860, 8.2, 2019, 风雨哈佛路
4150038, 8.1, 2309, 海鸥乔纳森
10512506, 7.8, 3568, 世界上的另一个你
10773358, 8.1, 2253, 意志力
2980795, 7.7, 4051, 内向者优势
3224456, 7.7, 3977, 少有人走的路Ⅱ
26664352, 8.9, 840, 褚时健传
1436707, 7.6, 4639, 如何掌控自己的时间和生活
1912086, 8.3, 1663, 我不是教你诈
3715982, 8.6, 1142, 当幸福来敲门
3622445, 8.7, 1007, 贫民窟的百万富翁
26831234, 8.8, 878, 不属于我们的世纪
1085660, 8.0, 2294, 尽管去做
