2017-01-23 16:17:59
Tag: 博尔赫斯
The number of books: 69 

ID, rating, votes, title
1440972, 9.1, 7393, 博尔赫斯小说集
1418058, 9.1, 3520, 小径分岔的花园
3003477, 9.2, 2235, 虚构集
1083089, 9.3, 1738, 博尔赫斯全集
1417385, 8.9, 2172, 博尔赫斯诗选
3003258, 9.2, 1473, 阿莱夫
1768642, 9.2, 1048, 博尔赫斯短篇小说集
3003466, 8.7, 1696, 恶棍列传
25952961, 8.8, 1249, 博尔赫斯谈话录
1444558, 8.7, 1301, 博尔赫斯谈艺录
3003470, 8.8, 954, 另一个，同一个
1005255, 9.3, 569, 博尔赫斯文集
3003460, 8.7, 1035, 布宜诺斯艾利斯激情
25796061, 9.3, 535, 杜撰集
3003182, 8.9, 718, 博尔赫斯谈诗论艺
25796049, 9.0, 633, 沙之书
3003475, 8.8, 439, 探讨别集
3003471, 8.4, 642, 私人藏书
3003189, 8.5, 519, 博尔赫斯谈话录
3003316, 8.7, 361, 博尔赫斯口述
26270304, 9.0, 198, 七夜
25956992, 8.9, 205, 博尔赫斯，口述
25796128, 8.8, 223, 布罗迪报告
1768556, 9.3, 144, 巴比伦彩票
1768635, 8.8, 175, 作家们的作家
1476956, 9.1, 103, 博尔赫斯散文
25956991, 8.5, 149, 但丁九篇
26270303, 8.6, 137, 永恒史
21617753, 9.4, 76, 博尔赫斯全集（小说卷）
24872823, 9.1, 92, 博尔赫斯全集：诗歌卷 (上册)
1432340, 8.2, 183, 博尔赫斯与萨瓦托对话
1205229, 8.8, 102, 巴比伦的抽签游戏
1082540, 7.5, 205, 博尔赫斯七席谈
3195260, 9.0, 50, 博尔赫斯文集-文论自述集
26270301, 8.0, 97, 讨论集
3327174, 8.4, 68, 想象的动物
26308272, 8.4, 65, 序言集以及序言之序言
5988602, 7.4, 142, 博尔赫斯
26270298, 8.1, 73, 埃瓦里斯托·卡列戈
2334777, 9.8, 25, Labyrinths
3258584, 9.0, 37, 想像的動物
26603447, 8.2, 48, 布宜诺斯艾利斯激情
1401122, 9.3, 24, This Craft of Verse
10742301, 8.9, 29, 博尔赫斯文集 诗歌随笔卷
1005002, 7.7, 59, 博尔赫斯：书镜中人
24872824, 8.5, 33, 博尔赫斯全集：诗歌卷(下册)
1010187, 7.8, 49, 博尔赫斯传
26765925, 7.7, 48, 博尔赫斯全集II
26603441, 8.9, 22, 诗人
1082013, 7.9, 29, 博尔赫斯陷阱里的先锋
26603440, 8.3, 20, 老虎的金黄
3005791, 6.3, 95, 解读博尔赫斯
3058204, 8.0, 22, 生活在迷宫
26671810, 8.1, 19, 深沉的玫瑰
26671805, 8.5, 15, 另一个，同一个
26824361, 7.8, 21, 面前的月亮·圣马丁札记
5448064, 8.4, 13, 天朝仁学广览
1661553, 6.8, 30, 博尔赫斯
26824359, 7.7, 14, 地图册
1269171, 7.2, 18, 博尔赫斯是怎样读书写作的
26824357, 7.9, 12, 密谋
1027165, 7.8, 12, 波佩的面纱
26391029, 7.8, 12, 文稿拾零
2993975, 7.9, 11, SELECTED POEMS Jorge luis borges
26841615, 8.1, 10, 博尔赫斯全集
26824358, 7.6, 12, 铁币
20494482, 6.3, 28, 博尔赫斯画传
26671804, 7.7, 11, 为六弦琴而作·影子的颂歌
26824360, 7.7, 10, 夜晚的故事
