2017-01-23 16:17:59
Tag: 古代
The number of books: 957 

ID, rating, votes, title
5916880, 8.6, 36688, 华胥引（全二册）
3426869, 8.3, 54816, 三生三世 十里桃花
1812439, 8.1, 33561, 步步惊心
2326571, 8.6, 14149, 琅琊榜
2283084, 8.2, 17486, 云中歌1
3065343, 8.4, 12110, 云中歌3
2048364, 8.1, 17482, 独步天下（上下卷）
2004407, 8.1, 16973, 后宫·甄嬛传Ⅰ
3016221, 8.3, 11635, 云中歌2
1312997, 9.0, 4092, 香初上舞·终上
1261471, 8.7, 5912, 香初上舞
1925232, 7.9, 20548, 大漠谣
1276930, 9.0, 3756, 香初上舞·再上
3561591, 8.0, 16058, 凤囚凰（上中）
2078219, 8.0, 14021, 且试天下1
6120039, 8.4, 7279, 曾许诺·殇
10740021, 8.0, 13238, 三生三世 枕上书
3123939, 8.0, 13142, 不负如来不负卿1
1959892, 8.2, 9212, 大漠谣·终结篇
5980360, 8.1, 10397, 曾许诺
2080619, 8.2, 8820, 且试天下2
1489555, 7.8, 17103, 寂寞空庭春欲晚
2062202, 7.9, 14135, 绾青丝Ⅲ
2009825, 7.6, 22196, 绾青丝Ⅰ
2129362, 8.0, 10026, 帝王业（上下）
3218402, 8.2, 7031, 不负如来不负卿Ⅱ·大结局
11619743, 8.8, 3000, 长歌行 03
2028070, 7.8, 13342, 绾青丝Ⅱ
2222551, 8.5, 4283, 纨绔
5336428, 9.1, 1961, 吉祥纹莲花楼终篇之青龙·白虎
1468493, 7.6, 16491, 梦回大清
2971446, 8.4, 4391, 桃花债 上
2213684, 8.3, 4939, 又一春
4108541, 8.6, 3239, 回国驯火记
3292972, 8.5, 3678, 艳鬼
2382094, 7.8, 10283, 绾青丝Ⅳ（上）
1009270, 8.8, 2368, 中国建筑史
2382087, 7.8, 10169, 绾青丝Ⅳ（下）
2300626, 7.5, 16633, 蔓蔓青萝（全2册）
2699701, 7.6, 13695, 歌尽桃花
26886310, 9.1, 1559, 有匪1
20469374, 8.8, 2136, 长歌行 04
3111691, 8.5, 3074, 桃花债(下)
4871447, 7.5, 15273, 东宫
2281912, 7.7, 10481, 醉玲珑（上卷）
4252125, 8.7, 2331, 吉祥纹莲花楼·玄武
3903387, 7.7, 10290, 香蜜沉沉烬如霜
6139592, 8.1, 5214, 11处特工皇妃
3584141, 8.1, 5173, 流水迢迢（全两册）
