2017-01-23 16:17:59
Tag: 古代诗词
The number of books: 61 

ID, rating, votes, title
1073708, 9.0, 5612, 牡丹亭
1108762, 9.3, 2279, 诗经
1006967, 9.3, 2243, 宋词三百首
1420734, 9.2, 1930, 飲水詞箋校
1393724, 9.0, 2345, 楚辞
1076598, 8.7, 2104, 宋诗选注
1079309, 9.2, 1123, 人间词话
1137748, 8.7, 963, 元曲三百首
1045314, 8.7, 850, 诗词格律
1393733, 9.2, 264, 李煜集
3894895, 6.7, 4898, 美人何处
1140194, 9.3, 184, 唐诗三百首
1905621, 8.8, 241, 人间词话
3403514, 6.8, 2950, 观音
1095648, 8.3, 349, 白香词谱
1976204, 8.9, 188, 诗词格律概要 诗词格律十讲
1289022, 8.9, 183, 辛弃疾词选
6528558, 8.8, 192, 纳兰词全编笺注
1147196, 9.3, 114, 柳永集
1020398, 8.2, 283, 唐诗地图
1390472, 9.3, 111, 李白集
1891984, 9.2, 117, 李白诗选
1393765, 9.1, 117, 李商隐集
1686414, 8.9, 128, 王维孟浩然诗选
1137747, 8.4, 191, 千家诗
4845157, 9.3, 92, 唐宋词格律
24743202, 8.8, 120, 红蕖留梦
1227898, 8.1, 201, 纳兰词注
1435189, 8.6, 126, 三曹诗选
3018753, 8.9, 95, 声律启蒙
3124602, 7.2, 463, 昨夜闲潭梦落花
2129324, 8.1, 130, 随园诗话
1223818, 8.6, 84, 谢灵运鲍照诗选
25809959, 9.7, 41, 杜甫全集校注
4163920, 8.3, 97, 忆昔花间初识面
1223814, 8.4, 79, 周邦彦词选
5997295, 8.6, 66, 随园诗话
1227886, 8.7, 54, 东坡词注
1204436, 9.2, 39, 李煜词选注/诗仙词圣精品文库
1021248, 8.4, 53, 赋-国学经典
1980149, 8.8, 36, 冯延巳词新释辑评
1205614, 8.5, 42, 楚辞
4837815, 7.8, 61, 读古文入门
1545941, 9.0, 26, 乐府诗集
3915328, 7.2, 80, 流年梦惆怅
4835813, 7.9, 38, 读古诗入门
1030320, 6.8, 62, 宋词地图
25788147, 7.0, 51, 美人如诗，草木如织
4845156, 7.3, 34, 读词入门
2292136, 7.2, 31, 梦为蝴蝶也寻花
1622712, 7.8, 19, 千家词
20373424, 5.9, 82, 美人何处
1082783, 7.9, 13, 红楼梦
6519699, 6.6, 27, 不似当时，小楼冲雨，幽恨两人知
7067056, 7.4, 15, 中国最美古诗词
1080329, 8.0, 11, 古诗源（上下）
2026251, 7.4, 14, 绝妙好词笺-附续钞-古代词选经典读本
1117101, 7.7, 11, 李商隐全集
25788109, 7.4, 12, 字里行间，草木皆兵
25788101, 6.5, 20, 莺飞草长，杂树生花
1140197, 7.5, 10, 龚自珍选集
