2017-01-23 16:17:59
Tag: 名著
The number of books: 949 

ID, rating, votes, title
1007305, 9.5, 112792, 红楼梦
1008145, 8.9, 179736, 围城
6082808, 9.2, 94370, 百年孤独
1068920, 9.3, 73313, 飘（上下）
1019568, 9.2, 52619, 三国演义（全二册）
1040211, 9.2, 46902, 福尔摩斯探案全集（上中下）
1083428, 8.8, 80334, 傲慢与偏见
1858513, 8.9, 61688, 月亮和六便士
10594787, 8.9, 50270, 霍乱时期的爱情
1141406, 8.5, 101726, 简爱
1085860, 8.9, 48452, 基督山伯爵
1046209, 9.1, 34455, 安徒生童话故事集
2035179, 9.2, 28182, 动物农场
1057244, 8.6, 63971, 边城
1449351, 8.8, 34598, 呐喊
1043008, 8.9, 27885, 格林童话全集
2154960, 8.7, 38686, 一个陌生女人的来信
2035162, 9.0, 22452, 刀锋
1205054, 8.9, 25765, 悲惨世界（上中下）
1119522, 8.4, 54419, 呼啸山庄
1058661, 8.8, 24322, 飞鸟集
1086249, 8.6, 30341, 荆棘鸟
1064275, 8.3, 50323, 老人与海
1051193, 8.6, 28487, 麦琪的礼物
1088065, 8.6, 28201, 阿Q正传
1092335, 8.9, 16044, 教父
1029553, 8.7, 20401, 西游记（全二册）
1024197, 8.3, 39262, 巴黎圣母院
1449352, 8.6, 19653, 朝花夕拾
1398395, 8.6, 19333, 狂人日记
1008988, 8.3, 31976, 了不起的盖茨比
1765512, 9.1, 9072, 海的女儿
1013380, 8.1, 45153, 茶花女
1159939, 8.5, 21886, 一个陌生女子的来信
1008357, 8.5, 21635, 水浒传（全二册）
1391191, 8.5, 21461, 京华烟云
1013416, 8.5, 20862, 雷雨
1856494, 9.3, 6360, 卡拉马佐夫兄弟
1205370, 8.1, 40981, 羊脂球
1035848, 8.6, 15721, 一千零一夜
1449348, 8.8, 11013, 彷徨
1016003, 8.0, 40957, 鲁滨逊漂流记
1043815, 8.2, 28022, 骆驼祥子
1082518, 7.9, 48055, 麦田里的守望者
1865089, 8.4, 19140, 瓦尔登湖
1085470, 8.4, 18538, 海底两万里
3136271, 8.6, 12517, 罗生门
1949420, 9.3, 4707, 孙子兵法
