2017-01-23 16:17:59
Tag: 哈佛
The number of books: 103 

ID, rating, votes, title
5408882, 9.1, 3995, 公正
5408860, 8.2, 2019, 风雨哈佛路
3449304, 8.5, 529, 哈佛大学建筑系的八堂课
3793323, 7.8, 618, 十年
11601991, 7.8, 561, 哈佛最受欢迎的营销课
24318966, 8.4, 290, 我在哈佛的最后一堂课
1042934, 7.9, 476, 哈佛琐记
1316144, 7.5, 643, 我的哈佛岁月
4886251, 7.3, 756, 哈佛经济学笔记
2184750, 8.8, 143, 哈佛家训
1321660, 7.9, 294, 哈佛乱翻书
1144530, 8.5, 151, 哈佛商学院启示录
4126129, 7.6, 253, 哈佛制造
1449477, 8.1, 147, 做书虫也做玩家
5502402, 8.0, 142, 哈佛积极心理学笔记
1625260, 8.9, 64, …风雨哈佛路（DVD）
2159137, 6.9, 423, 我的哈佛日记
5375930, 7.6, 166, “输”在起跑线上的哈佛男孩
1908578, 9.4, 43, 哈佛经典（全套50册）
25827514, 7.6, 155, 特权
1438128, 7.2, 202, 爱在哈佛
1107714, 7.5, 130, 毁约
5373562, 7.7, 101, 读大学读什么怎么读
26891290, 8.1, 72, 哈佛极简中国史
1041611, 8.1, 68, 大哈佛小豆豆
6524916, 8.8, 38, 通往哈佛之路
11542944, 7.5, 97, 哈佛新鲜人
1028357, 7.2, 129, 哈佛书架
24875705, 7.0, 158, 假如我的青春在哈佛
1041499, 7.9, 67, 哈佛主义
3445160, 8.3, 49, 哈佛规则
1015432, 8.4, 44, 美国文化批评集
1007869, 8.0, 57, 哈佛经理学院亲历记
2998097, 7.5, 82, 视界无疆
2125836, 7.5, 78, 与真理为友
1279614, 7.8, 58, 创业精神
10038670, 9.0, 25, Stylish Academic Writing
1051517, 8.0, 42, 体验哈佛：哈佛MBA中国十人组集体汇报
2224294, 7.2, 73, 失去灵魂的卓越
4118556, 8.0, 39, 哈佛给学生做的1500个思维游戏
5947467, 6.6, 134, 哈佛日记
3248657, 7.8, 44, 哈佛成功申请文50篇
1222280, 7.6, 46, 穿过金色光阴的哈佛人
1425383, 8.8, 22, 成功跨入哈佛商学院
2215687, 7.5, 49, 哈佛给学生做的300个思维游戏
1482282, 8.4, 27, 哈佛法律评论·宪法学精粹
1171882, 7.4, 50, 哈佛修炼
1318214, 7.4, 50, 韩国小姐金娜娜
1008164, 7.6, 42, 轻轻松松上哈佛
4733553, 7.1, 62, 哈佛散记
3918479, 7.7, 37, 项目管理
1280211, 7.4, 42, 流浪到哈佛
3354075, 7.3, 43, 哈佛大学的幸福课
25896008, 8.3, 21, 生态都市主义
3681087, 7.4, 36, 走向哈佛
5354073, 7.6, 31, 哈佛商学院教我的成功之道
1678841, 7.3, 38, 哈佛笔记
1083992, 7.9, 25, 哈佛商学院1949届
10345193, 7.7, 28, 故园风雪后
1707005, 6.9, 49, 哈佛札记
1451507, 7.8, 24, 哈佛第一年
3612429, 7.0, 42, 哈佛家训
1025437, 7.3, 33, 细看哈佛
2995894, 7.6, 24, 哈佛商学院MBA案例全书
1155956, 7.9, 20, 与真理为友
4871429, 7.8, 20, 哈佛读本
4865011, 7.2, 29, 哈佛商学院的秘密
6829362, 7.4, 25, 听哈佛教授讲经典
26611250, 7.6, 19, 哈佛问学录
25762100, 5.9, 77, 哈佛凌晨两点半
1000699, 7.6, 18, 走近哈佛课堂
1109281, 7.2, 23, 哈佛女人
1679083, 6.8, 29, 哈佛精神
25757010, 7.5, 18, 哈佛大学的博弈论课
3237715, 6.5, 37, 阅读哈佛
3240447, 7.4, 18, What They Teach You at Harvard Business School
3427456, 7.2, 20, 直通全球顶尖法学院
10678896, 6.9, 24, 见证奇迹!林书豪!
1955022, 6.9, 21, 哈佛凭什么
4897541, 7.3, 15, 哈佛辩护学全书（上下册）
20499211, 7.3, 15, 东张西望
26612260, 7.4, 14, 哈佛读书札记
1732526, 8.0, 10, 哈佛企业家创业指南
2128128, 7.0, 15, 你也能进哈佛
4904758, 6.8, 16, 左手哈佛校训右手西点军规
11578503, 6.7, 17, 真实哈佛MBA
1733395, 6.3, 22, 哈佛情商
2274230, 7.6, 10, 哈佛走向现代
20435328, 7.6, 10, 林书豪
1287503, 7.0, 13, 哈佛学不到
6834210, 7.1, 12, 哈佛家书
5386714, 7.4, 10, 哈佛精英课
1197684, 7.0, 12, 企业成长战略
10742012, 6.6, 15, 哈佛最神奇的24堂心理课
20261694, 6.7, 14, 哈佛肯尼迪政府学院的精英课
1429411, 7.1, 11, 哈佛人才
1916037, 7.1, 11, 哈佛經驗：如何讀大學－菁英學生暢談怎樣善用大學資源
1934539, 6.7, 13, 亲历哈佛
2184927, 5.7, 28, 在哈佛学管理
26751885, 6.8, 11, 游学波士顿
1079035, 5.3, 37, 哈佛，我的似水流年
6878496, 6.7, 11, 哈佛老妈的教育笔记
25966261, 6.2, 10, 哈佛凌晨五点半
