2017-01-23 16:17:59
Tag: 哲学
The number of books: 970 

ID, rating, votes, title
1084336, 9.0, 211604, 小王子
1017143, 8.5, 130032, 不能承受的生命之轻
25985021, 9.3, 17958, 人类简史
1045818, 8.5, 59186, 苏菲的世界
4242172, 8.3, 84650, 天才在左 疯子在右
1059258, 9.4, 9744, 道德经
1467022, 9.2, 12479, 上帝掷骰子吗
3026879, 8.8, 13331, 爱的艺术
1963912, 8.8, 12260, 正见
5375620, 8.8, 11248, 失控
3261600, 9.3, 5589, 人生的智慧
1004821, 8.7, 12812, 理想国
1008189, 8.9, 8655, 西方哲学史（上卷）
1021273, 8.8, 9722, 中国哲学简史
1077528, 8.9, 8066, 通往奴役之路
2046236, 9.3, 4710, 庄子
1949420, 9.3, 4707, 孙子兵法
1964774, 9.0, 6922, 论语
1291204, 9.4, 3884, 哥德尔、艾舍尔、巴赫
1277981, 8.8, 8066, 社会契约论
1060774, 8.7, 8587, 君主论
2076623, 9.5, 2989, 金刚经
1056461, 8.3, 14846, 旅行的艺术
1431870, 9.1, 4471, 源泉
1409704, 8.9, 5773, 金刚经说什么
1034067, 8.8, 6099, 美的历程
5408882, 9.1, 3995, 公正
1003986, 8.8, 5848, 病隙碎笔
2359003, 8.2, 14046, 沉思录
1012032, 8.6, 7384, 查拉图斯特拉如是说
1004699, 8.9, 4452, 作为意志和表象的世界
6152040, 9.1, 3115, 维特根斯坦传
3697494, 9.1, 3037, 洞穴奇案
6425061, 8.6, 5857, 哲学家们都干了些什么？
1012307, 9.1, 3015, 规训与惩罚
1011215, 8.8, 4305, 论语别裁(上下)
1045716, 8.7, 4878, 人生中不可不想的事
1089398, 8.9, 3531, 西方哲学史（下卷）
1004322, 8.6, 5228, 第二性
1287865, 9.4, 1919, 老子
2212371, 9.0, 3032, 先知
1071227, 9.0, 2907, 大问题
1049522, 8.8, 3636, 西西弗的神话
1063852, 8.8, 3586, 悲剧的诞生
1036541, 8.7, 4087, 疯癫与文明
1005193, 8.6, 4670, 重新认识你自己
1286547, 8.6, 4661, 菜根谭
1017238, 8.8, 3508, 美学散步
1015864, 9.0, 2667, 惶然录
2216583, 8.8, 3398, 沉重的肉身
1038292, 8.6, 4417, 精神分析引论
3899039, 8.1, 9324, 刺猬的优雅
1311280, 9.0, 2617, 灵魂的事
3765331, 8.6, 4376, 恋人絮语
1139980, 9.3, 1797, 四書章句集注
1201821, 8.0, 10515, 梦的解析
1040466, 8.9, 2795, 谈美
1216737, 8.9, 2785, 纯粹理性批判
4843456, 9.4, 1565, 金刚经·心经
2381748, 9.1, 2159, 金刚经 心经 坛经
1534951, 8.9, 2728, 逃避自由
1433411, 8.8, 3036, 新教伦理与资本主义精神
1065977, 8.6, 3837, 共产党宣言
1079252, 8.2, 6839, 爱情笔记
2025235, 9.1, 2022, 顾准文集
1269900, 8.2, 6687, 活法
3834938, 8.3, 5646, 与神对话（第一卷）
1000888, 9.0, 2216, 論語譯註
2033081, 8.2, 6420, 身份的焦虑
2083981, 8.7, 3157, 了凡四训
1783111, 8.7, 3120, 存在与时间
1033248, 8.9, 2426, 幸福之路
1139360, 9.1, 1890, 毛泽东选集 第一卷
1400195, 8.7, 2990, 论自由
2296687, 8.5, 3872, 纸牌的秘密
1034066, 9.1, 1804, 加缪文集
2302217, 8.8, 2537, 阿特拉斯耸耸肩（上下）
1292412, 9.1, 1763, 叔本华思想随笔
1010204, 8.5, 3716, 宽容
1045201, 8.2, 5718, 哲学的慰藉
1460340, 8.9, 2207, 人性的，太人性的
6811366, 8.3, 4857, 禅与摩托车维修艺术
2149717, 8.9, 2177, 庄子諵譁（上）
1033163, 9.2, 1541, 老子注译及评介
1079104, 8.6, 3154, 尼采：在世纪的转折点上
1315213, 9.0, 1914, 中国文化要义
1829799, 8.7, 2740, 爱的觉醒
6526752, 8.8, 2412, 生命之书
1721111, 8.6, 3092, 周国平人生哲思录
5940553, 8.8, 2382, 当尼采哭泣
1051919, 9.3, 1329, 庄子今注今译（全三册）
3740431, 8.4, 3964, 灵魂只能独行
1066108, 8.6, 3014, 易经杂说
1849409, 9.1, 1566, 易经
1489670, 8.7, 2504, 老子他说
1489494, 8.5, 3121, 人与永恒
1005354, 9.1, 1494, 逻辑哲学论
4745950, 9.2, 1327, 第二性Ⅱ
