2017-01-23 16:17:59
Tag: 商务印书馆
The number of books: 686 

ID, rating, votes, title
1046492, 9.3, 9016, 國史大綱（上下）
1013208, 8.5, 26310, 如何阅读一本书
1036684, 9.3, 6354, 现代汉语词典（修订本）
1001896, 9.2, 6460, 新华字典（1998年修订本）
1004821, 8.7, 12812, 理想国
1008189, 8.9, 8655, 西方哲学史（上卷）
1277981, 8.8, 8066, 社会契约论
1041385, 9.2, 4502, 论美国的民主
1060774, 8.7, 8587, 君主论
1010464, 8.9, 5424, 古汉语常用字字典
1004699, 8.9, 4452, 作为意志和表象的世界
1089398, 8.9, 3531, 西方哲学史（下卷）
1038292, 8.6, 4417, 精神分析引论
1400195, 8.7, 2990, 论自由
1048930, 9.0, 1886, 联邦党人文集
1454687, 9.0, 1787, 政府论（下篇）
1005354, 9.1, 1494, 逻辑哲学论
1071023, 8.6, 2398, 谈谈方法
1116367, 8.7, 2024, 道德情操论
1051943, 9.1, 1236, 尼各马可伦理学
1060531, 8.5, 2398, 忏悔录
1468426, 8.7, 1854, 利维坦
1439441, 8.9, 1457, 伯罗奔尼撒战争史
1022318, 8.7, 1782, 爱弥儿
1657455, 8.6, 1976, 论人类不平等的起源和基础
1116338, 9.1, 1062, 叔本华论说文集
1070410, 8.9, 1306, 柏拉图对话集
1034259, 8.5, 2060, 小逻辑
1036446, 8.9, 1244, 诗学
1274469, 8.4, 2258, 自杀论
1053009, 9.2, 886, 游叙弗伦 苏格拉底的申辩 克力同
1201835, 9.4, 725, 文字学概要
1016930, 9.0, 1040, 论法的精神（上）
1433192, 9.0, 1010, 普通语言学教程
1057653, 8.7, 1341, 草原帝国
1253292, 9.1, 796, 老子今注今译
1005692, 8.4, 1731, 西方哲学史
1030526, 8.9, 947, 中国文化史导论
1076280, 8.7, 1154, 第一哲学沉思集
1254278, 8.7, 1131, 思想录
1034653, 8.8, 898, 國學概論
1211052, 8.5, 1245, 罗马帝国衰亡史（上册）
1704159, 8.6, 1053, 街角社会
1427023, 9.0, 664, 希罗多德历史（上下）
1077833, 8.7, 868, 形而上学
1137246, 8.6, 961, 就业、利息和货币通论
1018360, 8.6, 936, 性心理学
2111791, 8.7, 827, 哲学问题
1274953, 8.7, 825, 伦理学
1043613, 8.4, 1118, 工作与时日 神谱
1877291, 8.5, 980, 论出版自由
1178535, 8.6, 869, 人性论（上下）
1075249, 8.9, 625, 西方哲学原著选读(上卷)
1071384, 8.5, 934, 物种起源
1160320, 8.8, 659, 政治学
1073143, 8.8, 655, 美学(第一卷)
1013058, 7.8, 2214, 武士道
1044499, 9.3, 399, 菲利普二世时代的地中海和地中海世界（上下卷）
1253222, 8.6, 723, 居里夫人传
4154558, 8.7, 644, 人间草木
25876750, 9.0, 463, 看不见的森林
1245533, 8.6, 680, 论优美感和崇高感
1197950, 9.1, 407, 希腊罗马名人传
1511912, 8.4, 815, 高卢战记
1012380, 8.8, 517, 精神现象学（上卷）
1465419, 8.5, 704, 资本主义与自由
1455362, 9.3, 324, 历史理性批判文集
1228193, 8.4, 776, 回忆苏格拉底
1894184, 8.9, 448, 罗素自选文集
1002958, 8.7, 529, 战争论（全三卷）
1418669, 8.6, 562, 社会学方法的准则
1315680, 8.7, 494, 司法过程的性质
1652617, 9.3, 284, 任何一种能够作为科学出现的未来形而上学导论
1074329, 8.9, 403, 尼采（上下）
1253835, 9.2, 298, 哲学史教程（上卷）
1020537, 8.8, 413, 历史的观念
4833802, 8.9, 365, 薄伽梵歌
1276771, 8.1, 846, 政府论（上篇）
1271862, 9.2, 279, 偶然、反讽与团结
1074364, 8.9, 362, 哲学史讲演录(第一卷)
1033561, 8.8, 394, 文明论概略
1039771, 8.9, 358, 法哲学原理
1927487, 7.7, 1361, 乌托邦
25774978, 8.7, 425, 眼泪与圣徒
1031293, 8.9, 351, 荷尔德林文集
1439792, 8.5, 509, 形而上学导论
1014006, 8.8, 372, 中国近三百年学术史（全两册）
1071514, 8.8, 372, 西方哲学原著选读(下卷)
1171881, 8.0, 867, 有闲阶级论
1035562, 8.6, 429, 在通向语言的途中
1053109, 9.0, 295, 封建社会（上、下卷）
1052276, 8.9, 319, 路标
1251842, 9.3, 227, 巴曼尼得斯篇
1255584, 8.4, 512, 时间与自由意志
1038949, 8.5, 457, 资本主义、社会主义与民主
1853552, 8.5, 452, 中世纪的城市
1048943, 9.2, 238, 古代汉语词典
2185235, 8.5, 446, 历史是什么?
1050527, 8.8, 333, 逻辑学（上卷）
1440442, 8.7, 362, 完美的真空
1211051, 8.5, 435, 罗马帝国衰亡史（下册）
1197914, 8.7, 356, 长征记
1074822, 9.0, 263, 法学方法论
1856985, 8.6, 362, 代议制政府
4835563, 8.8, 299, 奥义书
1138452, 8.5, 388, 意大利文艺复兴时期的文化
1005360, 8.7, 319, 面向思的事情
1316628, 8.5, 381, 法国革命史
1074178, 9.0, 233, 经济分析史（第一卷）
1511983, 8.5, 362, 劝学篇
1116359, 8.5, 355, 忏悔录（第一部）
1197956, 8.8, 262, 权力论
1051349, 8.4, 381, 法国革命论
1116343, 8.3, 416, 蒙古帝国史
1315775, 8.4, 373, 知性改进论
1340525, 8.9, 233, 贫困与饥荒
2186646, 8.8, 250, 蒙塔尤
1028670, 8.7, 269, 塔西佗《编年史》
1077260, 8.6, 287, 制度经济学
2283665, 9.2, 172, 来自德国的大师
4264066, 9.0, 200, 权威与个人
1116334, 7.9, 579, 自由主义
1022369, 9.1, 181, 美学(第二卷)
1031956, 8.7, 250, 美国自由的故事
1092904, 8.3, 353, 明日的田园城市
4747128, 8.8, 220, 乌托邦的年代
1031345, 9.2, 157, 哲学史讲演录（第二卷）
2327776, 8.2, 377, 历史的地理枢纽
1434346, 8.1, 404, 儒教与道教
1116356, 8.5, 270, 阿古利可拉传 日耳曼尼亚志
2008074, 8.6, 242, 希腊悲剧时代的哲学
1135838, 8.0, 440, 罗马盛衰原因论
1067969, 9.3, 134, 哲学史教程（下卷）
1037401, 8.3, 309, 佛罗伦萨史
1039585, 8.0, 419, 罗马十二帝王传
