2017-01-23 16:17:59
Tag: 四大名著
The number of books: 120 

ID, rating, votes, title
1007305, 9.5, 112796, 红楼梦
1019568, 9.2, 52619, 三国演义（全二册）
1059258, 9.4, 9745, 道德经
1029553, 8.7, 20401, 西游记（全二册）
1008357, 8.5, 21635, 水浒传（全二册）
1016003, 8.0, 40957, 鲁滨逊漂流记
1836555, 9.7, 2360, 史记
1774227, 9.6, 1621, 脂砚斋重评石头记庚辰校本
1468493, 7.6, 16491, 梦回大清
1014903, 9.5, 1138, 脂砚斋重评石头记甲戌校本
1002375, 9.5, 1105, 红楼梦
1003079, 9.5, 1084, 红楼梦
2042907, 7.8, 8444, 品三国（下）
1833513, 9.6, 741, 红楼梦（上下）
4264564, 9.6, 697, 石头记
1608873, 9.2, 969, 山海經
1854151, 9.2, 782, 金圣叹批评本水浒传
1507423, 8.3, 2172, 儒林外史
1079475, 8.3, 2056, 那多三国事件簿之桃园三结义
2002025, 8.8, 878, 东周列国志
3810699, 9.2, 421, 水浒传
1881837, 8.1, 1263, 三言二拍
1418173, 7.2, 4717, 刘心武揭秘红楼梦（第一部）
1160781, 9.3, 338, 三国演义
1925241, 9.3, 327, 红楼梦
1080314, 8.1, 908, 红楼小讲
1891221, 9.1, 297, 金瓶梅词话（全六册）
1440358, 7.1, 2881, 刘心武揭秘红楼梦（第二部）
1844792, 9.2, 228, 毛宗岗批评本三国演义（上下）
7002748, 7.9, 776, 黑水浒
1077965, 8.5, 371, 水浒传--英雄好汉的本色
1647089, 9.3, 170, 金圣叹批评水浒传（全二册）
3803512, 7.9, 638, 博弈三国
3810697, 9.3, 161, 红楼梦
1801857, 9.4, 147, 红楼梦
1427260, 9.4, 146, 三国演义
1925246, 9.0, 187, 西游记
1397886, 8.3, 262, 西游记与中国古代政治
3810700, 9.2, 104, 西游记
1181277, 9.6, 80, 四大名著（全四册）
1203399, 9.4, 90, 红楼梦（三家评本）（全二册）
1093094, 9.2, 100, 西游记
1076197, 8.8, 130, 西游记  上下
4005454, 7.4, 514, 妖眼看西游
1410350, 7.8, 318, 水浒传与中国社会
2052468, 8.0, 226, 红楼小讲
1202197, 9.6, 66, 红楼梦
2033597, 8.6, 131, 水浒
1647088, 9.3, 76, 李卓吾批评西游记（全二册）
1844795, 8.7, 90, 李卓吾批评本西游记（上下）
1810965, 8.9, 74, 水浒传
1053728, 7.1, 366, 周汝昌梦解红楼
1076701, 9.5, 47, 三国演义.图文本 全三册
1425822, 7.4, 215, 红楼启示录
3535360, 8.8, 58, 西游记
1410521, 7.1, 257, 王蒙活说红楼梦
2128484, 9.7, 34, 红楼梦
1114653, 8.6, 62, 水浒传
2076581, 8.4, 66, 水浒传（上下）
1673964, 8.6, 56, 水浒传
1962908, 9.0, 42, 三国演义
1061174, 9.1, 39, 三国演义
1881807, 8.4, 58, 西游记漫话
1460446, 9.2, 35, 重校《八家评批红楼梦》
1866728, 7.6, 103, 三国谈心录
1451589, 9.0, 35, 三國演義（上下）
3126282, 7.1, 135, 周汝昌评说四大名著
1738709, 9.2, 29, 红楼梦（上、中、下）
1964128, 8.8, 35, 三国演义
1055275, 8.4, 44, 水浒传
4065177, 9.0, 30, 西游记
3226562, 7.8, 63, 解码《西游记》
1004014, 9.1, 27, 水浒传
3022013, 8.9, 29, 西游记（全二册）
1659532, 9.1, 25, 李卓吾评本:水浒传(上下)
3797413, 9.1, 25, 三国演义
1446193, 7.3, 82, 乱弹水浒
2978657, 9.0, 25, 红楼梦
3132504, 8.9, 26, 三国演义（上下册）
1092876, 7.6, 58, 三国演义
1974091, 7.9, 44, 中国四大名著讲演录
4836040, 9.1, 21, 第五才子书施耐庵水浒传
1004601, 9.3, 18, 三国演义
2003298, 6.9, 84, 曾仕强剖析三国演義
3199322, 7.3, 57, 红楼梦诗词赏析
1685270, 9.4, 16, 三国演义
1334530, 7.8, 35, 三國演義(白話完整版)
1050556, 7.9, 32, 水浒传(少年儿童版)
1328376, 7.7, 35, 西游补·续西游记
4215942, 8.4, 22, 四大名著（套装全4册）
2975327, 8.6, 19, 红楼梦
1700856, 8.4, 19, 红楼梦
3059660, 8.2, 21, 西游记
3044003, 6.9, 46, 品水浒
2181768, 7.8, 24, 三国演义（上下册）
24862874, 7.6, 25, 西游洞天
3067236, 7.2, 28, 三宝太监西洋记通俗演义
1272857, 5.7, 125, 反三国演义
4065176, 7.8, 18, 水浒传
1743393, 7.8, 17, 水浒全传
3129092, 7.8, 17, 红楼梦
1093213, 6.9, 30, 水浒传
1315153, 8.1, 14, 三国演义
1016718, 7.8, 16, 苦海与极乐
1111181, 7.8, 16, 三国演义
1201788, 7.4, 19, 三国演义
2090133, 8.0, 13, 影印金圣叹贯华堂本水浒传
1951764, 7.0, 22, 李国文新评三国演义（上中下）
4052395, 7.9, 13, 四大名著
1371405, 8.1, 11, The Story of the Stone
3227369, 6.3, 34, 盗寇的潜规则
1082784, 8.0, 11, 水浒传
10761552, 7.8, 12, 西游记
3535357, 7.9, 11, 水浒全传
1933980, 7.7, 12, 中国古典四大名著(合订珍藏本)(三国演义.西游记.水浒
1436467, 7.1, 16, 西游潜规则
1221719, 7.9, 10, 西游记
1093191, 6.9, 15, 西游记
7067038, 7.2, 12, 大三国·还原真实的三国历史
1169678, 7.2, 11, 李安纲批评西游记
