2017-01-23 16:17:59
Tag: 圣经
The number of books: 332 

ID, rating, votes, title
1089243, 8.8, 52474, 黄金时代
1046265, 8.0, 178790, 挪威的森林
1092335, 8.9, 16044, 教父
1803022, 9.0, 12739, 圣经
1941558, 8.6, 20926, 设计中的设计
1424741, 8.5, 22339, 心是孤独的猎手
1139336, 9.4, 3637, C程序设计语言
1115748, 9.2, 4591, 故事
1048007, 8.2, 19069, 高效能人士的七个习惯（精华版）
1917972, 7.8, 37137, 在路上
2359052, 8.9, 4456, 查拉图斯特拉如是说
1401840, 8.2, 11385, 天使禁獵區
2143304, 8.1, 11832, 我爱问连岳
1139980, 9.3, 1797, 四書章句集注
2381748, 9.1, 2159, 金刚经 心经 坛经
1408254, 8.6, 3618, 宇宙尽头的餐馆
2344088, 8.7, 3160, The Da Vinci Code
1436276, 8.7, 2803, 建筑：形式、空间和秩序
1430530, 8.2, 5097, 汤姆叔叔的小屋
2061116, 9.6, 839, Pattern Recognition And Machine Learning
1018925, 9.2, 979, 玫瑰圣经
3725829, 8.9, 1033, 国富论
1052178, 8.5, 1603, 走向新建筑
1451622, 9.6, 506, Structure and Interpretation of Computer Programs - 2nd Edition (MIT)
1099889, 8.9, 872, C++程序设计语言（特别版）
3869809, 9.0, 713, 务虚笔记
3732346, 8.1, 1872, 疯狂实验史
1018714, 8.9, 708, 创世记
1137246, 8.6, 961, 就业、利息和货币通论
2016441, 8.5, 1042, 人性的弱点全集
2228378, 8.9, 668, JavaScript权威指南
1130500, 9.3, 429, 计算机程序设计艺术（第1卷）
1057879, 9.1, 503, 荒漠甘泉(附黑门山路)
1865891, 7.8, 2205, 神了
2999785, 8.6, 783, 塔木德
1943800, 8.5, 813, 股票作手回忆录
1091751, 8.9, 501, 瑜伽
1982025, 8.5, 681, 宽宽信箱与出埃及记
1963058, 7.9, 1278, 木腿正义
1019308, 8.1, 985, 圣经的故事
3685882, 8.8, 440, 营销管理
2066232, 8.8, 420, 痛苦的奥秘
3875749, 8.3, 660, 第十二个天体
6079385, 9.3, 250, 耶稣真貌
1925865, 9.1, 291, 摩西五經
1151386, 8.4, 544, 怀孕圣经（最终定本）
2308234, 8.5, 481, CSS权威指南（第三版）
3680418, 7.5, 1605, The Lost Symbol
3109123, 8.3, 560, 圣经故事
3109124, 8.2, 424, 圣经故事:新约篇(名画全彩版)
1391672, 9.1, 185, 罗马书释义
6048921, 9.3, 158, 卡拉马佐夫兄弟（上下）
4912808, 9.0, 197, 新約
1051650, 8.0, 499, 羊皮卷
2046136, 7.6, 753, 圣经故事
1148508, 8.4, 302, 孤寂深渊
1101606, 8.3, 319, 聪明人的圣经
1954037, 9.5, 112, 计算机体系结构
2116574, 8.1, 360, 圣经故事
1359800, 9.3, 127, 耶穌真貌
1982432, 9.0, 158, 新铁证待判
2144283, 8.3, 289, 文艺复兴简史
1155817, 8.2, 319, 基督教概论
6967540, 9.4, 117, 《加拉太书》注释
6712850, 8.2, 318, 法律创世记
1397594, 8.3, 287, 致新知识分子
10438850, 8.6, 210, 古典的回声
1443361, 8.7, 186, 圣经导读（上）
1037937, 8.3, 264, 圣经故事
6977907, 8.7, 167, 至高喜乐的传承
1084622, 9.1, 118, 圣经故事多雷版画插图集
2150772, 9.3, 102, 改變帶來醫治
3722951, 8.8, 146, 教会史
1049060, 8.1, 261, 失乐园(插图本)
1370689, 9.6, 79, Critique of Pure Reason
1091729, 7.5, 491, 圣经故事
3079907, 8.7, 145, 智慧書
1248766, 8.4, 174, 稳行高处
