2017-01-23 16:17:59
Tag: 外国名著
The number of books: 543 

ID, rating, votes, title
6082808, 9.2, 94370, 百年孤独
1068920, 9.3, 73313, 飘（上下）
1040211, 9.2, 46902, 福尔摩斯探案全集（上中下）
1083428, 8.8, 80334, 傲慢与偏见
1858513, 8.9, 61688, 月亮和六便士
1141406, 8.5, 101726, 简爱
1829226, 9.1, 35345, 肖申克的救赎
1085860, 8.9, 48452, 基督山伯爵
1046209, 9.1, 34455, 安徒生童话故事集
2035179, 9.2, 28182, 动物农场
1043008, 8.9, 27885, 格林童话全集
2154960, 8.7, 38686, 一个陌生女人的来信
2035162, 9.0, 22452, 刀锋
1205054, 8.9, 25765, 悲惨世界（上中下）
1119522, 8.4, 54420, 呼啸山庄
1058661, 8.8, 24322, 飞鸟集
1086249, 8.6, 30341, 荆棘鸟
1064275, 8.3, 50323, 老人与海
1051193, 8.6, 28487, 麦琪的礼物
1092335, 8.9, 16044, 教父
1024197, 8.3, 39262, 巴黎圣母院
2035171, 9.0, 10716, 人生的枷锁
1008988, 8.3, 31976, 了不起的盖茨比
1765512, 9.1, 9072, 海的女儿
1013380, 8.1, 45154, 茶花女
1159939, 8.5, 21886, 一个陌生女子的来信
1856494, 9.3, 6360, 卡拉马佐夫兄弟
1205370, 8.1, 40982, 羊脂球
1035848, 8.6, 15721, 一千零一夜
1016003, 8.0, 40957, 鲁滨逊漂流记
1082518, 7.9, 48055, 麦田里的守望者
1865089, 8.4, 19141, 瓦尔登湖
1085470, 8.4, 18538, 海底两万里
1213546, 8.3, 20087, 变形记
1170801, 8.9, 7913, 泰戈尔诗集
1258498, 8.3, 18232, 项链
1856025, 8.9, 7263, 道连·葛雷的画像
1006197, 8.4, 15290, 哈姆莱特
1005521, 8.1, 24864, 伊豆的舞女
1465324, 7.7, 51323, 洛丽塔
1007433, 8.1, 23563, 红与黑
1186392, 8.7, 8785, 约翰·克利斯朵夫
1060774, 8.7, 8587, 君主论
1254731, 8.8, 6873, 欧·亨利短篇小说选
1022632, 8.7, 7492, 罪与罚
1082584, 8.6, 8474, 追忆似水年华 Ⅰ
1883353, 8.8, 6331, 野性的呼唤
2158684, 9.0, 4736, 象棋的故事
1427288, 8.4, 10827, 小妇人
1053759, 8.3, 12195, 雪国 古都
1203251, 8.1, 15492, 雾都孤儿
1013502, 7.6, 39485, 钢铁是怎样炼成的
1007772, 8.2, 12739, 双城记
1275608, 8.7, 5876, 神秘岛
1081422, 8.9, 4406, 卡夫卡小说全集（全三册）
1012637, 8.2, 12232, 牛虻
1072319, 8.5, 7349, 长腿叔叔
1212488, 8.3, 9972, 罗密欧与朱丽叶
1031741, 7.8, 23722, 欧也妮·葛朗台
1420508, 8.9, 3903, 最后一片叶子
1064841, 9.0, 3363, 绿山墙的安妮
1010472, 8.4, 7331, 安娜·卡列尼娜（上下）
1255288, 8.0, 13988, 复活
1203244, 8.2, 8576, 三个火枪手
1005918, 7.9, 13995, 堂吉诃德
1040397, 8.1, 9715, 假如给我三天光明
1047138, 7.7, 18995, 少年维特的烦恼
1013469, 8.6, 4432, 战争与和平（全四册）
2036561, 8.4, 5802, 城堡
1859108, 8.8, 3264, 白痴
1092168, 9.1, 2256, 追忆似水年华（上下册）
1049957, 8.6, 4237, 浮士德
1255326, 9.0, 2512, 新月集·飞鸟集
1083089, 9.3, 1738, 博尔赫斯全集
1212469, 8.9, 2760, 荷马史诗·伊利亚特
1818583, 9.1, 2100, 斯·茨威格中短篇小说选
1006113, 7.8, 13624, 源氏物语
1085021, 8.2, 6692, 蝴蝶梦
1072334, 8.5, 4230, 魔戒前传
1083435, 8.7, 3195, 契诃夫短篇小说选
1082147, 9.0, 2156, 热爱生命
1083477, 7.8, 12238, 包法利夫人
1077778, 8.1, 7377, 爱的教育
2050767, 8.6, 3535, 绿野仙踪
1034922, 8.9, 2401, 莎士比亚喜剧悲剧集
1083434, 8.6, 3468, 莫泊桑短篇小说选
1275907, 8.3, 5208, 八十天环游地球
1880823, 8.8, 2585, 格林童话
1882915, 8.9, 2274, 莎士比亚四大悲剧
1034106, 8.1, 6789, 威尼斯商人
1872158, 8.2, 5571, 蝇王
1000856, 7.9, 8942, 我是猫
1451270, 9.2, 1525, 纪伯伦诗集
1119528, 7.9, 8871, 高老头
1052074, 8.7, 2736, 喧哗与骚动
1055234, 8.5, 3518, 神曲（全三册）
2161691, 8.3, 4660, 伊索寓言
1019628, 8.7, 2688, 卡夫卡中短篇小说选
2042629, 8.7, 2687, 九三年
1021311, 8.5, 3492, 爱丽斯漫游奇境
1089049, 9.3, 1336, 莎士比亚全集（全8册）
1803641, 8.8, 2335, 小公主
1035477, 7.8, 9981, 德伯家的苔丝
1874411, 8.5, 3337, 乞力马扎罗的雪
1430530, 8.2, 5097, 汤姆叔叔的小屋
1030469, 8.2, 5074, 青鸟
1083429, 8.7, 2544, 爱伦·坡短篇小说集
1040632, 8.5, 3047, 木偶奇遇记
1204488, 8.4, 3474, 格兰特船长的儿女
1014144, 8.3, 3892, 大卫·科波菲尔（上下）
1051714, 8.2, 4420, 等待戈多
1018482, 8.0, 5871, 汤姆?索亚历险记
1469878, 8.6, 2445, 日瓦戈医生
1038196, 8.4, 3176, 尤利西斯
1012489, 7.7, 8995, 童年 在人间 我的大学
1088812, 8.3, 3478, 第二十二条军规
1203622, 8.9, 1600, 莎乐美 道林?格雷的画像
1064532, 8.5, 2605, 秘密花园（2册）
1011702, 8.1, 4400, 廊桥遗梦
1491853, 8.2, 3797, 变色龙
1276032, 8.3, 3244, 地心游记
1035478, 8.6, 2144, 静静的顿河（全四册）
1152701, 7.7, 7940, 漂亮朋友
1098641, 8.9, 1473, 海狼 野性的呼唤
1042168, 8.4, 2732, 李尔王
1042434, 8.0, 4794, 安妮日记
1083483, 8.7, 1829, 一个陌生女人的来信
1009285, 7.6, 9149, 童年
1092246, 8.1, 4046, 百万英镑
1011228, 8.3, 2952, 远大前程
1027587, 8.6, 1968, 恶之花 巴黎的忧郁
1186350, 7.8, 6128, 红字
1010898, 7.6, 8403, 格列佛游记
1001065, 8.4, 2428, 麦克白
1012117, 8.2, 3154, 仲夏夜之梦
1837654, 8.7, 1580, 审判
1174721, 8.4, 2278, 丧钟为谁而鸣
1109479, 9.1, 987, 福尔摩斯探案全集2·巴斯克维尔的猎犬、恐怖谷
1397467, 7.9, 4559, 理智与情感
1048173, 8.0, 3874, 忏悔录
2258369, 9.0, 1047, 小公主
1051745, 8.7, 1464, 一个陌生女人的来信
1056657, 8.8, 1295, 泰戈尔诗选
1885262, 8.6, 1624, 笑面人
1427281, 8.2, 2690, 羊脂球
1021209, 8.4, 2058, 尼尔斯骑鹅历险记
1272866, 8.8, 1168, 世界文学文库
1488794, 9.0, 929, 荒野的呼唤
1912993, 9.2, 732, 海蒂
1760094, 8.8, 1110, 吉檀迦利
1039840, 7.6, 5623, 查特莱夫人的情人
2295122, 8.4, 1726, 卡门
1034449, 8.9, 944, 杰克·伦敦小说选
1097835, 8.0, 2889, 名人传
2033808, 8.7, 1163, 巴黎圣母院
2165084, 8.3, 1869, 在轮下
1279212, 7.5, 6013, 十日谈
1093098, 7.8, 3581, 爱玛
1512245, 9.1, 700, 海底两万里
1075371, 8.7, 1048, 马丁·伊登
2050779, 8.3, 1646, 魔山
1123546, 8.8, 910, 一个陌生女人的来信
1000251, 9.0, 713, 王尔德全集
1092512, 8.9, 790, 泰戈尔散文诗全集
2032523, 8.5, 1231, 失乐园
1883349, 8.3, 1497, 永别了，武器
1437488, 9.2, 557, 群魔
2357268, 8.4, 1301, 雪国
2174410, 8.2, 1663, 名利场
1491855, 8.6, 1017, 羊脂球
2245301, 8.0, 2156, 戴珍珠耳环的少女
1089733, 8.5, 1092, 傲慢与偏见
1063388, 8.9, 705, 福尔摩斯四大奇案
1027002, 8.6, 966, 被欺凌与被侮辱的
1880825, 8.2, 1528, 希腊神话
1026547, 8.1, 1737, 一生
1033057, 8.2, 1513, 劝导
1760134, 9.1, 539, 茨威格小说集
1100754, 8.5, 1006, 变形记
1534810, 9.0, 577, 红头发安妮
1422227, 8.3, 1235, 了不起的盖茨比 夜色温柔
1603984, 8.1, 1553, 希腊神话故事
1201947, 8.1, 1525, 哈克贝里·费恩历险记
2364762, 8.7, 744, 唐璜（上下册）
1031354, 8.0, 1709, 死魂灵
1174722, 7.9, 1957, 太阳照常升起
1088030, 8.6, 814, 莎士比亚喜剧集
2048650, 9.1, 485, 先知.沙与沫
1032126, 8.5, 897, 奥瑟罗
1212486, 8.5, 889, 马克·吐温中短篇小说选
1468560, 8.8, 636, 毛姆短篇小说集
1894740, 8.5, 877, 猎人笔记
1085856, 7.9, 1858, 在人间
1001309, 8.6, 778, 苦儿流浪记
1023467, 8.5, 842, 叶甫盖尼·奥涅金
1858585, 8.1, 1349, 欧叶妮·格朗台 高老头
1373788, 8.2, 1186, 玩偶之家
3797322, 8.9, 546, 悲惨世界
1264253, 9.1, 450, 少女安妮
1041104, 8.7, 656, 吹牛大王历险记
2052229, 8.1, 1293, 爱丽斯奇境历险记
1451453, 9.1, 436, 女大学生安妮
1010128, 8.1, 1259, 源氏物语（共七册）
2266567, 9.2, 382, 伊凡·伊里奇的死
1035475, 8.2, 1077, 好兵帅克历险记
1263707, 8.7, 610, 怪异故事集
1083032, 8.1, 1191, 气球上的五星期
1033449, 8.6, 662, 巨人三传
4191696, 8.8, 534, 狗心
1098639, 8.3, 917, 纯真年代
1917962, 7.9, 1519, 金银岛
1479662, 8.5, 726, 茶花女
1102497, 8.0, 1319, 歌剧魅影
1021928, 8.4, 810, 这里的黎明静悄悄……
1185912, 8.4, 802, 变形记
1208002, 8.2, 990, 琥珀
2170030, 8.0, 1223, 白鲸
1046619, 9.1, 370, 风吹白杨的安妮
24935031, 9.3, 310, 战争与和平
1083445, 9.4, 283, 莎士比亚全集(一)
1002958, 8.7, 529, 战争论（全三卷）
1075791, 8.6, 585, 梅里美中短篇小说集
3464487, 9.2, 330, 绿山墙的安妮
1105272, 8.3, 809, 羊脂球
2039548, 8.1, 996, 从地球到月球
1420500, 8.4, 700, 百万英镑
1427784, 7.8, 1469, 曼斯菲尔德庄园
1072015, 9.1, 344, 人间喜剧 第一卷
1013723, 9.0, 373, 傲慢与偏见
1210735, 7.8, 1391, 王子与贫儿
26745030, 8.8, 437, 陌生女人的来信
1164423, 8.5, 585, 莎士比亚十四行诗集
1135331, 8.7, 475, 警察和赞美诗
1069405, 7.7, 1500, 我的大学
1045934, 8.7, 455, 幻灭
1519058, 7.8, 1249, 母亲
1204231, 8.3, 670, 羊脂球(莫泊桑中短篇小说选)
2042167, 8.1, 837, 无名的裘德
1050901, 8.3, 663, 山音 湖
2050776, 8.7, 431, 凯旋门
1078488, 8.0, 928, 爱的教育
1894746, 7.8, 1198, 金银岛 化身博士
1136277, 7.3, 2463, 嘉莉妹妹
1963728, 9.4, 228, 斯·茨威格小说选
1228595, 8.2, 715, 猴爪
5992554, 8.4, 565, 简爱
1466999, 8.1, 776, 上尉的女儿
1205419, 8.2, 682, 初恋
2036573, 7.6, 1455, 儿子与情人
1111404, 9.2, 254, 夏蒂
1195054, 9.0, 296, 欧·亨利小说全集（全四卷）
1858493, 7.8, 1053, 虹
1511457, 8.2, 640, 套中人
1925125, 9.1, 262, 吉檀迦利－泰戈尔散文诗选
1053536, 8.5, 453, 小公子
1022672, 8.6, 408, 杜立德医生
1828383, 8.5, 448, 死于威尼斯
2264147, 8.4, 480, 最后一课
1145488, 8.4, 462, 竞选州长
1201946, 8.0, 718, 父与子
2027999, 8.6, 376, 布拉热洛纳子爵
6012787, 8.8, 298, 追忆似水年华（第三卷）
1205778, 7.7, 970, 睡美人
1185636, 7.4, 1408, 娜娜
2313843, 9.8, 129, BBC 傲慢与偏见(DVD)
1130069, 8.0, 625, 巨人传
1015524, 9.2, 197, 荒野的呼唤.白牙
1084884, 8.2, 489, 二十年后
1116359, 8.5, 355, 忏悔录（第一部）
1986127, 8.9, 245, 一千零一夜（三）
1397966, 8.8, 267, 世界文学名著全书·世界奇书文库
1050006, 7.8, 752, 伪君子
2259223, 8.5, 346, 玛戈王后
1131617, 8.2, 465, 变色龙
2117062, 7.8, 737, 麦田守望者
1083437, 8.2, 462, 少年维特的烦恼 赫尔曼和多罗泰
1722386, 7.2, 1691, 斯佳丽
1092558, 8.0, 572, 少年维特的烦恼 亲合力
1786582, 8.9, 234, 海上劳工
1168737, 8.4, 367, 妇女乐园
1038137, 8.9, 229, 海蒂
1066589, 8.3, 398, 海伦·凯勒传
1532829, 8.9, 225, 哈姆雷特
1082574, 7.3, 1366, 一只狗的生活意见
1012671, 8.3, 393, 地底旅行
1101543, 7.9, 605, 远离尘嚣
1025321, 8.8, 239, 纪德文集
4766916, 8.6, 285, 爱默生随笔
1856498, 7.7, 755, 黑郁金香
1753403, 7.5, 980, 诺桑觉寺
2215336, 8.4, 342, 太阳系历险记
1228395, 7.8, 658, 化身博士
1119515, 8.2, 413, 一生 漂亮朋友
1084541, 8.5, 295, 秘密花园
2994759, 9.1, 173, 福尔摩斯探案精选
1203240, 7.5, 890, 珍妮姑娘
1126207, 8.0, 466, 斯巴达克斯
1046584, 8.5, 277, 米开朗琪罗传
1372026, 8.6, 251, The Call of the Wild
2050778, 8.1, 410, 萌芽
1452512, 7.9, 504, 十日谈
3162277, 8.8, 204, 傲慢与偏见
1123668, 7.8, 553, 圣诞欢歌
1082730, 8.6, 241, 圣经的故事(全彩珍藏本)
1134258, 8.5, 257, 汤姆·索亚历险记 哈克贝利·费恩历险记
1044038, 8.0, 425, 前夜 父与子
1022210, 8.3, 310, 贝姨
5988638, 8.0, 419, 背德者·窄门
1058488, 8.0, 412, 跳来跳去的女人
1029151, 8.0, 410, 贵族之家
1018260, 7.4, 844, 竹取物语
2116574, 8.1, 360, 圣经故事
1070844, 8.5, 243, 雪莱抒情诗选
1204485, 8.0, 399, 蓓根的五亿法郎
1214171, 8.1, 353, 阴谋与爱情
1214638, 8.4, 260, 茶花女
1417046, 8.3, 285, 茶花女
1066217, 7.8, 469, 坎特伯雷故事
1041418, 7.9, 417, 仲夏夜之梦
1084555, 8.2, 301, 所罗门宝藏
1159935, 7.5, 667, 恋爱中的女人
1084546, 8.0, 365, 罗密欧与朱丽叶
4108901, 8.9, 156, Letter from an Unknown Woman
1027986, 8.2, 290, 神曲
1042783, 8.0, 351, 黑桃皇后
1017422, 8.1, 314, 卓娅和舒拉的故事
3741375, 9.1, 131, 简·奥斯汀经典作品集
1085552, 7.9, 386, 匹克威克外传
1084832, 8.2, 276, 羊脂球
1283223, 8.1, 302, 80天环游地球
1085560, 8.2, 268, 小男人
1918325, 8.6, 183, 荒凉山庄
1047814, 8.1, 290, 唐吉诃德(上下)
1085245, 8.1, 290, 天路历程
1029368, 8.2, 261, 情感教育
1086317, 7.8, 377, 会飞的教室
3082667, 9.2, 107, 野性的呼唤
3273147, 7.8, 367, 松尾芭蕉散文
1228242, 8.0, 290, 勃朗特一家的故事
1202025, 8.3, 216, 皆大欢喜：英汉对照.英汉译注
3480384, 7.5, 508, SCARLET斯嘉丽（〈飘〉续集）
1084550, 8.0, 286, 王子复仇记
2224962, 8.2, 219, 古今和歌集
1883309, 8.3, 198, 爱丽丝漫游奇境记
1252190, 8.4, 178, 蝴蝶梦
1504938, 8.2, 212, 大卫·科波菲尔
1797579, 7.8, 314, 环绕月球
1833376, 8.7, 133, 巴尔扎克中短篇小说集
1422741, 8.5, 153, 猫眼
1320214, 7.3, 537, 源氏物语图典
2165015, 8.3, 181, 幽暗的林荫小径
20414863, 8.7, 129, 荒原狼
3164520, 8.8, 117, 呼啸山庄
1162930, 7.9, 253, 交际花盛衰记
1077867, 7.8, 276, 沉船
2340213, 9.1, 91, 绿野仙踪 精装全四册
3030893, 8.5, 139, 羊脂球
24846632, 8.2, 179, 国家阴谋2：英国刺客
1123024, 8.6, 127, 大卫·考波菲尔
1144294, 8.6, 125, 唐吉诃德（上下册）
1645153, 8.3, 155, 少年维特的烦恼 亲和力
1916464, 8.4, 139, 一位女士的画像
1130883, 8.5, 127, 德伯家的苔丝
1089802, 8.0, 196, 爱玛
1085549, 7.9, 210, 欧叶妮·格朗台
1006433, 7.9, 206, 茶花女
3732363, 8.8, 96, 论信望爱
1075392, 7.8, 227, 艾凡赫
2361090, 8.0, 184, 欧也妮葛朗台
2115692, 8.2, 153, 环游地球八十天
1512732, 7.7, 247, 幽谷百合
1894741, 7.9, 199, 伪君子吝啬鬼
20470853, 7.4, 339, 地光
1032192, 8.7, 98, 安徒生童话故事全集(最新版)
2970763, 9.4, 61, 契诃夫小说全集（第5卷）
1366302, 8.4, 120, SENSE AND SENSIBILITY
1328662, 8.0, 167, 圆桌武士
1983155, 7.8, 202, 德国人
1491854, 8.4, 116, 金丝雀
1084891, 8.7, 91, 维莱特
1168761, 7.7, 216, 冰岛渔夫·菊子夫人
1795634, 8.5, 103, 老人与海
3013144, 8.2, 130, 少年维特之烦恼
2274570, 8.5, 101, 汤姆叔叔的小屋
3337579, 8.3, 114, 生命中不能承受之轻
3185734, 7.6, 217, 格列弗游记
3223644, 9.2, 57, 莎士比亚全集（八）
1928528, 8.9, 68, 四百万-世界文学名著典藏
1286790, 7.5, 221, 小东西
4025005, 8.3, 95, 安妮日记
1444804, 9.2, 51, 莎士比亚戏剧集（全八册）
1020475, 7.9, 129, 克雷洛夫寓言全集
3023360, 8.4, 85, 巴黎圣母院
6791953, 8.2, 98, 80天环游世界
