2017-01-23 16:17:59
Tag: 存在主义
The number of books: 467 

ID, rating, votes, title
1084336, 9.0, 211603, 小王子
1770782, 8.8, 248949, 追风筝的人
1082154, 9.1, 120204, 活着
3369793, 8.7, 50237, 亲爱的安德烈
2035162, 9.0, 22452, 刀锋
4908885, 9.0, 20116, 局外人
1400705, 8.1, 79083, 情人
1775691, 8.3, 51937, 少有人走的路
1064275, 8.3, 50323, 老人与海
2340100, 8.1, 52264, 遇见未知的自己
3406401, 9.0, 11010, 悉达多
4011670, 8.3, 33416, 人间失格
2035171, 9.0, 10716, 人生的枷锁
4920007, 8.7, 16581, 不能承受的生命之轻
1398395, 8.6, 19333, 狂人日记
3369600, 8.1, 41996, 当我谈跑步时我谈些什么
3315879, 8.6, 11675, 恶童日记
3578470, 9.0, 5790, 德米安
1915958, 9.2, 4165, 野草
1917972, 7.8, 37137, 在路上
1917078, 8.6, 8833, 风之影
1060117, 8.5, 9769, 不朽
2359052, 8.9, 4456, 查拉图斯特拉如是说
1081422, 8.9, 4406, 卡夫卡小说全集（全三册）
1318126, 8.4, 8473, 雪国
1083003, 8.7, 5059, 尘埃落定
4313207, 8.5, 6575, 致D
3821057, 8.6, 5266, 搏击俱乐部
1004322, 8.6, 5228, 第二性
3131626, 8.9, 3429, 荒原狼
2165063, 9.2, 2252, 纳尔齐斯与歌尔德蒙
1049522, 8.8, 3636, 西西弗的神话
3899039, 8.1, 9324, 刺猬的优雅
2036561, 8.4, 5802, 城堡
4120475, 9.3, 1692, 加缪全集 （小说卷）
5406559, 8.7, 3363, 鼠疫
1056023, 8.5, 4215, 鼠疫
1783111, 8.7, 3120, 存在与时间
1769769, 9.2, 1680, 我在伊朗长大3
1873900, 8.6, 3364, 变形记
1034066, 9.1, 1804, 加缪文集
1079104, 8.6, 3154, 尼采：在世纪的转折点上
1019628, 8.7, 2688, 卡夫卡中短篇小说选
3402999, 8.6, 2963, 到灯塔去
2253402, 9.0, 1793, 罪与罚
1066558, 9.4, 1150, 卡拉马佐夫兄弟（上下）
2214350, 8.4, 3795, 幻影书
2165076, 9.0, 1749, 玻璃球游戏
2158194, 7.7, 11247, 且听风吟
1030366, 8.1, 5687, 身份
1221327, 8.5, 3126, 少年Pi的奇幻漂流
1064707, 8.7, 2387, 从卡夫卡到昆德拉
4745950, 9.2, 1327, 第二性Ⅱ
2300010, 8.5, 3048, 夜访吸血鬼
4146756, 8.5, 2590, 浮生取义
1389884, 8.4, 2769, 24個比利
10759466, 9.0, 1306, 地下室手记
3155180, 8.6, 1942, 荒野生存
1905742, 8.8, 1477, 金枝（上下册）
1837654, 8.7, 1580, 审判
1030554, 8.5, 1692, 恶心
1041452, 8.4, 1824, 存在与虚无
2061444, 8.6, 1423, 幽灵之家
2160292, 8.1, 2575, 神谕之夜
2376313, 8.8, 1029, 查拉图斯特拉如是说
1430657, 9.3, 611, 卡夫卡全集（全10卷）
1077237, 8.6, 1265, 查拉斯图拉如是说
1251839, 8.6, 1246, 权力意志
6310320, 8.7, 1102, 人都是要死的
1016292, 8.5, 1391, 悲剧的诞生
1839627, 8.3, 1717, 香草山
1075371, 8.7, 1048, 马丁·伊登
1186712, 8.2, 1896, 各自的朝圣路
20476930, 8.6, 1124, 局外人
4120485, 9.3, 540, 加缪全集（散文卷Ⅰ）
1393233, 9.2, 584, 古典时代疯狂史
2302798, 8.5, 1227, 吸血鬼莱斯特
1070246, 8.6, 1057, 置身于苦难与阳光之间
6021092, 9.0, 678, 局外人·西绪福斯神话
1793006, 8.6, 1026, 城堡
1986335, 8.7, 893, 与神对话
1077638, 8.0, 2085, 耻
2032117, 7.7, 2967, 纽约三部曲
2213965, 8.2, 1404, 他人就是地狱
1218321, 9.1, 522, 个人形成论
1256284, 8.4, 1064, 谋生之道
1070897, 8.5, 926, 十九札
1398463, 9.1, 492, 萨特文集（全八卷）
1073143, 8.8, 655, 美学(第一卷)
4097155, 8.7, 708, 风之影
1082469, 9.3, 396, 加缪全集（全四册）
1487995, 8.5, 865, 文字生涯
1444025, 8.2, 1176, 存在主义是一种人道主义
1316536, 8.6, 730, 萨特读本
1949782, 8.7, 613, 快乐的科学
1023557, 9.0, 433, 萨特戏剧集(上下)
2045704, 8.9, 466, 权力意志
1998842, 8.9, 447, 尼采：在世纪的转折点上
1902303, 9.1, 365, Man&#39;s Search for Meaning
1051659, 8.9, 434, 我与你
4120483, 9.3, 300, 加缪全集（戏剧卷）
3265827, 8.9, 405, 人的自我寻求
1074329, 8.9, 403, 尼采（上下）
2222359, 8.9, 398, 非理性的人
1963669, 8.8, 429, 马尔特手记
1456426, 9.3, 267, 局外人·鼠疫
2149157, 8.7, 441, 墙
1732250, 9.0, 332, Siddhartha
19967339, 8.8, 399, 流浪者之歌
1432443, 8.5, 535, 存在之难
24257192, 9.1, 300, 卡利古拉
1031293, 8.9, 351, 荷尔德林文集
2143763, 8.4, 563, 疯狂的意义
5312096, 8.9, 343, 反抗者
4120488, 9.2, 254, 加缪全集（散文卷Ⅱ）
3339862, 8.6, 436, 性别麻烦
1020296, 8.7, 385, 恐惧与颤栗
1052276, 8.9, 319, 路标
1251842, 9.3, 227, 巴曼尼得斯篇
6016240, 8.9, 315, 堕落·流放与王国
6021091, 8.8, 334, 反与正·婚礼集·夏天集
1949061, 8.6, 400, 不合时宜的沉思
25737804, 9.1, 251, 孤独与团结：阿尔贝·加缪影像集
1228316, 8.7, 357, 荷尔德林诗的阐释
1082445, 8.9, 286, 萨特文集（1-7卷）
5361804, 8.5, 401, 焦虑的意义
2252366, 8.1, 610, 恩主
5391974, 9.3, 194, 地下室手记
1008949, 9.1, 225, 分裂的自我
11509009, 9.1, 219, 人的大地
1593819, 8.3, 458, 砂女
1008757, 9.0, 234, 致死的疾病
2286854, 8.0, 623, 从胡塞尔到德里达
1426973, 8.5, 364, 诗人哲学家
3596307, 8.4, 392, 最高虚构笔记
1199423, 9.5, 150, 卡拉马佐夫兄弟
5999507, 8.4, 381, 妈妈及生命的意义
24257448, 9.3, 173, 反抗者
26826605, 9.3, 172, 加缪手记
1160470, 8.6, 309, 镜与灯
1066008, 8.7, 280, 非此即彼
4605583, 8.3, 412, 女宾
3865451, 8.9, 234, 现象学导论
1462846, 8.8, 249, 克尔凯戈尔日记选
1959087, 7.8, 703, 你别无选择
1937055, 8.4, 359, 蝇王
2327264, 8.5, 312, 日益亲近
1034534, 8.0, 519, 人，诗意地安居
2075391, 7.2, 1429, 那些不值钱的经验
1951441, 8.4, 318, 赫索格
1331882, 9.3, 147, 存在心理治療（上）
24257317, 8.9, 199, 第一个人
24257152, 8.1, 422, 堕落
1030254, 8.0, 466, 误入世界
1315260, 8.7, 222, 时代的精神状况
1931681, 8.9, 182, 罗杰斯著作精粹
1075597, 8.7, 214, 快乐的科学
1027384, 9.2, 141, 海德格尔选集（上下）
1665326, 8.9, 177, 萨特精选集
2165033, 9.1, 149, 地下室手记
1417091, 9.2, 137, The Structure of Scientific Revolutions
24257271, 8.9, 164, 正义者
2253759, 7.6, 596, 无心应战
1506334, 9.2, 129, 论反讽概念
1044502, 8.3, 262, 颤栗与不安
1032706, 8.8, 161, 第一个人
1340007, 9.2, 118, 伊凡．伊里奇之死
2184710, 8.3, 238, 生命的悲剧意识
1245516, 8.8, 152, 纯粹现象学通论
4082445, 8.1, 278, 有生之年非看不可的1001部电影
1038957, 8.6, 173, 萨特小说集（上下）
24235430, 8.2, 248, 流亡与独立王国
2253743, 7.8, 368, 淡彩之血
10540004, 8.7, 155, 被伤害与侮辱的人们
1383031, 9.3, 98, The Myth of Sisyphus
1353948, 8.9, 130, King Lear
1785371, 9.1, 112, 正义者
3629585, 8.4, 192, 萨特散文
1197815, 8.9, 123, 团体心理治疗
3226085, 9.0, 114, 论真理的本质
3034229, 8.1, 244, 存在主义简论
1019076, 9.0, 113, 旷野呼告 无根据颂
2028726, 9.0, 113, 加缪中短篇小说集
3113378, 8.7, 142, 我与你
3250054, 8.4, 182, PSYCHE
10773549, 8.9, 121, 致死的疾病
1864830, 7.5, 448, 鲜花圣母
10443434, 9.2, 93, 加缪读本
1331881, 9.4, 81, 存在心理治療（下）
2374419, 8.0, 244, The Awakening
1907590, 8.7, 131, 从存在到存在者
1423369, 7.7, 332, 百年萨特
1007348, 8.1, 218, 小偷日记
1874508, 9.0, 103, 厌恶及其他
2051548, 9.1, 96, 人的奴役与自由
1923453, 8.3, 172, 波德莱尔
1369762, 8.8, 114, 異鄉人＜新潮文庫265＞
1284418, 8.7, 121, 安部公房文集
26366422, 7.8, 272, 怪房客
1170414, 9.1, 90, 局外人
1463876, 8.4, 152, 存在主义
1933952, 8.3, 160, 废弃的生命
1685331, 8.5, 135, 海德格尔哲学概论
4834600, 8.3, 158, 自由与命运
1439835, 8.2, 168, 单向度的人
1775813, 8.4, 141, 存在的勇气
6310321, 8.0, 201, 要焚毁萨德吗
26304954, 9.5, 64, 存在主义心理治疗
1071604, 7.8, 239, 波伏瓦美国纪行
1371290, 8.9, 92, The Plague
1372741, 8.9, 91, 犀牛
3265210, 8.2, 152, 创造的勇气
1789807, 8.6, 107, 萨特文集（全三册）
1320062, 7.8, 204, 加缪和萨特
1423896, 9.3, 63, 思辨与启示
1392095, 7.3, 353, 波伏娃画传
1185730, 8.3, 127, 海德格尔存在哲学
1007824, 8.0, 162, 萨特传
1084250, 8.5, 106, 《存在与时间》读本
24301821, 8.5, 105, 要么孤独要么庸俗
1776823, 8.3, 120, 勾引家日记
24697397, 9.1, 67, 畏惧与颤栗 恐惧的概念 致死的疾病
3100465, 8.5, 101, 变形记
1358870, 8.6, 93, 第二性
1692911, 8.6, 90, 外国现代派作品选（B卷）
1019043, 8.3, 113, 哲学寓言集
10807300, 8.4, 103, 局外人
2140416, 7.4, 261, 穷人的美德
2145845, 7.3, 293, 不可逆转的时刻
6868960, 9.3, 55, 卡繆札記 I
3446358, 9.1, 62, No Exit
1254418, 7.9, 155, 人，诗意地安居
1976541, 8.4, 101, 个人的体验
1040394, 7.6, 206, 萨特论艺术
5920539, 8.6, 86, 重复
1890228, 7.9, 153, 女权辩护 妇女的屈从地位
1949946, 8.4, 97, 他人的脸
26806702, 8.7, 75, 阿尔贝·加缪
4314074, 7.7, 172, 在生命最深处与人相遇
3106705, 7.5, 207, 萨特自述
4011409, 7.7, 161, 阿伦特与海德格尔
1065576, 8.4, 87, 萨特文学论文集
1219658, 7.8, 144, 百合·飞鸟·女演员
3737103, 7.7, 158, 克尔凯郭尔
1865169, 8.3, 93, The New York Trilogy
26296901, 9.0, 57, 一日浮生: 十個探問生命意義的故事
1836192, 7.5, 189, 萨特：荒谬人格 (精装)
26828226, 9.1, 53, 加缪手记：第二卷
2282795, 9.3, 46, Metamorphosis and Other Stories
1127271, 8.2, 96, 另类人
2026930, 8.9, 58, 悲剧的超越
1389930, 8.5, 76, 象是笨蛋
1848182, 8.3, 88, 论怀疑者
1447062, 8.9, 57, 瘟疫
2072976, 7.9, 119, 海德格尔传
4062211, 9.4, 42, 还原与给予
26682740, 8.3, 84, 快乐的死
1484897, 8.8, 59, Escape from Freedom
2139903, 9.1, 49, 魔鬼与上帝
1016160, 8.5, 72, 不惑之年（自由之路第一部）
1057035, 8.6, 67, 心理学的新道路--马斯洛和后弗洛伊德主义
2267492, 8.6, 67, 理智之年
1915950, 6.7, 448, 第二性波伏瓦
26828229, 9.4, 41, 加缪手记：第三卷
2033433, 8.3, 82, 莫拉维亚短篇小说选
6861482, 8.6, 66, 哲学片段
1433569, 8.3, 80, 萨特的世纪
4317958, 8.8, 56, 加缪传
1213383, 7.5, 159, 第三性
2810391, 9.4, 38, Albert Camus&#39;s the Stranger
4839259, 8.5, 65, 心理学与人类困境
20375518, 8.3, 75, 模糊性的道德
1199056, 8.6, 60, 克尔恺廓尔
5951356, 8.5, 63, 荒谬的自由
6389770, 8.8, 51, 重读加缪
2677815, 7.8, 107, 非此即彼
1419140, 9.3, 36, The Portable Nietzsche
11530613, 8.6, 54, 鼠疫.局外人-世界文学名著典藏-全译插图本
1768559, 8.8, 47, 地下室手記
1266588, 7.5, 123, 加缪
1083948, 8.2, 68, 性面具
4051788, 7.7, 99, 食指诗选
2275668, 8.2, 66, 海德格尔与《存在与时间》
1112144, 9.1, 37, 蒂里希选集（上下）
1477791, 9.0, 39, No Exit and Three Other Plays
2206429, 9.0, 39, 局外人
1254261, 8.2, 64, 海德格尔的《存在与时间》
1079208, 8.0, 72, 名士风流（全二册）
3265824, 8.0, 70, 存在之发现
2033487, 9.1, 34, 迷雾
24257363, 8.3, 55, 评论文集
25779441, 7.6, 94, 迷雾
3040632, 7.6, 91, 孤独人格-克尔凯郭尔
1862391, 8.2, 56, 从普鲁斯特到萨特
10582666, 7.9, 70, 加缪，一个浪漫传奇
4162701, 8.0, 64, 超越生命的选择
3298292, 8.0, 63, 存在之发现
1962655, 8.0, 62, 客观主义认识论导论
3114229, 8.8, 36, 異鄉人
1038306, 8.6, 40, 思·史·诗
3170159, 8.6, 40, 快乐的科学
25943061, 8.8, 35, 孤独、团结与反抗
1037836, 8.4, 44, 克尔凯戈尔入门
10555109, 8.9, 32, 存在—人本主义治疗
24383317, 7.8, 65, 西绪福斯神话
1536639, 7.4, 91, 萨特
2117201, 7.6, 76, 萨特引论
1140153, 7.0, 132, 萨特传
1482446, 7.5, 81, 生存哲学
1489461, 7.4, 88, 尼采
19945791, 8.6, 36, 当代艺术的哲学分析
1433792, 8.9, 30, Max Weber and Karl Marx (Routledge Sociology Classics)
4839258, 8.2, 45, 存在心理学
3221964, 7.2, 100, 陌生人
1757676, 8.8, 31, Fear and Trembling
1029996, 8.6, 34, 痛心疾首（自由之路第三部）
6795517, 8.5, 36, 最后一堂生死课
1071216, 8.7, 32, 缓期执行（自由之路第二部）
26545446, 8.8, 30, 导读萨特
1046667, 8.3, 40, 阳光与阴影
2073549, 8.6, 33, 萨特作品精粹
1810943, 8.1, 44, 论灵魂与复活
1283127, 7.3, 82, 鲍德里亚与千禧年
1021828, 8.6, 32, 不可言说的言说
