2017-01-23 16:17:59
Tag: 希腊
The number of books: 437 

ID, rating, votes, title
1212469, 8.9, 2760, 荷马史诗·伊利亚特
2161691, 8.3, 4660, 伊索寓言
1076330, 8.9, 1785, 奥狄浦斯王
1027280, 9.2, 1123, 柏拉图的《会饮》
1439441, 8.9, 1457, 伯罗奔尼撒战争史
1070410, 8.9, 1306, 柏拉图对话集
1036446, 8.9, 1244, 诗学
1053009, 9.2, 886, 游叙弗伦 苏格拉底的申辩 克力同
2170983, 9.0, 904, 苏格拉底的申辩
1082899, 8.7, 966, 我的心遗留在爱琴海
1427023, 9.0, 664, 希罗多德历史（上下）
2127498, 9.5, 402, 罗念生全集：第二卷：埃斯库罗斯悲剧三种、索福克勒斯悲剧四种
1880825, 8.2, 1528, 希腊神话
3283762, 9.1, 554, 柏拉图文艺对话集
25890145, 8.4, 1132, 线
1043613, 8.4, 1118, 工作与时日 神谱
1603984, 8.1, 1553, 希腊神话故事
3271171, 8.4, 1063, 读库0804
1185641, 9.0, 478, 诗学 诗艺
3068550, 7.7, 2182, 希腊
2333837, 7.8, 1846, 雨天炎天
1197950, 9.1, 407, 希腊罗马名人传
1228193, 8.4, 776, 回忆苏格拉底
1104711, 8.6, 609, 卡瓦菲斯诗集
1789833, 9.0, 383, 希腊城邦制度
26451505, 9.1, 326, 伯罗奔尼撒战争
2364763, 8.8, 427, 古希腊戏剧选
3023897, 9.2, 293, 希腊三部曲Ⅰ 追逐阳光之岛
1034011, 8.3, 686, “萨福”：一个欧美文学传统的生成
1048569, 8.3, 677, 希腊古典神话
1880126, 8.1, 826, 大勇和小花的欧洲日记
2219098, 9.1, 280, 古希腊悲剧喜剧全集（全8册）
1251842, 9.3, 227, 巴曼尼得斯篇
1197914, 8.7, 356, 长征记
6719660, 8.7, 349, 苏格拉底之死
1170051, 9.3, 187, 罗念生全集 第三卷
1048712, 8.4, 408, 柏拉图全集（第一卷）
3023898, 9.2, 197, 希腊三部曲Ⅱ 桃金娘森林宝藏
3071729, 8.6, 331, 希腊精神
1467508, 9.1, 202, 古希腊悲剧经典（上）（下）
1013568, 9.1, 201, 古希腊戏剧选
2254616, 8.4, 375, 基督的最后诱惑
1950767, 8.5, 312, 萨福抒情诗集
1578541, 8.9, 214, 古代城邦
3023900, 9.1, 177, 希腊三部曲Ⅲ 众神的花园
1085575, 8.3, 361, 特洛伊之歌
1878802, 8.5, 296, 希腊人
4208771, 8.3, 345, 尤利西斯的凝视
2008074, 8.6, 242, 希腊悲剧时代的哲学
1107649, 8.6, 241, 柏拉图全集（第二卷）
