2017-01-23 16:17:59
Tag: 当代文学
The number of books: 982 

ID, rating, votes, title
1082154, 9.1, 120209, 活着
1200840, 9.0, 93909, 平凡的世界（全三部）
1089243, 8.8, 52474, 黄金时代
1054685, 9.0, 36671, 沉默的大多数
1029791, 8.7, 56384, 许三观卖血记
1022060, 8.3, 72999, 狼图腾
1082334, 8.3, 64804, 穆斯林的葬礼
1085799, 8.6, 35288, 白鹿原
1767945, 8.8, 24799, 一只特立独行的猪
1401425, 8.3, 56200, 兄弟（上）
1014578, 9.0, 17247, 我的精神家园
1209899, 9.0, 15743, 我与地坛
1011754, 8.9, 17166, 海子的诗
3239549, 9.1, 11384, 夹边沟记事
1018577, 8.9, 13766, 霸王别姬 青蛇
6880158, 8.7, 17276, 陆犯焉识
1080309, 8.4, 28154, 尘埃落定
1033825, 8.7, 13512, 顾城的诗
4884218, 8.8, 11307, 我的阿勒泰
3610681, 9.2, 6173, 海子诗全集
5337248, 8.9, 9245, 台北人
1050339, 7.8, 60666, 文化苦旅
1020961, 8.7, 12120, 棋王
1085883, 8.6, 14035, 青铜时代
3633461, 8.6, 13864, 一句顶一万句
1061977, 8.7, 11659, 血色浪漫
1418686, 8.6, 13591, 红拂夜奔
1082349, 8.2, 25854, 长恨歌
3012517, 8.5, 15065, 小姨多鹤
10522856, 9.0, 7147, 冬牧场
2243213, 7.9, 40287, 山楂树之恋
3311253, 9.0, 5981, 额尔古纳河右岸
3518332, 8.9, 6838, 绿毛水怪
3803820, 8.4, 14375, 人生
1052990, 8.9, 6791, 草房子
1692648, 8.9, 6553, 一个人的村庄
5269439, 8.4, 13766, 城门开
1082150, 8.3, 15677, 白银时代
1322455, 8.8, 7254, 遥远的救世主
1025753, 8.2, 18119, 妻妾成群
1883991, 9.3, 3476, 王小波全集
1143694, 8.2, 16665, 动物凶猛
1082138, 8.3, 13185, 在细雨中呼喊
1005358, 9.2, 3661, 寻找家园
22714154, 8.7, 7064, 繁花
1054917, 8.5, 9378, 沧浪之水
1752755, 8.6, 7985, 第九个寡妇
1261153, 8.4, 10776, 青蛇
1076654, 8.7, 6791, 孽子
1003986, 8.8, 5848, 病隙碎笔
1036613, 8.9, 5068, 茶馆
1760432, 9.2, 3378, 受戒
1096790, 8.6, 7451, 黑铁时代
3544376, 9.1, 3676, 顾城的诗顾城的画
1073744, 9.0, 3977, 四世同堂（上下）
1764991, 8.9, 4268, 我的阴阳两界·革命时期的爱情
1078250, 8.2, 11721, 洗澡
3297466, 9.2, 2828, 我的团长我的团（上部）
3511129, 9.4, 2174, 我的团长我的团（下部）
5337243, 8.6, 5921, 纽约客
1777932, 8.6, 5904, 寻找无双·东宫西宫
2988943, 8.3, 9023, 青灯
3194071, 8.6, 5661, 少年巴比伦
1026036, 8.6, 5479, 北岛诗歌集
1703544, 7.5, 35506, 兄弟（下）
1830445, 9.0, 3144, 阿城精选集
1062991, 8.4, 7072, 北京法源寺
1043485, 8.1, 11299, 檀香刑
4238144, 9.1, 2663, 岁朝清供
1082577, 8.7, 4338, 黑铁时代
1015584, 8.0, 12184, 看上去很美
1460313, 8.4, 6325, 哥伦比亚的倒影
2016749, 8.1, 10064, 金陵十三钗
3389984, 8.6, 4663, 俗世奇人
3010130, 7.7, 19746, 悲观主义的花朵
1436716, 9.1, 2417, 黄金时代白银时代
3264642, 8.7, 3986, 似水流年
1311280, 9.0, 2617, 灵魂的事
3662230, 8.5, 4789, 七十年代
1032581, 8.4, 5527, 胭脂扣 生死桥
1465007, 8.2, 7454, 生死疲劳
3406518, 8.5, 4683, 追随她的旅程
1763806, 8.5, 4593, 万寿寺
4169424, 7.9, 11678, 蛙
1477437, 8.9, 2697, 唐人故事
1049477, 8.0, 9441, 一半是海水一半是火焰
2015357, 9.1, 2025, 王小波全集（第六卷）
3013624, 9.0, 2275, 棋王.樹王.孩子王
3339812, 9.3, 1599, 木心作品八种
3018339, 7.7, 15335, 万物生长
3448867, 9.0, 2123, 采桑子
3432304, 9.1, 1882, 大江东去（共三部）
1792984, 8.2, 5977, 一个女人的史诗
3662594, 8.1, 6973, 荒人手记
1456183, 8.2, 5954, 我的帝王生涯
3075281, 8.6, 3327, 世界上所有的夜晚
1165173, 8.8, 2553, 务虚笔记
1398441, 9.1, 1785, 汪曾祺散文
3264665, 8.6, 3264, 三十而立
1819978, 8.5, 3641, 温莎墓园日记
1151873, 8.2, 5450, 我是你爸爸
1207819, 8.1, 6302, 过把瘾就死
3274851, 8.0, 7362, 原谅我红尘颠倒
5288327, 8.3, 4630, 鸟，看见我了
3621542, 8.4, 4011, 蓝房子
3297888, 8.4, 4008, 云雀叫了一整天
25639223, 8.3, 4623, 身边的江湖
1016595, 8.3, 4492, 雍正皇帝（全三册）
1136988, 8.9, 1954, 命若琴弦
1444077, 9.2, 1365, 汪曾祺小说经典
1705507, 8.0, 6488, 胭脂扣
6742586, 7.8, 8981, 我不是潘金莲
1050566, 8.0, 6408, 一地鸡毛
3024497, 8.4, 3501, 天浴
3264644, 8.8, 2083, 地久天长
1055301, 8.5, 3045, 世界上最疼我的那个人去了
5367303, 8.4, 3275, 城邦暴力团（下）
1010349, 8.0, 5865, 丰乳肥臀
1008732, 8.4, 3214, 失败之书
1290398, 8.4, 3073, 白蛇
2032964, 9.1, 1304, 正红旗下
2345727, 7.5, 12823, 蜗居
1023000, 8.6, 2309, 常识与通识
6088153, 8.5, 2624, 人间
1151876, 8.1, 4551, 顽主
3604331, 8.4, 2940, 午夜之门
3146656, 8.4, 2928, 五月女王
1124305, 8.1, 4449, 扶桑
1073253, 8.8, 1719, 闲话闲说
2237621, 8.4, 2823, 十八岁出门远行
1812895, 8.2, 3703, 东宫·西宫
1370750, 8.6, 2077, 突然我記起你的臉
1440490, 8.6, 2064, 王朔文集（纯情卷）
1083883, 8.7, 1767, 席慕蓉经典作品
6718314, 8.0, 4557, 晚来寂静
2297786, 7.6, 8773, 北京，北京
1071921, 8.1, 3874, 现实一种
1200843, 8.1, 3843, 芙蓉镇
1883990, 8.8, 1477, 白银时代/2010/黑铁时代
1041414, 8.6, 1872, 威尼斯日记
2375977, 8.4, 2416, 香椿树街故事
1029370, 9.1, 1053, 记忆与印象
1006341, 8.0, 4139, 红粉
1893879, 8.5, 2067, 张居正（全四册）
1734830, 9.2, 926, 汪曾祺精选集
26821461, 8.7, 1601, 北鸢
10877051, 9.0, 1129, 顾城哲思录
3239913, 8.0, 4035, 推拿
1000696, 8.2, 2989, 饥饿的女儿
1281653, 7.8, 5354, 秦腔
1047851, 7.7, 6270, 晃晃悠悠
1288913, 8.3, 2515, 半生为人
1397889, 8.5, 1896, 穗子物语
1438536, 8.9, 1182, 王小波经典作品
3464389, 9.1, 938, 大淖记事
1083509, 8.1, 3178, 人面桃花
4919996, 8.7, 1399, 张枣的诗
25716611, 8.5, 1765, 花街往事
1822866, 8.7, 1370, 王小波全集(第五卷)
1949674, 8.1, 2966, 我纷纷的情欲
1260251, 8.7, 1357, 茶人三部曲（全三册）
3623831, 8.1, 2935, 温故一九四二
1055054, 8.3, 2207, 刺青时代
6527141, 8.2, 2526, 停车暂借问
1186209, 8.7, 1337, 张晓风经典作品
4833920, 7.4, 8995, 十八岁给我一个姑娘
2058479, 9.1, 856, 史铁生散文
1030470, 7.9, 3783, 香草山
2279868, 7.7, 5105, 风声
