2017-01-23 16:17:59
Tag: 当年明月
The number of books: 78 

ID, rating, votes, title
1873231, 8.8, 77624, 明朝那些事儿（壹）
1041482, 8.9, 54798, 万历十五年
3995526, 8.7, 73742, 目送
6710437, 9.3, 26898, 撒哈拉的故事
1089243, 8.8, 52474, 黄金时代
3674537, 9.1, 30870, 明朝那些事儿（1-9）
1949338, 8.9, 39233, 明朝那些事儿（贰）
2052448, 8.9, 32666, 明朝那些事儿（叁）
3006581, 8.9, 30717, 无人生还
3626924, 9.0, 22763, 明朝那些事儿（柒）：大结局
2253642, 8.8, 30171, 明朝那些事儿（肆）
1022060, 8.3, 72999, 狼图腾
3009821, 8.8, 27468, 明朝那些事儿（伍）
3274113, 8.9, 22730, 明朝那些事儿（陆）
4187411, 8.8, 14414, 万物有灵且美
1012611, 8.3, 29655, 乌合之众
20431965, 8.5, 8399, 只有医生知道!
2988943, 8.3, 9023, 青灯
3673651, 7.7, 23625, 岛
2133254, 8.2, 9542, 流血的仕途
3901238, 7.6, 13123, 历史是个什么玩意儿1
1026317, 7.7, 9837, 可爱的骨头
2375610, 8.2, 3792, 流血的仕途·终结版
1287823, 7.9, 5141, 千年一叹
1441327, 9.6, 504, A Clash of Kings
1442037, 7.3, 6149, 书剑恩仇录
1016053, 7.5, 3010, 胭脂
11511204, 7.4, 3359, 悖论13
1084076, 8.2, 881, 芙蓉镇
3717122, 8.8, 427, 明朝那些事儿7
25723799, 7.7, 1348, 野心优雅
6879503, 9.1, 258, 明朝那些事儿2 图文精印版
6879502, 9.1, 223, 明朝那些事儿3 图文精印版
3697782, 8.9, 255, 明朝那些事儿6
3697785, 8.8, 274, 明朝那些事儿2
6902245, 8.9, 246, 明朝那些事儿·第3部
3697787, 8.9, 244, 明朝那些事儿3
6963297, 9.1, 201, 明朝那些事儿4 图文精印版
7056976, 9.2, 174, 明朝那些事儿9 图文精印版
6963298, 9.1, 186, 明朝那些事儿5 图文精印版
6985548, 9.0, 194, 明朝那些事儿
5355940, 8.6, 270, 人生不設限
6963299, 9.1, 171, 明朝那些事儿6 图文精印版
6902242, 8.8, 216, 明朝那些事儿·第7部
3697784, 8.9, 196, 明朝那些事儿5
6902243, 8.7, 226, 明朝那些事儿·第4部
3697783, 8.9, 190, 明朝那些事儿4
7056977, 9.0, 168, 明朝那些事儿7 图文精印版
7056978, 9.0, 165, 明朝那些事儿8 图文精印版
3717124, 8.8, 191, 明朝那些事儿9
6902244, 8.6, 205, 明朝那些事儿·第5部
6794170, 8.7, 179, 明朝那些事儿·第6部
3717123, 8.8, 162, 明朝那些事儿8
4892882, 7.5, 459, 许鞍华说许鞍华
24714636, 6.5, 1966, 锦绣未央（1、2、3）
1030620, 7.9, 236, 帝国的回忆
2041282, 7.3, 426, 明朝出了个张居正
24718813, 7.6, 259, 毫无目的去一次远方
19963546, 6.9, 513, 激色猫小叮当
3809808, 8.3, 110, 决定快活
1956172, 7.7, 189, 南明史
6879500, 8.8, 64, 明朝那些事儿.第6部
1893812, 8.3, 65, 明清之际党社运动考
4102050, 6.9, 228, 战国就是一场游戏
25721642, 8.9, 41, 禅门内外：南怀瑾先生侧记
25961508, 7.8, 63, 明朝那些事儿1(漫画版)
3348221, 7.0, 127, 谈《笑傲江湖》
20504839, 7.0, 109, 婚久必昏
26370534, 8.3, 37, 明朝那些事儿 : 漫画版. 2
1398039, 8.2, 36, 生命与医疗
4737207, 7.2, 74, 唐朝那些事儿（大唐开国卷）
19961820, 8.2, 34, 日本論
1950885, 5.8, 241, 清朝那些事儿
5447186, 6.7, 57, 囧境突围
1339436, 7.0, 39, 1421:中國發現世界
3174574, 7.7, 20, 草根皇帝·朱元璋
26770132, 7.9, 17, 明朝那些事儿：漫画版.3
3686970, 7.3, 15, 立志图强
