2017-01-23 16:17:59
Tag: 悲观主义
The number of books: 50 

ID, rating, votes, title
1059419, 8.1, 58698, 海边的卡夫卡
4011670, 8.3, 33436, 人间失格
1008189, 8.9, 8656, 西方哲学史（上卷）
1007433, 8.1, 23566, 红与黑
3010133, 8.4, 12577, 琥珀·恋爱的犀牛
1012032, 8.6, 7384, 查拉图斯特拉如是说
1004699, 8.9, 4453, 作为意志和表象的世界
1292409, 9.2, 2620, 人生的智慧
1400707, 8.1, 11232, 广岛之恋
1049522, 8.8, 3636, 西西弗的神话
1063852, 8.8, 3586, 悲剧的诞生
3815126, 8.7, 3576, 瓦尔登湖
1460340, 8.9, 2207, 人性的，太人性的
1079104, 8.6, 3155, 尼采：在世纪的转折点上
6718314, 8.0, 4557, 晚来寂静
1116338, 9.0, 1063, 叔本华论说文集
3345595, 8.5, 1753, 猫城记
1027085, 8.3, 1838, 叔本华人生哲学
1077237, 8.6, 1265, 查拉斯图拉如是说
1041896, 8.3, 1740, 巴黎的忧郁
1024854, 7.3, 8061, 成都，今夜请将我遗忘
3684193, 8.9, 820, 叔本华的治疗
2378072, 8.5, 732, 悲剧的诞生
3744657, 8.5, 681, 人間失格
1731081, 9.1, 337, 叔本华论道德与自由
26264077, 8.4, 638, 心是孤独的猎手
6784160, 8.9, 380, 悲剧的诞生
1852677, 8.5, 550, 爱与生的苦恼
25908550, 8.5, 410, 历史的终结与最后的人
1057852, 8.4, 437, 疯狂的意义
1275842, 9.0, 231, 充足理由律的四重根
24743373, 7.7, 859, 悲观主义的花朵（创作10周年豪华纪念版）
6744661, 8.2, 411, 末日酒店
3422678, 7.8, 545, 生存空虚说
1075597, 8.7, 214, 快乐的科学
10521470, 8.6, 222, 样样干
1045120, 8.6, 217, 骆一禾诗全编
1001283, 8.3, 285, 悲喜人生
1463156, 8.8, 174, 恶之花(插图本)
3265171, 8.7, 159, 作为意志和表象的世界
4716717, 8.4, 174, 论世间苦难
2006819, 8.7, 132, 叔本华经典文存
4932901, 8.3, 164, 王国维点评红楼梦
3364044, 9.6, 59, Solitude of Ravens
1839081, 8.1, 150, 增长的极限
4752750, 8.3, 100, 探寻人生痛苦之源
2122369, 7.5, 91, 忏悔录
10736780, 7.9, 57, 叔本华随笔
1803696, 7.2, 91, 法语专业四级统测指导与模拟训练
3735816, 8.6, 20, 叔本华论文集
