2017-01-23 16:17:59
Tag: 意识流
The number of books: 409 

ID, rating, votes, title
1084336, 9.0, 211650, 小王子
6082808, 9.2, 94451, 百年孤独
1858513, 8.9, 61725, 月亮和六便士
1829226, 9.1, 35350, 肖申克的救赎
4238362, 8.6, 82836, 送你一颗子弹
1023045, 8.6, 68681, 我们仨
1046265, 8.0, 178826, 挪威的森林
4242172, 8.3, 84678, 天才在左 疯子在右
1066462, 8.4, 69219, 向左走·向右走
4742918, 8.3, 73875, 1Q84 BOOK 1
1948901, 8.4, 57619, 盗墓笔记
1003000, 8.4, 54112, 悟空传
1082406, 8.8, 26755, 黄金时代
4885241, 8.4, 47383, 1Q84 BOOK 2
5275059, 7.9, 116932, 1988：我想和这个世界谈谈
1358873, 8.5, 34797, 月亮忘記了
3014576, 8.4, 40663, 陪安东尼度过漫长岁月
2298149, 8.4, 28402, 盗墓笔记3
4920007, 8.7, 16597, 不能承受的生命之轻
1424741, 8.5, 22340, 心是孤独的猎手
1021847, 8.5, 21138, 我的心中每天开出一朵花
2057285, 8.2, 31889, 盗墓笔记2
6789605, 9.0, 8739, 树上的男爵
1440972, 9.1, 7394, 博尔赫斯小说集
2056749, 8.1, 34510, 时间旅行者的妻子
1013225, 8.3, 23369, 生活在别处
1082518, 7.9, 48066, 麦田里的守望者
1865089, 8.4, 19149, 瓦尔登湖
1418686, 8.6, 13592, 红拂夜奔
1070441, 8.6, 12972, 月亮忘记了
1052203, 8.8, 9579, 局外人
1049354, 8.5, 15066, 又寂寞又美好
1367458, 8.4, 16273, 照相本子
1059112, 9.0, 6637, 百年孤独
2250587, 7.6, 67388, 一个人的好天气
6431994, 8.3, 17093, 悟空传
2158161, 8.7, 9061, 世界尽头与冷酷仙境
1465324, 7.7, 51331, 洛丽塔
1186392, 8.7, 8786, 约翰·克利斯朵夫
1039752, 7.8, 39419, 且听风吟
2244146, 8.2, 18379, 穆斯林的葬礼
1915958, 9.2, 4167, 野草
1917972, 7.8, 37141, 在路上
3010133, 8.4, 12577, 琥珀·恋爱的犀牛
1022632, 8.7, 7495, 罪与罚
3136255, 8.8, 6427, 一个陌生女人的来信
3162513, 8.5, 9942, 魍魉之匣（上）
1082584, 8.6, 8475, 追忆似水年华 Ⅰ
1060117, 8.5, 9770, 不朽
1049219, 7.4, 71725, 长安乱
1321789, 8.5, 8938, 美丽新世界
1442869, 8.9, 4865, 献给阿尔吉侬的花束
1418058, 9.1, 3522, 小径分岔的花园
1081422, 8.9, 4407, 卡夫卡小说全集（全三册）
2042063, 8.4, 7961, 伊斯坦布尔
1851385, 7.8, 21347, 我的名字叫红
1880992, 8.4, 7661, 老人与海
1400707, 8.1, 11232, 广岛之恋
3131626, 8.9, 3429, 荒原狼
1822862, 8.8, 3889, 王小波全集：红拂夜奔（第四卷）
2008724, 9.1, 2618, 百年孤独
4286204, 8.1, 10234, 麦田里的守望者
1036541, 8.7, 4091, 疯癫与文明
1015864, 9.0, 2669, 惶然录
1856285, 7.3, 41297, 人生若只如初见
1092168, 9.1, 2256, 追忆似水年华（上下册）
1201821, 8.0, 10518, 梦的解析
1851058, 9.1, 2238, 约翰·克利斯朵夫（共四册）
1083089, 9.3, 1738, 博尔赫斯全集
4159088, 7.8, 14073, 理想的下午
1763806, 8.5, 4596, 万寿寺
2146279, 9.0, 2307, 心灵的焦灼
4908883, 9.0, 2304, 荒原狼
2336093, 7.8, 13155, 池袋西口公园
1019428, 8.0, 9003, 一九七三年的弹子球
2158192, 8.4, 4822, 寻羊冒险记
1063796, 8.6, 3608, 小说的艺术
1819978, 8.5, 3641, 温莎墓园日记
1052074, 8.7, 2737, 喧哗与骚动
1078554, 8.0, 7381, 情人
3402999, 8.6, 2963, 到灯塔去
2253402, 9.0, 1795, 罪与罚
2158194, 7.7, 11256, 且听风吟
1044316, 8.4, 3674, 瓦尔登湖
2243692, 7.8, 8997, 潜水钟与蝴蝶
3315827, 7.8, 8863, 暮光之城·新月
1821232, 8.5, 3025, 谢谢你毛毛兔，这个下午真好玩
24736899, 8.0, 6203, 雪国
1793713, 8.3, 3748, 中国北方的情人
4908872, 8.6, 2450, 都柏林人
1038196, 8.4, 3176, 尤利西斯
1949925, 8.1, 4876, 沉落的黄昏
3111928, 8.1, 4776, 安迪·沃霍尔的哲学
1963395, 8.5, 2470, 鱼丽之宴
1480630, 7.9, 5667, 天涯·明月·刀
1888215, 8.4, 2661, 即兴判断
3224818, 8.5, 2284, 安妮宝贝系列
2214344, 7.5, 10235, 不存在的女儿
3191328, 6.7, 58362, 小时代1.0折纸时代
4894485, 7.9, 5007, 麦田里的守望者
1927748, 8.9, 1280, 新世紀福音戰士01
3908240, 7.8, 5442, 情人
2217788, 9.5, 653, 三鹿人成功之路
1433381, 8.6, 1528, 生活在别处
1030554, 8.5, 1692, 恶心
2977158, 8.9, 1063, 化物語 上
1272866, 8.8, 1168, 世界文学文库
2265995, 7.1, 14954, 大象的眼泪
1415226, 8.7, 1245, 奥兰多
3315824, 7.9, 3549, 暮光之城
2973335, 8.6, 1331, 微暗的火
1430657, 9.3, 611, 卡夫卡全集（全10卷）
3666600, 7.5, 6093, 光荣日 第一季
1388190, 8.5, 1359, 荒人手記
2062200, 6.3, 81310, 悲伤逆流成河
1086466, 8.4, 1413, 北方的河
1082946, 8.8, 890, 我弥留之际
2377002, 7.9, 2676, 和我们的女儿谈话
4203630, 8.5, 1135, 鳄鱼街
1885070, 8.2, 1627, 雪国
1090877, 8.8, 798, 献给爱米丽的一朵玫瑰花
1886273, 8.4, 1246, 安妮日记
1084078, 7.9, 2332, 钟鼓楼
2301308, 8.2, 1532, 红高粱
1433739, 8.5, 1056, 蜘蛛女之吻
1418345, 8.3, 1336, 英国病人
4191699, 8.3, 1286, 午后曳航
1100754, 8.5, 1006, 变形记
1083317, 7.8, 2460, 北回归线
2174014, 7.5, 3880, 天黑以后
2174400, 8.2, 1365, 达洛卫夫人
26890281, 8.2, 1357, 漫长的中场休息
1812223, 7.6, 3050, 消失的地平线
3327495, 8.3, 1148, 万有引力之虹
24527845, 7.0, 8695, 我讲个笑话，你可别哭啊
3402988, 8.9, 579, 海浪
2971734, 7.3, 4376, 一把雨伞给这天用
1826681, 8.3, 1009, 看上去很美
1394263, 8.3, 1003, The Joy Luck Club
1245758, 8.8, 578, 都柏林人
1037768, 8.0, 1409, 广岛之恋
4199421, 9.3, 345, 在少女花影下
1400718, 7.8, 1800, 夏夜十点半钟
3898308, 8.6, 669, 一个青年艺术家的画像
1574942, 9.2, 360, Dubliners
1062148, 7.6, 2178, 我胆小如鼠
1042586, 8.4, 756, 个人的体验
2375988, 8.0, 1215, 一间自己的屋子
20425433, 8.1, 980, 请你安静些，好吗？
5996565, 7.8, 1351, 麦田里的守望者
20437599, 8.0, 1030, 自杀
1982151, 8.2, 789, 海
2148464, 7.8, 1252, 夏雨
1083316, 8.1, 834, 南回归线
6729209, 7.7, 1364, 遣悲怀
3014715, 7.1, 3283, 岛（Vol.10）
1441460, 8.4, 525, 北回归线
1858493, 7.8, 1054, 虹
3131613, 8.4, 515, 八月之光
1911509, 8.8, 342, 桥·桃园
6127284, 8.5, 453, 酒徒
1083985, 8.5, 452, 混沌
2972014, 8.0, 787, 巫言
4619135, 9.0, 277, 押沙龙，押沙龙！
1105259, 8.6, 396, 都柏林人 一个青年艺术家的肖像
1309477, 8.4, 480, 达洛维夫人 到灯塔去 雅各布之屋
1796747, 8.6, 388, 追寻逝去的时光
10000764, 8.1, 628, 由于男人都不在了
4742967, 8.5, 406, 城堡·变形记
1045653, 7.2, 2089, 心碎你好
6012787, 8.8, 298, 追忆似水年华（第三卷）
2121679, 7.9, 732, 洛丽塔
1161412, 8.8, 280, 八月之光
4619252, 8.8, 280, 八月之光
2973343, 7.8, 810, 眼睛
2159470, 6.8, 3668, 垮掉的一代
2151290, 8.3, 435, 赎罪
1959087, 7.8, 703, 你别无选择
2135506, 8.7, 269, 驳圣伯夫
2294802, 7.9, 612, 亲密
1370264, 8.4, 351, 對倒
1877874, 8.5, 312, ABARA  上
1440399, 8.8, 235, 普通读者Ⅰ
1427938, 8.0, 511, 墙上的斑点
5394500, 7.8, 636, 幸福，在幸福远去的时代
10583777, 8.0, 496, 南回归线
1117965, 9.0, 187, 伍尔芙随笔全集（共四册）
5336223, 7.0, 1834, 地铁
4039232, 8.3, 321, 王小波全集（第三卷 长篇小说）
1796768, 8.3, 318, 世界与裤子
1385900, 8.8, 196, The Great Gatsby
3189917, 8.7, 209, 书和画像
1878033, 9.3, 129, 追忆似水年华 Ⅱ
1822818, 7.7, 563, 看麦娘
1083440, 8.3, 279, 黑色的春天
3175263, 7.2, 1038, 失物招领处
2984507, 8.1, 338, 聂鲁达集
26352569, 9.3, 117, 茨威格文集
1419091, 9.1, 134, A Portrait of the Artist as a Young Man
26267263, 8.9, 156, 八月之光
1068151, 8.7, 183, 夜色朦胧
1457429, 9.0, 143, Mrs. Dalloway
1001147, 8.8, 167, 去吧，摩西
1371333, 9.2, 115, A Room Of One&#39;s Own And Three Guineas
3046916, 8.6, 182, 都柏林人
11604737, 8.7, 166, 芬尼根的守灵夜（第一卷）
1067570, 7.2, 827, 夜半撞车
1889559, 8.6, 173, 看不清道不明
4274327, 7.5, 530, Ulysses
1799154, 7.7, 408, 逃跑
1418008, 8.8, 142, 跳房子
3264213, 8.1, 261, 弗兰德公路
1362098, 9.2, 104, 盲目
1575897, 9.3, 95, The Waves
2157571, 9.1, 108, 在彼此的地图相遇
25839470, 8.3, 204, 搏击俱乐部
6967984, 7.8, 331, 约翰·史密斯的告白
3217622, 8.5, 164, 万灵节
1421895, 9.1, 101, 驳圣伯夫
3010299, 7.5, 438, 记忆的群岛
2060498, 7.2, 642, 我要成为世界的一部分
3754010, 8.7, 131, 伍尔芙随笔
1878041, 9.3, 85, 追忆似水年华 Ⅶ
1439071, 7.8, 293, 伍尔夫传
5611659, 7.4, 453, 大都会
24697472, 8.8, 115, 我弥留之际
5917966, 8.5, 140, 青年艺术家画像
1576034, 9.1, 89, Orlando
1440397, 8.4, 151, 幕间
1878040, 9.2, 80, 追忆似水年华 Ⅵ
1019858, 8.3, 154, 庞德诗选：比萨诗章
1901886, 9.3, 73, 福克纳中短篇小说选
19975223, 8.4, 140, 我弥留之际
3142154, 8.0, 200, 泽诺的意识
1178049, 8.7, 104, 城堡
1878039, 8.8, 96, 追忆似水年华 Ⅴ
1878750, 9.2, 73, Selected Works of Virginia Woolf
1337388, 8.6, 111, 达洛卫夫人 到灯塔去
1931793, 8.3, 141, 普鲁斯特美文选
1878038, 8.5, 119, 追忆似水年华 Ⅳ
1810787, 8.8, 94, The Sound and the Fury (Vintage Classics)
1083312, 8.3, 139, 春梦之结
1777934, 7.6, 265, 战争
1037467, 9.0, 79, 押沙龙，押沙龙！
3215762, 8.1, 159, 仪式
5264467, 7.4, 324, 战争在海对岸开始
1083311, 8.1, 156, 情欲之网
1417121, 8.3, 131, 雅各的房间
3136257, 8.2, 137, 柏林，亚历山大广场
3121028, 7.8, 197, 傀儡娃娃2
1067615, 7.7, 215, 伍尔芙日记选
1035810, 8.7, 90, 去吧，摩西
1949780, 8.5, 104, 自由之书
1042550, 7.3, 329, 一个啤酒主义者的独白
1493422, 8.3, 120, 项狄传
1987339, 7.6, 230, 爱的怯懦
3041887, 7.0, 470, 爱怜纪
20277821, 9.3, 58, 女囚
1876415, 8.5, 99, A Clean
10740349, 9.4, 54, 在少女花影下
2331660, 8.6, 91, 古靈精怪 1
1692911, 8.6, 90, 外国现代派作品选（B卷）
1433765, 8.4, 104, 远航
1023815, 7.4, 263, 北京病人
1262058, 7.4, 261, 一，二，滑向铁轨的时光
1440389, 8.3, 110, 岁月
1257097, 8.0, 132, 圣诞节的故事
3201887, 8.5, 86, 在少女花影下
1917402, 9.0, 61, 都柏林人 青年艺术家的肖像
26381143, 9.0, 59, 高手寂寞
10453133, 7.7, 161, 逃之书
2347112, 7.6, 172, 致一九七五
7007773, 8.4, 85, 项狄传
3677777, 8.9, 60, 尤利西斯(中英双语版)
19894298, 7.9, 127, 飞蛾之死
1210743, 8.2, 98, 罪与罚
1007048, 8.9, 59, 彼得堡
2005552, 8.1, 105, 布尔加科夫中短篇小说选
2257079, 8.2, 95, 流亡的语速
1031314, 9.0, 54, 别人
3264273, 7.3, 218, 浮现
20412092, 8.7, 63, 青年艺术家画像
2023558, 7.6, 152, Snow Flower and the Secret Fan
2045749, 8.9, 54, 海浪
1084815, 7.9, 111, 圣殿
1440391, 8.2, 85, 夜与日
1928559, 8.5, 68, 一天上午的回忆-驳圣伯夫
2064071, 7.6, 139, 睡莲症
1872039, 8.6, 61, 天使，望故乡
1401625, 7.1, 227, 说谎的女人
1429887, 7.2, 201, 没什么要紧
2283579, 8.8, 52, 中国文学简史
1228693, 8.3, 72, 人树
10435424, 8.5, 62, 都柏林人
1395490, 9.3, 38, Remembrance of Things Past Volumes 1-3 Box Set
1809443, 8.7, 51, 马克思的历史、社会和国家学说
4119420, 9.2, 38, 家變
3111536, 9.3, 36, The Waves
3278866, 7.2, 175, 身体
26630903, 9.5, 32, 喧哗与骚动
1431178, 7.6, 116, 我带你去那儿
1945498, 7.5, 127, 卡珊德拉
4007975, 7.8, 94, 靈界的譯者
1686161, 8.2, 68, The Sound and the Fury
1370903, 9.5, 31, Ulysses
1823237, 8.9, 41, 达洛维太太 到灯塔去 海浪
4735706, 7.9, 81, 离开的猫：归来的告别
1082947, 8.6, 48, 掠夺者
1419131, 9.5, 29, The Waves
3041189, 8.8, 42, No Signposts in the Sea
5977085, 8.2, 60, 墙上的斑点 英国名家短篇小说精选
1069552, 7.6, 97, 夜幕
1049475, 8.4, 52, 伍尔夫散文
1084697, 7.0, 171, 错位
1045785, 7.8, 78, 爱丽丝梦游仙境
3693977, 8.5, 46, 兔子歇了
1046321, 7.4, 104, 我的死了的生活的回忆
4271372, 9.4, 27, Nekojiru Udon
2033823, 8.2, 54, 土生子
1389955, 8.1, 57, 美麗失敗者
2269094, 8.2, 53, 伍尔芙随笔集
4004870, 8.3, 49, 追寻逝去的时光（节本）
3329967, 7.3, 108, 证词
3196727, 8.3, 48, 酒徒
2291993, 8.4, 44, The Bell Jar
4311852, 8.9, 32, 她想变成一种玫瑰香
1048166, 6.6, 223, 水中的处女
3320631, 8.0, 56, Araby
1769603, 8.6, 37, To the Lighthouse
3092870, 8.6, 37, 暗沟
6711776, 8.1, 51, 变形记
25781305, 8.8, 32, 外国中短篇小说藏本：福克纳
1438065, 8.2, 46, 弗吉尼亚.伍尔夫
1362271, 8.1, 49, 追憶似水年華-I貢布雷篇
1872862, 8.1, 48, 历史碎影
4086334, 8.3, 42, The Passport
1868639, 8.1, 47, 泽诺的意识
3067960, 8.9, 29, 戴洛維夫人
1916121, 8.0, 50, 雨王汉德森
1126324, 7.0, 117, 三十岁的汪涵
1512347, 7.3, 86, 心理学原理
10678953, 8.0, 48, 都柏林人
1054295, 7.2, 91, 螺丝在拧紧
25718885, 8.1, 44, 诱惑者
1228465, 7.9, 50, 小提琴
2378376, 9.0, 25, A Room of One&#39;s Own
3339297, 7.6, 60, 幽灵
3063580, 8.6, 30, Mrs Dalloway
2016586, 8.3, 35, 心理学原理（共二册）
25811149, 8.5, 31, 去吧，摩西
3339312, 7.9, 44, 雅典娜
1948784, 8.4, 31, 伍尔夫研究
2973581, 7.6, 52, 英格丽·卡文
1009095, 8.2, 34, 圣殿
2077413, 9.0, 22, Dubliners
1046254, 7.8, 42, 坟墓的闯入者
1082304, 7.7, 44, 镜中瑕疵
1646557, 8.4, 28, 黛莱丝·戴克茹
1796844, 8.1, 33, 普鲁斯特随笔集
19961481, 8.1, 32, 灯塔行
5063127, 8.0, 32, 尤利西斯
1523096, 8.1, 30, 施蛰存代表作：薄暮的舞女
1941848, 8.4, 25, 喧哗与骚动
25757307, 7.7, 38, 一个青年艺术家的肖像
11621655, 6.7, 89, 世界的尽头
3012414, 7.8, 34, 火山下
