2017-01-23 16:17:59
Tag: 愤青
The number of books: 108 

ID, rating, votes, title
4238362, 8.6, 82837, 送你一颗子弹
1089243, 8.8, 52484, 黄金时代
1054685, 9.0, 36688, 沉默的大多数
1082387, 9.2, 24011, 一九八四·动物农场
1046265, 8.0, 178827, 挪威的森林
1003000, 8.4, 54113, 悟空传
1767945, 8.8, 24805, 一只特立独行的猪
1401425, 8.3, 56205, 兄弟（上）
5275059, 7.9, 116932, 1988：我想和这个世界谈谈
1426971, 8.8, 18302, 野火集
4729583, 8.9, 10970, 野火集
2053249, 8.0, 39592, 麦田里的守望者
1082518, 7.9, 48067, 麦田里的守望者
1061977, 8.7, 11660, 血色浪漫
4872671, 8.2, 24871, 佛祖在一号线
1082407, 8.8, 8249, 青铜时代
20463108, 8.3, 16424, 观念的水位
1026425, 7.4, 93049, 三重门
1917972, 7.8, 37141, 在路上
3711709, 8.7, 7203, 娱乐至死 童年的消逝
1003284, 8.1, 17914, 退步集
3860856, 8.1, 17812, 可爱的洪水猛兽
1096790, 8.6, 7451, 黑铁时代
20431965, 8.5, 8402, 只有医生知道!
1082522, 8.2, 13357, 家
3394338, 7.5, 49239, 他的国
1013502, 7.6, 39498, 钢铁是怎样炼成的
6902639, 7.9, 20131, 青春
5290564, 8.3, 9629, 青春
1427825, 8.5, 5947, 中国人史纲（上中下）
4286204, 8.1, 10234, 麦田里的守望者
1027247, 7.9, 14124, 丑陋的中国人
5401989, 8.1, 9801, 自由在高处
3067169, 7.9, 13375, 丑陋的中国人
1063245, 7.6, 20613, 通稿2003
2081876, 7.3, 38106, 货币战争
20425053, 7.7, 16903, 我所理解的生活
1009160, 7.3, 34617, 像少年啦飞驰
3879026, 8.2, 6316, 死亡通知单
1400195, 8.7, 2991, 论自由
1034108, 7.2, 35147, 零下一度
3274851, 8.0, 7363, 原谅我红尘颠倒
2052596, 8.2, 5206, 退步集续编
4741216, 7.3, 21634, 我的奋斗
3018322, 7.6, 8324, 活着活着就老了
10763905, 7.8, 5901, 西游日记
2257188, 7.6, 7532, 致女儿书
1047851, 7.7, 6270, 晃晃悠悠
10565151, 7.5, 8529, 我是个年轻人 我心情不太好
1041616, 7.4, 9566, 那些忧伤的年轻人
6714015, 8.4, 1607, 源氏物语
2287508, 8.0, 2581, 多余的素材
5949045, 7.5, 5644, 李可乐抗拆记
10582351, 7.5, 4916, 虚实之间
25733170, 8.7, 886, 吾国教育病理
1064387, 8.3, 1126, 中国人史纲
1980222, 8.2, 1201, 丑陋的中国人
6773642, 7.7, 2069, 猛虎细嗅蔷薇
1009368, 7.9, 1456, 李敖回忆录
1039610, 7.9, 1238, 铁屋中呐喊
1831760, 8.0, 1086, 弱水三千
1759860, 7.4, 2313, 不许联想
3608751, 7.4, 2100, 醒来
1005993, 7.6, 1321, 压伤的芦苇
1081403, 7.6, 1126, 我的梦想在燃烧
10569245, 7.1, 2062, 不愿说谢谢的人
10344037, 7.1, 1957, 给理想一点时间
5503955, 8.2, 402, 陈丹青归国十年油画速写2000-2010
1268609, 9.3, 150, 鲁迅小说全编
3651646, 7.9, 542, 精神明亮的人
2023300, 8.6, 230, 野火集
1394978, 7.3, 945, 等待是一生最初苍老
3210649, 8.8, 180, 死刑通知單 第一部之2
3182667, 8.2, 305, 异旅人
1478120, 8.7, 176, Zen and the Art of Motorcycle Maintenance
11612914, 7.1, 839, 恶俗
6937890, 7.7, 375, 朗姆酒日记
4151109, 7.5, 448, 最后的家庭
5502410, 6.7, 1383, 北京的腔调
23782049, 8.3, 181, 儿童的世纪
10569244, 6.7, 1294, 懒得甜美
2117088, 8.0, 225, 麦田里的守望者
10807777, 7.5, 378, 我去!拉萨
1421106, 8.5, 129, 伊甸园之门
1942923, 7.1, 278, 毕业了我们一无所有
5366013, 6.4, 751, 烂生活
2981239, 8.2, 81, 丑陋的中国人
20645222, 7.6, 113, 革命2020
1546987, 7.3, 133, 愤青时代
3577218, 5.2, 5467, 中国不高兴
3071677, 7.3, 123, 狂人刘文典
4710366, 8.3, 53, 石头小猪
4928523, 6.7, 197, 80后命运书
3796887, 7.1, 124, 中国谁在不高兴
1401802, 7.5, 81, 打死父亲
5341324, 5.9, 492, 打捞中国愤青
1450034, 7.4, 72, 致一位“愤青”的信
1864651, 7.2, 68, 愤青史记
7564729, 7.2, 66, 打死父亲
2278358, 6.1, 210, 这就是狗屎-摩登时代生活百科
1507022, 5.1, 774, 中国可以说不
5447186, 6.7, 57, 囧境突围
2909371, 7.6, 13, Letters to a Young Contrarian
4853853, 7.6, 12, 玫瑰水晶球
3325360, 6.9, 12, 国有病谁买单
1276202, 6.8, 12, 第四代人的精神-现代中国人的救世情怀
1703136, 4.4, 80, 中国还是能说不
1954427, 5.8, 10, 强国之道
