2017-01-23 16:17:59
Tag: 戏曲
The number of books: 465 

ID, rating, votes, title
1073708, 9.0, 5612, 牡丹亭
1016631, 8.5, 5042, 西厢记
1021709, 8.6, 3318, 桃花扇
1022951, 8.4, 1706, 长生殿
1821423, 8.9, 608, 燕京伶人抄
1002262, 9.1, 387, 宋元戏曲史
2329047, 7.6, 1135, 于丹·游园惊梦
4200121, 9.0, 248, 青衣张火丁
1028894, 8.4, 397, 姹紫嫣红《牡丹亭》
3403514, 6.8, 2950, 观音
1023595, 8.0, 436, 窦娥冤
4220232, 7.8, 522, 曲人鸿爪
6387179, 8.9, 178, 近松门左卫门选集
1871155, 8.0, 389, 汪曾祺说戏
3177125, 9.0, 144, 金圣叹评点西厢记
1879649, 8.2, 278, 牡丹亭
1273706, 8.9, 138, 京剧谈往录
1016205, 8.0, 305, 旧戏新谈
1450542, 8.3, 219, 齐如山回忆录
24744318, 8.5, 177, 说段京剧你听吗
1059767, 8.8, 137, 京剧老生流派综说
1894003, 7.7, 371, 昆曲:今生看到的前世
1048531, 7.2, 696, 笛声何处
1480809, 8.8, 129, 舞台生活四十年：梅兰芳回忆录（全两册）
1434016, 9.1, 100, 菊坛旧闻录
1002903, 8.9, 111, 元人杂剧选
3177126, 8.7, 129, 吴吴山三妇合评牡丹亭
1347440, 8.3, 179, 一陣風，留下了千古絕唱
1594043, 9.4, 78, 姹紫嫣红
1493120, 9.2, 88, 昆剧演出史稿
1761082, 9.1, 94, 金圣叹批本西厢记
1799526, 9.3, 79, 韵学骊珠
1877890, 9.0, 94, 风姿花传
3060926, 8.6, 126, 巾生今世
1275271, 8.9, 99, 顾曲麈谈 中国戏曲概论
1608359, 9.1, 79, 振飞曲谱（上下册）
3746325, 8.9, 84, 京剧的知性之旅
1397843, 8.3, 132, 昆曲日记
2334568, 8.8, 89, 四聲猿
1926677, 9.1, 72, 中国十大古典悲剧集（上下二册）
1005164, 9.3, 63, 国剧艺术汇考（全二册）
3268787, 9.7, 50, 曲苑缀英
1437386, 9.5, 53, 戏曲电影珍藏版——牡丹亭
3218880, 9.6, 49, 粟庐曲譜
1950850, 7.9, 164, 梨园外纪
1391609, 8.5, 97, 桃花扇
1326776, 8.7, 83, 吴小如戏曲随笔集
24298439, 9.1, 62, 寻不到的寻找
1547121, 9.0, 66, 昆剧生涯六十年
2678709, 8.7, 79, 翁偶虹编剧生涯
1274429, 8.5, 91, 京剧谈往录三编
1273752, 8.5, 90, 京剧谈往录续编
3204674, 8.3, 105, 蓝花布上的昆曲
1511900, 9.4, 50, 李渔全集
5026799, 9.4, 49, 汤显祖戏曲集
1705372, 9.1, 58, 缀白裘（全六册）
1820620, 7.7, 173, 中国戏剧史
4204416, 7.2, 298, 此生只为一人去
4275013, 8.7, 73, 京剧原来如此美丽
4142192, 8.6, 78, 元本琵琶记校注 南柯梦记校注
25859178, 8.0, 124, 人间有戏
3654066, 8.6, 77, 牡丹亭·西厢记（插图本）
1366606, 9.3, 49, 怎知春色如許 : 白雪仙珍藏相簿
1076107, 6.8, 444, 白先勇说昆曲
1855022, 8.1, 106, 醉眼优孟
1122812, 9.3, 46, 桃花扇(四大名剧)
1274370, 8.5, 75, 京剧谈往录四编
11503110, 7.9, 119, 纸上蹁跹
1926676, 9.4, 42, 中国十大古典喜剧集
26675983, 8.6, 65, 写给不看戏的人看
2193089, 8.0, 101, 老戏的前世今生
4238015, 8.8, 55, 国剧名伶轶事
5365218, 8.3, 77, 赵氏孤儿
1274658, 8.2, 83, 我－－一个孤单的女小生
2250421, 9.1, 45, 汤显祖戏曲集（全二册）
1922285, 9.4, 37, 唐戏弄
3411545, 8.5, 62, 玉簪记
1963562, 8.0, 89, 清园谈戏录
1924936, 7.8, 104, 中国戏剧大师的命运
2079479, 9.0, 43, 清代内廷演剧始末考
1916067, 7.8, 100, 做戏
2372462, 8.7, 51, 许姬传七十年见闻录
4940926, 9.1, 40, 中国昆曲衣箱
2246745, 9.4, 34, 昆剧表演一得
2310123, 8.9, 44, 录鬼簿(外四种)
1416379, 8.7, 49, 墙头马上
4220395, 8.9, 43, 中国近世戏曲史
1055902, 7.4, 135, 梅兰芳画传
1011288, 8.7, 48, 桃花扇
2333483, 8.2, 66, 风筝误
5994751, 8.6, 50, 金圣叹批评本西厢记
1326764, 8.5, 53, 吴小如戏曲随笔续集
10432702, 8.3, 60, 《笠翁传奇十种》之《怜香伴》
3608928, 8.0, 74, 孟小冬与言高谭马
2113697, 8.4, 55, 中国戏剧史长编
3354464, 8.5, 50, 京剧之变迁
6856645, 8.9, 39, 粉墨春秋
1052347, 8.1, 65, 赵氏孤儿
3528049, 7.8, 81, 画说京剧
1961871, 8.9, 38, 昆剧发展史
24523793, 7.9, 73, 听园
3150250, 7.8, 79, 怕是风流负佳期
2300377, 8.4, 50, 元本琵琶记校注
1043952, 8.3, 53, 中国京剧服装图谱
3598595, 8.1, 61, 中国戏剧史研究入门
1254714, 8.9, 36, 清代燕都梨园史料（共两册）
1196303, 8.3, 52, 吴小如戏曲文录
4199930, 7.7, 81, 田沁鑫的戏剧场
19964710, 8.6, 42, 看戏一得
1181363, 9.1, 31, 全元戏曲（全12卷）
3119130, 8.6, 41, 桃花扇
4238158, 7.7, 77, 故都宫闱梨园秘史
1421272, 9.0, 32, 中国古代四大名剧
1799771, 8.0, 60, 晚清戏曲的变革
3373988, 9.1, 30, 新版家庭藏书－戏曲小说卷－牡丹亭
1122304, 8.7, 37, 中国昆剧大辞典
3110867, 8.9, 33, 宋元戏曲史
1089291, 8.1, 54, 汉宫秋
3926735, 8.0, 58, 我的昆曲世界
1007968, 8.8, 34, 曲-国学经典
1080111, 7.3, 102, 中国京剧二十讲
3566426, 8.2, 49, 紫钗记
4201650, 8.2, 49, 程砚秋日记
2997170, 9.2, 27, 王骥德曲律
1028623, 8.7, 35, 正仓院考古记白川集
1213998, 7.8, 64, 救风尘
3295162, 6.9, 147, 昆曲六百年
2104654, 9.5, 23, 昆曲曲牌及套数范例集 北套
1366276, 8.7, 34, 姹紫嫣紅開遍 : 良辰美景仙鳳鳴
2224814, 8.6, 35, 董解元西厢记
1028943, 7.5, 76, 牡丹还魂
5917374, 7.5, 74, 云心水心玉簪记
1008771, 8.7, 32, 曲律学
1438567, 7.6, 67, 梅兰芳游美记
3112058, 8.8, 30, 南柯梦记
4142243, 8.9, 28, 戏文概论 谜史
2247278, 8.1, 45, 非常说法
4230641, 9.2, 24, 戏班
24697599, 8.7, 31, 京剧猫之长坂坡
2002809, 8.3, 39, 吴小如戏曲随笔集补编
1038336, 8.9, 27, 汤显祖全集（全三册）
1546360, 8.7, 30, 明清传奇史
3144288, 7.4, 73, 戏文内外
1097062, 7.5, 66, 梅兰芳全传
3398324, 8.3, 37, 京剧新序
1014709, 7.9, 48, 中国戏剧史/蓬莱阁丛书
1385581, 8.7, 29, 唐滌生的文字世界 ─ 仙鳳鳴卷
1041211, 7.3, 76, 琵琶记
1490382, 8.6, 30, 宋元戏曲史
3767780, 7.8, 50, 逢场作戏
6938466, 8.6, 29, 图解京剧艺术
3112573, 8.8, 26, 工尺谱浅说
1084244, 7.4, 65, 京剧·跷和中国的性别关系 1902—1937
1956608, 8.4, 32, 中国戏曲通史（上中下）
3368870, 9.2, 21, 沧州集
2567483, 7.3, 70, 画说昆曲
1920637, 7.6, 54, 圆梦
11441788, 8.9, 24, 云亭山人评点桃花扇
2174236, 9.4, 19, 牡丹亦白(平裝版)
3617400, 8.2, 35, 身上的事
2045050, 6.5, 157, 中国昆曲二十讲
1131859, 7.4, 61, 梨园冬皇孟小冬传
1435602, 8.9, 23, 全元曲（全12卷）
1802357, 8.4, 30, 卢前曲学四种
1390936, 7.8, 44, 工尺谱入门
1927812, 8.8, 24, 曲品校注
1178194, 8.0, 38, 许姬传艺坛漫录
2325876, 8.0, 38, 燕子笺
1955844, 7.4, 59, 我的祖父马连良
1543951, 8.7, 25, 中国京剧衣箱
2084664, 8.7, 25, 红楼梦戏曲集（全二册）
4142184, 8.7, 25, 永樂大典戲文三種校注
11613780, 8.4, 29, 天上掉下个林妹妹
1358409, 9.0, 21, 任劍輝讀本
26368340, 7.9, 39, 诗与政治
4835579, 8.9, 22, 国剧艺术汇考
1594146, 7.5, 52, 汉宫秋
1140824, 8.1, 34, 程砚秋戏剧文集
4704134, 9.2, 19, 宋元戏曲史
11232762, 8.3, 30, 翁偶虹看戏六十年
4194265, 8.7, 24, 齐如山文存
1538868, 8.6, 25, 草根的力量
3389939, 7.0, 78, 非常梅兰芳
1023996, 8.2, 31, 京剧知识手册
1491286, 7.8, 40, 梅兰芳艺术谭
2421650, 8.8, 22, 优孟衣冠八十年
3103087, 8.7, 23, 我演昆丑
26693280, 8.7, 23, 氍毹留痕
1742951, 8.1, 32, 二十世纪前期昆曲研究
5961927, 7.9, 36, 创造李渔
25735495, 8.5, 25, 历炼精魂
3229768, 8.2, 29, 元人杂剧选
25769118, 8.7, 22, 京剧老照片·第1辑
3692418, 6.6, 107, 锦堂风月落花尘
1013822, 8.6, 23, 中国戏曲选（上、中、下）
1073966, 9.1, 18, 京剧大戏考
3462572, 7.6, 42, 禁戏
1047635, 7.7, 39, 生死恋歌
1034891, 7.9, 34, 北京话旧
1737745, 7.9, 34, 我的三位老师：侯喜瑞 裘盛戎 侯宝林
3032379, 6.9, 75, 梨园往事
5996682, 7.7, 38, 王思任批评本牡丹亭
6559632, 7.9, 33, 旧戏新谈
1080732, 7.8, 35, 角色符号
1767053, 8.3, 25, 紅毹紀夢詩注
1015782, 8.7, 20, 中国昆曲艺术
3178132, 7.2, 52, 我是小生
7059678, 8.8, 19, Opera and the City
2328784, 8.5, 22, 俞振飞艺术论集
1957800, 7.2, 51, 谈史说戏
1188684, 7.6, 37, 再生缘
3900303, 7.8, 32, 窦娥冤
3428276, 6.8, 71, 中国昆曲地图
1683668, 7.5, 39, 千古绝唱
3244892, 7.6, 36, 一个真实的孟小冬
5363269, 8.4, 22, 青衣·花脸·小丑
1924881, 7.2, 48, 粉墨生涯六十年
2349511, 8.3, 23, 昆曲格律
1543905, 7.6, 35, 牡丹亭选评
1068987, 7.4, 40, 中国京剧
3243144, 8.4, 21, 菊花新曲破
5333029, 8.6, 19, 马得戏曲人物画集
5340659, 8.3, 22, 昆曲纪事
1430610, 8.7, 18, 梅蘭芳藏戲曲史料圖畫集（上下）
1340463, 7.2, 45, 昆曲
1423230, 8.4, 20, 戏曲小说丛考
2124711, 8.4, 20, 临风度曲
2272582, 8.4, 20, 曲韵易通
3118838, 8.4, 20, 南词叙录注释
1050919, 7.8, 28, 雷峰塔
2053022, 7.8, 28, 日本狂言选
1070541, 8.6, 18, 宋元戏曲史疏证
1227817, 8.6, 18, 邯郸梦记校注
3932002, 6.2, 116, 粉墨人生妆泪尽
2568636, 7.3, 38, 桃花扇研究与欣赏
1028775, 7.4, 35, 无悔追梦：上昆名家从艺五十周年风采实录
1446447, 7.9, 25, 元杂剧精选
5063419, 7.9, 25, 幽兰雅韵赖传承：昆剧“传”字辈评传
3213838, 8.3, 20, 中国戏曲曲艺词典
10605363, 8.4, 19, 中国戏剧史讲座
1968749, 7.7, 28, 侯少奎昆曲五十年
1626880, 8.6, 17, 李玉戲曲集（全三冊）
1172190, 7.1, 42, 苏州昆曲
20509559, 7.6, 29, 倩女离魂/中国古典名剧
2224918, 7.9, 24, 智取威虎山
1398278, 7.1, 41, 梅兰芳自述
1926665, 8.3, 19, 中国十大古典悲喜剧集
1019092, 8.0, 22, 余叔岩孟小冬暨余派艺术
10741729, 8.5, 17, 京剧说苑
2333485, 7.8, 24, 绿牡丹
22622391, 7.8, 24, 赏花有时 度曲有道
11610382, 6.4, 75, 时光是最美的花旦
3406308, 7.6, 27, 程长庚·谭鑫培·梅兰芳：清代至民初京师戏曲的辉煌
1797116, 8.3, 18, 盛明杂剧
3182372, 8.3, 18, 京剧剧目初探
11594125, 8.3, 18, 张充和手抄昆曲谱
1009676, 7.7, 25, 幽闺记(又名拜月亭记)
1123228, 8.4, 17, 梅兰芳表演艺术图影
2027695, 7.4, 30, 古中国的歌
3712654, 6.8, 48, 青出于兰——张继青昆曲五十五年
1713278, 6.9, 43, 插图本中国戏剧史
2129056, 7.7, 24, 中国伶人血缘之研究
20435317, 7.2, 33, 梨园幽韵
5994752, 7.7, 23, 桃花扇
6773883, 7.6, 24, 余叔岩传
10765697, 8.0, 19, 雅部正音  官生魁首
2303218, 7.3, 29, 娇红记
3243145, 8.2, 17, 宋金杂剧考
2986207, 7.8, 21, 京剧行头
1321969, 8.3, 16, 明清传奇鉴赏辞典（上下）
3022821, 7.3, 28, 中国祭祀戏剧研究
1742950, 7.9, 19, 昆曲与明清社会
1139433, 8.0, 18, 戏曲本质论
1050400, 8.1, 17, 元杂剧爱情卷
3330063, 6.3, 63, 梅兰芳与孟小冬
4075014, 7.0, 33, 京剧下午茶
2247473, 7.7, 20, 戏外看京剧
2326783, 7.4, 24, 昆曲与江南社会生活
3077295, 7.4, 24, 浣纱记
3237809, 7.4, 24, 京剧常识
3222990, 7.1, 29, 梨花带雨
3175673, 8.2, 15, 再生缘（共两册）
3162164, 7.4, 23, 休恋逝水
3613934, 7.2, 26, 打开京剧之门
3092924, 7.7, 19, 关汉卿戏剧集
3118885, 7.9, 17, 元曲选(上下冊)
1838023, 6.8, 35, 古韵悠扬水磨腔
1007254, 7.6, 20, 中国戏曲史
2128161, 8.0, 16, 京师梨园世家（上下）
3024785, 8.1, 15, 牡丹一百
25812564, 8.2, 14, 听歌想影话梨园
2100268, 6.6, 39, 汤显祖说情
5920669, 7.6, 19, 京剧艺术漫谭
1123456, 7.9, 16, 梅兰芳珍藏老像册
1025538, 6.8, 32, 优伶
3278374, 8.0, 15, 梅兰芳舞台生活四十年
3227952, 6.8, 31, 过往的君子听我言京剧闲闲说
3145654, 7.2, 23, 程砚秋全传
6749590, 7.7, 17, 中国戏剧史
1742953, 7.5, 19, 昆曲与人文苏州
3803158, 7.5, 19, 秋海棠
2005428, 7.8, 16, 彙校詳注關漢卿集（全三冊）
2996297, 7.9, 15, 昆剧史补论
3118897, 7.9, 15, 新校元刊杂剧三十种(上下冊)
2032936, 8.2, 13, 说破.虛假.团圆
2989119, 8.2, 13, 纳书楹曲谱
