2017-01-23 16:17:59
Tag: 教材
The number of books: 989 

ID, rating, votes, title
1028842, 9.0, 10764, 经济学原理（上下）
1007928, 9.1, 8901, 美国纽约摄影学院摄影教材（上）
1032501, 8.7, 11282, 心理学与生活
1039389, 9.0, 3971, 新概念英语3
1039460, 9.0, 3270, 美国纽约摄影学院摄影教材（下）
1485731, 9.6, 1387, 原动画基础教程
1437852, 9.5, 1409, 费恩曼物理学讲义（第1卷）
1025721, 8.6, 3835, 新概念英语（2）
1072316, 9.1, 1974, 古代汉语（第一册）
1082512, 9.4, 1234, 公司理财
1082593, 9.1, 1621, 经济学
3143537, 9.3, 1277, 津巴多普通心理学
3055719, 8.7, 2472, 经济学的思维方式（第11版）
1014385, 9.0, 1664, 新概念英语（4）
1501873, 8.3, 3803, 中日交流标准日本语（新版初级上下册）
1281898, 8.8, 1808, 宏观经济学
2005726, 8.7, 1829, 货币金融学
1493350, 9.3, 895, 哈农钢琴练指法
1042011, 9.0, 1090, 古代汉语（第二册）
1006720, 8.4, 2105, 新概念英语第一册
1139881, 8.7, 1408, 微观经济学
1536776, 9.1, 843, 拜厄钢琴基本教程
1066627, 8.2, 2148, 中国现代文学三十年
1017788, 9.1, 731, 古代汉语（第四册）
4213525, 8.6, 1226, 电影镜头设计
2125973, 9.3, 586, 心理学导论
6848105, 9.2, 643, GRE核心词汇考法精析
1070380, 9.0, 774, 古代汉语（第三册）
1428117, 8.9, 842, 普通生物学
1707158, 9.4, 516, 微积分学教程（第一卷）
1084471, 8.4, 1486, 管理学
3689168, 9.1, 683, 社会学
3104870, 8.9, 837, 新闻理论十讲
1683152, 9.6, 429, 费恩曼物理学讲义 第3卷
1429566, 8.4, 1468, 变态心理学（第9版）
1684863, 9.5, 459, 费恩曼物理学讲义（第2卷）
1751123, 8.6, 1123, 走遍法国(学生用书 1/上)
1852228, 9.1, 656, 全新法语语法
1411139, 9.0, 691, 车尔尼钢琴初步教程作品599
3016590, 9.1, 624, 大众传播理论
1422231, 8.4, 1329, 电影剧本写作基础
1179807, 8.8, 803, 计算机网络
1324621, 9.3, 482, 宪法学导论
1420638, 8.3, 1388, 投资学
2116307, 8.4, 1205, 荣誉
3663124, 9.2, 511, 韦洛克拉丁语教程
1024279, 8.0, 1987, 普通心理学
1242605, 9.1, 549, 完全掌握2级日本语能力考试语法问题对策
