2017-01-23 16:17:59
Tag: 文化
The number of books: 981 

ID, rating, votes, title
4238362, 8.6, 82840, 送你一颗子弹
1054685, 9.0, 36691, 沉默的大多数
2143732, 8.7, 48505, 灿烂千阳
25985021, 9.3, 18052, 人类简史
1027191, 9.0, 26865, 历史深处的忧虑
1022060, 8.3, 73024, 狼图腾
7060185, 9.0, 21133, 江城
20440644, 9.2, 15332, 文学回忆录（全2册）
1203426, 9.0, 14290, 人间词话
1426971, 8.8, 18302, 野火集
3162991, 9.6, 5247, 艺术的故事
1056315, 8.8, 14159, 总统是靠不住的
1014825, 9.0, 10545, 我也有一个梦想
1795079, 9.2, 7785, 乡土中国
1012611, 8.3, 29670, 乌合之众
1813841, 8.8, 11265, 枪炮、病菌与钢铁
5375620, 8.8, 11256, 失控
1062193, 8.6, 15226, 娱乐至死
1001885, 8.5, 17488, 带一本书去巴黎
3344676, 8.1, 34152, 常识
1050339, 7.8, 60678, 文化苦旅
4124727, 8.1, 32657, 孤独六讲
5366248, 8.3, 21654, 你一定爱读的极简欧洲史
1859140, 8.8, 9763, 上学记
1021273, 8.8, 9725, 中国哲学简史
26576861, 9.0, 7296, 最好的告别
1022238, 8.2, 25106, 菊与刀
1762869, 8.9, 8210, 如彗星划过夜空
1964774, 9.0, 6923, 论语
1015699, 8.3, 17366, 中国大历史
5269439, 8.4, 13767, 城门开
1322455, 8.8, 7257, 遥远的救世主
1917972, 7.8, 37141, 在路上
1962923, 8.6, 9316, 西班牙旅行笔记
10471333, 8.9, 5788, 叫魂
3642673, 8.0, 23117, 我执
1225983, 8.8, 6158, 万物简史
1792668, 8.5, 9461, 苏东坡传
1034067, 8.8, 6102, 美的历程
1003284, 8.1, 17914, 退步集
1005492, 8.9, 5194, 光荣与梦想
1025723, 8.3, 11697, 潜规则
1070711, 8.7, 6384, 城记
1310228, 9.2, 3311, 乡土中国 生育制度
5990251, 8.5, 8522, 西藏生死书
1032645, 8.6, 7209, 窥视印度
5040220, 9.0, 3871, 蒋勋说红楼梦（第一辑）
1907199, 8.6, 5972, 扫起落叶好过冬
3697494, 9.1, 3037, 洞穴奇案
1011215, 8.8, 4305, 论语别裁(上下)
1253310, 8.9, 3763, 人间草木
1227844, 8.8, 4125, 雅舍谈吃
4773224, 8.3, 8446, 生活十讲
1062991, 8.4, 7072, 北京法源寺
1004322, 8.6, 5230, 第二性
1427825, 8.5, 5947, 中国人史纲（上中下）
3566368, 8.3, 7958, 空谷幽兰
4238144, 9.1, 2665, 岁朝清供
6892579, 8.4, 6737, 美国种族简史
1054889, 7.7, 21936, 行者无疆
4002701, 8.4, 6526, 朱镕基答记者问
1047719, 8.5, 5620, 傅雷家书
1015584, 8.0, 12185, 看上去很美
1460313, 8.4, 6327, 哥伦比亚的倒影
1027247, 7.9, 14124, 丑陋的中国人
1036541, 8.7, 4091, 疯癫与文明
3389984, 8.6, 4666, 俗世奇人
7055441, 8.9, 3113, 罗马人的故事1
6712255, 8.8, 3516, 天真的人类学家
1017238, 8.8, 3508, 美学散步
4199761, 8.4, 5991, 重新发现社会
2216583, 8.8, 3399, 沉重的肉身
3333989, 8.1, 9181, 荒废集
4113090, 7.4, 33354, 我们台湾这些年
