2017-01-23 16:17:59
Tag: 旅行
The number of books: 974 

ID, rating, votes, title
1361264, 9.0, 53552, 撒哈拉的故事
5414391, 9.0, 28887, 寻路中国
7060185, 9.0, 21133, 江城
1036490, 8.8, 14020, 万水千山走遍
1001885, 8.5, 17488, 带一本书去巴黎
1050339, 7.8, 60678, 文化苦旅
1760548, 9.2, 5538, 三毛作品集
4618225, 8.2, 20287, 不去会死！
24934182, 8.1, 22981, 一个人的朝圣
1063190, 8.0, 27056, 蔷薇岛屿
1917972, 7.8, 37142, 在路上
1962923, 8.6, 9316, 西班牙旅行笔记
1056461, 8.3, 14849, 旅行的艺术
2376570, 9.3, 3536, 浪漫的逃亡
1441869, 8.9, 5467, 没有教不好的学生
1056868, 8.5, 9458, 河童旅行素描本
1032645, 8.6, 7209, 窥视印度
1075538, 8.2, 10730, 普罗旺斯的一年
25697520, 8.2, 10650, 他们最幸福
25753361, 8.7, 4996, 最好金龟换酒
4906101, 8.4, 7667, 一个人旅行2
3266345, 8.1, 12347, 三杯茶
25984204, 7.6, 28806, 乖，摸摸头
1054889, 7.7, 21936, 行者无疆
2258803, 8.3, 7788, 一個人去旅行
3765620, 8.7, 4235, 在漫长的旅途中
5366382, 8.7, 4211, 夜航西飞
5366278, 8.0, 11582, 走吧，张小砚
3905366, 7.8, 15861, 迟到的间隔年
25920202, 8.6, 4323, 泛若不系之舟
1933931, 8.7, 3681, 沿着塞纳河到翡冷翠
4159088, 7.8, 14073, 理想的下午
1035326, 8.7, 3448, 一次?图片和故事
7064313, 7.8, 13467, 突然就走到了西藏
1020241, 7.6, 19115, 千年一叹
5940434, 8.3, 5754, 一个人的美食之旅
6516050, 8.2, 6630, 搭车去柏林
1393447, 9.1, 1756, 忧郁的热带
1070685, 8.1, 6225, 永远的普罗旺斯
5290370, 8.6, 3007, 禅的行囊
4208780, 8.1, 5782, 流浪集
1015123, 8.7, 2430, 生存手册
10743137, 7.7, 9782, 绿皮火车
1010888, 8.4, 3212, 一路走来一路读
3759806, 8.4, 3192, 西藏一年
5264779, 7.4, 16204, 背包十年
6125543, 9.2, 1187, 北方的空地
1937939, 8.3, 3496, 河童杂记本
1921377, 8.9, 1474, 中国人的景观大道
10485696, 7.6, 9434, 我就是想停下来，看看这个世界
3332661, 9.2, 997, 中国景色
1130367, 8.8, 1536, 艽野尘梦
11506941, 7.9, 5034, 我们始终牵手旅行
1041414, 8.6, 1873, 威尼斯日记
2044295, 8.3, 2750, 土耳其手绘旅行
1060723, 8.0, 4187, 重返普罗旺斯
6829323, 7.9, 4884, 我，睡了，81个人的沙发
4817396, 8.7, 1545, 云南
6846465, 8.6, 1709, 罗摩桥
26575812, 7.3, 12262, 阿弥陀佛么么哒
3223552, 7.8, 5025, 转山
4820214, 8.6, 1632, 印度走着瞧
3065232, 8.0, 3598, 藏地白皮书
1884249, 8.0, 3479, 当我们旅行
1482502, 8.6, 1471, Pyongyang
1273759, 8.2, 2415, 人在欧洲
1438461, 7.8, 4131, 窥视日本
10354317, 8.7, 1228, 荒野求生手册
1785512, 8.3, 1941, 漫卷西风
6126821, 8.4, 1692, 远方的鼓声
6121542, 8.0, 2894, 当你途经我的盛放
3805407, 8.5, 1422, 美国走着瞧
6521471, 8.2, 1949, 双CHEN记
7067934, 7.7, 4009, 打工旅行
1963229, 8.6, 1153, 东南亚
5397044, 8.3, 1633, 蓝色天堂
10554464, 8.2, 1801, 去他的巴西
6872434, 7.6, 4327, 最好的时光在路上
19956264, 8.4, 1386, 谷岳搭车去柏林
1082899, 8.7, 966, 我的心遗留在爱琴海
3218534, 8.1, 1918, Eat
1001682, 8.4, 1279, 我钻进了金字塔
1785508, 8.1, 1875, 今晚去哪里
4822437, 8.7, 891, 四川和重庆
20379760, 8.1, 1819, 我亦飘零久
25898124, 7.6, 3785, 得未曾有
4908871, 7.9, 2356, 用洗脸盆吃羊肉饭
1082694, 7.9, 2337, 柬埔寨五月盛放
11537640, 8.4, 1206, 一个人的美食之旅2
26708306, 8.7, 851, 北欧，冰与火之地的寻真之旅
1017860, 8.2, 1498, 木已成舟
6967496, 8.2, 1461, 不去吃会死
3410812, 7.4, 4779, 死在这里也不错
4137276, 9.4, 405, 结起点亦是终点
26325928, 8.4, 1111, 人在纽约
6084703, 7.3, 5468, 独立，从一个人旅行开始
1047608, 8.1, 1585, 藏地牛皮书
3063889, 8.8, 696, 进入空气稀薄地带
1785502, 7.9, 2035, 咖啡苦不苦
26587564, 8.3, 1199, 我已与一万亿株白桦相逢
6826619, 8.3, 1188, 大中东行纪
5914563, 8.1, 1504, 边走边啃腌萝卜
1812223, 7.6, 3050, 消失的地平线
19950612, 7.3, 4988, 伊斯坦布尔假期
6852200, 8.1, 1466, 一个人暖呼呼
4894992, 8.7, 717, 到瑞士
7063932, 8.2, 1268, 东京散步
10834769, 7.7, 2513, 门外汉的京都
6802371, 7.9, 1847, 一个游荡者的世界
2155525, 8.4, 929, 尼泊尔
1060931, 8.5, 828, 幽黯国度
1068907, 7.8, 1961, 如果我们的语言是威士忌
26371292, 8.1, 1279, 不在他方
2969749, 8.3, 988, 巴黎手记
3068550, 7.7, 2182, 希腊
3769019, 8.5, 777, 闪亮的日子
2333837, 7.8, 1847, 雨天炎天
26698223, 9.2, 383, 永恒的时光之旅
1910779, 7.7, 2102, 迷失·鼓浪屿
1939594, 7.7, 2086, 京都一年
25918820, 7.8, 1786, 吴哥之美
26214729, 8.4, 798, 如果我能说了算
3826575, 7.8, 1693, “小不列颠”札记
1850861, 8.0, 1268, 托斯卡纳艳阳下
1083161, 8.4, 764, 风险投资家环球游记
23196321, 8.3, 855, 林竹闯关西
1055199, 8.3, 840, 万里无云
1058514, 8.1, 1056, 180°以外
26831788, 8.0, 1194, 旅行与读书
10566257, 8.0, 1173, 出国自助游教室
20258503, 8.5, 649, 土摩托看世界
3665961, 8.2, 905, 客厅里的绅士
4933087, 7.3, 3214, 机场里的小旅行
3933045, 8.7, 511, 旅途上的建筑
1968295, 8.3, 755, 柬埔寨
10537645, 8.4, 662, 岛屿书
10439099, 9.0, 361, 旅之绘本（全六册）
1223780, 8.7, 465, 陌生的阿富汗
1046175, 7.4, 2354, 寻常放荡
6510522, 7.0, 4666, 分开旅行
6556332, 7.8, 1282, 旅行，人生最有价值的投资
3918036, 7.7, 1458, 日月
1075764, 7.9, 1111, 我在美国当农民
1027343, 7.6, 1678, 窥看欧洲
6313482, 7.6, 1659, 一路向南
5408843, 7.7, 1435, 旅行从客房开始
10862171, 7.9, 1091, 云深处
3369452, 7.9, 1081, 一辈子当公主
1880126, 8.1, 826, 大勇和小花的欧洲日记
4137178, 8.2, 726, 北极光
1864886, 8.5, 518, 欧洲
26644958, 9.3, 248, 孟火火的第一本书
4924857, 7.2, 2910, 每一次相遇都是奇迹
1322852, 8.8, 383, 孤筏重洋
5423785, 8.1, 805, 千年繁华
2157181, 8.0, 908, 荷兰牧歌
5409459, 8.0, 905, 摩托日记
4836688, 7.4, 2070, 最危险的厕所和最美丽的星空
1083465, 7.7, 1328, 欧洲之旅
1042580, 8.8, 373, 意大利古建筑散记
24883513, 6.8, 5834, 猫力乱步
20424613, 7.6, 1486, 南法航线
1024810, 8.1, 758, 印度：受伤的文明
1762875, 8.3, 597, 暗盒笔记
6126817, 7.8, 1090, 边境 近境
2160716, 7.7, 1230, 孤独旅者
6128129, 8.0, 829, 带上灵魂去旅行
4831326, 8.5, 470, 伊朗手绘旅行
1073086, 8.3, 572, 偶遇
10795220, 7.7, 1183, 喃喃
5323773, 7.9, 907, 我睡了81個人的沙發
26685539, 8.1, 705, 有鹿来
3191866, 8.1, 701, 杜甫的五城
1039661, 7.7, 1158, 厨师之旅
26639786, 8.1, 696, 舍得，舍不得
3038895, 8.7, 362, 柬埔寨和吴哥寺
1864891, 8.7, 361, 德国
19928975, 7.8, 980, 去印度学倒立
3924138, 7.2, 2321, 行走台湾
1040351, 8.3, 533, 印度：百万叛变的今天
4805128, 7.5, 1397, 你好，陌生人
3316179, 8.1, 643, 人在故乡为异客
10770743, 9.4, 190, 林达作品集（全九册)
10570061, 8.1, 639, 单向街 004
6982202, 7.6, 1187, 走吧，为了爱
4735708, 7.9, 801, 我要游过大海
3653125, 9.1, 233, 摄影师的朝圣
11613687, 7.5, 1331, 我是爬行者小江
4833871, 8.6, 362, 巴黎，艺术至上
3451827, 8.2, 547, 旅人
7052624, 7.3, 1778, 辞职，去旅行！
3424969, 8.3, 488, 世界上最幸福的地方
1023006, 7.6, 1129, 梦幻旅游:人一生要去的50个地方（美国《国家地理》权威评选）
6527751, 8.2, 538, 旅行摄影圣经
3303213, 7.1, 2407, 让我去那花花世界
1170622, 7.6, 1110, 丽江的柔软时光
24869869, 8.4, 424, 慢骑中国
10593881, 7.5, 1256, 初见即别离
26708780, 7.8, 838, 非洲三万里
2274335, 7.8, 826, 你的萨宾娜，我的卡夫卡
5299847, 8.0, 643, 与全世界做生意
3014318, 7.9, 722, 林依晨的紐約貝果日記
24838209, 8.3, 455, 时光映画——镜头中的二十四节气
24754564, 7.9, 710, 葬我以风
1288895, 9.0, 233, 在乌苏里的莽林中
1489218, 8.8, 275, 旷野的声音
4831327, 8.5, 363, 中亚手绘旅行
4876949, 8.1, 553, 东搬葡萄西班牙之东一脚
6794354, 8.0, 615, 诺阿诺阿
25912887, 6.8, 3675, 练习一个人
3360615, 8.2, 489, 日本
20386247, 7.3, 1554, 趁，此身未老
25804649, 7.4, 1336, 无知的游历
4831319, 8.3, 435, 土耳其东部手绘旅行
4876950, 8.0, 599, 东搬葡萄西班牙之西一脚
4848403, 7.8, 746, 一只猫的巴黎晃悠
4849378, 8.6, 313, 世界
20283087, 8.0, 580, 十年徒步中国
11445372, 8.3, 416, 是非洲
26052898, 7.7, 826, 我从新疆来
6731445, 7.9, 643, 巴黎，很烦人
5264468, 7.7, 818, 东西莫辨逛欧洲
4038021, 7.9, 634, 波西米亚楼
5986543, 7.5, 1062, 11元的铁道旅行
3986581, 7.9, 629, 北纬78°（全二册）
3696228, 7.6, 909, 一次旅行遇见整个世界
25283615, 8.7, 270, 萨哈林旅行记
4256223, 7.8, 691, 西班牙主题变奏
6845414, 6.5, 5771, 去，你的旅行
2122173, 8.7, 267, 意大利
3316185, 8.0, 537, 失落的大陆
1877908, 8.0, 536, 记忆火车
5283569, 8.4, 349, 台湾
3771868, 8.2, 425, 印度札记
11589942, 7.6, 844, 非洲十年
11614288, 7.2, 1492, 我们为什么旅行
6431238, 6.9, 2422, 一个人私奔
2261636, 8.6, 275, 被遗忘的王国
2130184, 8.0, 505, 叫醒布拉格
6039233, 7.5, 941, 蒋勋的卢浮宫
4873796, 7.7, 723, 沙发旅行
10491606, 7.1, 1705, 寂寞带我去散步
1812843, 7.7, 710, 在中国屏风上
25818124, 8.2, 399, 翡翠岛编年
5994832, 8.3, 358, 天空之鏡
6425965, 8.3, 357, 陕西
4246990, 8.0, 491, 吃透法兰西
1754676, 8.1, 438, 赭城
2280575, 8.6, 265, 大唐西域记
2376268, 8.7, 240, 法国
25880420, 7.9, 540, 少林很忙
26303593, 8.4, 314, 三个胡安在海边
26844348, 6.7, 3212, 好吗好的
1291821, 8.9, 200, 波斯之风
5269117, 8.8, 217, 现实即弯路
2327122, 8.4, 311, 藏地孤旅
5323842, 7.9, 522, 跟我去香港
2130354, 9.2, 154, 登山圣经
5919945, 8.4, 304, 1000极致旅行体验
26480625, 7.9, 516, 午夜降临前抵达
3204670, 8.3, 335, 泰国
10574746, 7.5, 843, 自在台湾
1763434, 8.6, 248, 余纯顺孤身徒步走西藏
11443072, 7.7, 640, 三国志男
2149710, 7.4, 942, 再见了，马拉卡纳
1968313, 8.3, 325, 英国
3722954, 7.3, 1082, 醒来，在地球的一个角落
25934263, 8.7, 223, 土摩托看世界Ⅱ
3312065, 7.7, 630, 越往南越南
