2017-01-23 16:17:59
Tag: 明史
The number of books: 434 

ID, rating, votes, title
1873231, 8.8, 77639, 明朝那些事儿（壹）
1041482, 8.9, 54817, 万历十五年
1949338, 8.9, 39245, 明朝那些事儿（贰）
2052448, 8.9, 32676, 明朝那些事儿（叁）
3626924, 9.0, 22767, 明朝那些事儿（柒）：大结局
2253642, 8.8, 30176, 明朝那些事儿（肆）
3009821, 8.8, 27472, 明朝那些事儿（伍）
3274113, 8.9, 22735, 明朝那些事儿（陆）
6533042, 9.3, 840, 南明史
1982427, 9.0, 1013, 大明王朝1566
1463256, 8.2, 2070, 大明王朝的七张面孔
1132689, 8.7, 679, 洪业
25760457, 8.8, 601, 三案始末
1006419, 8.4, 836, 十六世纪明代中国之财政与税收
1825043, 8.9, 475, 明史讲义
1076013, 8.8, 448, 明史（全二十八册）
1777478, 8.5, 525, 剑桥中国明代史（上卷）
1001953, 8.2, 670, 张居正大传
1962573, 8.6, 340, 剑桥中国明代史（下卷）
1025547, 8.4, 410, 纵乐的困惑
3181961, 7.6, 886, 朱元璋传
7056976, 9.2, 174, 明朝那些事儿9 图文精印版
21452652, 8.5, 300, 黑洞
21405316, 8.1, 441, 龙床
1023188, 8.2, 371, 风雪定陵
3255919, 8.1, 390, 窃明5
4122956, 8.0, 421, 风雨张居正
7056978, 9.0, 165, 明朝那些事儿8 图文精印版
3717124, 8.8, 192, 明朝那些事儿9
1464897, 8.1, 366, 明朝的皇帝
1891759, 8.6, 216, 两头蛇
1434247, 7.3, 840, 帝国政界往事：大明王朝纪事
3717123, 8.8, 162, 明朝那些事儿8
1866520, 8.9, 139, 明季北略(全二册)
1870360, 7.3, 693, 明亡清兴六十年（上）
1007272, 9.0, 121, 万历野获编（上中下）
2140639, 9.6, 79, 三才圖會（全三冊）
24858161, 8.4, 190, 野哭
1322125, 7.8, 322, 明代的漕运
26281730, 7.9, 276, 南华录
20516976, 7.6, 375, 海与帝国：明清时代
1048535, 8.5, 124, 崇祯传
3101063, 8.1, 174, 1644：帝国的疼痛
1906939, 8.5, 122, 扬州十日记
3024498, 7.4, 350, 晚明七十年
1278800, 8.4, 129, 晚明清初思想十论
1981045, 7.3, 386, 明亡清兴六十年（下）
1866523, 8.7, 100, 明季南略
10435585, 8.1, 161, 明末农民战争史
1017604, 8.2, 139, 晚明史
19954823, 7.9, 181, 明朝没有沈万三
1055236, 7.4, 279, 细说明朝
4722852, 8.0, 150, 天崩地解
1122557, 8.2, 124, 利玛窦中国札记
1719691, 8.3, 113, 心学大师王阳明大传
3077656, 8.9, 72, 宋明理学与政治文化
2353973, 8.7, 82, 大明旗号与小中华意识
1956172, 7.7, 189, 南明史
1050199, 8.8, 74, 明代粮长制度
2378481, 8.7, 79, 明史纪事本末(全四册)
1151340, 7.5, 220, 甲申三百年祭
1489428, 9.3, 52, 国榷（全六册）
1013039, 8.9, 62, 二十五史（布面精装全十二册）
1024235, 6.7, 531, 正说明朝十六帝
3181674, 7.9, 129, 品味奢华
26583162, 7.4, 199, 晚明大变局
1077131, 8.1, 102, 明代社会生活史
1058910, 9.2, 47, 明季滇黔佛教考（全二册）
1420729, 7.5, 173, 明史简述
2073583, 7.5, 170, 大明王朝的最后十七年
1706396, 8.5, 72, 明季党社考
2229217, 9.2, 46, 明清史讲义（上下册）
1169053, 8.6, 66, 明代宦官与三案
26611270, 8.7, 61, 从风格到画意
25831879, 7.6, 144, 帝国的流亡
19967941, 8.2, 85, 隐匿的疆土
6847765, 8.2, 83, 万历兴亡录
3295370, 9.1, 45, 明代赋役制度
1055572, 8.1, 88, 万历传
20391430, 8.2, 78, 明史讲稿
2229219, 7.4, 156, 食货金瓶梅
26802446, 9.3, 37, 从黄河文明到一带一路第2卷
1825042, 9.2, 39, 明清史论著集刊（上下）
25716863, 8.2, 74, 明清时代史的基本问题
3084215, 8.9, 46, 袁宏道集箋校（全三冊）
1463026, 8.2, 73, 明清社会性爱风气
1062405, 8.5, 57, 菽园杂记
1893812, 8.3, 65, 明清之际党社运动考
2382362, 8.5, 56, 明清时代商人及商业资本/明代江南市民经济初探
26576592, 9.6, 30, 纪事录笺证
26354375, 8.0, 80, 明代政治制度的源流与得失
3358426, 8.3, 63, 明清时代之社会经济巨变与新文化
26838266, 9.2, 36, 哈佛中国史05?挣扎的帝国：元与明
4019637, 7.9, 85, 被遗忘的盛世
2377205, 8.9, 42, 皇明通纪
2005422, 9.3, 33, 小腆纪年附考（上下）
26504629, 7.8, 88, 家人父子
1059594, 7.9, 80, 明成祖传
1823753, 9.1, 36, 南明史（全十四册）
4912691, 8.1, 65, 边镇粮饷
26661770, 8.0, 70, 大清棋局
2075687, 7.3, 129, 黎东方讲史：细说明朝
5286685, 7.5, 106, 明朝大历史
1023883, 9.0, 36, 午梦堂集(上下)
4922113, 7.8, 81, 抗倭英雄戚继光
1983100, 6.9, 194, 大明朝的另类史
5068136, 7.6, 93, 救时宰相于谦
20279747, 8.3, 53, 李岩质疑
11532776, 7.8, 74, 《明儒学案》选讲
1061298, 7.3, 114, 明末四公子
26840490, 9.1, 31, 明清社会和礼仪
4745323, 7.5, 92, 永乐大帝
4082291, 7.7, 77, 中华大帝国史
1614501, 9.2, 29, 梁方仲文集
1901339, 9.0, 32, 玉光剑气集（上下册）
26663582, 7.6, 81, 帝王师：张居正
2296564, 6.9, 161, 亡天下
3295380, 9.5, 24, 明清赋税与社会经济
25725667, 8.0, 57, 活在晚明②
25831293, 8.3, 44, 大明悲歌
3818376, 9.3, 25, 政治决策与明代海运
1488608, 7.6, 73, 为权力祈祷
3767549, 7.3, 94, 明代的社会与国家
1973029, 6.8, 159, 皇帝、文臣和太监
4912112, 7.7, 66, 谋位
25702549, 7.7, 66, 明代文人的命运
26606367, 8.0, 52, 藩屏
25837482, 7.7, 65, 大明亡国史
1013094, 7.3, 92, 明史（上、下册）
26597918, 7.2, 101, 永乐帝
2197306, 9.0, 28, 明代黄册研究
1425628, 8.2, 44, 晚明思潮
3718012, 9.4, 22, Negotiating Urban Space
1322096, 7.4, 77, 安乐堂
26312425, 7.4, 77, 世间已无张居正
25954502, 7.8, 55, 明末江南的出版文化
1824712, 8.1, 44, 明代中后期的江南社会与社会生活
25806739, 7.5, 67, 中日恩怨两千年2
1909171, 8.5, 33, 弇山堂别集（全四册）
1435892, 9.0, 25, 中国近世儒学实质的思辨与习学
3859958, 9.0, 25, 明通鉴（全六册）
4862391, 8.9, 26, 卫所、军户与军役
19966101, 7.6, 59, 嘉定忠臣
25836221, 7.4, 69, 庸人治国
1133564, 8.7, 28, 长安客话·酌中志
26716410, 8.9, 25, 琅嬛文集
26597991, 7.2, 78, 倭寇
1081897, 8.7, 27, 王学与中晚明士人心态
6730629, 9.2, 21, 晚明史籍考
1049984, 6.9, 103, 权与血
1893813, 7.9, 43, 明末清初的学风
1047141, 8.3, 33, 三垣笔记
1032804, 7.6, 53, 草木子
25772766, 8.1, 37, 万历范儿
26808462, 7.8, 45, 朱元璋传
3043164, 8.6, 27, 明代的变迁
2177435, 9.1, 21, 梁庄王墓-(全2册)
3910984, 9.2, 20, 山西商人研究
5345122, 7.6, 51, 明初的人物、史事与传说
20373414, 7.6, 51, 吴晗论明史
3094397, 7.0, 86, 张居正与万历皇帝
11615750, 7.7, 47, 壬辰1592
1820989, 8.5, 28, 棗林雜俎
26570631, 7.3, 64, 塞尔登的中国地图
1628327, 8.3, 31, 晚明与晚清
26272845, 8.1, 35, 新天下之化
1830438, 6.7, 112, 毛佩琦细解明朝十七帝（第一部）
26302678, 7.7, 45, 浮世的晚风
1492463, 7.3, 61, 明代特务政治
2021395, 8.3, 30, 张居正和明代中后期政局
1556223, 8.2, 31, 明代的宦官和宫廷
4136533, 7.3, 59, 永乐大帝
5922925, 7.0, 77, 五十三个暴走族引发的战争
1059788, 7.6, 46, 明代政治史（上下）
21966328, 8.9, 21, 中国历代战争史（第14册）
3594163, 7.4, 53, 朱元璋传
1929884, 8.4, 27, 洪承畴与明清易代研究
1008748, 7.0, 75, 品明朝
1844782, 8.1, 32, 飘摇的传统
24546715, 8.6, 24, 阳明学的乡里实践
2367257, 7.2, 61, 明史十讲
26227845, 8.5, 25, 嘉定县事
4940839, 7.4, 51, 清官海瑞
1442233, 7.5, 47, 明清战争史略
1027416, 7.9, 34, 朱元璋传（插图本）
1273938, 7.9, 34, 功过格
1096678, 8.2, 28, 岛夷志略校释
23691466, 6.6, 102, 南明那些事儿
1965161, 7.1, 61, 陈子龙及其时代
1270653, 8.3, 26, 张献忠剿四川实录
3032636, 8.3, 26, 明代国家机构研究
1443903, 8.8, 20, 明人著作与生平发微
6119881, 7.3, 51, 明朝四季
1545859, 8.6, 22, 克拉维约东使记
5262998, 7.2, 55, 大明嘉靖往事
1038357, 7.7, 37, 典故纪闻
3299861, 6.8, 76, 纵欲时代
1067405, 7.1, 57, 当中国称霸海上
1000125, 7.5, 41, 明清时代庶民文化生活
5296397, 8.5, 22, 中国善书研究
25790238, 7.7, 35, 晚明民变
1855786, 6.9, 66, 考古中国
10743478, 7.0, 60, 明代衣食住行
1063921, 7.3, 46, 嘉靖传
3229743, 8.0, 28, 明清时代江南市镇研究
1421317, 7.9, 29, 明史新编
6772565, 7.3, 44, 明朝三百年
2242773, 6.8, 68, 锦衣卫秘事
10593775, 7.8, 30, 利玛窦
5983887, 8.5, 20, 明代乡村纠纷与秩序
1084759, 8.4, 21, 铢庵文存
3215726, 8.6, 19, 明代国家权力结构及运行机制
20473437, 8.8, 17, 明代文学思想史（全2册）
1185124, 8.1, 24, 蜀碧(外二种)
2975975, 6.5, 82, 崇祯王朝
6073362, 7.1, 46, 明朝大人物
1909755, 7.0, 48, 崇祯十七年
3836029, 8.4, 19, 天水冰山录
5349503, 8.4, 19, 稗家粹編
10742996, 8.7, 16, 明清北京城图
3871961, 6.5, 72, 南明史略
1420311, 8.2, 20, 明钞本《瀛涯胜览》校注
3678574, 8.5, 17, 明清法律運作中的權力與文化
1922257, 7.7, 26, 明清易代史独见
1019546, 6.2, 97, 东厂与西厂
1884803, 6.8, 50, 看了明朝不明白
1426332, 8.1, 20, 明史演义
1547673, 8.1, 19, 嘉靖革新研究
25716225, 7.1, 36, 壬辰倭乱
2141031, 7.3, 31, 1449大明惊变
1031267, 7.6, 25, 玉镜新谭
1072247, 7.8, 22, 治世馀闻/继世纪闻/松窗梦语
2033195, 7.8, 22, 洪武京城图志金陵古今图考
1064803, 7.6, 24, 今言
1075772, 8.0, 19, 四友斋丛说
4813176, 7.3, 29, 明朝帝王师
1956813, 8.3, 16, 明元清系通纪
4141537, 6.7, 46, 当权不过如此
1039669, 7.7, 22, 庚巳编 客座赘语
21771735, 7.7, 22, 明世宗传
1489426, 7.2, 30, 晚明社会变迁问题与研究
4869701, 7.2, 30, 明朝十六帝
26292517, 8.0, 18, 明代江南土地制度研究
7054088, 7.9, 18, 二十世紀中國的明史研究
6731630, 7.8, 19, 明清皇宫陈设
5944033, 7.4, 24, 明代的佛教与社会
24872039, 6.2, 66, 明?冤
1031188, 8.2, 15, 日本学者研究中国史论著选译 第六卷 明清
1791941, 6.8, 36, 正说明朝十六臣
4925006, 6.9, 33, 明清皇室与方术
1255972, 7.4, 23, 古体小说钞·明代卷
1493076, 7.8, 18, 李定国纪年
26708641, 7.8, 18, 翰墨闻见录
11539765, 7.0, 30, 皇帝不可爱，国家怎么办
6970229, 7.9, 17, 明代文学
3518498, 6.7, 38, 明史十二讲
6797630, 8.0, 16, 味水轩日记校注
1136944, 8.1, 15, 殊域周咨录
26303580, 8.1, 15, 孔庙从祀与乡约
1454848, 6.9, 31, 1644年中国社会大震荡
1538819, 7.5, 20, 明实录研究
2240650, 7.9, 16, 生与死
2261238, 7.9, 16, 中国行政区划通史·明代卷
1932808, 6.9, 30, 张居正评传
5353387, 7.1, 25, 大明帝国战争史
1944384, 6.3, 49, 毛佩琦正说永乐大帝朱棣
