2017-01-23 16:17:59
Tag: 李开复
The number of books: 49 

ID, rating, votes, title
25862578, 8.6, 170148, 解忧杂货店
1003479, 9.1, 21221, 中国历代政治得失
6709783, 9.1, 16730, 浪潮之巅
4010196, 8.1, 23312, 世界因你不同
4038672, 8.9, 4580, 络新妇之理（上）
3223711, 8.1, 12499, 怪诞行为学
1867642, 7.7, 13049, 世界是平的
26297606, 7.6, 13311, 从0到1
10945606, 8.4, 2891, 精益创业
1022936, 8.2, 3630, 基业长青
1427679, 7.5, 9665, 做最好的自己
2225735, 7.9, 4683, 谁动了我的奶酪？
1912086, 8.3, 1663, 我不是教你诈
1187832, 8.6, 1017, 曾国藩（上中下）
4010185, 8.0, 1997, 哪来的天才？
6426890, 7.9, 1809, 我的不完美
4929897, 7.8, 1707, 情商：为什么情商比智商更重要
2133598, 7.7, 1903, 祕密
1908463, 7.8, 1641, 与未来同行
1082201, 7.3, 3085, 霜冷长河
5269192, 7.9, 1068, 创业的国度
2296402, 7.7, 645, 一网情深
1879670, 7.3, 1069, 撬动地球的Google
1466672, 8.6, 240, How to Stop Worrying and Start Living
26422275, 7.3, 917, 向死而生
26369916, 8.4, 148, 晓寺
1029464, 8.5, 110, 道咸宦海见闻录
3359251, 8.3, 111, 如何停止忧虑，开创人生
4847333, 9.1, 55, 草叶集
5904053, 5.8, 2902, 微博：改变一切
1027173, 8.0, 119, 追随智慧――中国人在微软
4050762, 7.2, 260, 那些不想做又必须做的事
10344930, 7.0, 226, 社交网站的数据挖掘与分析
26361207, 7.7, 102, 看见未来
7004248, 7.6, 88, 人生
26452494, 7.7, 56, 世界因你不同:李开复自传(纪念版)
1428958, 6.3, 239, 搜主义
4188468, 7.1, 91, 李开复：从心选择的智慧
4247536, 6.5, 68, 李开复：其实没有什么天才
4828950, 7.1, 27, 像李开复一样思考人生
4919935, 6.9, 27, 李开复职场日志
3815146, 7.2, 21, 做有出息的孩子
4742335, 7.1, 22, 李开复给青少年的11条准则
1998895, 7.3, 16, 快乐比第一更重要-青年文摘读者评选精华本II
5398828, 6.6, 20, 李开复的18堂职场经营课
3684989, 6.5, 18, 规划人生
2223471, 6.7, 15, 李开复的人才观
4274070, 6.8, 11, 像李开复一样从心选择
4922180, 5.5, 23, 照亮年轻的路
