2017-01-23 16:17:59
Tag: 杨绛
The number of books: 141 

ID, rating, votes, title
1008145, 8.9, 179792, 围城
2567698, 8.8, 125581, 三体
4238362, 8.6, 82840, 送你一颗子弹
1023045, 8.6, 68696, 我们仨
1057244, 8.6, 64004, 边城
1027191, 9.0, 26866, 历史深处的忧虑
1069848, 9.0, 20711, 围城
1855364, 9.1, 16746, 围城
4207781, 8.8, 24723, 孩子你慢慢来
1529893, 8.0, 76608, 莲花
1476651, 9.0, 9399, 社会心理学
3261600, 9.3, 5591, 人生的智慧
1760548, 9.2, 5538, 三毛作品集
1039752, 7.8, 39425, 且听风吟
1073349, 8.8, 6705, 写在人生边上 人生边上的边上 石语
1058679, 8.7, 7263, 人·兽·鬼
3713237, 8.8, 6124, 亲爱的三毛
24745649, 9.1, 3545, 围城
1061242, 8.8, 4979, 写在人生边上
1078250, 8.2, 11723, 洗澡
4105446, 8.1, 12483, 十一种孤独
3266345, 8.1, 12348, 三杯茶
11524204, 9.2, 2283, 围城
5366278, 8.0, 11582, 走吧，张小砚
2240482, 8.0, 9300, 走到人生边上
1039079, 9.0, 1930, 写在人生边上 写在人生边上的边上 石语
4905854, 8.9, 2096, 将饮茶
4912688, 8.5, 2902, 干校六记
1880991, 8.6, 2135, 堂吉诃德
6073019, 9.1, 1186, 斐多
1935554, 8.9, 1366, 写在人生边上
6800379, 8.6, 1850, 2666
3523063, 9.1, 949, 围城
3227346, 8.1, 2979, 听杨绛谈往事
10466438, 8.0, 2682, 上课记
4115323, 8.6, 1222, 论人类不平等的起源
5918942, 8.9, 806, 孽子
4714018, 7.5, 5175, 青春咖啡馆
10749924, 8.2, 1485, 天真的和感伤的小说家
1001013, 8.8, 598, 杨绛散文
4912689, 8.6, 703, 杂忆与杂写
4704811, 8.8, 532, 牛棚杂忆
4051248, 8.7, 527, 杨绛文集·散文卷（下）
4051249, 9.1, 357, 杨绛文集·散文卷（上）
1083090, 9.3, 261, 杨绛文集（共8卷）
1059418, 9.1, 299, 杨绛作品精选:散文1
1424665, 7.6, 1205, 我们的钱瑗
1005964, 8.4, 407, 堂吉诃德（上下）
3248660, 8.3, 409, 语言的魔力
1436892, 8.7, 275, 杨绛作品集
25800697, 7.1, 1933, 妈阁是座城
10543177, 8.3, 389, 我与父辈
20389355, 8.5, 316, 水彩色铅笔之旅
1455679, 7.4, 1070, 无知者无畏
25869261, 7.7, 700, 且听风吟
19952184, 8.3, 323, 别怕，Excel VBA其实很简单
10796954, 7.7, 624, 商业模式新生代（个人篇）
3266354, 8.0, 435, 哈瓦那特派员
26288194, 9.1, 138, 权力与领导（第5版）
3224612, 8.2, 299, 西夏旅館
1082904, 8.9, 160, 杨绛作品精选
2131330, 8.4, 200, 小癞子
1024171, 8.7, 143, 从丙午到“流亡”
1318987, 7.7, 370, 一代才子钱钟书
1787965, 8.4, 175, 堂吉诃德（上下册）
1100340, 8.6, 144, 堂吉诃德（上下）
1017165, 8.9, 113, 钱钟书杨绛散文
10594777, 7.8, 298, 蚂蚁的眼泪
7062892, 8.7, 128, 斐多
20472036, 7.2, 592, 众声喧哗
2349671, 8.6, 136, 古桥头
24734456, 6.6, 1470, 破碎的时光
25931861, 6.5, 1407, 洗澡之后
1364810, 8.6, 113, 我們仨
4051250, 8.2, 150, 杨绛文集·小说卷
6716691, 7.3, 383, 西南联大的爱情往事
26884352, 9.6, 54, 生命的烤火者：杨绛传
26178013, 7.5, 244, 坐久落花多
26266672, 7.3, 298, 你以为没有的，可能在来的路上
2173401, 7.4, 261, 阅读的危险
2156302, 8.6, 79, 布拉格之春
1041483, 7.4, 217, 杨绛传
1427265, 9.2, 51, 杨绛译文集（全三卷）
3200758, 8.6, 73, 堂吉诃德（上下）
25873393, 8.3, 91, 肖像与观察
3229568, 8.9, 59, 记钱钟书与《围城》
25961884, 7.7, 145, 最贤的妻
2349099, 8.2, 91, 小癞子
2310432, 7.9, 108, 走到人生邊上—自問自答
25925049, 6.9, 297, 那些伤，为什么我还放不下：斯坦福大学最重要的一堂情绪管理课
1047766, 8.3, 70, 因难见巧
23780994, 8.7, 52, 裴多
1880534, 8.7, 50, 吉尔·布拉斯（上下）
25856623, 8.1, 73, 美国医生谈：我在中国的高水平健康生活
3211965, 8.3, 61, 堂吉诃德
1885414, 8.6, 49, 堂吉诃德
1385569, 8.6, 48, 幹校六記
1368708, 8.0, 71, 洗澡
1015535, 7.6, 99, 杨绛小说集
3810205, 7.9, 74, 向日葵/人生坐标
1002646, 8.2, 58, 杨绛散文戏剧集
1044031, 8.4, 50, 杨绛作品精选
26021359, 8.2, 56, 杨绛，走在小说边上
1228033, 7.6, 87, 一本书和一个世界
26259068, 8.1, 57, “隐身”的串门儿
26468042, 7.4, 101, 温德先生
1008908, 8.6, 40, 杨绛散文选集
26259065, 7.9, 64, 杂忆与杂写
1459527, 7.3, 106, 钱钟书与杨绛
4226045, 9.0, 30, 杨绛散文选
26259070, 8.1, 51, 杂忆与杂写：一九三三—一九九一
24721062, 8.5, 34, 我们仨
3251459, 8.3, 34, 倒影集
3547621, 9.3, 20, Wind
1186360, 8.1, 37, 西班牙流浪汉小说选
26882979, 8.0, 38, 且以优雅过一生
1359180, 8.5, 28, 斐多
26259073, 8.5, 28, 斐多
4051247, 8.3, 31, 杨绛文集·文论戏剧卷
25727643, 7.2, 59, 杨绛：“九蒸九焙”的传奇
26808593, 7.5, 45, 走到人生边上
1007509, 7.2, 45, 杨绛评传
25961891, 7.5, 34, 如此星辰如此月：钱钟书与杨绛的旷世情缘
1843926, 7.5, 32, 堂吉诃德（上下）
6426286, 7.1, 38, 钱钟书与杨绛
26543204, 7.9, 20, 杨绛译堂吉诃德
3026465, 8.0, 16, 关于小说
25903874, 7.6, 18, 杨绛全集
3099622, 7.5, 16, 春泥集
3120035, 7.7, 14, 堂吉诃德（上下）
24722284, 8.0, 12, 杨绛文集（套装共8卷）
2033889, 7.8, 13, 老圃遗文辑
3211762, 7.6, 14, 杂忆与杂写
3311564, 7.9, 12, 聽楊絳談往事
3261264, 7.1, 18, 美白101个小窍门
25774095, 6.0, 38, 中国人的自信与自卑
2299691, 7.3, 13, 斐多
3189829, 7.6, 11, 春泥集
25837852, 7.8, 10, 堂吉诃德
1825615, 7.7, 10, 记钱钟书与围城
25961886, 6.4, 20, 沉默与空白
