2017-01-23 16:17:59
Tag: 東野圭吾
The number of books: 318 

ID, rating, votes, title
1084336, 9.0, 211672, 小王子
3259440, 9.1, 173416, 白夜行
6082808, 9.2, 94470, 百年孤独
3066477, 9.2, 74719, 三体Ⅱ
5363767, 9.2, 74136, 三体Ⅲ
3211779, 8.9, 119503, 嫌疑人X的献身
25862578, 8.6, 170153, 解忧杂货店
1858513, 8.9, 61733, 月亮和六便士
10594787, 8.9, 50333, 霍乱时期的爱情
1827374, 9.0, 32524, 东方快车谋杀案
1046265, 8.0, 178837, 挪威的森林
3006581, 8.9, 30728, 无人生还
4742918, 8.3, 73881, 1Q84 BOOK 1
3646172, 8.4, 58897, 恶意
2297697, 8.6, 23191, ZOO
4011670, 8.3, 33449, 人间失格
1159939, 8.5, 21886, 一个陌生女子的来信
3920130, 8.6, 13676, 告白
1418686, 8.6, 13596, 红拂夜奔
3187737, 8.4, 18679, 占星术杀人魔法
4074636, 7.6, 65624, 放学后
3162527, 8.7, 7973, 魍魉之匣（下）
3162513, 8.5, 9942, 魍魉之匣（上）
6746289, 8.4, 11552, 新参者
4038672, 8.9, 4580, 络新妇之理（上）
4009552, 7.6, 35147, 幻夜
1418707, 8.6, 5991, Goth.斷掌事件
5502995, 7.6, 31196, 1Q84 BOOK 3
5346110, 9.0, 3242, 穷查理宝典
1421975, 8.7, 4782, 只有你聽到 Calling You
3765620, 8.7, 4235, 在漫长的旅途中
3102324, 7.7, 21057, 秘密
4580972, 7.7, 20890, 流星之绊
4152754, 7.7, 20737, 时生
1147193, 9.0, 2595, 世说新语
3801097, 7.8, 14273, 夏天·烟火·我的尸体
3713327, 7.7, 16608, 圣女的救济
1903164, 8.0, 9588, ABC谋杀案
3615061, 7.5, 19833, 宿命
3890174, 7.7, 13503, 信
4034009, 8.3, 5034, 剪刀男
5939312, 8.2, 5741, 超·杀人事件
5380266, 8.0, 7266, 怪笑小说
4213995, 7.7, 11529, 黑笑小说
5347699, 7.8, 9470, 彷徨之刃
3026875, 8.7, 2322, 幕后凶手
11498199, 8.3, 3929, 只有你听到Calling You
4718973, 7.8, 8436, 毒笑小说
4928387, 7.5, 14429, 单恋
6794021, 7.8, 7729, 红手指
26413027, 7.5, 12925, 虚无的十字架
