2017-01-23 16:17:59
Tag: 欧洲
The number of books: 878 

ID, rating, votes, title
1001885, 8.5, 17489, 带一本书去巴黎
1062343, 9.2, 5733, 昨日的世界
5366248, 8.3, 21661, 你一定爱读的极简欧洲史
3315879, 8.6, 11680, 恶童日记
1962923, 8.6, 9316, 西班牙旅行笔记
3836566, 8.6, 5257, 玫瑰的名字
1054889, 7.7, 21936, 行者无疆
1933931, 8.7, 3681, 沿着塞纳河到翡冷翠
1035326, 8.7, 3448, 一次?图片和故事
25891318, 9.0, 2035, 1453
1291199, 8.7, 2606, 过于喧嚣的孤独 底层的珍珠
2326273, 8.9, 1895, 欧洲中世纪史
1083483, 8.7, 1829, 一个陌生女人的来信
20441569, 9.1, 1109, 被淹没和被拯救的
1465543, 8.8, 1523, 异端的权利
25891321, 9.0, 1211, 海洋帝国
3669671, 8.5, 1811, 我们在此相遇
26580084, 8.7, 1383, 烛烬
1982096, 8.4, 1915, 关于来洛尼亚王国的十三个童话故事
1273759, 8.2, 2415, 人在欧洲
3464436, 8.9, 960, 剑桥艺术史：古希腊罗马艺术
1065142, 8.5, 1513, 欧洲文明十五讲
1785512, 8.3, 1941, 漫卷西风
6126821, 8.4, 1693, 远方的鼓声
26296352, 8.9, 937, 财富之城
25777432, 9.1, 727, 罗马人的故事（礼品装，全15册）
1024785, 9.1, 712, 西方现代思想史
3334535, 8.5, 1258, 剑桥艺术史：绘画观赏
5283663, 8.4, 1410, 另一个波琳家的女孩
1211052, 8.5, 1245, 罗马帝国衰亡史（上册）
1082899, 8.7, 966, 我的心遗留在爱琴海
1785508, 8.1, 1875, 今晚去哪里
1016806, 8.2, 1567, 与安东尼奥尼一起的时光
26708306, 8.7, 852, 北欧，冰与火之地的寻真之旅
1017860, 8.2, 1498, 木已成舟
7916069, 8.8, 744, 被禁锢的头脑
6308034, 8.4, 1143, 从&#34;东欧&#34;到&#34;新欧洲&#34;
1029649, 8.5, 1015, 玻璃岛
1785502, 7.9, 2035, 咖啡苦不苦
25899496, 8.7, 724, 1453——君士坦丁堡的陷落
2381093, 7.4, 4147, 一辈子做女孩
4894992, 8.7, 717, 到瑞士
1044499, 9.3, 399, 菲利普二世时代的地中海和地中海世界（上下卷）
26276743, 8.6, 747, 金雀花王朝
25752592, 8.9, 539, 从黎明到衰落（上下）
2042511, 8.5, 816, 第五个
1794138, 8.6, 720, 北欧神话ABC
26354440, 8.9, 520, 野蛮大陆
3068550, 7.7, 2182, 希腊
1263747, 9.0, 461, 海的女儿
1033744, 8.8, 554, 丁丁在刚果
1777853, 8.2, 1033, 屠猫记
3616661, 8.8, 482, 卡夫卡口述
24525766, 8.7, 528, 记忆小屋
3933045, 8.7, 511, 旅途上的建筑
19950784, 8.4, 653, 空荡荡的家
1027343, 7.6, 1678, 窥看欧洲
2149157, 8.7, 442, 墙
1880126, 8.1, 826, 大勇和小花的欧洲日记
1864886, 8.5, 518, 欧洲
1083465, 7.7, 1328, 欧洲之旅
4189598, 8.8, 377, 战后欧洲史
1042580, 8.8, 373, 意大利古建筑散记
19912128, 8.5, 497, 罗马人的故事8
1053109, 9.0, 295, 封建社会（上、下卷）
3092871, 8.3, 581, 欧洲：一堂丰富的人文课
1073086, 8.3, 572, 偶遇
1853552, 8.5, 452, 中世纪的城市
1413045, 8.9, 304, 西方文明史
1864891, 8.7, 361, 德国
2116717, 8.8, 311, 西洋史
2299194, 8.2, 558, 大勇和小花的欧洲日记Ⅱ
1138452, 8.5, 389, 意大利文艺复兴时期的文化
1074263, 7.7, 973, 上海色拉
