2017-01-23 16:17:59
Tag: 欧美
The number of books: 966 

ID, rating, votes, title
1084336, 9.0, 211675, 小王子
1770782, 8.8, 249167, 追风筝的人
6082808, 9.2, 94475, 百年孤独
1068920, 9.3, 73335, 飘（上下）
1041007, 9.0, 82524, 哈利·波特与魔法石
1040211, 9.2, 46913, 福尔摩斯探案全集（上中下）
1071241, 8.9, 70193, 哈利·波特与阿兹卡班的囚徒
1009257, 8.9, 68087, 哈利·波特与火焰杯
1083428, 8.8, 80351, 傲慢与偏见
1017143, 8.5, 130064, 不能承受的生命之轻
1858513, 8.9, 61740, 月亮和六便士
1039487, 8.8, 67915, 哈利·波特与密室
4820710, 9.3, 28322, 1984
2295163, 8.9, 53486, 哈利·波特与死亡圣器
10594787, 8.9, 50335, 霍乱时期的爱情
1432596, 8.8, 59627, 哈利·波特与混血王子
1141406, 8.5, 101758, 简爱
1829226, 9.1, 35354, 肖申克的救赎
1085860, 8.9, 48466, 基督山伯爵
1046209, 9.1, 34465, 安徒生童话故事集
2035179, 9.2, 28204, 动物农场
1336330, 9.3, 21612, 冰与火之歌（卷一）
1082387, 9.2, 24011, 一九八四·动物农场
1827374, 9.0, 32524, 东方快车谋杀案
2143732, 8.7, 48509, 灿烂千阳
1040771, 8.2, 123387, 达·芬奇密码
5414391, 9.0, 28887, 寻路中国
1013129, 8.6, 56216, 哈利·波特与凤凰社
1027191, 9.0, 26866, 历史深处的忧虑
3006581, 8.9, 30728, 无人生还
1045818, 8.5, 59213, 苏菲的世界
1043008, 8.9, 27891, 格林童话全集
2154960, 8.7, 38709, 一个陌生女人的来信
3608208, 8.6, 45512, 牧羊少年奇幻之旅
2035162, 9.0, 22461, 刀锋
1205054, 8.9, 25774, 悲惨世界（上中下）
1464203, 9.4, 11872, 冰与火之歌（卷二）
1986291, 9.5, 10282, 冰与火之歌（卷三）
4908885, 9.0, 20143, 局外人
1119522, 8.4, 54435, 呼啸山庄
1863930, 8.8, 25334, 看不见的城市
1400705, 8.1, 79110, 情人
1775691, 8.3, 51949, 少有人走的路
1086249, 8.6, 30344, 荆棘鸟
1064275, 8.3, 50348, 老人与海
1051193, 8.6, 28500, 麦琪的礼物
1034282, 8.8, 19409, 时间简史
1092335, 8.9, 16051, 教父
1258490, 9.2, 10258, 基地
1807516, 8.9, 14916, 罗杰疑案
1119839, 9.1, 11030, 王尔德童话
1024197, 8.3, 39273, 巴黎圣母院
1292416, 8.5, 26417, 香水
1013208, 8.5, 26338, 如何阅读一本书
2361768, 9.3, 7910, 爷爷变成了幽灵
3210843, 9.2, 8411, 冰与火之歌·卷四·群鸦的盛宴（全两册）
1818347, 8.7, 17056, 尼罗河上的惨案
4187411, 8.8, 14419, 万物有灵且美
1056315, 8.8, 14160, 总统是靠不住的
1014825, 9.0, 10545, 我也有一个梦想
1008988, 8.3, 32004, 了不起的盖茨比
1424741, 8.5, 22342, 心是孤独的猎手
1013380, 8.1, 45180, 茶花女
1394364, 8.8, 13718, 银河系漫游指南
1159939, 8.5, 21886, 一个陌生女子的来信
3026879, 8.8, 13339, 爱的艺术
25829693, 9.0, 9499, 永恒的终结
1205370, 8.1, 40989, 羊脂球
1036274, 8.5, 20152, 夏洛的网
6781808, 9.2, 7074, 杀死一只知更鸟
26382433, 8.2, 32134, 无声告白
6789605, 9.0, 8740, 树上的男爵
1035848, 8.6, 15727, 一千零一夜
1440972, 9.1, 7395, 博尔赫斯小说集
5375620, 8.8, 11258, 失控
1258489, 9.3, 5581, 第二基地
1001885, 8.5, 17489, 带一本书去巴黎
2056749, 8.1, 34509, 时间旅行者的妻子
1016003, 8.0, 40976, 鲁滨逊漂流记
1013225, 8.3, 23371, 生活在别处
1082518, 7.9, 48076, 麦田里的守望者
1865089, 8.4, 19155, 瓦尔登湖
1083762, 8.7, 11553, 人类的群星闪耀时
1085470, 8.4, 18542, 海底两万里
1062343, 9.2, 5733, 昨日的世界
1316648, 8.3, 21737, 查令十字街84号
1258491, 9.2, 5612, 基地与帝国
1022238, 8.2, 25108, 菊与刀
26602392, 8.8, 9553, 你今天真好看
1040104, 8.7, 11025, 魔戒（第一部）
1762869, 8.9, 8210, 如彗星划过夜空
1228110, 8.2, 24812, 天使与魔鬼
1140727, 8.8, 9375, 安德的游戏
1001136, 8.8, 9348, 彼得·潘
1213546, 8.3, 20089, 变形记
26586492, 8.9, 7695, 火星救援
1071794, 8.9, 7667, 魔戒（第三部）
3315879, 8.6, 11680, 恶童日记
6964047, 9.3, 4436, 冰与火之歌（卷一）
1033190, 8.8, 8458, 失落的一角
1258498, 8.3, 18234, 项链
2194123, 8.4, 15436, 相约星期二
1856025, 8.9, 7263, 道连·葛雷的画像
10763902, 7.9, 36906, 偷影子的人
1794620, 7.8, 43150, 芒果街上的小屋
1066165, 9.3, 4024, 卡尔维诺文集（第三卷）
1465324, 7.7, 51336, 洛丽塔
1007433, 8.1, 23569, 红与黑
1186392, 8.7, 8786, 约翰·克利斯朵夫
26340138, 7.7, 49777, 岛上书店
1048007, 8.2, 19075, 高效能人士的七个习惯（精华版）
1092149, 8.7, 8401, 梵高传
1058759, 8.8, 7193, 魔戒（第二部）
6401128, 8.9, 6231, 批评官员的尺度
2171321, 8.4, 12903, 找死的兔子
3537590, 8.3, 15170, 朗读者
4011440, 8.0, 25442, 最初的爱情 最后的仪式
1917972, 7.8, 37142, 在路上
1962923, 8.6, 9316, 西班牙旅行笔记
10560798, 8.7, 8037, 面纱
3608235, 8.5, 10843, 失物之书
1056461, 8.3, 14849, 旅行的艺术
20392523, 8.5, 10385, 没有人给他写信的上校
1431870, 9.1, 4474, 源泉
24382569, 8.6, 8878, 一桩事先张扬的凶杀案
5366275, 8.4, 12081, 我怎样毁了我的一生
1917078, 8.6, 8834, 风之影
2180619, 8.0, 23368, 偷书贼
1187842, 9.0, 4959, 你一生的故事
1095634, 8.7, 7480, 小狗钱钱
3326892, 8.6, 8540, 圣诞忆旧集
1082584, 8.6, 8475, 追忆似水年华 Ⅰ
11584574, 8.5, 9847, 万物静默如谜
1060117, 8.5, 9771, 不朽
2158684, 9.0, 4736, 象棋的故事
3347997, 8.5, 9463, X的悲剧
1427288, 8.4, 10829, 小妇人
1005492, 8.9, 5195, 光荣与梦想
1321789, 8.5, 8940, 美丽新世界
4010969, 7.8, 29534, 当我们谈论爱情时我们在谈论什么
4292149, 8.5, 8601, 龙文身的女孩
