2017-01-23 16:17:59
Tag: 欧美文学
The number of books: 999 

ID, rating, votes, title
1084336, 9.0, 211675, 小王子
1770782, 8.8, 249170, 追风筝的人
6082808, 9.2, 94475, 百年孤独
1068920, 9.3, 73335, 飘（上下）
1041007, 9.0, 82524, 哈利·波特与魔法石
1009257, 8.9, 68087, 哈利·波特与火焰杯
1083428, 8.8, 80351, 傲慢与偏见
1017143, 8.5, 130064, 不能承受的生命之轻
1858513, 8.9, 61740, 月亮和六便士
1039487, 8.8, 67915, 哈利·波特与密室
4820710, 9.3, 28324, 1984
2295163, 8.9, 53486, 哈利·波特与死亡圣器
10594787, 8.9, 50335, 霍乱时期的爱情
1141406, 8.5, 101758, 简爱
1829226, 9.1, 35354, 肖申克的救赎
2035179, 9.2, 28204, 动物农场
1336330, 9.3, 21612, 冰与火之歌（卷一）
1827374, 9.0, 32524, 东方快车谋杀案
2143732, 8.7, 48510, 灿烂千阳
1040771, 8.2, 123387, 达·芬奇密码
1013129, 8.6, 56216, 哈利·波特与凤凰社
1045818, 8.5, 59213, 苏菲的世界
2154960, 8.7, 38709, 一个陌生女人的来信
3608208, 8.6, 45512, 牧羊少年奇幻之旅
2035162, 9.0, 22461, 刀锋
1205054, 8.9, 25774, 悲惨世界（上中下）
7060185, 9.0, 21133, 江城
4908885, 9.0, 20144, 局外人
1119522, 8.4, 54435, 呼啸山庄
1863930, 8.8, 25334, 看不见的城市
1400705, 8.1, 79110, 情人
1086249, 8.6, 30344, 荆棘鸟
1064275, 8.3, 50348, 老人与海
1051193, 8.6, 28500, 麦琪的礼物
1092335, 8.9, 16051, 教父
1807516, 8.9, 14916, 罗杰疑案
1119839, 9.1, 11030, 王尔德童话
1024197, 8.3, 39273, 巴黎圣母院
1292416, 8.5, 26417, 香水
26698660, 9.0, 11402, 巨人的陨落
3406401, 9.0, 11014, 悉达多
1818347, 8.7, 17056, 尼罗河上的惨案
4187411, 8.8, 14419, 万物有灵且美
2035171, 9.0, 10721, 人生的枷锁
1008988, 8.3, 32004, 了不起的盖茨比
1765512, 9.1, 9074, 海的女儿
1424741, 8.5, 22342, 心是孤独的猎手
1159939, 8.5, 21886, 一个陌生女子的来信
1856494, 9.3, 6365, 卡拉马佐夫兄弟
25829693, 9.0, 9499, 永恒的终结
1205370, 8.1, 40989, 羊脂球
1036274, 8.5, 20152, 夏洛的网
6781808, 9.2, 7074, 杀死一只知更鸟
26382433, 8.2, 32135, 无声告白
1440972, 9.1, 7395, 博尔赫斯小说集
2056749, 8.1, 34509, 时间旅行者的妻子
1016003, 8.0, 40976, 鲁滨逊漂流记
1013225, 8.3, 23371, 生活在别处
1082518, 7.9, 48076, 麦田里的守望者
1865089, 8.4, 19155, 瓦尔登湖
1062343, 9.2, 5733, 昨日的世界
1316648, 8.3, 21737, 查令十字街84号
1228110, 8.2, 24812, 天使与魔鬼
1001136, 8.8, 9348, 彼得·潘
1213546, 8.3, 20089, 变形记
26586492, 8.9, 7695, 火星救援
3315879, 8.6, 11680, 恶童日记
1258498, 8.3, 18234, 项链
2194123, 8.4, 15436, 相约星期二
1856025, 8.9, 7263, 道连·葛雷的画像
10763902, 7.9, 36906, 偷影子的人
26425831, 8.8, 8140, 斯通纳
1794620, 7.8, 43150, 芒果街上的小屋
1066165, 9.3, 4024, 卡尔维诺文集（第三卷）
1465324, 7.7, 51336, 洛丽塔
1007433, 8.1, 23569, 红与黑
3578470, 9.0, 5793, 德米安
1186392, 8.7, 8786, 约翰·克利斯朵夫
26340138, 7.7, 49777, 岛上书店
24934182, 8.1, 22987, 一个人的朝圣
1092149, 8.7, 8401, 梵高传
3537590, 8.3, 15171, 朗读者
4011440, 8.0, 25442, 最初的爱情 最后的仪式
1917972, 7.8, 37142, 在路上
10560798, 8.7, 8037, 面纱
3608235, 8.5, 10843, 失物之书
1004088, 9.0, 5298, 长袜子皮皮
1041128, 8.5, 10742, 天蓝色的彼岸
1254731, 8.8, 6879, 欧·亨利短篇小说选
20392523, 8.5, 10385, 没有人给他写信的上校
1431870, 9.1, 4474, 源泉
24382569, 8.6, 8878, 一桩事先张扬的凶杀案
1917078, 8.6, 8834, 风之影
2180619, 8.0, 23368, 偷书贼
1022632, 8.7, 7495, 罪与罚
2136484, 8.7, 7407, 如果在冬夜，一个旅人
3326892, 8.6, 8541, 圣诞忆旧集
1082584, 8.6, 8475, 追忆似水年华 Ⅰ
11584574, 8.5, 9847, 万物静默如谜
1883353, 8.8, 6334, 野性的呼唤
1060117, 8.5, 9771, 不朽
2158684, 9.0, 4736, 象棋的故事
1427288, 8.4, 10829, 小妇人
1321789, 8.5, 8940, 美丽新世界
10774752, 9.1, 3909, 毛姆短篇小说精选集
4010969, 7.8, 29534, 当我们谈论爱情时我们在谈论什么
6781794, 8.8, 5630, 过于喧嚣的孤独
4292149, 8.5, 8601, 龙文身的女孩
1442869, 8.9, 4866, 献给阿尔吉侬的花束
4714015, 9.0, 4136, 万物既伟大又渺小
2193877, 8.1, 15712, 你在天堂里遇见的五个人
1203251, 8.1, 15495, 雾都孤儿
3335362, 8.5, 8042, 大教堂
1418058, 9.1, 3527, 小径分岔的花园
1007772, 8.2, 12741, 双城记
1081422, 8.9, 4407, 卡夫卡小说全集（全三册）
20326626, 8.6, 6425, 少年Pi的奇幻漂流（插图珍藏版）
5920385, 8.2, 11875, 肠子
2139305, 7.7, 29047, 巴别塔之犬
1212488, 8.3, 9975, 罗密欧与朱丽叶
1031741, 7.8, 23724, 欧也妮·葛朗台
24845582, 8.4, 8489, 群山回唱
5993310, 9.0, 3658, 直捣蜂窝的女孩
2042063, 8.4, 7961, 伊斯坦布尔
2052049, 9.0, 3465, 海伯利安
3673771, 9.0, 3464, 项塔兰
3697494, 9.1, 3039, 洞穴奇案
1420508, 8.9, 3903, 最后一片叶子
1907739, 8.6, 5842, 当世界年纪还小的时候
1851385, 7.8, 21349, 我的名字叫红
4105446, 8.1, 12483, 十一种孤独
1064841, 9.0, 3364, 绿山墙的安妮
3266345, 8.1, 12348, 三杯茶
4313207, 8.5, 6576, 致D
3137289, 8.5, 6526, 姐姐的守护者
25884880, 8.9, 3739, 我不知道该说什么，关于死亡还是爱情
5958726, 8.0, 14322, 质数的孤独
1016486, 8.3, 8587, 笑忘录
1255288, 8.0, 13996, 复活
4826530, 9.1, 2806, 我亲爱的甜橙树
3673651, 7.7, 23639, 岛
10555486, 8.7, 4628, 分成两半的子爵
6857344, 8.5, 6107, 夜莺与玫瑰
4882023, 9.2, 2452, 万物既聪慧又奇妙
3836566, 8.6, 5257, 玫瑰的名字
1400707, 8.1, 11232, 广岛之恋
6789551, 8.8, 3905, 不存在的骑士
3131626, 8.9, 3429, 荒原狼
3151990, 8.5, 5767, 达摩流浪者
3112726, 8.5, 5758, 希腊棺材之谜
1772786, 8.6, 4958, 真名实姓
20428302, 9.1, 2580, 失明症漫记
1032431, 9.0, 2901, 卡尔维诺文集（第五卷）
2161892, 8.5, 5579, 九故事
1064828, 8.4, 6454, 好笑的爱
5366382, 8.7, 4211, 夜航西飞
2165063, 9.2, 2256, 纳尔齐斯与歌尔德蒙
3003477, 9.2, 2235, 虚构集
3594151, 8.1, 10135, 柑橘与柠檬啊
2061644, 8.2, 8594, 伤心咖啡馆之歌
1982200, 8.7, 4104, 爱德华的奇妙之旅
1005918, 7.9, 13997, 堂吉诃德
3442373, 8.5, 5371, 二人证据
1015864, 9.0, 2670, 惶然录
26371317, 8.2, 8011, 24个比利
1047138, 7.7, 18999, 少年维特的烦恼
3899039, 8.1, 9324, 刺猬的优雅
3442377, 8.6, 4391, 第三谎言
2036561, 8.4, 5804, 城堡
2996596, 8.4, 5796, 特别的猫
10512236, 8.4, 5752, 时间的针脚
1859108, 8.8, 3265, 白痴
1049957, 8.6, 4237, 浮士德
1438816, 9.1, 2227, 给青年诗人的信
1083089, 9.3, 1738, 博尔赫斯全集
1052360, 8.9, 2758, 卡尔维诺文集（第四卷）
1077492, 9.0, 2439, 大师和玛格丽特
3246904, 8.1, 8434, 蒂凡尼的早餐
6016234, 8.8, 3073, 奇风岁月
4120475, 9.3, 1693, 加缪全集 （小说卷）
19962936, 8.7, 3439, 只是孩子
2042633, 9.0, 2338, 金蔷薇
1037954, 8.4, 5133, 告别圆舞曲
5406559, 8.7, 3370, 鼠疫
1079252, 8.2, 6842, 爱情笔记
2146279, 9.0, 2307, 心灵的焦灼
3013903, 8.1, 7865, 漫长的告别
1085021, 8.2, 6693, 蝴蝶梦
4116629, 8.9, 2544, 希区柯克悬念故事集
3926717, 8.5, 4243, 雷蒙德·卡佛短篇小说自选集
1056023, 8.5, 4218, 鼠疫
1083435, 8.7, 3198, 契诃夫短篇小说选
1063796, 8.6, 3608, 小说的艺术
1082147, 9.0, 2157, 热爱生命
3769738, 8.7, 3126, 万火归一
1083477, 7.8, 12243, 包法利夫人
1077778, 8.1, 7381, 爱的教育
2050767, 8.6, 3536, 绿野仙踪
4202422, 8.3, 5307, 云图
1083434, 8.6, 3472, 莫泊桑短篇小说选
4143051, 8.6, 3424, 荆棘之城
1275907, 8.3, 5212, 八十天环游地球
1000121, 8.5, 3902, 昆虫记
4737325, 8.2, 6022, 维罗妮卡决定去死
2296687, 8.5, 3873, 纸牌的秘密
6097966, 8.1, 6983, 发条橙
1880823, 8.8, 2588, 格林童话
1034066, 9.1, 1804, 加缪文集
1882915, 8.9, 2275, 莎士比亚四大悲剧
1034106, 8.1, 6791, 威尼斯商人
2302217, 8.8, 2537, 阿特拉斯耸耸肩（上下）
1460340, 8.9, 2207, 人性的，太人性的
1038241, 8.7, 2814, 兄弟连
6811366, 8.3, 4861, 禅与摩托车维修艺术
26672693, 9.0, 1947, 一个叫欧维的男人决定去死
10569619, 8.4, 4204, 自由
24541883, 8.1, 6527, 消失的爱人
