2017-01-23 16:17:59
Tag: 法国文学
The number of books: 975 

ID, rating, votes, title
4908885, 9.0, 20147, 局外人
1205370, 8.1, 40992, 羊脂球
10763902, 7.9, 36911, 偷影子的人
4313207, 8.5, 6576, 致D
1400707, 8.1, 11233, 广岛之恋
1203244, 8.2, 8577, 三个火枪手
3899039, 8.1, 9324, 刺猬的优雅
1092168, 9.1, 2256, 追忆似水年华（上下册）
4120475, 9.3, 1693, 加缪全集 （小说卷）
5406559, 8.7, 3371, 鼠疫
1056023, 8.5, 4218, 鼠疫
1083477, 7.8, 12244, 包法利夫人
1083434, 8.6, 3472, 莫泊桑短篇小说选
1034066, 9.1, 1804, 加缪文集
1119528, 7.9, 8875, 高老头
2042629, 8.7, 2687, 九三年
3871911, 8.4, 3600, 大树
2243692, 7.8, 8997, 潜水钟与蝴蝶
1045365, 8.6, 2651, 恶之花
1793713, 8.3, 3749, 中国北方的情人
4732123, 8.5, 2491, 爸爸，我们去哪儿？
4246979, 8.1, 4207, 窄门
1780277, 8.7, 1773, 法兰西组曲
1027587, 8.6, 1968, 恶之花 巴黎的忧郁
3908240, 7.8, 5444, 情人
1048173, 8.0, 3876, 忏悔录
1066663, 8.8, 1320, 兰波作品全集
1885262, 8.6, 1624, 笑面人
1455933, 7.5, 8152, 你好，忧愁
1427281, 8.2, 2690, 羊脂球
1030554, 8.5, 1693, 恶心
1793721, 7.9, 3824, 琴声如诉
1162773, 9.0, 933, 地狱一季
1400717, 8.0, 3228, 写作
2295122, 8.4, 1726, 卡门
2033808, 8.7, 1163, 巴黎圣母院
1077196, 8.6, 1291, 蒙田随笔全集（全三册）
6310320, 8.7, 1103, 人都是要死的
1041896, 8.3, 1740, 巴黎的忧郁
4753689, 8.2, 1949, 莎拉的钥匙
2147647, 7.9, 2867, 物质生活
26376049, 9.2, 596, 阿兰的战争
4120485, 9.3, 540, 加缪全集（散文卷Ⅰ）
4714018, 7.5, 5175, 青春咖啡馆
1400703, 8.3, 1524, 劳儿之劫
1070246, 8.6, 1057, 置身于苦难与阳光之间
6021092, 9.0, 678, 局外人·西绪福斯神话
1491855, 8.6, 1017, 羊脂球
1067592, 8.7, 872, 要塞
1026547, 8.1, 1737, 一生
2301475, 8.4, 1162, 人间食粮
3571360, 8.3, 1280, 长别离
3013532, 8.8, 701, 兰波彩图集
1398463, 9.1, 493, 萨特文集（全八卷）
19950612, 7.3, 4990, 伊斯坦布尔假期
3571371, 8.1, 1465, 平静的生活
1082469, 9.3, 396, 加缪全集（全四册）
4898547, 8.1, 1414, 祖与占
6874612, 8.1, 1408, 孤独的池塘
26110579, 7.6, 2860, 暗店街
1487995, 8.5, 865, 文字生涯
1858585, 8.1, 1349, 欧叶妮·格朗台 高老头
3797322, 8.9, 546, 悲惨世界
1316536, 8.6, 730, 萨特读本
4219120, 8.4, 878, 流浪的星星
11508896, 8.4, 873, 夜航
1037768, 8.0, 1409, 广岛之恋
4199421, 9.3, 345, 在少女花影下
1400718, 7.8, 1800, 夏夜十点半钟
5394486, 7.3, 3869, 爱情没那么美好
10539804, 8.6, 664, 彩画集
1102497, 8.0, 1320, 歌剧魅影
2377959, 8.5, 719, 文字·传奇
1023557, 9.0, 433, 萨特戏剧集(上下)
6428818, 8.4, 788, 田园交响曲
1255321, 8.1, 1097, 漫长的婚约
1269972, 9.0, 410, 火 一弹解千愁
5363264, 7.7, 1820, 被偷走的人
1793718, 7.6, 2065, 爱
1075791, 8.6, 585, 梅里美中短篇小说集
1455950, 7.7, 1737, 你喜欢勃拉姆斯吗……
4120483, 9.3, 300, 加缪全集（戏剧卷）
24722916, 7.4, 2728, 如果一切重来
3571554, 8.2, 892, 抵挡太平洋的堤坝
2375982, 8.8, 463, 恶之花 巴黎的忧郁
10604943, 8.3, 776, 爱情半夜餐
1048047, 8.5, 621, 风沙星辰
3765359, 8.2, 868, 四季
5408850, 8.9, 413, 不简单的生活
1072015, 9.1, 344, 人间喜剧 第一卷
1018408, 8.6, 555, 莫泊桑短篇小说选
2253751, 7.9, 1259, 我最美好的回忆
3183723, 8.7, 492, 云上的日子
3323627, 7.8, 1368, 林先生的小孙女
20437599, 8.0, 1031, 自杀
2971949, 8.8, 425, 马尔多罗之歌
1456426, 9.3, 267, 局外人·鼠疫
5248289, 7.7, 1487, 岁月的泡沫
1045934, 8.7, 455, 幻灭
2148464, 7.8, 1252, 夏雨
4246974, 8.4, 606, 伪币制造者
2149157, 8.7, 442, 墙
1204231, 8.3, 670, 羊脂球(莫泊桑中短篇小说选)
3571555, 8.2, 747, 直布罗陀水手
1432443, 8.5, 535, 存在之难
3015783, 7.8, 1224, 嫁给风的女孩
24257192, 9.1, 300, 卡利古拉
3144806, 8.7, 432, 项链
25774978, 8.7, 427, 眼泪与圣徒
1055536, 8.9, 350, 埃梅短篇小说选
3123757, 8.8, 377, 奥斯卡与玫瑰夫人
5312096, 8.9, 343, 反抗者
11533606, 8.9, 342, 贾科梅蒂的画室
6793951, 7.7, 1288, 地平线
2216385, 7.9, 978, 扬·安德烈亚·斯泰奈
4120488, 9.2, 254, 加缪全集（散文卷Ⅱ）
1256405, 8.6, 434, 哈德良回忆录
3242664, 7.6, 1425, 诉讼笔录
26819342, 9.0, 298, 波丽娜
5321896, 8.3, 582, 危险的关系
6016240, 8.9, 316, 堕落·流放与王国
2216373, 7.4, 1832, 毁灭，她说
6021091, 8.8, 334, 反与正·婚礼集·夏天集
26285734, 8.1, 685, 6点27分的朗读者
4719265, 8.5, 442, 逆天
3131641, 8.5, 439, 莫里哀喜剧六种
1400725, 7.4, 1714, 广场
25737804, 9.1, 251, 孤独与团结：阿尔贝·加缪影像集
2264147, 8.4, 480, 最后一课
26359759, 8.0, 739, 那些我们没谈过的事
1615235, 8.2, 583, 蒙田随笔
4151189, 8.5, 424, 物
1082445, 8.9, 286, 萨特文集（1-7卷）
3101896, 8.0, 721, 你会在那儿吗？
2027999, 8.6, 376, 布拉热洛纳子爵
10000764, 8.1, 628, 由于男人都不在了
3851791, 9.2, 218, 大鼻子情圣
3058357, 8.0, 703, 暗店街 夜巡
6012787, 8.8, 298, 追忆似水年华（第三卷）
5248331, 7.9, 766, 庸见词典
25897675, 7.5, 1284, 比恐惧更强烈的情感
1256406, 8.8, 292, 苦炼
5401650, 9.1, 224, 小王子手稿画传版
1793720, 7.6, 1094, 无耻之徒
26773323, 9.1, 223, 莫泊桑短篇小说精选
11509009, 9.1, 219, 人的大地
1185636, 7.4, 1408, 娜娜
25887981, 8.2, 504, 微妙
