2017-01-23 16:17:59
Tag: 犹太
The number of books: 279 

ID, rating, votes, title
1770782, 8.8, 249215, 追风筝的人
1803022, 9.0, 12739, 圣经
1082518, 7.9, 48081, 麦田里的守望者
1062343, 9.2, 5733, 昨日的世界
3537590, 8.3, 15172, 朗读者
2282097, 8.8, 5366, 像自由一样美丽
6152040, 9.1, 3118, 维特根斯坦传
4075203, 9.1, 1425, 鼠族（一、二部）
1042434, 8.0, 4794, 安妮日记
1439706, 9.1, 1143, 和合本紅字版聖經
1780277, 8.7, 1773, 法兰西组曲
20441569, 9.1, 1109, 被淹没和被拯救的
3228779, 8.7, 1542, 出埃及记
3431988, 9.1, 817, 人的境况
1944205, 8.9, 971, 追寻记忆的痕迹
1276479, 8.8, 928, 发达资本主义时代的抒情诗人
2245449, 8.7, 966, 爱与黑暗的故事
1083054, 9.0, 694, 现代性与大屠杀
3127852, 8.6, 986, 推销员之死
1274953, 8.7, 825, 伦理学
3902733, 9.0, 604, 红色骑兵军
2999785, 8.6, 783, 塔木德
1310188, 8.3, 1066, 魔鬼出没的世界
3427928, 8.8, 573, 契诃夫的一生
1082601, 7.6, 2166, 羊皮卷
1919879, 8.9, 449, 夜
6742607, 8.5, 667, 偷书贼
6854919, 8.7, 524, 安妮日记
3633809, 8.8, 411, 辛德勒名单
1925865, 9.1, 291, 摩西五經
6854647, 8.6, 417, 大卫的伤疤
3042252, 8.7, 369, 约瑟夫有件旧外套
1732998, 8.9, 286, 傻瓜吉姆佩尔
1769726, 9.5, 176, The Complete Maus
2758522, 8.6, 353, The Book Thief
1315775, 8.4, 373, 知性改进论
1547744, 8.9, 232, 卡夫卡集
3077186, 8.1, 499, 群氓之族
3348703, 7.8, 638, 耶路撒冷之鸽
4038653, 8.4, 302, 逃离奥斯维辛
2998520, 8.0, 449, 论小丑
1818298, 8.5, 240, 艾·辛格的魔盒
24749997, 8.2, 302, 耶路撒冷异乡人
3094726, 8.3, 236, 大卫·格德尔 舞会
2998522, 8.2, 256, 流氓的归来
26720841, 9.2, 111, 犹太人的故事
1559665, 8.6, 176, 审判
1084821, 8.5, 190, 黑匣子
1585889, 8.6, 170, 蓝山
2069650, 8.3, 219, 德国反犹史
1864292, 9.2, 104, Eichmann in Jerusalem
1148767, 8.1, 236, 汉娜的手提箱
1813779, 9.0, 102, 辛格短篇小说集
25862575, 8.1, 191, 当我们谈论安妮·弗兰克时我们谈论什么
3323308, 9.1, 84, 关于犹太人问题
1289221, 8.0, 203, 拉维尔斯坦
1261543, 8.3, 153, 旧约概论
2244647, 8.0, 196, 狗与狼
1507984, 8.2, 162, 了解女人
6560664, 8.5, 124, 修配工
3931477, 8.1, 168, 犹太人的命运
1786385, 8.3, 138, 莫称之为夜晚
4193469, 8.3, 126, 以色列人
5354950, 7.7, 218, 特别狠心特别爱
1022928, 8.2, 127, 现在可以说了
4055787, 8.7, 85, 以色列游说集团与美国对外政策
4729597, 9.0, 69, 在父亲的法庭上
1815468, 8.6, 91, Number the Stars
1022909, 7.8, 177, MBA十日读
4105450, 8.7, 83, 过时的人（第一、二卷）
4038710, 7.9, 149, 行话
1085494, 8.2, 114, 魔桶
1149722, 8.4, 92, 克拉拉的战争
2003636, 7.7, 164, 猎物
3196477, 8.7, 72, 伙计
4011409, 7.7, 161, 阿伦特与海德格尔
25732175, 8.2, 102, 国家阴谋3：梵蒂冈忏悔者
5922151, 8.6, 74, 灭绝的年代
1768892, 8.8, 64, 证之于：爱
2075866, 8.6, 73, 世界犹太人历史
3397116, 8.3, 91, 纳粹上台前后我的生活回忆
25845259, 8.0, 113, 重庆往事
24871240, 9.0, 54, 安息日的真谛
1492233, 8.0, 104, 塔木德智慧全书
1904361, 7.6, 149, 与狼为伴-不一样的童年
1500047, 8.3, 81, 给未出生的孩子做安息祷告
7175388, 8.7, 61, Jerusalem
1219123, 8.0, 102, 犹太人的智慧全集(珍藏版)
4102183, 7.9, 107, 以色列史
3574396, 8.2, 82, 犹太文化之旅
2988927, 7.4, 168, 黑暗时期三女哲
3714661, 7.8, 113, 重回耶路撒冷
3743192, 7.2, 205, 犹太人思考术
3828277, 7.7, 122, 保罗·策兰传
3909892, 7.3, 181, 我的母亲是纳粹
3226539, 8.0, 93, 论好客
1870326, 7.9, 99, 苏菲的抉择
1881701, 7.7, 118, 生活在约旦河西岸
1165193, 8.1, 82, 大众塔木德
2135493, 8.5, 59, 韦伯作品集XI：古犹太教
4004868, 8.5, 57, 向日葵
6729189, 8.1, 76, 假面舞会
1063517, 7.4, 138, 犹太人的智慧
1323763, 7.5, 124, 失落的文明：犹太王国
10785920, 7.5, 119, 虚构的犹太民族
1220526, 7.3, 141, 一个简单的故事
6387169, 7.0, 194, 犹太人与犹太教
1178697, 8.6, 48, 回眸莫斯科
1779801, 7.9, 79, 法国与德雷福斯事件
1813834, 7.9, 78, 犹太文化史
2296822, 7.9, 78, 犹太人卡夫卡
2070161, 8.0, 71, 塔木德大全集
4212270, 8.8, 41, 以色列与启示
1165000, 8.0, 70, 简明犹太民族史
23130129, 8.2, 59, 小俄罗斯
10345574, 8.2, 58, 提琴里的手稿
1133376, 8.9, 37, 迷途指津
3894821, 7.5, 101, 五千年犹太文明史
3411404, 8.1, 60, 《出埃及记》释义
1495244, 8.7, 40, 犹太教神秘主义主流
