2017-01-23 16:17:59
Tag: 独唱团
The number of books: 48 

ID, rating, votes, title
20427187, 8.8, 108751, 看见
2035179, 9.2, 28210, 动物农场
1027191, 9.0, 26866, 历史深处的忧虑
3813669, 8.6, 51533, 民主的细节
1085799, 8.6, 35310, 白鹿原
1426971, 8.8, 18303, 野火集
3815131, 9.4, 7452, 一九八四
1012611, 8.3, 29680, 乌合之众
3344676, 8.1, 34154, 常识
1077528, 8.9, 8072, 通往奴役之路
4618225, 8.2, 20288, 不去会死！
6401128, 8.9, 6232, 批评官员的尺度
1949679, 8.7, 5595, 素履之往
1453210, 7.4, 50354, 一座城池
1907199, 8.6, 5972, 扫起落叶好过冬
1427825, 8.5, 5948, 中国人史纲（上中下）
1534951, 8.9, 2729, 逃避自由
3101021, 8.7, 2261, 极权主义的起源
1963786, 8.4, 3091, 怎样鉴别黄色歌曲
2063579, 9.3, 993, 古拉格群岛（上中下）
24876477, 7.4, 9427, 很高兴见到你
4160794, 8.4, 1523, 多余的话
1027030, 8.4, 1504, 常识
3593300, 9.1, 443, 民主新论
4212276, 8.4, 891, 苏联的心灵
2066292, 8.8, 570, 异端的权利
25714176, 8.1, 1225, 雪中悍刀行 1
6157548, 7.6, 2066, 房间里的大象
1232523, 8.4, 557, 中国：传统与变迁
2258336, 7.9, 763, 缅甸岁月
6735584, 7.5, 683, 1985
1055355, 8.3, 269, 储安平
26177823, 6.6, 1846, 在这复杂世界里
1410719, 8.6, 154, 论人类不平等的起源和基础
20480678, 7.0, 814, 逆转
1006190, 7.5, 353, 知识分子
1168766, 8.2, 169, 论民主
10731681, 7.2, 432, 六度人脉
10526507, 8.0, 162, 威权统治的转型
20398022, 7.8, 165, 圣徒与罪人
6795839, 7.3, 219, 一如玫红色的蔷薇之于夏日
1429932, 7.9, 64, 复旦往事
1146074, 7.8, 46, 极权主义民主的起源
4238005, 7.9, 41, 如果你是平等主义者，为何如此富有?
6758628, 7.6, 45, 无独有偶
1022166, 7.3, 49, 权威政治
10564629, 7.1, 24, 我是一个妙人
2389210, 7.7, 16, Under the Loving Care of the Fatherly Leader
