2017-01-23 16:17:59
Tag: 现代
The number of books: 985 

ID, rating, votes, title
1008145, 8.9, 179804, 围城
1090043, 8.5, 83134, 倾城之恋
1057244, 8.6, 64008, 边城
1449351, 8.8, 34621, 呐喊
1461903, 8.0, 114246, 何以笙箫默
1963684, 8.6, 32870, 半生缘
3879301, 8.1, 73967, 微微一笑很倾城
1088065, 8.6, 28215, 阿Q正传
1011754, 8.9, 17168, 海子的诗
1014278, 8.4, 36424, 红玫瑰与白玫瑰
1020459, 8.4, 34393, 此间的少年
3017857, 8.5, 26916, 金锁记
4231381, 8.5, 25926, 那些回不去的年少时光
2209098, 7.9, 78854, 致我们终将逝去的青春
1080309, 8.4, 28168, 尘埃落定
1449352, 8.6, 19665, 朝花夕拾
1398395, 8.6, 19339, 狂人日记
1060852, 8.8, 13437, 呼兰河传
1391191, 8.5, 21466, 京华烟云
1013416, 8.5, 20868, 雷雨
4732378, 8.7, 14188, 那些回不去的年少时光·终场
2567919, 8.3, 26260, 匆匆那年（上下）
1033825, 8.7, 13512, 顾城的诗
1004992, 8.8, 11475, 张爱玲文集
1449348, 8.8, 11017, 彷徨
3610681, 9.2, 6176, 海子诗全集
1043815, 8.2, 28046, 骆驼祥子
1085883, 8.6, 14039, 青铜时代
3633461, 8.6, 13884, 一句顶一万句
1962929, 8.0, 35203, 佳期如梦
4874131, 8.1, 27981, 东霓
4238754, 8.0, 33201, 失恋33天
1066165, 9.3, 4024, 卡尔维诺文集（第三卷）
1082162, 8.3, 16741, 第一炉香
10601616, 9.3, 3775, 我爱摇滚乐
1322455, 8.8, 7257, 遥远的救世主
1915958, 9.2, 4170, 野草
1016300, 7.2, 142968, 梦里花落知多少
1073349, 8.8, 6705, 写在人生边上 人生边上的边上 石语
1883991, 9.3, 3479, 王小波全集
6531656, 9.4, 3040, 麒麟之与子同袍
1980436, 8.7, 7357, 流言
1058679, 8.7, 7263, 人·兽·鬼
1442720, 9.4, 2945, 鲁迅全集（2005最新修订版）
1054917, 8.5, 9383, 沧浪之水
2331434, 7.7, 36557, 原来你还在这里
1036613, 8.9, 5071, 茶馆
1760432, 9.2, 3385, 受戒
1082522, 8.2, 13359, 家
3616310, 7.6, 38859, 小团圆
1000517, 8.8, 5190, 故事新编
1073744, 9.0, 3978, 四世同堂（上下）
1081422, 8.9, 4407, 卡夫卡小说全集（全三册）
1061242, 8.8, 4980, 写在人生边上
2230208, 8.1, 14022, 我的前半生
1078250, 8.2, 11724, 洗澡
6730371, 9.5, 1851, 麒麟之生死與共
2376306, 7.8, 20236, 第三种爱情
1830445, 9.0, 3148, 阿城精选集
10555486, 8.7, 4628, 分成两半的子爵
1043485, 8.1, 11305, 檀香刑
