2017-01-23 16:17:59
Tag: 理想国
The number of books: 536 

ID, rating, votes, title
1084336, 9.0, 211686, 小王子
1082154, 9.1, 120288, 活着
10554308, 9.2, 59085, 白夜行
20427187, 8.8, 108752, 看见
4238362, 8.6, 82846, 送你一颗子弹
3674537, 9.1, 30902, 明朝那些事儿（1-9）
1057244, 8.6, 64009, 边城
6388661, 8.8, 41046, 这些人，那些事
1045818, 8.5, 59219, 苏菲的世界
4242172, 8.3, 84692, 天才在左 疯子在右
4742918, 8.3, 73887, 1Q84 BOOK 1
7163250, 9.2, 15525, 明朝那些事儿
4207781, 8.8, 24732, 孩子你慢慢来
11622283, 9.2, 13027, 滚蛋吧!肿瘤君
3815131, 9.4, 7452, 一九八四
2209098, 7.9, 78855, 致我们终将逝去的青春
23008971, 9.0, 9009, 平如美棠
1004821, 8.7, 12819, 理想国
2256438, 7.8, 50752, 素年锦时
10763902, 7.9, 36915, 偷影子的人
2250587, 7.6, 67394, 一个人的好天气
24934182, 8.1, 22992, 一个人的朝圣
4230237, 9.0, 5685, 设计中的设计 | 全本
3711709, 8.7, 7203, 娱乐至死 童年的消逝
1003284, 8.1, 17916, 退步集
6313461, 9.1, 3830, 月亮和六便士
2359003, 8.2, 14049, 沉思录
10759773, 9.2, 3083, 深夜食堂 07
6902639, 7.9, 20134, 青春
1949679, 8.7, 5595, 素履之往
5337243, 8.6, 5927, 纽约客
4313207, 8.5, 6575, 致D
4773224, 8.3, 8446, 生活十讲
25747921, 7.2, 68429, 从你的全世界路过
3547099, 8.5, 6062, 贾想1996—2008
2256351, 8.4, 6665, 乌合之众
3748247, 8.4, 6554, 把你的英语用起来！
3765620, 8.7, 4235, 在漫长的旅途中
4286204, 8.1, 10239, 麦田里的守望者
1460313, 8.4, 6328, 哥伦比亚的倒影
6712255, 8.8, 3517, 天真的人类学家
2295324, 8.6, 4488, 地下乡愁蓝调
3333989, 8.1, 9181, 荒废集
4047637, 8.2, 7453, 1Q84
4159088, 7.8, 14073, 理想的下午
19962936, 8.7, 3439, 只是孩子
4908883, 9.0, 2305, 荒原狼
26210487, 9.1, 2036, 强风吹拂
2376336, 8.4, 4954, 未央歌
10555535, 8.9, 2373, 如果在冬夜，一个旅人
2143904, 8.9, 2342, 进化心理学
21617765, 8.9, 2224, 亲爱的安德烈
6392683, 8.6, 3230, 小星星通信
4138982, 8.9, 2171, Alchemist
25639223, 8.3, 4626, 身边的江湖
25735727, 8.2, 5240, 站在两个世界的边缘
2052596, 8.2, 5206, 退步集续编
2294993, 8.2, 5146, 纽约琐记（修订版）
4124716, 8.6, 2719, 汉字书法之美
4199363, 8.6, 2526, 九人
4246151, 8.0, 4980, 厨房里的人类学家
6878212, 8.0, 4874, 一个村庄里的中国
4212607, 7.6, 9253, 有味
26309691, 8.3, 3023, 月光落在左手上
4101013, 8.2, 3416, 设计的觉醒
6937888, 8.5, 1936, 树犹如此
4164096, 7.6, 6998, 饥饿游戏
3669671, 8.5, 1811, 我们在此相遇
3652211, 8.6, 1579, 爱默生家的恶客
25897707, 9.0, 1003, 沈从文的后半生
24876477, 7.4, 9427, 很高兴见到你
1949674, 8.1, 2968, 我纷纷的情欲
11588848, 8.2, 2528, 坦白书
10739689, 8.8, 1163, 伟大的电影
10768064, 8.0, 3059, 涡虫
6100947, 7.6, 5139, 刘氏女
1463256, 8.2, 2071, 大明王朝的七张面孔
1450065, 8.4, 1546, 李宗仁回忆录（上下）
4721437, 8.7, 976, 第九个寡妇
5337250, 8.3, 1553, 寂寞的十七岁
2135139, 8.4, 1292, 我为什么要写作
4746128, 7.7, 3341, 家
11588813, 8.7, 895, 海上钢琴师
10570587, 7.4, 5382, 就想开间小小咖啡馆
20379760, 8.1, 1820, 我亦飘零久
25913058, 7.9, 2380, 我爱这哭不出来的浪漫
2174792, 8.3, 1389, 清欢
4836697, 8.3, 1376, 看见真相的男孩
4213397, 8.9, 692, 莱昂内往事
11527635, 8.1, 1758, 鳄鱼手记
25913413, 8.2, 1532, 四季便当
5293823, 7.9, 2265, 四喜忧国
7916069, 8.8, 744, 被禁锢的头脑
4931797, 8.4, 1147, 十四堂人生创意课
6436046, 9.2, 491, 新教伦理与资本主义精神
3389960, 8.0, 1871, 自卑与超越
4746130, 7.8, 2457, 家
6975925, 7.6, 3145, 设计诗
6826619, 8.3, 1188, 大中东行纪
4154985, 8.2, 1332, 天工开物·栩栩如真
6808941, 8.0, 1723, 七日谈
26394018, 9.1, 491, 生活与命运
4882013, 8.1, 1483, 异常
26292964, 8.8, 632, 世界小史
6802371, 7.9, 1847, 一个游荡者的世界
25784438, 8.2, 1235, 不留心，看不见
6731202, 8.3, 1072, 恋文
19900003, 8.0, 1567, 迈向另一个国度
4908905, 8.4, 949, Re：没有代表作
20389192, 7.2, 5453, 30岁前的每一天
6877598, 8.7, 670, 士人风骨
5938219, 7.8, 1993, 昨日书
25762598, 8.8, 592, 尽头
4145428, 8.2, 1156, 为什么设计
1875581, 7.8, 1948, 西班牙三棵树
21778349, 8.2, 1144, 苦水音乐
25777331, 8.4, 882, 美国十讲
10437353, 8.1, 1252, 我想遇见你的人生
20499677, 8.0, 1423, 味道·味觉现象
20499673, 7.9, 1625, 味道·人民公社
20366533, 8.7, 620, 中国与中国人影像
26698223, 9.2, 383, 永恒的时光之旅
2097249, 8.7, 601, 鱼丽之宴
26120130, 9.1, 397, 天才的编辑
7916072, 7.6, 2272, 杨氏女
25740167, 8.1, 1122, 最初的爱情，最后的仪式
5935614, 8.6, 626, 杜尚传
25953571, 8.8, 510, 耳语者
4772537, 8.4, 775, 窥看舞台
3521168, 7.0, 6101, 谢谢你离开我
26647742, 8.8, 492, 陌生的经验
6826594, 8.2, 941, 故事照亮未来
26584734, 8.4, 740, 乐之本事
20499702, 7.7, 1786, 味道·第一宗罪
22993829, 7.7, 1771, 我们这儿是精神病院
19899834, 7.2, 3922, 只愿你曾被这世界温柔相待
4901554, 7.2, 3847, 一个都不正经
6064336, 8.4, 716, 花花世界
1939168, 7.8, 1485, 丢三落四的小豆豆
4732153, 7.7, 1692, 过得去
4215678, 7.9, 1273, 我城
3662262, 8.0, 1102, 电影化叙事
1052932, 7.9, 1224, 大历史不会萎缩
6026129, 8.3, 739, 高处眼亮
25844017, 8.5, 588, 讲谈社·中国的历史（十卷本）
26687647, 7.8, 1351, 至味在人间
4720817, 7.9, 1174, 消解设计的界限
11587591, 7.7, 1537, 想念你的陌生人
7055536, 8.9, 386, 资中筠自选集（全五册）
5248289, 7.7, 1487, 岁月的泡沫
10569646, 8.8, 398, 猫的故事
20499070, 8.1, 835, 这个社会会好吗
26431217, 8.6, 457, 在江湖
6875416, 8.5, 502, 感时忧世
6826632, 8.3, 616, 蜗牛慢吞吞
2219098, 9.1, 280, 古希腊悲剧喜剧全集（全8册）
25804641, 7.7, 1273, 草草集
26673941, 8.2, 679, 正午故事001
6862463, 8.6, 436, 诗的见证
4218689, 8.2, 667, 哀悼乳房
4856537, 7.6, 1428, 你是我的独家记忆
25904481, 8.6, 431, 那一天
4934669, 7.6, 1332, 老而不死是为贼
5935619, 8.0, 787, 记得
5978079, 7.8, 1009, 百家姓
26285734, 8.1, 685, 6点27分的朗读者
3662742, 8.3, 546, 天堂在另外那个街角
24307937, 8.3, 539, 东方历史评论（第1辑）
4190173, 9.1, 243, 人应该如何生活
10570061, 8.1, 639, 单向街 004
4841292, 7.3, 1870, 十方一念
6860955, 7.7, 1047, 太平天国
25908550, 8.5, 410, 历史的终结与最后的人
5935620, 7.9, 797, 青玉案
6781409, 6.8, 4251, 窗里窗外
20499536, 7.8, 873, 时代的稻草人
26384375, 7.8, 869, 平乐镇伤心故事集
25871638, 7.7, 977, 品味四讲
2090728, 8.4, 431, LSD：我那惹是生非的孩子
6100952, 8.0, 667, 公寓导游
7916066, 7.6, 1110, 欲爱书
4164041, 7.8, 840, 字解日本
10539580, 7.7, 949, 白
4934784, 7.8, 815, 非普通读者
26274801, 7.5, 1180, 沉默也会歌唱
26606366, 8.3, 442, 布达佩斯往事
24525262, 7.8, 785, 当历史可以观看
21622634, 8.9, 248, 滚吧，生活
25804649, 7.4, 1336, 无知的游历
10815590, 6.9, 3016, 优雅
5988637, 8.5, 356, 镜子之家
11584608, 7.5, 1151, 世界和其他地方
25660221, 7.6, 987, 代表作和被代表作
24380058, 7.6, 981, 读书年代
5936610, 8.2, 469, 工艺之道
26388796, 8.0, 557, 人间卧底
26561444, 7.7, 802, 少女哪吒
25913504, 7.2, 1593, 邹氏女
25806352, 8.3, 389, 梁思成与他的时代
25804642, 7.5, 1001, 谈话的泥沼
20516974, 8.2, 425, 木心纪念专号
7916067, 7.6, 866, 忘言书
6722956, 7.9, 584, 十一味爱
25742023, 8.3, 367, 米沃什词典
6985548, 9.0, 194, 明朝那些事儿
10583777, 8.0, 496, 南回归线
3270647, 7.7, 707, 玛丽莎的心愿清单
26840830, 8.9, 203, 爱德华·巴纳德的堕落
7916068, 7.6, 784, 路上书
1939267, 7.8, 609, 日本手工艺
26314606, 8.6, 250, 打回原形
11597383, 8.5, 273, 一个女人的自传
26310659, 8.9, 190, 莎士比亚
7001470, 8.9, 189, 四十年的故事
26794598, 8.2, 356, 过去的痛
25871639, 8.1, 395, 广岛
6541263, 7.6, 705, 枪，偶尔有音乐
1478390, 9.2, 147, The Republic
19976775, 7.5, 797, 死城漫游指南
23778103, 9.2, 146, 木心作品二辑五种
26682066, 8.5, 256, 我的奋斗1
20395644, 7.7, 599, 大量流出
5917239, 7.6, 668, 康熙：重构一位中国皇帝的内心世界
25758414, 8.3, 303, 苏联的最后一天
3335643, 8.0, 412, 中国历史风云录
10539160, 7.8, 506, 建筑诞生的时刻
19912132, 8.1, 354, 民主的限制
10577556, 7.9, 435, 中东现场
26687321, 7.9, 430, 什么是自由什么是爱
25731397, 7.2, 1057, 漫步东京
25749911, 7.7, 535, 生命的单行道:程浩日记
25881330, 7.2, 1042, 濒死之绿
25800339, 7.6, 602, 唐诗风物志
4934667, 7.3, 897, 一生只为这一天
25961455, 8.4, 251, 重读
6875423, 8.5, 228, 坐观天下
10601219, 8.8, 174, 星守犬
25731402, 8.7, 189, 剧本
7916062, 8.0, 368, 白描
6130631, 7.1, 1168, 像艳遇一样忧伤
7916060, 7.9, 398, 记忆的脚注
26657573, 8.3, 263, 眼前
6878274, 8.0, 352, 这一代的事
26293322, 8.4, 236, 杨牧诗选 1956-2013
25777339, 8.3, 258, 老生常谈
6970742, 7.7, 489, 我未来次子关于我的回忆
26662811, 8.3, 254, 痖弦诗集
1505350, 8.1, 308, 工艺文化
26657845, 7.7, 471, 大国志
10566471, 7.7, 465, 混大成人
21965475, 7.1, 1027, 爱上几个人渣
2382549, 7.5, 586, 乌拉尼亚
25849608, 8.0, 323, 艺术的起源
26861418, 9.2, 114, 奥斯维辛
10539598, 7.8, 397, 飘零一家
26434974, 7.5, 562, 行云纪
5325363, 7.9, 343, 八〇年代
7916063, 7.8, 381, 绝色
11232882, 8.8, 148, 革命
24733385, 8.6, 174, 美语新诠：海外喷饭录
6309206, 7.5, 537, 字解日本
10679501, 7.1, 914, 为什么读书
10441335, 8.0, 294, 这不是旅行
10577555, 7.8, 362, 白崇禧将军身影集
3652204, 8.8, 141, 塞尚及其画风的发展
26303995, 8.6, 165, 飞毡
25953656, 7.4, 572, 写真的话
4882015, 7.1, 865, 杀心
26894367, 8.5, 175, 尘土
25857414, 7.9, 307, 剩下的都属于你
10434725, 8.7, 146, 花花世界2
6875437, 8.0, 274, 不尽之思
6937890, 7.7, 375, 朗姆酒日记
26022685, 8.2, 219, 现象
26646201, 7.5, 462, 葡萄柚
25734430, 8.3, 198, 理想国度
24974938, 8.1, 239, 东方历史评论（第2辑）
19974381, 7.3, 591, 味道台北
10782031, 8.9, 118, 胡适的理想国
2364186, 8.3, 186, 胡适的前半生
10436653, 7.9, 269, 迷路的诗
7916070, 7.5, 415, 杨氏女
25864834, 7.8, 292, 生于午夜
4725168, 7.9, 261, 放映 001
26253701, 8.6, 137, 船夫日记
24852365, 7.8, 284, 天涯晚笛
3585701, 7.7, 316, 西域余闻
6875468, 7.7, 313, 闲情记美
3802778, 7.6, 345, 城市九章
5910922, 7.3, 496, 狐狸尾巴
26253700, 8.9, 105, 城塞
26314736, 8.6, 132, 希腊神话
5936372, 8.2, 185, 民艺四十年
4018178, 7.7, 302, 史蒂夫迟到的101个理由
20499267, 7.5, 378, 时代正在改变
26258214, 8.0, 216, 理念的力量
10804421, 7.8, 263, 在荷兰过日子
26319391, 8.1, 195, 金融的逻辑
26390716, 8.1, 195, 大唐李白·将进酒
25881360, 8.0, 214, 一位年轻小说家的自白
5917293, 7.7, 285, 爱的五重奏
6963965, 8.1, 188, 大设计
19962326, 8.8, 105, 大亨小傳
25870331, 6.8, 913, 所有年轻人都将在黎明前死去
26790004, 7.7, 280, 正午故事002
3830593, 8.5, 132, 艺术家的真实
19912140, 7.0, 666, 读书毁了我
3335663, 7.2, 504, 日本人与中国人
25961876, 8.3, 152, 断臂上的花朵
26314759, 7.2, 485, 食帖02：只为喝杯好咖啡
26333217, 8.0, 197, 单读09
25981182, 7.2, 481, 荆棘王冠
26592899, 8.3, 148, 政治秩序与政治衰败
26893634, 9.0, 85, 树之生命木之心
10562768, 8.1, 171, 电影或想象的人
19976723, 7.6, 281, 十五颗小行星
4898560, 8.3, 142, 勇者曼德拉自传
1908374, 8.4, 130, 《王制》要义
25740175, 8.2, 151, 奇来前书
26577706, 7.8, 219, 档案
24732976, 7.1, 496, 品味
1468497, 8.6, 107, 编辑部的故事
25814894, 7.6, 264, 单向街005
25800144, 8.3, 133, 东方历史评论（第4辑）
25729410, 8.1, 157, 京范儿
25750946, 8.1, 157, 东方历史评论（第3辑）
25800202, 7.2, 410, 不想恋爱
26293762, 7.1, 461, 食帖01：Brunch吧!没那么赶时间
24846610, 7.3, 357, 语录杜尚
20498342, 9.4, 59, 我的家在紫禁城
25864840, 7.7, 222, 且借纸遁
26588107, 7.4, 306, 只有大众
4746111, 7.4, 303, 书生傻气
26577705, 8.4, 115, 罪孽的报应
3618178, 8.5, 105, 《理想国》讲演录
3040512, 8.6, 97, 名联观止
26578400, 8.2, 132, 煮海时光
20301549, 7.9, 173, 茶事遍路
