2017-01-23 16:17:59
Tag: 短篇小说
The number of books: 969 

ID, rating, votes, title
1051193, 8.6, 28502, 麦琪的礼物
1205370, 8.1, 40994, 羊脂球
1440972, 9.1, 7395, 博尔赫斯小说集
5337248, 8.9, 9260, 台北人
3136271, 8.6, 12526, 罗生门
4011440, 8.0, 25442, 最初的爱情 最后的仪式
1254731, 8.8, 6881, 欧·亨利短篇小说选
3326892, 8.6, 8543, 圣诞忆旧集
1058679, 8.7, 7263, 人·兽·鬼
10774752, 9.1, 3909, 毛姆短篇小说精选集
4010969, 7.8, 29539, 当我们谈论爱情时我们在谈论什么
3335362, 8.5, 8042, 大教堂
5920385, 8.2, 11875, 肠子
5337243, 8.6, 5928, 纽约客
1420508, 8.9, 3903, 最后一片叶子
4105446, 8.1, 12485, 十一种孤独
1848256, 8.0, 14138, 东京奇谭集
1421975, 8.7, 4782, 只有你聽到 Calling You
2161892, 8.5, 5579, 九故事
3003477, 9.2, 2236, 虚构集
1818583, 9.1, 2102, 斯·茨威格中短篇小说选
4116629, 8.9, 2544, 希区柯克悬念故事集
3926717, 8.5, 4243, 雷蒙德·卡佛短篇小说自选集
1083435, 8.7, 3199, 契诃夫短篇小说选
1082147, 9.0, 2158, 热爱生命
3769738, 8.7, 3126, 万火归一
1083434, 8.6, 3472, 莫泊桑短篇小说选
1019628, 8.7, 2689, 卡夫卡中短篇小说选
5446490, 8.7, 2688, 宇宙奇趣全集
5288327, 8.3, 4630, 鸟，看见我了
3003258, 9.2, 1474, 阿莱夫
5993314, 8.0, 7186, 安吉拉·卡特的精怪故事集
1874411, 8.5, 3341, 乞力马扎罗的雪
1083429, 8.7, 2546, 爱伦·坡短篇小说集
3871911, 8.4, 3600, 大树
10768068, 8.4, 3552, 寻欢作乐
3831788, 8.0, 6369, 逃离
6797396, 8.5, 2968, 焚舟纪
4908872, 8.6, 2450, 都柏林人
10764013, 8.8, 1875, 克罗诺皮奥与法玛的故事
26628811, 8.7, 2070, 世上最美的溺水者
1491853, 8.2, 3798, 变色龙
26357614, 9.0, 1301, 海风中失落的血色馈赠
1768642, 9.2, 1048, 博尔赫斯短篇小说集
10473355, 8.6, 1969, 木麻黄树
21692813, 7.6, 8441, 眠
3003466, 8.7, 1696, 恶棍列传
20424609, 8.1, 3634, 妩媚航班
21346008, 8.5, 2081, 米格尔街
3776157, 7.8, 5412, 破事儿
1807562, 9.2, 896, 加西亚·马尔克斯中短篇小说集
26276924, 8.6, 1599, 梦中的欢快葬礼和十二个异乡故事
4011668, 8.5, 1803, 女生徒
4881999, 8.4, 2031, 离魂
24529235, 8.4, 1902, 刀背藏身
2018527, 8.9, 1054, 王小波全集(第八卷)
11511232, 8.9, 1032, 大师的盛宴
5321895, 8.3, 2068, 那些忧伤的年轻人
26286208, 7.7, 4927, 没有女人的男人们
19965972, 7.5, 6670, 我读书少，你可别骗我
3499317, 9.3, 645, 芥川龙之介精选集
2295122, 8.4, 1726, 卡门
6391166, 7.8, 4002, 碎片
1000594, 7.9, 3413, 旋转木马鏖战记
20501761, 8.2, 2214, 地球上最后的夜晚
24715669, 8.9, 945, 少数派报告
6529759, 9.4, 575, 水蛇腰
1034449, 8.9, 944, 杰克·伦敦小说选
10522844, 8.7, 1168, 游戏的终结
4140396, 8.5, 1326, 黄昏清兵卫
1123546, 8.8, 910, 一个陌生女人的来信
25796061, 9.3, 537, 杜撰集
4213981, 8.4, 1382, 好人难寻
5337250, 8.3, 1553, 寂寞的十七岁
6746290, 8.9, 767, 奥丽芙·基特里奇
6010144, 8.3, 1499, 动物寓言集
6791412, 8.8, 825, 炽焰燃烧
1491855, 8.6, 1017, 羊脂球
4203630, 8.5, 1135, 鳄鱼街
5372422, 8.1, 1870, 末日的愚者
5423775, 8.2, 1628, 隔壁女子
1090877, 8.8, 798, 献给爱米丽的一朵玫瑰花
1371801, 8.6, 990, 七宗罪
25796049, 9.0, 636, 沙之书
4882011, 8.6, 950, 短篇小说集
5293823, 7.9, 2265, 四喜忧国
26367367, 8.6, 926, 宵待草夜情
3225756, 8.2, 1495, 灰故事
4311468, 8.4, 1160, 炎夏之都
26303224, 8.1, 1691, 说部之乱
1760134, 9.1, 539, 茨威格小说集
1100754, 8.5, 1006, 变形记
10345560, 7.8, 2461, 离别之音
3136267, 8.5, 975, 小城畸人
20273057, 9.0, 573, 象棋的故事
6003394, 8.2, 1372, 爱，始于冬季
1041912, 7.9, 2041, 黄昏里的男孩
6808941, 8.0, 1723, 七日谈
1212486, 8.5, 890, 马克·吐温中短篇小说选
5321892, 8.8, 644, 不适之地
