2017-01-23 16:17:59
Tag: 硅谷
The number of books: 83 

ID, rating, votes, title
10750155, 8.7, 7441, 数学之美
6512188, 8.9, 2406, Steve Jobs
26582822, 8.3, 2986, 重新定义公司
1427679, 7.5, 9665, 做最好的自己
26275177, 9.0, 964, 文明之光 （第三册）
26759508, 8.1, 1661, 硅谷钢铁侠
11516567, 8.7, 618, 四步创业法
24739213, 9.1, 404, 浪潮之巅（上册）
26665230, 8.6, 659, 硅谷之谜
26324497, 8.1, 1066, 支付战争
25908079, 8.5, 653, 新经济，新规则
20471120, 7.5, 2089, 打造Facebook
4912556, 9.1, 262, Hackers &amp; Painters
6723066, 7.1, 2828, 乔布斯传
4860552, 7.1, 2612, 活着就为改变世界
4789228, 8.7, 338, In The Plex
6920100, 7.6, 1024, 20个月赚130亿
25766700, 7.5, 1111, 一网打尽
1101267, 8.2, 466, 营销战
25777433, 9.1, 148, Creativity
26236449, 7.9, 379, 從0到1
2130054, 8.0, 324, 我是沃兹
4243771, 7.9, 317, 创新的艺术
25763770, 7.6, 413, 孵化Twitter
4139280, 7.1, 740, 乔布斯的秘密日记
25857804, 8.0, 225, 硅谷百年史
24700106, 7.8, 259, 硅谷最受欢迎的情商课
25821793, 8.9, 97, 浪潮之巅（第二版）
2016451, 8.1, 173, 万能钥匙
4886882, 9.2, 69, UNIX网络编程 : 第2版. 第2卷， 进程间通信(中文版)
21329264, 7.2, 397, 谁是谷歌想要的人才
1905038, 7.6, 243, 创业的艺术
1040697, 7.8, 189, 漂洋日记
25850087, 8.3, 109, 有的放矢
10545193, 7.5, 190, IT创业疯魔史
25927950, 7.5, 185, YC创业营: 硅谷顶级创业孵化器如何改变世界
2284487, 8.5, 71, 硅谷热
1029781, 7.5, 164, 硅谷商战
2147625, 6.4, 676, 硅谷禁书
2050145, 8.0, 92, 僧侣与谜语
26585097, 8.4, 60, 大学之路 下册
3506599, 7.1, 186, 创业者
5400552, 7.4, 126, 重返小王国
3898636, 7.3, 122, 勇气
1072313, 7.7, 76, 硅谷之火
1427609, 7.8, 69, The Search
3056118, 7.2, 103, 硅谷禁书III
3172011, 7.2, 94, 将世界甩在身后
6954094, 7.1, 87, 互联网创业启示录
26342628, 8.6, 29, Becoming Steve Jobs
21241209, 7.6, 53, 硅谷之光
26823787, 8.5, 29, 创新者
6901098, 8.3, 27, The Idea Factory
2348840, 6.8, 83, 硅谷禁书Ⅱ
1279424, 7.3, 52, 冰川期的春天
26737855, 7.8, 33, 神山奇迹
10545050, 7.9, 28, 硅谷中关村人脉网络
26697805, 7.3, 41, 乔布斯的厨师
5380974, 6.8, 62, 浪潮之巅
26857852, 7.3, 39, 硅谷密探：探秘全球科技精华
3177963, 6.7, 65, 硅谷禁书4
26693268, 7.7, 29, 落花微语今犹记
3266068, 7.0, 45, 硅谷禁书5
25732083, 7.4, 25, 这里改变世界
3187201, 7.6, 22, 硅谷巨人
10768381, 7.7, 19, YouTube你的熱情和直覺
26827267, 7.7, 17, Chaos Monkeys
1060517, 7.9, 15, 地区优势
10798931, 6.9, 26, 谷歌风云
26629744, 7.5, 17, 硅谷生态圈
1059751, 7.8, 14, 硅谷优势
1760408, 7.9, 13, Startup
2081594, 7.6, 14, The PayPal Wars
26728607, 7.3, 15, MEMO2015
23744116, 7.7, 12, 极客
25878384, 7.8, 11, Creativity
1005836, 6.1, 32, 埃利森传
3159840, 6.1, 32, 硅谷顽童
25817676, 7.5, 12, 创意的未来
6990246, 5.4, 69, 美国这层窗户纸
25782823, 6.4, 23, 硅谷合伙人
4902751, 6.9, 12, 硅谷禁书大全集
25844586, 2.6, 87, 进军硅谷
