2017-01-23 16:17:59
Tag: 社会评论
The number of books: 85 

ID, rating, votes, title
20427187, 8.8, 108757, 看见
1858576, 9.3, 22528, 一九八四
3369793, 8.7, 50266, 亲爱的安德烈
6388661, 8.8, 41046, 这些人，那些事
5414391, 9.0, 28888, 寻路中国
1027191, 9.0, 26866, 历史深处的忧虑
1970428, 8.8, 18996, 激荡三十年（上）
1426971, 8.8, 18303, 野火集
1056315, 8.8, 14162, 总统是靠不住的
5375620, 8.8, 11259, 失控
3344676, 8.1, 34155, 常识
4872671, 8.2, 24872, 佛祖在一号线
1041385, 9.2, 4505, 论美国的民主
20463108, 8.3, 16427, 观念的水位
1003284, 8.1, 17917, 退步集
3860856, 8.1, 17813, 可爱的洪水猛兽
5252677, 8.1, 15693, 幸福了吗?
6902639, 7.9, 20135, 青春
3223711, 8.1, 12499, 怪诞行为学
1072438, 8.3, 8721, 大败局
1027247, 7.9, 14127, 丑陋的中国人
5401989, 8.1, 9802, 自由在高处
4199761, 8.4, 5991, 重新发现社会
3067169, 7.9, 13377, 丑陋的中国人
2381950, 8.8, 3231, 论摄影
20425053, 7.7, 16910, 我所理解的生活
6085181, 8.1, 6955, 二号首长
1867642, 7.7, 13050, 世界是平的
3101021, 8.7, 2261, 极权主义的起源
4202004, 8.7, 2157, 文明的冲突与世界秩序的重建
10601137, 7.6, 10980, 你永远都无法叫醒一个装睡的人
6510070, 8.3, 2621, 人生不设限
6759059, 8.0, 3180, 二号首长2
1012272, 8.7, 1270, 反对阐释
1064734, 8.4, 1788, 疾病的隐喻
5404058, 7.9, 3304, 痛并快乐着
3640150, 8.0, 2345, 血酬定律
2363998, 8.4, 1347, 雨啊
4833918, 7.4, 5775, 活着活着就老了
1823058, 8.3, 1407, 关于他人的痛苦
4252006, 7.6, 3271, 祖国的陌生人
2119843, 6.9, 11337, 钝感力
1329975, 8.6, 800, 看世纪末向你走来
3866002, 7.2, 5706, 我所爱的香港
6802371, 7.9, 1847, 一个游荡者的世界
1980222, 8.2, 1201, 丑陋的中国人
2365114, 7.8, 1844, 中国纪事
3192353, 8.9, 392, 中国经济专题
10540308, 8.4, 647, 走进生命的学问
1828292, 8.6, 509, 黑暗时代的人们
4104793, 7.6, 1669, 冰眼看日本
4162766, 7.8, 1259, 中国人的精神
2261379, 7.3, 2287, 岩松看日本
1292448, 8.1, 723, 女子与小人
20387024, 7.2, 2469, 晓说
1025474, 8.1, 667, 舒克舌战贝塔
1974023, 8.8, 320, 华盖集
23774520, 7.6, 980, 晓说2
10569245, 7.1, 2062, 不愿说谢谢的人
10344037, 7.1, 1957, 给理想一点时间
1321541, 8.5, 282, 异端的权利
1426672, 7.8, 571, 李敖有话说 2
1490438, 7.8, 453, 李敖有话说3
3067186, 8.1, 321, 酱缸震荡
2038603, 8.7, 174, 大国崛起-十二集大型电视纪录片(全三卷)(原创缩编版)
1072506, 7.9, 334, 虚构的热情
2350880, 7.7, 383, 一个经济学家的良知与思考
1185805, 8.2, 221, 风险社会
22994555, 7.3, 524, 历史的细节
25817337, 7.4, 449, 晓说3
2069662, 7.9, 240, 法律人，你为什么不争气？
6314045, 6.2, 2291, 以眨眼干杯
1950334, 7.8, 179, 从历史看时代转移（第二版）
25172703, 9.4, 53, One Man&#39;s View of the World
3920374, 8.0, 89, 下一轮全球趋势
6510691, 8.6, 56, 繁荣的背后
3376225, 7.1, 191, 中国社会的一千个细节
3671599, 7.6, 80, 蒋经国论
3269805, 7.1, 108, 流光如梦
1764732, 7.8, 46, 海盗与君主
3521091, 7.2, 47, 中国密码
26761125, 7.5, 30, 前尘事，岁无痕
26282979, 7.7, 15, 老梁说天下2
1071879, 6.8, 17, 温州悬念
2332179, 6.9, 10, 见证
