2017-01-23 16:17:59
Tag: 科幻
The number of books: 930 

ID, rating, votes, title
3066477, 9.2, 74747, 三体Ⅱ
5363767, 9.2, 74161, 三体Ⅲ
2567698, 8.8, 125624, 三体
1192090, 8.7, 24178, 球状闪电
1258490, 9.2, 10261, 基地
1394364, 8.8, 13718, 银河系漫游指南
25829693, 9.0, 9501, 永恒的终结
1258489, 9.3, 5581, 第二基地
2056749, 8.1, 34510, 时间旅行者的妻子
1085470, 8.4, 18546, 海底两万里
1258491, 9.2, 5612, 基地与帝国
3266609, 8.8, 9480, 流浪地球
1140727, 8.8, 9377, 安德的游戏
1370274, 9.2, 5351, Level E
26586492, 8.9, 7699, 火星救援
1418999, 9.2, 4609, 银河英雄传说
3268399, 8.5, 12077, 上海堡垒
6518605, 9.3, 3604, 三体全集
1187842, 9.0, 4974, 你一生的故事
1321789, 8.5, 8944, 美丽新世界
1442869, 8.9, 4868, 献给阿尔吉侬的花束
1275608, 8.7, 5877, 神秘岛
2340609, 9.0, 3542, 2001太空漫游
2052049, 9.0, 3465, 海伯利安
1271212, 8.8, 3937, 死者代言人
1772786, 8.6, 4958, 真名实姓
1467239, 9.1, 2599, 铳梦
25752955, 9.0, 2842, 来自新世界 （上下）
1146267, 8.8, 3608, 深渊上的火
1161852, 8.2, 8000, 天意
1195590, 8.6, 4426, 带上她的眼睛
10488563, 8.7, 3786, 宇宙尽头的餐馆
1258487, 8.9, 2829, 基地前传1·基地前奏（上下）
26264967, 8.3, 6192, 神们自己
1258488, 9.0, 2374, 基地前传2·迈向基地（上下）
1863010, 9.2, 1822, 银河英雄传说VOL.2 野望篇
1418437, 8.7, 3255, 安德的影子
6890451, 9.2, 1770, 外天楼
2042338, 9.4, 1417, 银河英雄传说VOL.5 风云篇
3571732, 8.4, 4711, 全频带阻塞干扰
4202422, 8.3, 5308, 云图
1258485, 8.9, 2365, 基地续集1·基地边缘（上下）
1275907, 8.3, 5213, 八十天环游地球
1967817, 9.3, 1435, 银河英雄传说VOL.4：策谋篇
1917417, 9.2, 1582, 银河英雄传说VOL.3 雌伏篇
1399992, 8.9, 2177, 天渊
25709685, 9.6, 998, 守望者 上
2080914, 9.4, 1210, 银河英雄传说VOL.8 乱离篇
1481311, 8.7, 2695, 沙丘
10767124, 8.6, 3000, 乡村教师
1258486, 8.8, 2286, 基地续集2·基地与地球（上下）
2054916, 9.3, 1273, 银河英雄传说VOL.6 飞翔篇
3191247, 8.7, 2382, 好兆头
2070068, 9.3, 1198, 银河英雄传说VOL.7 怒涛篇
1939182, 8.0, 6320, 美国众神
1204488, 8.4, 3475, 格兰特船长的儿女
2143016, 9.1, 1443, 我，机器人
2142602, 9.3, 1148, 银河英雄传说VOL.10 落日篇
2135416, 9.3, 1131, 银河英雄传说VOL.9 回天篇
25907864, 9.6, 835, 守望者 下
2003176, 8.9, 1664, 秘密 －トップ?シークレット－ 1
2221889, 8.3, 3289, 无限恐怖
1933479, 8.9, 1528, 小灵通漫游未来
24538715, 8.6, 2189, 艾比斯之梦
1276032, 8.3, 3244, 地心游记
2350549, 8.8, 1680, 海伯利安的陨落
1140726, 8.2, 3626, 计算中的上帝
1140729, 8.6, 2097, 星船伞兵
1391510, 9.2, 1049, 机器人短篇全集（上下）
3198422, 8.6, 1943, 光明王
3041463, 8.3, 2831, 时间回旋
26210607, 8.4, 2432, 时间移民
24715686, 8.7, 1633, 仿生人会梦见电子羊吗？
1292322, 8.2, 3103, 群星，我的归宿
1865765, 8.5, 2024, 童年的终结
2340610, 8.8, 1382, 2010太空漫游
3150093, 9.5, 637, 異色短篇集1-牛面人的大餐
4164096, 7.6, 6998, 饥饿游戏
1456203, 9.0, 1034, 銀河鐵道999 （1）
4219125, 8.3, 2332, 坟场之书
1391513, 8.9, 1119, 机器人与帝国（上下）
19938026, 8.5, 1771, 生命，宇宙以及一切
3345595, 8.5, 1755, 猫城记
4326055, 8.4, 1983, 微纪元
3135034, 8.4, 1956, GANTZ殺戮都市(01)
3431718, 8.5, 1694, 卫斯理全集
1467492, 9.0, 945, Blame! 1
11511232, 8.9, 1032, 大师的盛宴
1391508, 8.6, 1448, 钢穴
3636385, 7.6, 5864, 超新星纪元
6744648, 8.8, 1085, 与拉玛相会
3266663, 8.2, 2254, 魔鬼积木·白垩纪往事
24283160, 8.6, 1357, 间客
3290026, 8.7, 1181, 火星编年史
24715669, 8.9, 945, 少数派报告
4903437, 8.9, 939, 趁生命气息逗留
4245620, 8.4, 1656, 时光尽头
26295450, 8.7, 1138, 软件体的生命周期
20279665, 9.2, 661, “太空漫游”四部曲
4937547, 7.9, 3152, 我的征途是星辰大海
20470849, 8.3, 1789, 神的九十亿个名字
1391509, 8.6, 1215, 裸阳
11597373, 8.5, 1353, 爱的算法
1512245, 9.1, 700, 海底两万里
1434071, 7.9, 2998, 我们
3322928, 8.7, 1043, 基本上无害
24107596, 8.0, 2464, 神经漫游者
1440243, 8.7, 1016, 索拉里斯星
1182890, 8.4, 1417, 严厉的月亮
5417807, 7.6, 4374, 饥饿游戏2：燃烧的女孩
1391511, 8.7, 977, 曙光中的机器人（上下）
3533014, 9.4, 483, 20世紀少年(ビッグコミックス)全22巻+21世紀少年 上?下
1075245, 8.8, 849, 蚂蚁
2360390, 9.0, 676, 我知道你明天干了什么
3090810, 8.7, 893, 五号屠场
1422237, 8.7, 886, 蚂蚁革命
1001761, 8.1, 1800, 发条橙 莫扎特与狼帮
4090777, 7.9, 2346, 他，来自火星
4066638, 9.4, 431, 宇宙兄弟1
2310062, 8.3, 1356, 大角快跑
6120501, 7.4, 5055, 中国式青春
2064684, 8.3, 1310, 迟暮鸟语
3747044, 8.9, 649, 一无所有
1321790, 8.1, 1636, 华氏451
2064688, 8.3, 1255, 异乡异客
2040646, 9.0, 578, 银河铁道999
26280924, 8.4, 1098, 看海的人
2214337, 8.9, 618, 星新一微型小说选
10763170, 8.5, 946, 发条女孩
1417484, 8.4, 1052, 恐龙文明三部曲
26046043, 8.3, 1175, 人类灭绝
1316584, 8.7, 743, 玩具修理者
3774646, 8.2, 1318, 平面国
25941891, 8.5, 918, 安迪密恩
12404751, 8.6, 819, 遥远地球之歌
21690283, 8.2, 1297, 再会，谢谢所有的鱼
1140728, 8.6, 810, 索拉利斯星·K星异客
2042631, 7.9, 1899, 弗兰肯斯坦
4887589, 8.0, 1650, 梦侦探
1791383, 9.3, 398, 365夜科幻故事（上、下册）
4720666, 8.5, 883, 图夫航行记
3816883, 8.3, 1115, 黑暗的左手
2127790, 7.6, 2897, 蝴蝶风暴
26210632, 8.1, 1414, 2018
1525866, 8.9, 569, 蚂蚁时代
1734009, 8.5, 847, 沙丘之子
1462652, 8.0, 1511, 光晕
1130892, 8.7, 660, 幽灵5号
1159012, 8.5, 813, 浪漫服务公司
6779980, 7.4, 3527, 天命
2049339, 8.3, 963, 变化的位面
1387256, 8.4, 853, The Giver
3284411, 8.2, 1071, 头发
5038509, 8.5, 751, 倒带人生
1146266, 8.0, 1371, 被毁灭的人
26811147, 8.4, 832, 月族
1083032, 8.1, 1191, 气球上的五星期
1470235, 8.3, 911, 猫的摇篮
1665390, 8.0, 1291, 银河系公民
25941893, 8.3, 855, 安迪密恩的觉醒
1427340, 8.3, 845, 贵族们的游戏
1353654, 8.2, 944, 強殖裝甲05
1498764, 8.3, 835, 沙丘救世主
1906155, 8.5, 665, 爱因斯坦赤道
1107026, 9.1, 361, 凡尔纳科幻故事精选
1439017, 8.2, 913, 进入盛夏之门
1082294, 8.2, 910, 卫斯理作品集
24944340, 8.5, 639, 尤比克
2039548, 8.1, 998, 从地球到月球
6265961, 7.1, 4286, 饥饿游戏3：嘲笑鸟
19976976, 9.1, 339, 回憶愛瑪儂
24935042, 7.4, 2544, 时间之墟
1157681, 8.0, 1078, 外星屠异
3122531, 9.0, 368, 銃夢01
1187843, 8.4, 665, 星丛
10608453, 8.7, 477, 盲视
2340613, 8.1, 918, 2061太空漫游
6265750, 7.2, 3377, 三体X
1842256, 9.2, 298, 儒勒·凡尔纳小说作品选集
3816895, 8.1, 903, 雪崩
25808977, 8.4, 637, 全息玫瑰碎片
6151679, 8.5, 572, 人生不相见
1310155, 8.1, 895, 莱博维茨的赞歌
2216512, 7.7, 1471, 冒死记录
26792804, 9.2, 279, 魔兽世界编年史
25886175, 7.8, 1225, 星际迷航-红衫
4832901, 7.8, 1218, 白垩纪往事
3875749, 8.3, 660, 第十二个天体
4834737, 9.2, 272, 最後的問題 : 西方短篇科幻小說精選
2240574, 8.3, 648, 师士传说①光甲重生
3262395, 7.8, 1182, 垂暮之战
2340615, 8.1, 803, 3001太空漫游
3021566, 7.9, 1028, 我是传奇
3201836, 7.9, 1027, 寻梦
1041057, 8.4, 570, 非法智慧
26389895, 9.4, 225, 银河帝国：基地七部曲
1016827, 9.1, 286, 阿西莫夫最新科学指南（上下册）
2972992, 8.1, 783, 时间足够你爱
1385560, 8.0, 882, 大廈
26394800, 8.4, 543, 侏罗纪公园
4814392, 8.0, 848, 光逝
22606919, 7.8, 1057, 高城堡里的人
5363492, 7.9, 908, 盗梦空间
1758746, 7.9, 906, 苍穹微石
1427322, 8.4, 508, 战争学徒
1462658, 7.9, 893, 光晕
1878074, 8.1, 697, 重力使命
2215240, 8.2, 617, 机器岛（上下）
1754788, 8.1, 692, 星空暗流
1198312, 8.0, 776, 红色海洋
1440442, 8.7, 362, 完美的真空
11599245, 7.8, 979, 量子江湖·燕子坞（上）
1465602, 8.1, 660, 七重外壳
25736982, 9.4, 192, 菲利普·迪克作品集（全5册）
24843834, 7.5, 1411, 羊毛战记
1900903, 9.3, 206, 阿西莫夫科幻小说
1394964, 7.9, 810, 眼睛
1982007, 8.8, 309, マイナス?ゼロ
3812309, 7.3, 1845, 穿越时空的少女
4738290, 8.2, 556, 狩魔手记 No. 1
1762288, 7.8, 892, 繁星若尘
3607224, 8.5, 402, 实时放逐
1959340, 8.3, 485, 时间机器（中英双语）
1760893, 7.6, 1115, 钻石花
25917727, 8.8, 292, 神秘博士：沙达
3338894, 8.0, 664, 木炭
1771379, 7.8, 845, 三尖树时代
24944354, 8.3, 463, 流吧！我的眼泪
26807576, 8.4, 416, 赡养人类
25816893, 8.1, 572, 微宇宙的上帝
25839522, 8.7, 309, 银河系搭车客指南（5部曲）
11639956, 9.2, 201, 星际迷航：联邦星舰进取号完全图解
1125417, 7.8, 811, 日暮
26392016, 7.7, 915, 未来边缘
1385563, 7.3, 1565, 藍血人
1085533, 8.3, 438, 时震
3057111, 9.5, 154, 藤子·F·不二雄SF短篇完全版 1
1424756, 8.0, 608, 人类曾经被毁灭
1394307, 7.9, 676, 玩具
24840349, 8.2, 476, 幽灵舰队
3724680, 7.3, 1503, 外星人就在月球背面
3908305, 7.4, 1290, 宿主
5391812, 7.8, 746, 风港
1125416, 7.9, 658, 比你想像的更黑暗
4128025, 7.3, 1476, 羽翼·深蓝
1469242, 7.5, 1095, 日本沉没
1980793, 8.5, 340, 王晋康科幻小说精选（全4册）
5063541, 7.9, 644, 卡勒米安墓场
1427341, 8.5, 337, 镜舞
6885709, 8.0, 555, 未来闪影
3601195, 7.9, 623, 彩虹尽头
1012671, 8.3, 393, 地底旅行
2076847, 8.8, 244, 1分钟小说选
1675986, 7.7, 780, 双星
1427342, 8.6, 292, 记忆
5395151, 8.2, 432, 副本
5395149, 8.0, 536, 宇宙过河卒
10464645, 7.4, 1156, 僵尸生存指南
1385564, 7.6, 870, 老貓
3201833, 7.6, 863, 卫斯理与白素
25872631, 8.0, 527, All You Need Is Kill 1
1162566, 8.3, 381, 终极实验
1877874, 8.5, 312, ABARA  上
1782294, 9.2, 171, 2001夜物語(01)
26779789, 8.8, 237, 安德的游戏·三部曲
2215336, 8.4, 342, 太阳系历险记
1228395, 7.8, 659, 化身博士
3105462, 8.6, 277, 接触
1187844, 7.7, 732, 傀儡主人
2146031, 9.2, 167, 科幻世界文库（全六册）
1473332, 7.9, 568, 星际争霸
3316279, 7.8, 639, 极刑
24153098, 7.5, 922, 差分机
