2017-01-23 16:17:59
Tag: 科幻小说
The number of books: 945 

ID, rating, votes, title
3066477, 9.2, 74747, 三体Ⅱ
5363767, 9.2, 74162, 三体Ⅲ
2567698, 8.8, 125624, 三体
1192090, 8.7, 24178, 球状闪电
1258490, 9.2, 10261, 基地
1394364, 8.8, 13718, 银河系漫游指南
25829693, 9.0, 9501, 永恒的终结
1258489, 9.3, 5581, 第二基地
1085470, 8.4, 18546, 海底两万里
1258491, 9.2, 5612, 基地与帝国
3266609, 8.8, 9480, 流浪地球
1140727, 8.8, 9377, 安德的游戏
26586492, 8.9, 7699, 火星救援
6518605, 9.3, 3604, 三体全集
1187842, 9.0, 4974, 你一生的故事
1442869, 8.9, 4868, 献给阿尔吉侬的花束
1275608, 8.7, 5877, 神秘岛
2340609, 9.0, 3542, 2001太空漫游
2052049, 9.0, 3465, 海伯利安
1271212, 8.8, 3937, 死者代言人
1772786, 8.6, 4958, 真名实姓
25752955, 9.0, 2842, 来自新世界 （上下）
1146267, 8.8, 3608, 深渊上的火
1161852, 8.2, 8000, 天意
1195590, 8.6, 4426, 带上她的眼睛
10488563, 8.7, 3786, 宇宙尽头的餐馆
1258487, 8.9, 2829, 基地前传1·基地前奏（上下）
26264967, 8.3, 6192, 神们自己
1258488, 9.0, 2374, 基地前传2·迈向基地（上下）
1418437, 8.7, 3255, 安德的影子
3571732, 8.4, 4711, 全频带阻塞干扰
1258485, 8.9, 2365, 基地续集1·基地边缘（上下）
1275907, 8.3, 5213, 八十天环游地球
1399992, 8.9, 2177, 天渊
1481311, 8.7, 2695, 沙丘
10767124, 8.6, 3000, 乡村教师
1258486, 8.8, 2286, 基地续集2·基地与地球（上下）
1204488, 8.4, 3475, 格兰特船长的儿女
2143016, 9.1, 1443, 我，机器人
24538715, 8.6, 2189, 艾比斯之梦
1276032, 8.3, 3244, 地心游记
2350549, 8.8, 1680, 海伯利安的陨落
1140726, 8.2, 3626, 计算中的上帝
1140729, 8.6, 2097, 星船伞兵
1391510, 9.2, 1049, 机器人短篇全集（上下）
3198422, 8.6, 1943, 光明王
3041463, 8.3, 2831, 时间回旋
26210607, 8.4, 2432, 时间移民
24715686, 8.7, 1633, 仿生人会梦见电子羊吗？
1292322, 8.2, 3103, 群星，我的归宿
1865765, 8.5, 2025, 童年的终结
2340610, 8.8, 1382, 2010太空漫游
1391513, 8.9, 1119, 机器人与帝国（上下）
19938026, 8.5, 1771, 生命，宇宙以及一切
4326055, 8.4, 1983, 微纪元
3431718, 8.5, 1694, 卫斯理全集
11511232, 8.9, 1032, 大师的盛宴
1391508, 8.6, 1448, 钢穴
3636385, 7.6, 5864, 超新星纪元
6744648, 8.8, 1085, 与拉玛相会
3266663, 8.2, 2254, 魔鬼积木·白垩纪往事
3290026, 8.7, 1181, 火星编年史
24715669, 8.9, 945, 少数派报告
4903437, 8.9, 939, 趁生命气息逗留
4245620, 8.4, 1656, 时光尽头
26295450, 8.7, 1138, 软件体的生命周期
20279665, 9.2, 661, “太空漫游”四部曲
20470849, 8.3, 1789, 神的九十亿个名字
11597373, 8.5, 1353, 爱的算法
1512245, 9.1, 700, 海底两万里
3322928, 8.7, 1043, 基本上无害
24107596, 8.0, 2464, 神经漫游者
1440243, 8.7, 1016, 索拉里斯星
1182890, 8.4, 1417, 严厉的月亮
1391511, 8.7, 977, 曙光中的机器人（上下）
1075245, 8.8, 849, 蚂蚁
1422237, 8.7, 886, 蚂蚁革命
2310062, 8.3, 1356, 大角快跑
6120501, 7.4, 5055, 中国式青春
2064684, 8.3, 1310, 迟暮鸟语
3747044, 8.9, 649, 一无所有
1321790, 8.1, 1636, 华氏451
2064688, 8.3, 1255, 异乡异客
26280924, 8.4, 1098, 看海的人
10763170, 8.5, 946, 发条女孩
1417484, 8.4, 1052, 恐龙文明三部曲
26046043, 8.3, 1175, 人类灭绝
1316584, 8.7, 743, 玩具修理者
3774646, 8.2, 1318, 平面国
25941891, 8.5, 918, 安迪密恩
12404751, 8.6, 819, 遥远地球之歌
21690283, 8.2, 1297, 再会，谢谢所有的鱼
1140728, 8.6, 810, 索拉利斯星·K星异客
2042631, 7.9, 1899, 弗兰肯斯坦
4720666, 8.5, 883, 图夫航行记
3816883, 8.3, 1115, 黑暗的左手
26210632, 8.1, 1414, 2018
1525866, 8.9, 569, 蚂蚁时代
1734009, 8.5, 847, 沙丘之子
1462652, 8.0, 1511, 光晕
1130892, 8.7, 660, 幽灵5号
1159012, 8.5, 813, 浪漫服务公司
6779980, 7.4, 3527, 天命
2049339, 8.3, 963, 变化的位面
3284411, 8.2, 1071, 头发
5038509, 8.5, 751, 倒带人生
1146266, 8.0, 1371, 被毁灭的人
1083032, 8.1, 1191, 气球上的五星期
1665390, 8.0, 1291, 银河系公民
25941893, 8.3, 855, 安迪密恩的觉醒
1427340, 8.3, 845, 贵族们的游戏
1498764, 8.3, 835, 沙丘救世主
1906155, 8.5, 665, 爱因斯坦赤道
1107026, 9.1, 361, 凡尔纳科幻故事精选
1439017, 8.2, 913, 进入盛夏之门
1082294, 8.2, 910, 卫斯理作品集
26413155, 8.7, 520, 星际穿越
24944340, 8.5, 639, 尤比克
2039548, 8.1, 998, 从地球到月球
24935042, 7.4, 2544, 时间之墟
1157681, 8.0, 1078, 外星屠异
1187843, 8.4, 665, 星丛
10608453, 8.7, 477, 盲视
2340613, 8.1, 918, 2061太空漫游
6265750, 7.2, 3377, 三体X
1842256, 9.2, 298, 儒勒·凡尔纳小说作品选集
3816895, 8.1, 903, 雪崩
25808977, 8.4, 637, 全息玫瑰碎片
6151679, 8.5, 572, 人生不相见
1310155, 8.1, 895, 莱博维茨的赞歌
25886175, 7.8, 1225, 星际迷航-红衫
4832901, 7.8, 1218, 白垩纪往事
4834737, 9.2, 272, 最後的問題 : 西方短篇科幻小說精選
3262395, 7.8, 1182, 垂暮之战
2340615, 8.1, 803, 3001太空漫游
3021566, 7.9, 1028, 我是传奇
3201836, 7.9, 1027, 寻梦
26389895, 9.4, 225, 银河帝国：基地七部曲
2972992, 8.1, 783, 时间足够你爱
26394800, 8.4, 543, 侏罗纪公园
4814392, 8.0, 848, 光逝
22606919, 7.8, 1057, 高城堡里的人
1758746, 7.9, 906, 苍穹微石
1427322, 8.4, 508, 战争学徒
1462658, 7.9, 893, 光晕
1878074, 8.1, 697, 重力使命
2215240, 8.2, 617, 机器岛（上下）
1754788, 8.1, 692, 星空暗流
1198312, 8.0, 776, 红色海洋
1465602, 8.1, 660, 七重外壳
25736982, 9.4, 192, 菲利普·迪克作品集（全5册）
24843834, 7.5, 1411, 羊毛战记
1900903, 9.3, 206, 阿西莫夫科幻小说
1394964, 7.9, 810, 眼睛
1982007, 8.8, 309, マイナス?ゼロ
3812309, 7.3, 1845, 穿越时空的少女
1762288, 7.8, 892, 繁星若尘
3607224, 8.5, 402, 实时放逐
1959340, 8.3, 485, 时间机器（中英双语）
