2017-01-23 16:17:59
Tag: 科技
The number of books: 400 

ID, rating, votes, title
6709783, 9.1, 16731, 浪潮之巅
6021440, 8.8, 12972, 黑客与画家
5375620, 8.8, 11259, 失控
10750155, 8.7, 7441, 数学之美
1225983, 8.8, 6158, 万物简史
5320866, 8.3, 5953, 重来
25902942, 9.0, 2041, 文明之光（第一册）
1240002, 9.2, 1434, C Primer Plus
26297606, 7.6, 13316, 从0到1
26697350, 9.2, 1299, 极简宇宙史
20429677, 7.5, 12045, 大数据时代
26658379, 8.4, 2796, 必然
25902222, 9.0, 1298, 文明之光（第二册）
3071402, 8.7, 1832, 物理世界奇遇记
1317485, 8.6, 2027, 生命是什么
26582822, 8.3, 2986, 重新定义公司
1030898, 8.8, 1459, 复杂
3420144, 9.1, 991, Pro Git
5313010, 7.9, 4496, Facebook效应
25752043, 8.7, 1385, 信息简史
26275177, 9.0, 964, 文明之光 （第三册）
3567853, 9.0, 900, Getting Real
1277169, 9.0, 748, 古今数学思想（一）
3816827, 8.2, 1874, 沸腾十五年
26364209, 8.1, 2093, 那些古怪又让人忧心的问题what if?
5948760, 8.8, 891, A Byte of Python
3040870, 8.9, 770, Head First HTML与CSS、XHTML（中文版）
26838557, 8.6, 1038, 智能时代
6965746, 8.2, 1641, 科技想要什么
25928983, 7.6, 3661, 周鸿祎自述
26759508, 8.1, 1661, 硅谷钢铁侠
4199741, 8.5, 924, 代码整洁之道
26593084, 8.4, 1035, 迷人的材料
1391740, 8.4, 1015, 逻辑的引擎
25871778, 8.4, 978, 数据之巅
1632977, 9.3, 385, The Little Schemer - 4th Edition
1834728, 8.8, 592, 人工智能的未来
24714655, 8.4, 845, 我看电商
24739213, 9.1, 404, 浪潮之巅（上册）
10799984, 7.5, 2751, 大数据
26665230, 8.6, 659, 硅谷之谜
2315287, 8.6, 635, 技术垄断
26324497, 8.1, 1066, 支付战争
25908079, 8.5, 653, 新经济，新规则
5379664, 7.6, 1936, 浅薄
6860890, 8.3, 758, 黑客
10588021, 8.0, 1081, 技术元素
4114172, 8.7, 480, 为什么要相信达尔文
20471120, 7.5, 2089, 打造Facebook
1227414, 9.1, 318, 古今数学思想（四）
26608585, 8.4, 614, 重新定义团队：谷歌如何工作
24740308, 9.2, 285, 浪潮之巅（下册）
5269192, 7.9, 1068, 创业的国度
1016827, 9.1, 286, 阿西莫夫最新科学指南（上下册）
1025808, 8.5, 498, 梦溪笔谈
3144300, 9.2, 243, 通向实在之路
1052973, 8.5, 457, 科学的历程
10779604, 8.8, 334, 图灵的秘密
25881855, 8.5, 439, 大教堂与集市
26849305, 8.9, 293, 成为乔布斯
3142280, 7.9, 829, 梦断代码
6855803, 7.9, 808, 奇点临近
4789228, 8.7, 338, In The Plex
24250054, 8.6, 370, SQL必知必会
3815282, 8.9, 266, 技术与文明
1089508, 7.8, 846, 数字化生存
24840349, 8.2, 476, 幽灵舰队
4032570, 8.5, 348, 进化的大脑
25766700, 7.5, 1111, 一网打尽
2221395, 8.3, 418, 经度
2124111, 8.7, 282, 世界科学技术通史
20365163, 7.7, 819, 创客
1867455, 7.9, 600, 像外行一样思考，像专家一样实践——科研成功之道
7007666, 7.2, 1554, 认知盈余
21326266, 8.1, 477, 与机器赛跑
26272662, 7.6, 839, 腾讯方法
24153098, 7.5, 922, 差分机
5338024, 8.5, 290, 与孩子一起学编程
24536403, 7.7, 682, 代码的未来
26644808, 7.9, 529, 高铁风云录
6434426, 9.1, 167, 中国国家地理自然百科系列：海洋
3235797, 8.1, 410, 啊哈！原来如此
3246499, 8.3, 333, 疯狂Java讲义
3320425, 8.3, 332, 跨越鸿沟
4199502, 8.3, 329, 大话无线通信
21966356, 8.1, 402, 沃兹传
1879670, 7.3, 1069, 撬动地球的Google
26308014, 7.4, 893, 联盟
26265544, 9.2, 143, 图解密码技术
25826578, 7.1, 1377, MacTalk 人生元编程
2356843, 8.9, 164, 控制论
1033086, 8.4, 250, 生命的壮阔
4019512, 7.0, 1386, 正在爆发的互联网革命
25849758, 8.1, 328, 富足
1049797, 8.4, 238, 科学的反革命
1205456, 7.8, 441, 未来之路
6860558, 7.2, 953, 一只iPhone的全球之旅
10580810, 7.1, 1087, 第三次工业革命
25790070, 7.4, 705, 移动的帝国
25764520, 8.1, 306, 走出电商困局
3320906, 8.4, 224, 追踪进化论
1861805, 7.3, 773, 世界是平的
3215423, 7.5, 588, IT不再重要
25846075, 8.1, 294, 技术的本质
25747269, 7.7, 454, 颠覆医疗
1003692, 8.5, 200, 真实世界的脉络
1084264, 8.4, 218, 自达尔文以来
1881552, 8.3, 236, 剑桥五重奏
25953932, 8.2, 259, 第二次机器革命
3156435, 8.7, 165, 天工开物译注
24872278, 7.2, 838, 信号与噪声
2298747, 8.7, 163, 现代世界中的数学
24699866, 7.5, 531, 反对完美
26852425, 8.8, 141, 什么是科学
1315265, 8.3, 216, 从混沌到有序
21966324, 7.1, 840, 3D打印
25763770, 7.6, 413, 孵化Twitter
4312477, 8.8, 124, 天地九重
25752076, 7.9, 274, 贪婪的大脑
26630833, 8.1, 224, 电商数据化运营
1810352, 8.2, 202, 灵魂机器的时代
1288989, 7.7, 332, 网络共和国
25986746, 7.5, 414, 零边际成本社会
5402708, 7.6, 357, HTML5高级程序设计
25784778, 8.1, 206, 1024·人与机器共同进化
25857804, 8.0, 225, 硅谷百年史
26534892, 8.2, 184, 未来的序曲
10578495, 8.1, 195, 物理学的未来
25746680, 8.3, 160, 随意搜寻
1065156, 8.0, 207, 我生活的种种模式
20283567, 7.0, 675, 下一个倒下的会不会是华为
26701099, 8.3, 148, 伴月共生
6721224, 8.1, 174, 为什么中国没出Facebook
3744558, 7.1, 525, 奥美的数字营销观点
19975498, 7.7, 242, 掘金黑客
20647000, 7.4, 337, 想当厨子的生物学家是个好黑客
19952397, 7.6, 267, 鲜活的数据
4292525, 8.8, 91, 进化思维
4582552, 9.1, 74, 新知客
19930175, 7.7, 234, 吃的真相3
24745622, 8.3, 131, 太空将来时
1322206, 9.0, 76, 技术史(Ⅰ-Ⅶ)
3722960, 7.5, 267, 战争的果实
1476618, 7.9, 170, 光电帝国
6114207, 7.0, 466, UCD火花集2
26022186, 6.6, 848, 跨界
25971043, 7.7, 197, 离线·开始游戏
25854872, 7.3, 304, 算法帝国
20429704, 6.9, 492, 删除
25975442, 8.0, 142, 互联网时代
24744410, 8.1, 126, 他们创造了美国
1468853, 8.5, 90, 信息烟尘
1924042, 8.1, 124, 让科学的光芒照亮自己
25896087, 8.2, 110, 读首诗再睡觉
2419991, 8.5, 86, 中国科学技术史
21632268, 7.6, 187, 数字乌托邦
25755879, 7.5, 202, 最简单的图形与最复杂的信息
1015359, 8.0, 122, 消失的动物-古生物绝版图鉴
1445586, 8.0, 122, 林肯的DNA以及遗传学上的其他冒险
3309579, 7.5, 193, 撬开苹果
5269219, 7.2, 260, 数据之美
25927950, 7.5, 185, YC创业营: 硅谷顶级创业孵化器如何改变世界
26776547, 8.0, 114, 人工智能时代
10557518, 7.7, 149, 谁设计了宇宙?
26848006, 8.7, 66, 极客物理学
3103667, 7.6, 162, 情报日本
25808226, 8.2, 92, Hooked
25924949, 7.4, 192, 特斯拉自传
25800026, 7.1, 269, 移动风暴
2326852, 8.4, 78, 技术革命与金融资本
26393046, 7.6, 153, 机器人时代
26739670, 7.7, 136, 众媒时代
1329953, 8.1, 92, 力量：改变人类文明的50大科学定理
