2017-01-23 16:17:59
Tag: 穿越
The number of books: 957 

ID, rating, votes, title
1812439, 8.1, 33578, 步步惊心
2048364, 8.1, 17487, 独步天下（上下卷）
3561591, 8.0, 16067, 凤囚凰（上中）
3155622, 8.3, 8935, 庆余年·壹
3123939, 8.0, 13144, 不负如来不负卿1
2062202, 7.9, 14136, 绾青丝Ⅲ
2009825, 7.6, 22202, 绾青丝Ⅰ
3218402, 8.2, 7032, 不负如来不负卿Ⅱ·大结局
2028070, 7.8, 13344, 绾青丝Ⅱ
3522694, 8.6, 3734, 史上第一混乱·第一季神仙预备役
1468493, 7.6, 16494, 梦回大清
2213684, 8.3, 4941, 又一春
3165386, 8.6, 3191, 庆余年·肆
3244065, 8.6, 3091, 庆余年·伍
3165135, 8.5, 3532, 庆余年·贰
2382094, 7.8, 10285, 绾青丝Ⅳ（上）
2382087, 7.8, 10171, 绾青丝Ⅳ（下）
3244068, 8.5, 3376, 庆余年·陆
2300626, 7.5, 16634, 蔓蔓青萝（全2册）
2699701, 7.6, 13696, 歌尽桃花
3165385, 8.5, 3228, 庆余年·叁
1830208, 8.3, 4261, 尼罗河的女儿（第一部）
1668021, 8.1, 5460, 寻秦记
2281912, 7.7, 10481, 醉玲珑（上卷）
6139592, 8.1, 5217, 11处特工皇妃
2340167, 7.9, 7050, 醉玲珑（下卷）
6125543, 9.2, 1187, 北方的空地
2220812, 7.6, 10575, 木槿花西月锦绣1
2340168, 7.9, 6284, 醉玲珑（中卷）
1958655, 7.6, 8928, 寻找前世之旅（上下册）
10468852, 8.6, 1941, 海棠依舊: 知否? 知否? 應是綠肥紅瘦 卷一
3779046, 8.6, 1937, 慶餘年 卷7
2004509, 7.6, 8037, 梦回大清
3611391, 8.7, 1617, 史上第一混乱·第二季·山寨武校
3664145, 8.8, 1398, 史上第一混乱·第三季·武林大会
2221121, 7.8, 5225, 木槿花西月锦绣2
2373834, 8.4, 2061, 新宋·十字1
3802381, 8.7, 1363, 史上第一混乱·第五季·寻秦记
3177843, 7.7, 5332, 木槿花西月锦绣3
2703292, 7.5, 7442, 兰陵缭乱
3739306, 8.7, 1323, 史上第一混乱·第四季·诱惑仙草
4144066, 8.5, 1576, 江山（一）
2139108, 7.4, 8164, 潇然梦（上）
3037790, 8.2, 2300, 小楼传奇
3170442, 7.7, 4601, 午门囧事Ⅰ
2298345, 8.5, 1476, 狐魅天下·第一部·狐妖公子
1860523, 8.3, 1798, 鳳于九天之一魂落西雷
2176855, 7.5, 5932, 潇然梦（下）
20501270, 8.6, 1203, 大唐明月1·风起长安
3024940, 8.6, 1199, 新宋Ⅱ·权柄1
2138527, 7.5, 5625, 法老的宠妃
3002672, 8.7, 1050, 狐魅天下·第二部·神武衣冠
2005545, 7.4, 6630, 红颜乱
3250733, 7.8, 3360, 午门囧事Ⅱ
3863359, 8.9, 818, 千劫眉·两处沉吟
3053120, 8.6, 1110, 新宋Ⅱ·权柄2
3100852, 7.7, 3606, 兰陵缭乱Ⅱ
3127865, 7.7, 3542, 兰陵缭乱3
3074810, 7.3, 6753, 穿越与反穿越
1464824, 7.8, 2906, 交错时光的爱恋
6437035, 7.8, 2891, 扶摇皇后（上下）
3127813, 8.7, 902, 狐魅天下·第三部·故山旧侣
3696953, 7.9, 2457, 绿红妆之军营穿越
4729353, 8.6, 998, 史上第一混乱·第六季·时光总动员
3389971, 7.7, 3253, 永夜（上下）
2970172, 8.6, 985, 新宋·十字2
1860532, 8.5, 1080, 凤于九天 之 威镇博间
4844954, 8.5, 1067, 史上第一混乱·第七季·终极拯救大结局
3004594, 8.6, 951, 新宋·十字3
5275312, 7.5, 4193, 暴君，我来自军情9处
1860529, 8.4, 1153, 凤于九天 之 太子出使
4898688, 8.2, 1462, 精準的失控
3829610, 7.8, 2523, 午门囧事Ⅲ·午门篇
3101286, 8.6, 885, 新宋Ⅱ·权柄4
3069940, 8.6, 881, 新宋Ⅱ·权柄3
1381504, 8.5, 962, 鳳于九天之四興衰與共
2375894, 7.9, 2019, 秀丽江山·白虎卷
6730936, 8.2, 1324, 扶摇皇后·终结篇（上下）
10566532, 8.6, 809, 海棠依舊：知否？知否？應是綠肥紅瘦 卷二
3183693, 8.6, 807, 新宋Ⅱ·权柄5
3239554, 8.6, 805, 新宋Ⅲ·燕云1
2974188, 7.6, 2988, 回到明朝当王爷
10775030, 8.5, 896, 海棠依舊：知否？知否？應是綠肥紅瘦 卷四
2257608, 7.9, 1865, 秀丽江山·青龙卷
3274141, 7.9, 1832, 秀丽江山·朱雀卷
2048588, 7.6, 2843, 第一皇妃（Ⅰ、Ⅱ）
2139618, 7.5, 3327, 寻找前世之旅续集
3260520, 8.0, 1547, 秀丽江山·玄武卷
20501271, 8.6, 739, 大唐明月2·谋断恩仇
2975947, 7.5, 3118, 笑倾三国（Ⅰ、Ⅱ）
3306270, 8.6, 709, 新宋Ⅲ·燕云2
3766379, 8.6, 701, 新宋Ⅲ·燕云3
3427342, 7.9, 1628, 第一皇妃Ⅳ、Ⅴ
21336788, 8.7, 619, 大唐明月3·西域烽烟
3015088, 7.6, 2460, 极品家丁 1
2138767, 8.0, 1394, 清风入梦·怡殇Ⅰ
10739632, 8.5, 761, 海棠依舊：知否？知否？應是綠肥紅瘦 卷三
4130055, 7.2, 4767, 跨过千年来爱你
5293819, 8.4, 850, 羅馬浴場 Ⅰ
2993411, 7.9, 1562, 第一皇妃Ⅲ
3072649, 7.9, 1537, 窃明
2270168, 8.6, 650, 凤于九天十六言惊四座
2241269, 8.2, 1023, 清风入梦·怡殇Ⅱ
20274086, 8.6, 638, 海棠依舊：知否？知否？應是綠肥紅瘦卷六 嫣然一笑新妝就，春園海棠花獨妍
3143821, 8.8, 513, 來自遠方 1
3236601, 7.9, 1448, 恶魔法则1
19281910, 8.5, 694, 海棠依舊：知否？知否？應是綠肥紅瘦 卷五
3931437, 7.3, 3539, 销魂殿
23720194, 8.6, 611, 海棠依舊：知否？知否？應是綠肥紅瘦 卷七 那人卻道，海棠依舊 完
21346268, 8.7, 546, 大唐明月4·碧血黄沙
3816048, 8.6, 603, 凤于九天 23 千里救援
6805154, 7.6, 2061, 再生缘（上中下）
2000153, 7.7, 1742, 凤霸天下Ⅰ·玄武篇
2327556, 7.6, 1991, 不辞冰雪为卿热（全2册）
10527811, 8.5, 636, 官居一品（全七册）
1939705, 7.5, 2296, 青莲纪事1
3135064, 6.9, 6410, 薄荷荼靡梨花白
3056907, 7.3, 3083, 宸宫（上下）
1377681, 8.1, 966, 追月
3550601, 7.5, 2200, 双阙
1014751, 8.4, 674, 异人傲世录1·异世逍遥
2973646, 7.4, 2501, 少年丞相世外客
3319399, 8.6, 529, 凤于九天二十二 海夜异色
6790474, 8.4, 642, 别拿穿越不当工作（全三册）
5336752, 8.5, 576, 新宋Ⅲ·燕云4
4173198, 8.6, 496, 凤于九天24 惊隼大捷
2044745, 7.8, 1248, 凤霸天下Ⅱ·白虎篇
1956593, 7.5, 1913, 青莲纪事 2
26853361, 8.7, 442, 夜旅人
3168458, 7.6, 1636, 少年丞相世外客（中+下）
2232921, 7.9, 1077, 樱之恋系列 （全8种）
3153363, 7.1, 3593, 三救姻缘
3021414, 7.2, 2959, 除了我你还能爱谁
4207785, 8.5, 523, 凤于九天25 再临博间
2050143, 7.8, 1195, 凤霸天下Ⅲ·四国篇
2343018, 7.4, 2122, 寻找前世之流年转
3071317, 7.2, 2886, 此心无垠（全2册）
3679840, 8.1, 781, 恶魔法则（全12册）
7440370, 7.8, 1102, 非我倾城（全三册）
2993425, 7.5, 1594, 神仙也有江湖（上）
4833933, 7.4, 1852, 小女花不弃
3894603, 7.6, 1363, 穿越之天雷一部（全二册）
4891442, 8.4, 512, 凤于九天26 动魄惊心
2300051, 7.7, 1180, 勿忘
3144991, 7.7, 1145, 神仙也有江湖（下）
2141862, 7.7, 1133, 千山看斜阳
2076345, 7.5, 1489, 青莲记事1
25791940, 8.5, 440, 战起1938
3766708, 7.6, 1263, 爱莫能弃
