2017-01-23 16:17:59
Tag: 米兰·昆德拉
The number of books: 162 

ID, rating, votes, title
6082808, 9.2, 94508, 百年孤独
1083428, 8.8, 80363, 傲慢与偏见
1017143, 8.5, 130070, 不能承受的生命之轻
1046265, 8.0, 178860, 挪威的森林
2154960, 8.7, 38723, 一个陌生女人的来信
1400705, 8.1, 79127, 情人
5275059, 7.9, 116952, 1988：我想和这个世界谈谈
1086249, 8.6, 30346, 荆棘鸟
1209899, 9.0, 15761, 我与地坛
1059419, 8.1, 58711, 海边的卡夫卡
2256039, 7.8, 88470, 杜拉拉升职记
1159939, 8.5, 21886, 一个陌生女子的来信
1476651, 9.0, 9402, 社会心理学
1013225, 8.3, 23373, 生活在别处
1418686, 8.6, 13598, 红拂夜奔
5366248, 8.3, 21666, 你一定爱读的极简欧洲史
1465324, 7.7, 51342, 洛丽塔
1917972, 7.8, 37148, 在路上
2136484, 8.7, 7407, 如果在冬夜，一个旅人
1082584, 8.6, 8476, 追忆似水年华 Ⅰ
1060117, 8.5, 9773, 不朽
3757732, 9.0, 4573, 人类的群星闪耀时（增订版）
6781794, 8.8, 5633, 过于喧嚣的孤独
1052828, 8.4, 8761, 玩笑
3597031, 9.1, 3139, 杀死一只反舌鸟
5287474, 8.7, 5090, 影响力
4313207, 8.5, 6577, 致D
1045716, 8.7, 4879, 人生中不可不想的事
1016486, 8.3, 8588, 笑忘录
2382705, 7.6, 25997, 不朽
1064828, 8.4, 6454, 好笑的爱
4286204, 8.1, 10240, 麦田里的守望者
2996596, 8.4, 5796, 特别的猫
1052360, 8.9, 2758, 卡尔维诺文集（第四卷）
1037954, 8.4, 5134, 告别圆舞曲
1434525, 8.2, 6814, 记得
1063796, 8.6, 3608, 小说的艺术
4737325, 8.2, 6024, 维罗妮卡决定去死
1059537, 8.7, 2877, 沉重的肉身
26768309, 8.1, 6742, 查令十字街84号
10785583, 8.2, 5387, 思考，快与慢
1025336, 7.9, 8257, 慢
1057197, 8.1, 5781, 无知
1030366, 8.1, 5687, 身份
1064707, 8.7, 2389, 从卡夫卡到昆德拉
6797396, 8.5, 2968, 焚舟纪
1023709, 8.3, 3504, 被背叛的遗嘱
6712407, 8.9, 1621, 巴黎评论·作家访谈Ⅰ
6864307, 7.4, 14987, 像我这样笨拙地生活
3017125, 8.5, 2331, 沉思录
1051440, 8.1, 3935, 在路上
1287823, 7.9, 5144, 千年一叹
10565151, 7.5, 8530, 我是个年轻人 我心情不太好
1876746, 8.3, 2435, 帷幕
24540864, 6.8, 24694, 第七天
1424307, 9.1, 716, The Unbearable Lightness of Being
20513012, 7.6, 4285, 无比芜杂的心绪
10486418, 8.1, 1987, 十一种孤独
1949121, 7.7, 3460, 白色城堡
1011680, 7.8, 2228, 雅克和他的主人
1103080, 7.9, 1833, 金色笔记
1037951, 8.3, 1074, 食指的诗
4191577, 7.9, 1579, 相遇
2377959, 8.5, 719, 文字·传奇
20516999, 8.2, 999, 陆小凤传奇1：金鹏王朝
4196774, 8.4, 701, 看电影的艺术
10604943, 8.3, 776, 爱情半夜餐
1082201, 7.3, 3085, 霜冷长河
1054704, 9.0, 341, 沉重的肉身
25881325, 7.0, 4455, 庆祝无意义
1344536, 8.7, 432, 生命中不能承受之輕
1794666, 8.6, 417, 巴黎，19世纪的首都
4737152, 7.0, 2860, 时光机
1130069, 8.0, 626, 巨人传
25927233, 7.6, 1001, 杀手界
1856464, 8.8, 234, 日瓦戈医生
24845885, 8.8, 218, 不能承受的生命之轻
1390027, 8.7, 208, 生命中不能承受之輕
10605033, 8.8, 188, 小说的艺术
1208148, 8.3, 261, 灵魂的出口
6878274, 8.0, 352, 这一代的事
4169399, 9.2, 121, The Unbearable Lightness of Being
10787196, 8.3, 251, 灵魂只能独行
25900366, 9.4, 100, 小说的艺术
25913805, 6.8, 1296, 对的时间对的人
1348412, 8.8, 133, 不朽
1360866, 8.7, 132, 生活在他方
1361661, 8.5, 153, 可笑的愛
26613544, 7.4, 440, 月亮的光是借来的
1068960, 7.7, 298, 阿涅丝的最后一个下午
1340784, 8.5, 134, Laughable Loves
24845894, 8.7, 103, 告别圆舞曲
24379800, 8.3, 141, 知识分子论
1360864, 7.9, 186, 緩慢
12011617, 8.6, 96, 观音
1752262, 9.0, 71, Complexity and Contradiction in Architecture
24845895, 8.5, 101, 生活在别处
1464328, 8.4, 109, 不朽
6750491, 7.6, 225, 某
3337579, 8.3, 114, 生命中不能承受之轻
4412721, 8.9, 65, Lifelike Drawing in Colored Pencil with Lee Hammond
24845890, 8.9, 57, 笑忘录
1471829, 7.9, 120, 欲望玫瑰
24845903, 9.2, 43, 小说的艺术
25900973, 8.7, 57, 告别圆舞曲
5914515, 8.3, 72, 彩绘名著
1055157, 8.5, 60, 可笑的爱情
1362295, 8.2, 73, 雅克和他的主人
1258342, 7.3, 149, 叩问存在
1361651, 8.4, 58, 靈魂的出口&lt;隨身一冊&gt;
1871205, 8.9, 41, The Book of Laughter and Forgetting
1455720, 9.2, 34, The Art of the Novel
25900374, 8.9, 40, 无知
1481537, 6.9, 198, 萧邦的左手
1683434, 6.9, 192, 米兰·昆德拉传
25900369, 8.5, 47, 慢
1361672, 8.4, 50, 賦別曲
1476306, 9.7, 24, L&#39;insoutenable légèreté de l&#39;être
25900376, 8.7, 40, 玩笑
26046347, 7.4, 104, 群星，我的归宿
1362294, 8.4, 47, 無知
2267407, 8.6, 41, 小说的艺术
1448477, 6.4, 328, 日本简史
25900365, 8.4, 42, 好笑的爱
24845893, 9.1, 28, 不朽
25900377, 8.4, 41, 身份
25900368, 8.9, 29, 帷幕
2213865, 8.4, 38, 米兰昆德拉如是说
1139750, 8.0, 48, 对话的灵光
25902728, 8.7, 31, 不朽
3395715, 9.1, 23, 不朽
25919831, 8.6, 28, 雅克和他的主人
1438929, 8.1, 35, 被背叛的遺囑
1251813, 8.9, 22, 中华武术轻功
1827740, 8.2, 32, 小說的藝術
3712484, 7.4, 55, 米兰·昆德拉小说
24845897, 9.0, 20, 被背叛的遗嘱
24845896, 8.6, 23, 玩笑
2971666, 8.0, 32, 生活在别处
1486225, 7.0, 67, 秋天死于冬季
1329933, 8.3, 25, 小說的藝術
24845905, 8.4, 23, 帷幕
6038875, 8.1, 24, 阿涅丝的最后一个下午
1812906, 8.4, 20, 欲望的金苹果
25900371, 8.2, 21, 被背叛的遗嘱
1283145, 7.7, 25, 比较诗学导论
1954613, 7.5, 28, 诗·思·史
2567812, 7.5, 23, 煉獄廚房食習日記
1191896, 7.0, 32, 诗意的冥思
24845886, 8.1, 16, 无知
24845900, 7.1, 23, 慢
10779498, 7.9, 14, 生命中不能承受之轻
1346104, 7.7, 14, 半先知與賣文人
10459070, 7.6, 14, China
24845901, 7.7, 13, 相遇
2019833, 7.3, 16, 米兰. 昆德拉
4823034, 7.8, 12, 不朽
1441847, 7.7, 12, 簾幕
