2017-01-23 16:17:59
Tag: 米兰?昆德拉
The number of books: 206 

ID, rating, votes, title
1770782, 8.8, 249267, 追风筝的人
1082154, 9.1, 120301, 活着
6082808, 9.2, 94508, 百年孤独
1068920, 9.3, 73347, 飘（上下）
1041007, 9.0, 82534, 哈利·波特与魔法石
25862578, 8.6, 170332, 解忧杂货店
1083428, 8.8, 80363, 傲慢与偏见
1017143, 8.5, 130070, 不能承受的生命之轻
1858513, 8.9, 61764, 月亮和六便士
1829226, 9.1, 35359, 肖申克的救赎
4238362, 8.6, 82854, 送你一颗子弹
1786670, 8.9, 46560, 百年孤独
1082387, 9.2, 24013, 一九八四·动物农场
2143732, 8.7, 48517, 灿烂千阳
1040771, 8.2, 123399, 达·芬奇密码
2035162, 9.0, 22468, 刀锋
1986291, 9.5, 10282, 冰与火之歌（卷三）
1863930, 8.8, 25336, 看不见的城市
1400705, 8.1, 79127, 情人
1985223, 8.7, 24774, 倾城之恋
1426971, 8.8, 18303, 野火集
1059419, 8.1, 58711, 海边的卡夫卡
1786387, 8.6, 22142, 影响力
1080309, 8.4, 28170, 尘埃落定
2256039, 7.8, 88470, 杜拉拉升职记
2035171, 9.0, 10723, 人生的枷锁
1880831, 9.2, 7877, 基督山伯爵（上下册）
1424741, 8.5, 22344, 心是孤独的猎手
1084165, 9.0, 9945, 平凡的世界
1420862, 8.9, 9372, 孩子你慢慢来
1013225, 8.3, 23373, 生活在别处
1082518, 7.9, 48084, 麦田里的守望者
1865089, 8.4, 19159, 瓦尔登湖
1418686, 8.6, 13598, 红拂夜奔
1065970, 7.8, 47966, 彼岸花
1465324, 7.7, 51342, 洛丽塔
2251434, 9.0, 5560, 被爱路过
1082150, 8.3, 15686, 白银时代
2171321, 8.4, 12903, 找死的兔子
1056461, 8.3, 14850, 旅行的艺术
2154079, 8.8, 6464, 追风筝的人
2136484, 8.7, 7407, 如果在冬夜，一个旅人
1082584, 8.6, 8476, 追忆似水年华 Ⅰ
1060117, 8.5, 9773, 不朽
1005492, 8.9, 5196, 光荣与梦想
2193877, 8.1, 15712, 你在天堂里遇见的五个人
1763809, 8.7, 6134, 红拂夜奔
1052828, 8.4, 8761, 玩笑
1851385, 7.8, 21352, 我的名字叫红
3223711, 8.1, 12499, 怪诞行为学
1011215, 8.8, 4305, 论语别裁(上下)
1016486, 8.3, 8588, 笑忘录
2297706, 8.2, 9992, 平面狗
1400707, 8.1, 11233, 广岛之恋
1427825, 8.5, 5948, 中国人史纲（上中下）
1045247, 7.7, 21453, 面包树上的女人
2382705, 7.6, 25997, 不朽
1064828, 8.4, 6454, 好笑的爱
2061644, 8.2, 8595, 伤心咖啡馆之歌
1027247, 7.9, 14127, 丑陋的中国人
1005193, 8.6, 4672, 重新认识你自己
2216583, 8.8, 3399, 沉重的肉身
3108835, 9.0, 2646, 让爱点亮
1038292, 8.6, 4417, 精神分析引论
2036561, 8.4, 5804, 城堡
1037954, 8.4, 5134, 告别圆舞曲
2165037, 8.8, 2971, 荒原狼
1434525, 8.2, 6814, 记得
1063796, 8.6, 3608, 小说的艺术
1079104, 8.6, 3156, 尼采：在世纪的转折点上
