2017-01-23 16:17:59
Tag: 精英
The number of books: 136 

ID, rating, votes, title
1041482, 8.9, 54827, 万历十五年
1027191, 9.0, 26866, 历史深处的忧虑
1426971, 8.8, 18303, 野火集
1012611, 8.3, 29683, 乌合之众
1083762, 8.7, 11557, 人类的群星闪耀时
1140727, 8.8, 9377, 安德的游戏
1048007, 8.2, 19076, 高效能人士的七个习惯（精华版）
1056461, 8.3, 14850, 旅行的艺术
1144185, 9.1, 4597, 美国宪政历程
1003284, 8.1, 17917, 退步集
6709809, 8.4, 9958, 暗时间
3151575, 8.6, 6057, 激荡三十年
2033081, 8.2, 6424, 身份的焦虑
2302217, 8.8, 2537, 阿特拉斯耸耸肩（上下）
4108541, 8.6, 3238, 回国驯火记
1867642, 7.7, 13050, 世界是平的
1082512, 9.4, 1234, 公司理财
3336465, 7.3, 13726, 被时光掩埋的秘密
1041616, 7.4, 9567, 那些忧伤的年轻人
1827578, 7.6, 6635, 输赢
5297291, 8.4, 1998, 大而不倒
1812833, 8.7, 1068, 穷人的银行家
1499783, 8.3, 1669, 将心注入
2287712, 8.8, 808, 美国精神的封闭
4010185, 8.0, 1997, 哪来的天才？
1981355, 6.8, 15344, 墨迹
3284230, 7.4, 3695, 我的成功可以复制
1075743, 7.3, 4367, 我把青春献给你
20376605, 8.7, 573, 阿特拉斯耸耸肩
1038949, 8.5, 457, 资本主义、社会主义与民主
26755912, 9.2, 208, 商道（《环球人物》10周年典藏书系）
1792563, 8.6, 302, 漫话日本
3410745, 8.5, 324, 中国士绅
1838712, 7.8, 691, 痛并快乐着
1439253, 8.9, 215, 国家精英
20259330, 6.9, 2364, 欢乐颂  第三季
20556208, 7.5, 832, 故国人民有所思
1443707, 7.9, 486, 做最好的自己
25859093, 7.2, 1177, 自由的老虎
25758308, 7.7, 455, 巨富
1068403, 8.5, 183, 通过杜尚
2128625, 7.3, 666, 即战力
1792560, 8.2, 235, 漫话韩国
1426927, 7.3, 644, 美国是如何培养精英的
4859592, 7.2, 710, 我不是精英
1291448, 8.8, 132, 寡头统治铁律
1865546, 8.5, 168, 乔治·施蒂格勒回忆录
1277084, 8.1, 241, 精英的兴衰
1792561, 8.4, 175, 漫话法国
25708550, 8.0, 254, 知识分子与社会
3792643, 8.5, 148, 谁统治美国？
1480103, 7.4, 445, 凶冥十杀阵
1043200, 7.7, 300, 艰难的一跃
3540011, 6.9, 824, 两小有猜
5296839, 7.5, 340, 一日学习法
25806635, 7.6, 291, 三十六大
2160123, 9.1, 77, 数学精英
1256467, 8.1, 146, 权力精英
3037210, 8.2, 130, 汉口
1315241, 7.8, 186, 知识分子的背叛
1812827, 7.4, 284, 精英的阶梯
1031900, 8.7, 72, 世家大族与北朝政治
4860322, 7.6, 172, 你能行
2128374, 7.3, 230, 耶鲁精神
1085570, 8.0, 111, 为精英主义辩护
4820758, 8.1, 102, 从富强到文雅
25827514, 7.6, 156, 特权
11613790, 7.6, 146, 女人要为理想而奋斗
1049236, 8.4, 73, 寡头
1443031, 7.4, 168, 金领
10788569, 8.3, 74, 大众的反叛
20480687, 7.2, 191, 和精英价值说再见
1225974, 7.3, 160, 思想的历险
1691005, 8.0, 80, 精英对话
26435358, 7.1, 186, 麦肯锡精英的48个工作习惯
25910863, 7.6, 108, 当知识分子遇到政治
24742976, 8.0, 76, 红圈 : 海豹突击队前狙击手总教练回忆录
4262143, 7.4, 128, 培养精英
4733861, 7.9, 78, 精英的兴衰
4063011, 7.1, 161, 与精英保持距离
3424473, 6.4, 350, 周采采的南瓜车
1035384, 7.8, 74, 平等还是精英
5404011, 7.3, 114, 印度理工学院的精英们
1038215, 7.5, 94, 共同体
3534136, 7.6, 70, 反骨者赢
2334400, 9.2, 25, Statesmen and Gentlemen
26320379, 6.4, 232, 小众行为学
5292815, 7.2, 75, “自杀时代”的来临？
4100385, 7.7, 49, 精英的反叛
2122215, 7.4, 62, 精英下乡
1666271, 7.2, 72, 全球化陷阱
4822872, 7.3, 62, 超级精英
2084994, 7.5, 50, 知识分子的“内战”
2838841, 9.2, 18, Who Governs?
10946694, 8.3, 24, The Price of Inequality
26419857, 8.2, 25, 人类群星闪耀时
2042363, 6.7, 71, 你好!精英
1276347, 7.5, 34, 无穷的困惑
21786372, 7.6, 31, Anxious Wealth
1071066, 7.9, 25, 精英的聚会
2162679, 7.6, 30, 归去来兮
25804481, 7.8, 26, 孩子，你的天赋妈妈懂
6801704, 7.7, 27, 福布斯写给未来精英
1032203, 7.2, 38, 知识分子与现代性的危机
26833522, 7.2, 38, 麦肯锡精英的思考习惯
10593753, 8.2, 20, 为中国寻找现代之路
6440838, 6.2, 93, 反思中国
25708148, 6.5, 62, 造假的知识分子
1761939, 6.0, 106, 骷髅会精神
2035360, 7.5, 26, 西方当代知识分子史
5944466, 7.8, 21, 精英话语与种族歧视
11506510, 8.6, 14, 点亮职场路
25741139, 8.0, 18, 不由自主的资产阶级
1489440, 6.6, 46, 差距在哪里
1416669, 7.3, 25, 二十世纪初期中国社会之演变
1487119, 7.8, 16, 塔克西多公园
20260678, 7.3, 21, 威尼斯与阿姆斯特丹
1380815, 7.5, 17, 中國知識份子的浮沉
3082014, 7.7, 14, 中國知識階層史論（古代篇）
2994650, 6.4, 32, 差距在哪里
4292581, 7.2, 16, 全盘西化台前幕后
25772434, 7.2, 16, 知识分子与中国社会
6876868, 5.3, 97, 职场那点事儿，从看穿HR开始
10828881, 8.0, 10, 业之峰明星设计师帮你设计家
5940675, 5.9, 39, 中国的疼痛
1006775, 6.8, 17, 社会转型与当代知识分子
1024191, 6.8, 17, 中国精英女性大论坛-21世纪我们做女人
3156311, 7.4, 12, 菁英的反叛
1146072, 6.6, 18, 知识分子的背叛
3035583, 7.4, 10, 民主的嘲讽
5386714, 7.4, 10, 哈佛精英课
25736192, 7.4, 10, 寡头政治
1224578, 7.2, 11, 创业中国
26414456, 7.2, 11, 行善的艺术
2309734, 7.1, 11, 保镖
4061924, 7.0, 11, 元代地方精英与基层社会
