2017-01-23 16:17:59
Tag: 经典名著
The number of books: 406 

ID, rating, votes, title
1007305, 9.5, 112863, 红楼梦
1084336, 9.0, 211696, 小王子
1008145, 8.9, 179820, 围城
6082808, 9.2, 94510, 百年孤独
1068920, 9.3, 73348, 飘（上下）
1200840, 9.0, 93950, 平凡的世界（全三部）
1041007, 9.0, 82535, 哈利·波特与魔法石
1019568, 9.2, 52643, 三国演义（全二册）
1255625, 9.1, 53461, 天龙八部
1083428, 8.8, 80363, 傲慢与偏见
1017143, 8.5, 130070, 不能承受的生命之轻
1858513, 8.9, 61764, 月亮和六便士
10594787, 8.9, 50368, 霍乱时期的爱情
1141406, 8.5, 101777, 简爱
1829226, 9.1, 35359, 肖申克的救赎
1085860, 8.9, 48471, 基督山伯爵
1046209, 9.1, 34468, 安徒生童话故事集
2035179, 9.2, 28216, 动物农场
1089243, 8.8, 52506, 黄金时代
1858576, 9.3, 22528, 一九八四
1082387, 9.2, 24012, 一九八四·动物农场
1057244, 8.6, 64019, 边城
1255624, 8.8, 43498, 神雕侠侣
1040771, 8.2, 123400, 达·芬奇密码
1044547, 8.9, 31247, 射雕英雄传（全四册）
1045818, 8.5, 59220, 苏菲的世界
1077847, 9.5, 12180, 史记（全十册）
1449351, 8.8, 34627, 呐喊
1043008, 8.9, 27892, 格林童话全集
2154960, 8.7, 38723, 一个陌生女人的来信
3608208, 8.6, 45531, 牧羊少年奇幻之旅
2035162, 9.0, 22468, 刀锋
1205054, 8.9, 25777, 悲惨世界（上中下）
4908885, 9.0, 20161, 局外人
3808982, 9.3, 12900, 动物庄园
1119522, 8.4, 54442, 呼啸山庄
1082334, 8.3, 64853, 穆斯林的葬礼
1082406, 8.8, 26767, 黄金时代
1212893, 8.8, 26612, 鹿鼎记（全五册）
1863930, 8.8, 25336, 看不见的城市
1085799, 8.6, 35313, 白鹿原
1254588, 8.9, 21367, 城南旧事
1883245, 9.4, 10247, 诗经
1058661, 8.8, 24329, 飞鸟集
1018136, 9.1, 14850, 动物庄园
1400705, 8.1, 79127, 情人
1086249, 8.6, 30346, 荆棘鸟
1064275, 8.3, 50357, 老人与海
1985223, 8.7, 24774, 倾城之恋
1051193, 8.6, 28502, 麦琪的礼物
1088065, 8.6, 28218, 阿Q正传
1029553, 8.7, 20406, 西游记（全二册）
1024197, 8.3, 39280, 巴黎圣母院
1021615, 9.1, 10565, 小王子（中英文对照本）
1292416, 8.5, 26421, 香水
2035171, 9.0, 10725, 人生的枷锁
1449352, 8.6, 19667, 朝花夕拾
1008988, 8.3, 32021, 了不起的盖茨比
1483894, 9.4, 6084, 三国演义
1013380, 8.1, 45191, 茶花女
1159939, 8.5, 21886, 一个陌生女子的来信
1008357, 8.5, 21641, 水浒传（全二册）
1391191, 8.5, 21468, 京华烟云
1083474, 9.2, 7515, 飘（全二册）
1014561, 9.0, 9770, 古文观止
1013416, 8.5, 20868, 雷雨
1856494, 9.3, 6366, 卡拉马佐夫兄弟
1205370, 8.1, 40995, 羊脂球
1035848, 8.6, 15727, 一千零一夜
3693974, 9.4, 5083, 小王子
1016003, 8.0, 40984, 鲁滨逊漂流记
1043815, 8.2, 28051, 骆驼祥子
1013225, 8.3, 23373, 生活在别处
2053249, 8.0, 39600, 麦田里的守望者
1082518, 7.9, 48085, 麦田里的守望者
1865089, 8.4, 19159, 瓦尔登湖
1316648, 8.3, 21748, 查令十字街84号
1040104, 8.7, 11027, 魔戒（第一部）
1125186, 8.5, 14844, 半生緣
3136271, 8.6, 12526, 罗生门
1949420, 9.3, 4709, 孙子兵法
1213546, 8.3, 20090, 变形记
1170801, 8.9, 7915, 泰戈尔诗集
1424314, 9.4, 4071, 1984
1071794, 8.9, 7668, 魔戒（第三部）
1258498, 8.3, 18238, 项链
2039931, 9.0, 6312, 小王子
1006197, 8.4, 15294, 哈姆莱特
1082407, 8.8, 8252, 青铜时代
1277981, 8.8, 8068, 社会契约论
1794620, 7.8, 43152, 芒果街上的小屋
1465324, 7.7, 51343, 洛丽塔
1007433, 8.1, 23572, 红与黑
1186392, 8.7, 8786, 约翰·克利斯朵夫
1084080, 9.2, 4294, 平凡的世界（全三册）
1082150, 8.3, 15686, 白银时代
1917972, 7.8, 37148, 在路上
1089521, 8.5, 10833, 楚留香传奇
1254731, 8.8, 6881, 欧·亨利短篇小说选
1022632, 8.7, 7497, 罪与罚
3136255, 8.8, 6429, 一个陌生女人的来信
1082584, 8.6, 8476, 追忆似水年华 Ⅰ
1292227, 8.8, 6165, 霍乱时期的爱情
1084973, 8.9, 5347, 基督山伯爵（上下）
3169746, 8.8, 6102, 荆棘鸟
1427288, 8.4, 10831, 小妇人
1860750, 8.4, 10822, 了不起的盖茨比
4881639, 9.0, 4557, 傲慢与偏见
5408882, 9.1, 3995, 公正
4010969, 7.8, 29542, 当我们谈论爱情时我们在谈论什么
1040382, 8.9, 4948, 人间词话手稿本全编
1858568, 9.0, 4310, 罪与罚
1039427, 9.0, 4225, 围城
1082522, 8.2, 13360, 家
1203251, 8.1, 15497, 雾都孤儿
1013502, 7.6, 39511, 钢铁是怎样炼成的
1007772, 8.2, 12742, 双城记
1275608, 8.7, 5877, 神秘岛
1012637, 8.2, 12238, 牛虻
1200846, 8.7, 5663, 白鹿原
1122105, 9.4, 2315, 飘（上下）
1851955, 9.3, 2579, 孙子兵法
1078250, 8.2, 11729, 洗澡
1212488, 8.3, 9977, 罗密欧与朱丽叶
1031741, 7.8, 23727, 欧也妮·葛朗台
1234963, 9.1, 3197, 傲慢与偏见（英文本）
1088743, 8.5, 6638, 简?爱
1082578, 9.0, 3337, 理想国与哲人王
1255288, 8.0, 13998, 复活
3673651, 7.7, 23647, 岛
6857344, 8.5, 6108, 夜莺与玫瑰
3826899, 8.6, 5223, 布鲁克林有棵树
1370897, 9.2, 2403, The Little Prince
1132956, 8.3, 7777, 白银时代
1082577, 8.7, 4340, 黑铁时代
1069059, 8.1, 10636, 雪国
4286204, 8.1, 10240, 麦田里的守望者
1203244, 8.2, 8578, 三个火枪手
1005918, 7.9, 13998, 堂吉诃德
1286547, 8.6, 4663, 菜根谭
1040397, 8.1, 9722, 假如给我三天光明
1044772, 8.6, 4495, 雷雨
1880829, 8.6, 4493, 呼啸山庄
1047138, 7.7, 19002, 少年维特的烦恼
1013469, 8.6, 4433, 战争与和平（全四册）
2253381, 9.3, 1866, 战争与和平（全四册）
1049957, 8.6, 4239, 浮士德
2253380, 9.1, 2194, 安娜·卡列尼娜
3024282, 9.1, 2114, 傲慢与偏见
1006113, 7.8, 13626, 源氏物语
1393724, 9.0, 2347, 楚辞
1880986, 9.1, 2085, 悲惨世界（上下）
1037954, 8.4, 5134, 告别圆舞曲
2146279, 9.0, 2307, 心灵的焦灼
1085021, 8.2, 6693, 蝴蝶梦
1083477, 7.8, 12248, 包法利夫人
1889128, 8.4, 4693, 茶花女
1205372, 8.1, 7310, 茶花女
1034922, 8.9, 2401, 莎士比亚喜剧悲剧集
1083434, 8.6, 3473, 莫泊桑短篇小说选
1275907, 8.3, 5213, 八十天环游地球
1091224, 9.3, 1466, 基度山恩仇记
1034106, 8.1, 6791, 威尼斯商人
1199026, 8.9, 2147, 小王子
1119528, 7.9, 8878, 高老头
1078554, 8.0, 7382, 情人
1003079, 9.5, 1084, 红楼梦
1393884, 9.5, 1067, Sherlock Holmes
1291199, 8.7, 2608, 过于喧嚣的孤独 底层的珍珠
1083429, 8.7, 2546, 爱伦·坡短篇小说集
1880824, 8.6, 2839, 一千零一夜
1088028, 8.4, 3603, 海底两万里
1643566, 9.2, 1296, 基督山伯爵
