2017-01-23 16:17:59
Tag: 经济
The number of books: 967 

ID, rating, votes, title
1970428, 8.8, 18998, 激荡三十年（上）
2380307, 8.9, 13426, 激荡三十年（下）
1028842, 9.0, 10765, 经济学原理（上下）
1077528, 8.9, 8072, 通往奴役之路
1033778, 8.2, 21431, 富爸爸，穷爸爸
1261560, 9.0, 5738, 国富论
1220853, 8.3, 9912, 伟大的博弈
3223711, 8.1, 12499, 怪诞行为学
1072438, 8.3, 8722, 大败局
5346110, 9.0, 3243, 穷查理宝典
1958714, 8.7, 4390, 彼得·林奇的成功投资
1325507, 8.9, 3064, 江村经济
2081876, 7.3, 38111, 货币战争
24851460, 8.7, 3486, 历代经济变革得失
4010186, 8.6, 3909, 跌荡一百年（下）
2025235, 9.1, 2023, 顾准文集
2791877, 9.1, 1981, One Billion Customers
1087737, 8.9, 2502, 日本蜡烛图技术
5243775, 9.0, 2176, 聪明的投资者
3313327, 8.6, 3563, 跌荡一百年（上）
3432304, 9.1, 1888, 大江东去（共三部）
6403593, 8.6, 3384, 时寒冰说
1867642, 7.7, 13050, 世界是平的
1082512, 9.4, 1234, 公司理财
10785583, 8.2, 5387, 思考，快与慢
1082593, 9.1, 1622, 经济学
3000997, 7.6, 13756, 牛奶可乐经济学
5921213, 8.5, 3281, MBA教不了的创富课
3055719, 8.7, 2473, 经济学的思维方式（第11版）
1919072, 7.7, 10606, 长尾理论
1070007, 8.8, 1978, 致命的自负
1874488, 8.1, 4804, 别做正常的傻瓜
1281898, 8.8, 1808, 宏观经济学
1116367, 8.7, 2028, 道德情操论
3891900, 7.7, 8439, 金融的逻辑
1150503, 9.0, 1363, 资本论（第一卷）
26658379, 8.4, 2797, 必然
2005726, 8.7, 1830, 货币金融学
1013378, 8.8, 1584, 证券分析
10733032, 8.3, 2980, 王二的经济学故事
20366370, 8.6, 1992, 变革中国
1473250, 7.6, 8266, 魔鬼经济学
5283699, 7.7, 6898, 郎咸平说：我们的日子为什么这么难
10799082, 8.7, 1656, 投资最重要的事
1252057, 8.9, 1279, 1844年经济学哲学手稿
26163553, 8.7, 1604, 投资中最简单的事
6743298, 8.9, 1256, 经济为什么会崩溃
3225979, 8.4, 2244, 一课经济学
6980818, 8.6, 1714, 浩荡两千年
3025921, 7.7, 5929, 黑天鹅
3097539, 8.9, 1149, 自由选择
4860448, 9.0, 1008, 经济解释卷一： 科学说需求 （神州增订版）
1139881, 8.7, 1408, 微观经济学
1004118, 8.2, 2623, 富爸爸财务自由之路
5297291, 8.4, 1998, 大而不倒
3900987, 7.7, 5379, 引爆点
5253757, 7.9, 3900, 怪诞行为学2
1058131, 8.4, 1929, 金融炼金术
25926542, 8.8, 1102, 一本书读懂财报
1438147, 9.0, 872, 让数字说话
5921785, 8.7, 1195, 乱世华尔街
1005813, 9.0, 858, 自由秩序原理
1084435, 8.5, 1477, 策略思维
1949744, 8.2, 2123, 对冲基金风云录
1972412, 8.1, 2406, 说谎者的扑克牌
3376690, 8.4, 1599, 中国怎么办
1776987, 9.0, 794, 期权、期货和其他衍生品（第5版）
1046164, 8.3, 1761, 巴菲特致股东的信
1812833, 8.7, 1068, 穷人的银行家
5914475, 8.0, 2534, 无价
26582558, 8.5, 1310, 经济学通识
4243276, 9.3, 552, 田园诗与狂想曲
1047001, 8.1, 2032, 资本主义与二十一世纪
1318427, 7.7, 3645, 蓝海战略
5408886, 8.3, 1533, 大空头
1196945, 8.5, 1182, 集体行动的逻辑
3027464, 8.6, 1052, 专业投机原理
4225644, 8.5, 1179, 街头生意经
25902226, 8.3, 1477, 时寒冰说：未来二十年，经济大趋势（现实篇）
2048893, 7.8, 2821, 财报就像一本故事书
4244859, 8.4, 1238, 超越金融
4238939, 8.1, 1798, 吴敬琏传
1420638, 8.3, 1388, 投资学
4124834, 8.6, 966, 冬吴相对论
1137246, 8.6, 961, 就业、利息和货币通论
11626951, 8.8, 763, 解读中国经济
1438948, 8.5, 1058, 卖桔者言
1084434, 9.0, 614, 以自由看待发展
5378548, 8.3, 1327, 一沙一世界
3836277, 7.3, 5478, 货币战争2:金权天下
26435630, 9.4, 398, 经济学原理(第7版):微观经济学分册+宏观经济学分册(套装共2册)
4831337, 8.0, 1818, 郎咸平说：新帝国主义在中国 2
6913343, 8.3, 1217, 理性乐观派
5992743, 7.9, 2046, 看懂世界格局的第一本书
1032570, 9.1, 511, 哈耶克文选
3043970, 8.4, 1065, 漫步华尔街
1043419, 8.9, 612, 自由与繁荣的国度
26290085, 8.8, 676, 手把手教你读财报
4312139, 9.4, 376, 经济学基础
4012145, 7.9, 1945, 中国的经济制度
3869711, 8.2, 1302, 消费者行为学 （第8版·中国版）
6822683, 8.9, 589, 朱镕基讲话实录 第一卷
3216007, 7.8, 2200, 郎咸平说：热点的背后
1421923, 8.2, 1254, 大国的兴衰
25871778, 8.4, 978, 数据之巅
