2017-01-23 16:17:59
Tag: 绝望
The number of books: 196 

ID, rating, votes, title
3259440, 9.1, 173472, 白夜行
1770782, 8.8, 249277, 追风筝的人
1082154, 9.1, 120303, 活着
3066477, 9.2, 74759, 三体Ⅱ
5363767, 9.2, 74168, 三体Ⅲ
3211779, 8.9, 119558, 嫌疑人X的献身
2567698, 8.8, 125636, 三体
1017143, 8.5, 130070, 不能承受的生命之轻
4820710, 9.3, 28346, 1984
1786670, 8.9, 46562, 百年孤独
1029791, 8.7, 56414, 许三观卖血记
1057244, 8.6, 64020, 边城
2143732, 8.7, 48519, 灿烂千阳
1046265, 8.0, 178865, 挪威的森林
2154960, 8.7, 38724, 一个陌生女人的来信
1119522, 8.4, 54442, 呼啸山庄
1474842, 9.1, 16288, NANA（1-13）
1400705, 8.1, 79127, 情人
1011754, 8.9, 17168, 海子的诗
1014278, 8.4, 36428, 红玫瑰与白玫瑰
2297697, 8.6, 23193, ZOO
3017857, 8.5, 26918, 金锁记
1292416, 8.5, 26422, 香水
2209098, 7.9, 78857, 致我们终将逝去的青春
1941558, 8.6, 20934, 设计中的设计
4011670, 8.3, 33469, 人间失格
1008988, 8.3, 32022, 了不起的盖茨比
1424741, 8.5, 22344, 心是孤独的猎手
1159939, 8.5, 21886, 一个陌生女子的来信
1013416, 8.5, 20868, 雷雨
1440468, 8.9, 9666, 漩涡
1449348, 8.8, 11018, 彷徨
2053249, 8.0, 39601, 麦田里的守望者
1082518, 7.9, 48085, 麦田里的守望者
1418686, 8.6, 13598, 红拂夜奔
1062343, 9.2, 5734, 昨日的世界
1030052, 7.9, 44453, 清醒纪
3012517, 8.5, 15074, 小姨多鹤
1049354, 8.5, 15068, 又寂寞又美好
1213546, 8.3, 20090, 变形记
1065970, 7.8, 47966, 彼岸花
1329941, 8.6, 10851, 東京BABYLON (Vol. 1)
4074636, 7.6, 65650, 放学后
1082162, 8.3, 16741, 第一炉香
1465324, 7.7, 51343, 洛丽塔
1020670, 8.2, 19248, 舞！舞！舞！
1025753, 8.2, 18137, 妻妾成群
1467333, 8.6, 9481, 圣传画集
1016300, 7.2, 142971, 梦里花落知多少
20392523, 8.5, 10391, 没有人给他写信的上校
2339950, 7.8, 32387, 被窝是青春的坟墓
3111270, 9.4, 2866, 一九八四
1049688, 8.5, 9433, 妞妞
1860750, 8.4, 10822, 了不起的盖茨比
1018153, 7.8, 30426, 水仙已乘鲤鱼去
1058234, 7.7, 35287, 二三事
2067269, 9.4, 2559, MONSTER-怪物-01
1442678, 8.6, 6989, 魚
1926700, 7.7, 32211, 关于莉莉周的一切
3335362, 8.5, 8042, 大教堂
1214898, 8.6, 6858, 哈利?波特与凤凰社
1029159, 7.5, 47379, 八月未央
1873281, 8.7, 5813, 少年残像
1081422, 8.9, 4407, 卡夫卡小说全集（全三册）
1052828, 8.4, 8761, 玩笑
2139305, 7.7, 29046, 巴别塔之犬
4009552, 7.6, 35163, 幻夜
1318126, 8.4, 8482, 雪国
1013419, 8.8, 4707, 张爱玲全集1：长篇小说·半生缘
1016523, 7.5, 36705, 告别薇安
1948502, 7.8, 19574, 1995-2005夏至未至
3114959, 8.9, 3572, 至死不渝的愛
1059406, 7.1, 87465, 幻城
3102324, 7.7, 21064, 秘密
1067907, 8.1, 10142, 长恨歌
4241870, 7.7, 19746, 我在回忆里等你
1015864, 9.0, 2670, 惶然录
3114975, 9.0, 2546, 人頭氣球
1031146, 8.9, 2778, 台北人
1006004, 7.5, 25008, 樱桃之远
1914572, 7.6, 18790, 誓鸟
1008074, 7.5, 22101, 失乐园
1023500, 7.6, 18011, 告别薇安
1351652, 8.5, 4099, 路德維希革命1
4737325, 8.2, 6025, 维罗妮卡决定去死
1076045, 7.6, 14968, 连城诀
6434543, 8.1, 6325, 龙族Ⅱ
1449626, 8.7, 2711, The Catcher in the Rye
3274851, 8.0, 7363, 原谅我红尘颠倒
1863163, 8.4, 3906, 异兽志
1420368, 7.6, 14199, 裂锦
1436348, 7.7, 11750, 八月未央（修订版）
1970845, 9.3, 1288, 野草
2078991, 8.7, 2384, 绝爱-BRONZE-
2038238, 8.4, 3463, 戒音
1793713, 8.3, 3749, 中国北方的情人
1348667, 9.2, 1183, 活著
1417577, 8.7, 1934, 庸才 1
1480747, 8.6, 2161, 人間失格
1972266, 7.7, 7652, 余欢
2073249, 8.7, 1764, 妖色小周
1883990, 8.8, 1477, 白银时代/2010/黑铁时代
2149169, 8.1, 3564, 水仙已乘鲤鱼去
1927748, 8.9, 1280, 新世紀福音戰士01
1012802, 7.2, 16808, 十爱
1075492, 8.0, 3915, 洛丽塔
3223552, 7.8, 5025, 转山
3865832, 7.1, 18012, 变身
1217071, 7.7, 5581, 樱桃之远
1322158, 7.7, 5514, 同门
4901590, 7.7, 4521, 初夏荷花时期的爱情
1265440, 9.3, 620, 昨日的世界
24540864, 6.8, 24695, 第七天
2062200, 6.3, 81324, 悲伤逆流成河
1441503, 8.9, 823, The Book of Bunny Suicides
1440243, 8.7, 1016, 索拉里斯星
1667254, 7.8, 3262, 飞狐外传（上下册）
1212492, 8.6, 1107, 十八春
2377002, 7.9, 2679, 和我们的女儿谈话
1947653, 8.4, 1363, 糖果子弹
1025562, 8.1, 1970, 城北地带
1883349, 8.3, 1499, 永别了，武器
3026449, 7.6, 3954, 告别薇安
2280027, 7.6, 3820, 自杀俱乐部
1069754, 8.2, 1526, 红处方
3225756, 8.2, 1495, 灰故事
2221902, 8.1, 1700, 少年维特之烦恼
1081971, 8.0, 1842, 拯救乳房
2178315, 9.2, 477, A Thousand Splendid Suns
2036569, 8.2, 1324, 愤怒的葡萄
1975743, 9.3, 396, 異色短篇集6-終結機器人
1400058, 8.6, 770, 罗生门
1962711, 7.8, 2052, 地獄星
1050634, 7.7, 2359, 葵花走失在1890 &amp; 黑猫不睡
10453121, 7.3, 4452, 下面，我该干些什么
1873874, 7.6, 2706, 盛夏光年
6040895, 7.9, 1638, 憾生
1263747, 9.0, 461, 海的女儿
2146035, 7.6, 2216, 昼若夜房间
3150092, 9.5, 269, 異色短篇集4-思鄉的老人
1289044, 8.1, 1074, 画眉记
1438954, 8.1, 1029, 米
1444225, 7.3, 2899, 那么，爱呢？
1340962, 8.3, 633, 蒙馬特遺書
1310760, 8.2, 706, 塔楼之诗
2074103, 8.1, 772, 残酷な童話たち
1797118, 8.7, 373, 丧失为人资格
1828383, 8.5, 448, 死于威尼斯
1641472, 8.9, 293, 白痴
1783382, 8.9, 286, The Walking Dead Deluxe Volume 1
1072213, 8.6, 375, 一个陌生女子的来信
3200161, 7.2, 2048, N·P
1766731, 7.7, 957, 绝望
1016060, 7.2, 1898, 没有月亮的晚上
1008757, 9.0, 234, 致死的疾病
1038010, 7.3, 1572, 血玲珑
11592890, 8.4, 343, 人间失格
1054088, 8.2, 387, 苏菲的选择
1063806, 9.1, 169, 野草
26710671, 9.0, 167, 彷徨
1970825, 8.3, 286, 自杀与美好生活
2301012, 7.6, 557, 一个岛的可能性
1970744, 8.4, 209, 赫索格
1805916, 8.9, 136, 赫索格
1075828, 7.3, 694, 近似无限透明的蓝色
1520129, 7.0, 981, 异乡人
5437075, 8.1, 247, 解读绝望
3023839, 8.1, 244, 苦痛和疾病的社会根源
1019076, 9.0, 113, 旷野呼告 无根据颂
2124537, 8.5, 165, The Road
1077151, 7.3, 590, 瑞典火柴
1438492, 9.5, 74, 長夜漫漫路迢迢
2220643, 8.3, 177, The Road
25787500, 8.2, 125, 我忘记了自己自杀的理由
2567559, 6.2, 1479, 双生（2011纪念版）
26347185, 8.7, 76, 微妙的平衡
2221080, 8.3, 93, 拯救与逍遥
4840945, 7.7, 151, 听说每一颗星球都会哭泣
2069639, 8.6, 68, The Walking Dead Vol. 3
2069643, 8.3, 81, The Walking Dead Vol. 2
2069644, 8.6, 65, The Walking Dead Vol. 5
1431185, 6.8, 360, 晴天
2069642, 8.5, 65, The Walking Dead
1429887, 7.2, 201, 没什么要紧
1434517, 7.8, 109, Memories of My Melancholy Whores
10545439, 8.6, 55, 南京，我的夜生活
26608141, 9.0, 40, 爱与希望的小街
2368858, 9.3, 31, Film School Confidential
2959004, 8.4, 44, The Walking Dead
20440076, 7.9, 60, 死亡空间
1523720, 8.2, 46, 柔嫩的臉頰
1059708, 7.8, 52, 冲向天空找月亮
10617569, 7.7, 45, 为安格的雪样年华
2039917, 8.6, 22, &#39;night
3664488, 7.2, 24, 笑忘蝶
2043015, 7.7, 11, 捡到大魔王
